datetime,open,high,low,close,volume
2021-01-29,140.4736,144.57001,140.47,142.685,1289943
2021-01-28,146.2,146.63,142.89999,143.00999,3276700
2021-01-27,145.83,148.92999,144.53999,146.23,4367300
2021-01-26,146.36,146.96001,145.19,146.3,3660300
2021-01-25,148.81,150.255,145.38,146.3,3728814
2021-01-22,144.98,146.48,144.50999,146.0,3369200
2021-01-21,145.61,147.28,144.74001,145.97,3014000
2021-01-20,142.42999,145.92,141.78999,145.60001,3284300
2021-01-19,139.41,142.7,138.0,141.42999,2693340
2021-01-15,139.25999,140.66,137.91,139.0,2443700
2021-01-14,136.83,139.38,136.13,138.94,3511400
2021-01-13,138.57001,138.95,134.63,136.34,3696500
2021-01-12,141.09,141.8,137.3,139.06,2166700
2021-01-11,141.52,141.715,139.31,141.22,2378932
2021-01-08,140.86,142.0,139.92999,141.86,1902700
2021-01-07,137.33,140.87,137.0,140.74001,2936200
2021-01-06,138.52,140.2,136.39,136.8,2398500
2021-01-05,140.23,141.39999,138.49001,141.32001,2117800
2021-01-04,143.44,143.64999,138.16,139.50999,3587160
2020-12-31,141.91,143.86,141.91,143.60001,1689900
2020-12-30,141.39,142.63,140.89,142.05,1684500
2020-12-29,141.0,142.13,140.28,140.7,1188400
2020-12-28,142.326,142.52,138.78,140.72,1756159
2020-12-24,141.32001,142.2,140.78,141.81,688100
2020-12-23,139.52,142.39,138.63,141.50999,1762400
2020-12-22,141.24001,141.72,138.69,139.42999,2102900
2020-12-21,141.63,142.37,138.98,141.00999,2631175
2020-12-18,139.86,142.97,139.86,142.83,2940772
2020-12-17,142.0,142.495,138.34,139.84,3230160
2020-12-16,139.5,143.45,139.33,141.60001,4029200
2020-12-15,137.75,140.8,137.11,140.73,2576235
2020-12-14,138.5,138.59,136.61,137.53999,3224618
2020-12-11,134.72,137.11,134.64999,135.8,4670992
2020-12-10,131.66,135.37,131.25,134.67999,2903800
2020-12-09,131.56,133.63,130.84,133.17,4229400
2020-12-08,130.42999,132.53999,129.71989,132.14999,2325259
2020-12-07,129.19,130.98,128.88,130.84,2671429
2020-12-04,126.415,129.14,126.25,128.69,2248045
2020-12-03,130.5,130.87,128.17999,128.38,2350500
2020-12-02,127.03,129.75,126.48,129.53999,1903300
2020-12-01,127.58,128.0,125.66,127.24,2826200
2020-11-30,124.77,128.39999,123.32,127.75,8531405
2020-11-27,123.58,125.0,122.41,124.17,2489400
2020-11-25,120.81,123.56,120.6,121.51,2850900
2020-11-24,121.49,121.97,119.74,120.25,3471800
2020-11-23,122.03,123.39,120.435,121.86,2086006
2020-11-20,119.53,123.0,119.1,121.87,3186800
2020-11-19,116.74,121.52,116.41,120.14,2837900
2020-11-18,118.33,118.55,116.65,116.84,2165694
2020-11-17,119.33,120.65,118.05,118.52,2954200
2020-11-16,119.25,120.705,117.56,118.6,2953667
2020-11-13,120.17,121.46,119.37,120.8,1715243
2020-11-12,120.93,122.32,118.97,119.32,2339800
2020-11-11,120.3,120.64,117.59,119.78,3572900
2020-11-10,116.99,120.53,114.78,118.93,4454200
2020-11-09,116.46,121.28,110.2,116.97,7097239
2020-11-06,119.5,120.7,114.53,119.19,12149900
2020-11-05,128.88,128.88,126.28,128.33,3283300
2020-11-04,124.88,126.98,123.72,125.31,2593900
2020-11-03,120.75,121.46,119.4,120.74,2022200
2020-11-02,120.94,120.98,117.79,119.81,2650022
2020-10-30,122.99,124.09,118.52,119.83,3312900
2020-10-29,125.79,126.17,122.77,123.9,2633500
2020-10-28,125.62,127.07,124.81,125.6,2079600
2020-10-27,127.36,127.56,126.095,126.61,1097414
2020-10-26,126.41,127.496,125.03,126.68,2166019
2020-10-23,127.24,127.47,125.53,126.77,939551
2020-10-22,127.78,128.00999,125.4,126.92,1791800
2020-10-21,127.98,129.45,127.3,127.65,2200800
2020-10-20,130.42,130.60001,127.09,127.36,2249200
2020-10-19,133.14,133.89,129.50999,129.87,1422202
2020-10-16,132.5,133.25999,131.05,131.92,1925000
2020-10-15,131.07001,132.41,129.88,131.34,1900100
2020-10-14,133.78999,133.86,131.75,132.75,2109947
2020-10-13,131.84,133.53999,130.16,133.0,1751411
2020-10-12,128.98,132.05,127.83,130.88,2017309
2020-10-09,126.57,128.39999,125.915,127.45,1694307
2020-10-08,125.97,126.36,124.42,126.04,1547674
2020-10-07,126.41,126.5,123.97,125.01,3253400
2020-10-06,130.36,130.39999,124.52,124.84,3752100
2020-10-05,130.09,130.82001,129.07001,130.72,1170005
2020-10-02,131.02,132.24001,127.71,129.03999,1482125
2020-10-01,132.07001,134.05,131.46001,132.78,1488116
2020-09-30,129.73,131.99001,129.45,130.41,2164200
2020-09-29,132.06,132.42999,129.5,130.02,1408457
2020-09-28,133.36,133.85001,130.87,132.28,1760726
2020-09-25,129.64999,132.015,128.69,131.19,1540156
2020-09-24,128.21001,130.30499,128.11,129.32001,1738314
2020-09-23,131.57001,132.32001,127.935,128.45,2126961
2020-09-22,129.81,131.22,128.47,131.02,1807182
2020-09-21,124.33,128.47,124.15,128.28999,1599968
2020-09-18,125.41,126.68,123.39,125.92,2207939
2020-09-17,124.0,126.52,123.54,125.265,1803003
2020-09-16,128.72,129.52,126.47,126.73,1534221
2020-09-15,127.99,129.86,127.5,128.33,1887845
2020-09-14,127.93,128.00999,125.9253,126.18,1087106
2020-09-11,127.99,128.39,124.4,126.02,1502779
2020-09-10,129.81,131.129,126.34,127.26,1853259
2020-09-09,126.537,129.5,124.89,128.7,2336644
2020-09-08,127.25,127.46,123.33,124.3,4027961
2020-09-04,131.63,132.6508,126.91,130.13,2158336
2020-09-03,138.24001,138.24001,131.265,132.82001,2980264
2020-09-02,138.0,140.3,136.66,139.53999,2029089
2020-09-01,140.74001,140.74001,137.08,138.28999,2429362
2020-08-31,141.08,141.11,138.09,139.47,1977838
