datetime,open,high,low,close,volume
2021-01-29,56.26,57.58,55.37,55.375,3982109
2021-01-28,58.0,58.86,55.94,56.44,11679100
2021-01-27,58.64,60.55,58.05,58.35,10642700
2021-01-26,57.09,59.31,56.97,59.17,8392100
2021-01-25,57.0,58.38,56.82,57.25,9818939
2021-01-22,56.2,56.57,55.64,56.46,3317000
2021-01-21,56.3,56.47,55.32,56.4,5265800
2021-01-20,57.3,57.54,56.12,56.17,4797800
2021-01-19,55.55,57.2,55.44,56.98,8942429
2021-01-15,55.29,55.71,54.31,55.42,9709900
2021-01-14,55.83,55.83,54.98,55.27,6937500
2021-01-13,55.78,56.37,55.36,55.71,8184600
2021-01-12,53.98,56.71,53.88,56.04,11824900
2021-01-11,54.18,54.33,53.47,53.93,6772033
2021-01-08,53.37,54.55,53.23,54.48,6298300
2021-01-07,53.42,54.23,53.01,53.06,7348800
2021-01-06,51.5,54.29,51.4,53.22,9910400
2021-01-05,51.35,52.28,51.06,52.03,9999900
2021-01-04,50.48,51.9,50.45,51.5,7843511
2020-12-31,50.61,50.81,50.0,50.25,3597200
2020-12-30,51.02,51.51,50.47,50.55,8617000
2020-12-29,50.65,51.11,50.3,50.86,4796200
2020-12-28,50.5,50.55,49.935,50.24,6003854
2020-12-24,51.23,51.24,49.94,50.12,2718500
2020-12-23,52.0,52.0,51.13,51.13,4739400
2020-12-22,51.71,52.02,51.08,51.62,6215900
2020-12-21,52.62,52.68,51.17,51.57,6082303
2020-12-18,53.05,53.26,52.395,53.06,4250787
2020-12-17,53.64,53.96,52.445,53.05,5249847
2020-12-16,52.16,54.89,52.16,53.65,12846100
2020-12-15,49.96,52.1,49.69,52.09,6505543
2020-12-14,49.23,50.5,49.23,49.57,8408316
2020-12-11,49.44,49.61,48.68,49.12,6236402
2020-12-10,49.4,49.84,48.93,49.6,4334100
2020-12-09,49.96,50.18,49.22,49.5,6792600
2020-12-08,49.89,50.23,49.28,49.89,6179063
2020-12-07,50.91,51.01,49.91,50.03,5132246
2020-12-04,50.09,51.19,49.65,50.96,4130310
2020-12-03,51.25,51.3,50.11,50.29,5353200
2020-12-02,50.52,51.54,50.36,51.35,9280500
2020-12-01,50.5,51.46,50.18,50.52,7160300
2020-11-30,51.03,51.23,49.36,50.43,9447853
2020-11-27,50.9,51.93,50.9,51.34,3235852
2020-11-25,50.75,51.03,50.05,50.45,4437700
2020-11-24,49.92,51.29,49.83,50.53,7221600
2020-11-23,49.18,50.33,49.18,49.9,9115827
2020-11-20,49.8,49.88,48.96,48.99,10521400
2020-11-19,48.65,50.05,48.56,49.78,12009100
2020-11-18,48.07,49.46,48.07,48.53,12732200
2020-11-17,48.37,48.9,47.96,48.33,9891500
2020-11-16,48.45,49.17,48.01,48.55,13816044
2020-11-13,46.89,48.71,46.73,48.6782,8977188
2020-11-12,48.13,48.17,46.4,46.59,10266100
2020-11-11,47.17,48.1,46.81,47.71,13140600
2020-11-10,47.55,47.64,45.36,46.54,15520100
2020-11-09,48.0,49.25,46.86,48.32,19127291
2020-11-06,49.7,51.17,49.05,50.69,10244300
2020-11-05,48.71,49.95,48.47,49.41,10321700
2020-11-04,49.47,49.64,47.56,47.82,16556500
2020-11-03,48.0,49.38,47.61,48.92,8908000
2020-11-02,48.19,49.34,47.21,47.87,9722372
2020-10-30,48.77,49.14,46.99,47.63,12565300
2020-10-29,49.15,50.75,48.03,49.26,20902377
2020-10-28,52.87,54.1,52.38,53.25,9420000
2020-10-27,53.39,53.84,53.0,53.52,7950198
2020-10-26,53.49,53.94,52.28,53.34,6597303
2020-10-23,52.53,53.95,52.47,53.81,4812157
2020-10-22,52.59,52.72,51.57,52.29,5164000
2020-10-21,54.29,54.48,52.63,52.82,6553900
2020-10-20,54.42,55.13,54.03,54.2,6407500
2020-10-19,56.43,56.88,53.92,54.32,6721190
2020-10-16,55.33,56.44,55.19,55.83,6165600
2020-10-15,55.79,56.11,54.86,55.4,6275700
2020-10-14,57.77,58.34,56.43,56.45,5946876
2020-10-13,55.55,57.82,55.54,57.61,6633215
2020-10-12,56.2,56.2,54.54,55.38,8092165
2020-10-09,52.42,55.855,52.32,55.45,11667825
2020-10-08,51.34,52.18,50.98,52.06,5958120
2020-10-07,50.55,51.11,49.98,50.94,6015500
2020-10-06,51.91,51.91,49.49,49.66,8820200
2020-10-05,51.94,52.105,51.15,51.77,4954659
2020-10-02,51.63,52.4299,51.2,51.66,4549722
2020-10-01,52.46,52.86,52.0,52.4,5715118
2020-09-30,52.98,53.62,51.51,52.1,9082300
2020-09-29,53.98,54.3,52.6,52.65,5904609
2020-09-28,53.2,54.35,53.1,54.04,6328783
2020-09-25,51.97,52.7282,51.18,52.485,5911179
2020-09-24,50.22,52.17,50.04,51.77,7077707
2020-09-23,51.08,51.46,50.42,50.73,5459929
2020-09-22,50.64,51.04,49.83,50.91,5746812
2020-09-21,47.94,50.235,47.74,50.14,7665643
2020-09-18,49.0,49.24,48.085,48.6,6631287
2020-09-17,49.41,49.44,47.44,48.64,14767062
2020-09-16,51.925,52.25,50.29,50.42,8200808
2020-09-15,52.68,52.99,51.64,51.77,5704994
2020-09-14,53.35,53.58,52.21,52.28,5885396
2020-09-11,52.48,53.08,52.1,52.77,6348870
2020-09-10,53.7184,54.59,52.03,52.3,5717283
2020-09-09,52.18,53.71,51.91,53.42,6470248
2020-09-08,51.17,52.66,50.97,51.53,8414688
2020-09-04,52.82,53.33,50.95,52.55,9318603
2020-09-03,54.6449,55.42,52.59,53.16,9299949
2020-09-02,53.89,55.23,53.51,55.08,7078796
2020-09-01,55.15,55.22,53.37,53.65,9186531
2020-08-31,54.0,54.91,53.57,54.73,8015602
2020-08-28,56.26,56.26,54.05,54.26,10869565
2020-08-27,58.9,58.92,56.2,56.31,7329795
2020-08-26,57.96,58.6501,57.38,58.58,5763017
2020-08-25,58.46,58.89,58.015,58.05,4341405
2020-08-24,58.46,58.96,58.055,58.77,4374420
2020-08-21,57.86,59.06,57.51,58.21,5885847
2020-08-20,57.6,58.06,57.16,57.66,4400943
2020-08-19,57.145,58.36,57.03,57.71,6236144
2020-08-18,57.65,57.88,56.94,57.03,4373361
2020-08-17,56.69,57.5698,56.295,57.34,4841829
2020-08-14,56.53,57.6,55.87,56.28,7822950
2020-08-13,55.6,57.06,55.6,56.28,6983400
2020-08-12,54.4,56.2,54.39,55.47,6317024
2020-08-11,54.21,55.644,53.7,54.3,8015714
2020-08-10,55.22,55.285,54.02,54.37,5090681
2020-08-07,55.34,55.915,54.775,55.21,5218965
2020-08-06,55.99,56.51,54.84,55.09,7471564
2020-08-05,56.47,56.925,55.9764,56.64,6212062
2020-08-04,56.17,56.775,55.7804,56.34,5584410
2020-08-03,55.69,56.82,55.57,56.57,8224688
2020-07-31,55.06,55.83,54.325,55.26,7738527
2020-07-30,54.0,54.9382,53.8,54.73,7562941
2020-07-29,55.19,56.04,53.66,54.53,13455176
2020-07-28,57.11,57.34,56.11,56.37,8235346
2020-07-27,55.7313,57.38,55.53,57.23,6309380
2020-07-24,55.02,55.36,54.04,55.09,5895130
2020-07-23,56.44,56.82,54.86,55.15,8159096
2020-07-22,56.67,57.43,56.125,56.34,7535218
2020-07-21,59.08,59.55,55.69,56.59,17247097
2020-07-20,58.71,58.8,57.77,58.46,5450319
2020-07-17,58.93,59.11,57.775,58.14,2939758
2020-07-16,57.9,58.92,57.9,58.67,892741
2020-07-15,58.82,59.13,57.24,58.39,10721800
2020-07-14,57.6,59.29,57.28,59.11,638148
2020-07-13,60.17,61.06,57.8901,58.31,1236866
2020-07-10,59.35,59.89,58.12,59.27,1152160
2020-07-09,58.7298,60.53,58.515,59.23,1506434
2020-07-08,57.25,58.455,56.88,58.27,907406
2020-07-07,55.9549,57.55,55.948,57.01,1380504
2020-07-06,55.45,56.965,54.97,56.17,819659
2020-07-02,53.707,54.875,53.55,54.37,866166
2020-07-01,52.71,53.43,51.3272,52.96,12149729
2020-06-30,51.42,52.75,51.32,52.45,10559300
2020-06-29,51.07,51.34,50.13,51.31,8682077
2020-06-26,50.89,51.28,50.08,50.89,17760000
2020-06-25,48.71,49.54,48.41,49.43,1958623
