datetime,open,high,low,close,volume
2021-01-29,208.82001,211.56,203.72,204.57918999999998,355278
2021-01-28,210.06,217.12,207.10001,211.10001,1203000
2021-01-27,206.73,209.0,201.55,207.37,1123700
2021-01-26,211.27,212.03999,209.07001,209.33,875900
2021-01-25,212.17,213.0,208.0,211.25999,728106
2021-01-22,213.81,213.95,210.75,212.39,856000
2021-01-21,218.31,220.0,213.92999,214.00999,724900
2021-01-20,217.3,219.42999,216.34,218.38,702300
2021-01-19,212.38,216.69,211.02,215.91,987748
2021-01-15,213.17,213.98,209.78999,210.77,1155500
2021-01-14,217.56,219.03,212.13,212.42999,814300
2021-01-13,222.48,223.25999,216.14,216.96001,1058800
2021-01-12,221.07001,223.67999,220.0,223.13,595100
2021-01-11,219.84,221.97,218.86,221.06,654300
2021-01-08,224.95,226.48,218.61,221.75,981500
2021-01-07,227.42999,227.97,224.27,225.74001,814200
2021-01-06,219.50999,227.17999,217.92,225.42999,1310800
2021-01-05,214.27,216.85001,212.42999,216.56,721700
2021-01-04,218.0,220.45,213.105,214.31,1459916
2020-12-31,215.25,216.84,214.73,216.36,752300
2020-12-30,215.67,218.39,214.77,215.24001,477300
2020-12-29,216.00999,216.92999,213.37,214.47,395100
2020-12-28,217.35001,218.66,214.27,214.7,591100
2020-12-24,213.22,216.36,212.06,216.12,279200
2020-12-23,216.69,219.21001,213.28,213.32001,510600
2020-12-22,216.28,217.60001,214.38,215.21001,946900
2020-12-21,215.58,215.8999,210.78999,215.81,1127953
2020-12-18,220.49001,221.34,216.87,218.89,837199
2020-12-17,221.42,222.595,219.78999,220.56,703926
2020-12-16,222.13,223.34,219.92999,220.00999,751600
2020-12-15,219.63,224.09,218.28999,222.97,686001
2020-12-14,222.24001,222.78999,216.62,217.0,713278
2020-12-11,222.63499,224.5,220.28,221.17,501894
2020-12-10,225.23,227.28999,222.66,223.08,924000
2020-12-09,225.23,226.56,222.96001,225.89999,734200
2020-12-08,222.47,224.60001,221.95,224.33,531203
2020-12-07,224.87,225.03,221.75999,222.74001,758150
2020-12-04,222.52499,225.845,221.81,225.73,573237
2020-12-03,219.17,223.81,219.00999,219.75,992700
2020-12-02,223.39,224.53999,218.95,219.14,898600
2020-12-01,224.97,226.32001,221.59,224.02,997000
2020-11-30,222.89999,224.7,219.46001,222.14999,1816140
2020-11-27,219.45,225.38,218.83,224.81,792700
2020-11-25,218.39999,220.48,216.91,218.03,757800
2020-11-24,216.39,221.72,216.39,219.31,979600
2020-11-23,212.78,215.5,212.005,213.92,730510
2020-11-20,210.39999,212.34,209.75,210.66,847000
2020-11-19,208.88,212.59,207.60001,210.92999,802700
2020-11-18,212.23,213.25,209.46001,209.50999,633197
2020-11-17,211.34,212.99001,209.89999,212.27,874000
2020-11-16,210.27,215.02,209.56,213.38,827214
2020-11-13,204.96001,208.64999,204.96001,208.48,818992
2020-11-12,209.88,209.88,201.11,203.48,1180500
2020-11-11,213.39999,213.88,207.72,209.83,1077900
2020-11-10,219.47,220.61,210.83,212.23,1829300
2020-11-09,210.0,220.21001,208.85001,216.89999,2693801
2020-11-06,198.49001,200.82001,196.71001,199.39,914800
2020-11-05,195.25,198.02,194.44,196.42,917400
2020-11-04,192.98,194.87,190.13,191.89,837100
2020-11-03,191.06,194.27,189.66,192.61,966500
2020-11-02,186.59,192.575,186.59,188.85001,925419
2020-10-30,185.64,188.31,181.25,183.59,1159000
2020-10-29,185.73,188.39999,184.02,186.94,1206000
2020-10-28,185.92,189.19,185.0,185.35001,1198900
2020-10-27,203.13,204.49001,189.03999,189.92999,1847044
2020-10-26,202.45,203.35001,197.82001,198.17,1080268
2020-10-23,206.5,207.73,204.05,204.94,628413
2020-10-22,203.28,205.83,202.37,204.87,689800
2020-10-21,202.28999,206.21001,202.28999,203.21001,1039900
2020-10-20,202.17999,205.25,201.89999,203.00999,887200
2020-10-19,205.3,206.03,200.785,201.78999,948202
2020-10-16,202.53,206.8,202.16,204.53,1070600
2020-10-15,198.78999,203.19,197.94,201.44,1054300
2020-10-14,202.23,203.41,201.12,201.32001,534912
2020-10-13,201.7,204.37,200.85001,201.02,771611
2020-10-12,204.35001,206.17999,201.97,202.73,1183907
2020-10-09,203.25,204.715,202.92,203.19,514847
2020-10-08,203.405,203.465,201.32001,201.46001,648634
2020-10-07,199.64,203.28,199.57001,201.39999,1357100
2020-10-06,200.0,201.89999,196.19,196.42999,1284300
2020-10-05,200.48,202.28999,199.09,199.39,1094830
2020-10-02,195.03,199.84,195.03,198.11,831458
2020-10-01,201.12,203.75,196.14999,197.09,863406
2020-09-30,198.69,201.63,198.08,199.84,1390400
2020-09-29,198.81,199.2,196.86501,197.45,579912
2020-09-28,199.91,201.44,197.69,198.27,1300554
2020-09-25,194.39999,196.715,193.05,196.03,864717
2020-09-24,194.14999,197.37,192.452,194.49001,872496
2020-09-23,198.7101,200.0,194.7,195.10001,934582
2020-09-22,199.82001,200.46001,198.47,199.09,748923
2020-09-21,199.83,200.97,195.89999,198.5,576116
2020-09-18,208.14,208.2,203.81,203.89,895930
2020-09-17,206.42999,208.49001,204.97,207.49001,1149372
2020-09-16,207.88,209.535,207.64999,207.89999,1321210
2020-09-15,206.08,208.33,205.98,206.62,1298513
2020-09-14,203.99001,207.0285,203.99001,204.89999,854282
2020-09-11,203.58501,204.8625,202.13499,203.61,876509
2020-09-10,204.98,205.62,201.50999,201.69,655598
2020-09-09,199.965,205.09,199.955,202.94,1152207
2020-09-08,202.28999,203.28999,195.17,197.86,1087857
2020-09-04,205.625,206.74001,202.87,204.66,1221088
2020-09-03,208.02,209.39,202.17999,204.92,1442034
2020-09-02,202.14999,209.66,201.46001,209.17999,987224
2020-09-01,196.00101,201.66,195.78999,201.53999,776304
2020-08-31,200.42,200.985,196.96001,196.96001,587969
2020-08-28,198.795,200.67,197.00999,200.5,632121
2020-08-27,196.83,199.845,196.83,197.67999,720747
2020-08-26,195.97,198.24001,195.42999,197.11,605697
2020-08-25,197.62,199.36501,195.74001,196.00999,556441
2020-08-24,196.58,198.45,196.19,197.61,477453
2020-08-21,194.41,195.35001,193.03,194.85001,523032
2020-08-20,192.66,194.77,192.66,194.42,333998
2020-08-19,195.39999,196.03999,193.89999,194.08,552620
2020-08-18,195.50999,195.81,193.62,194.38,434871
2020-08-17,196.03999,197.345,193.73,194.89999,452579
2020-08-14,196.19,196.84,193.86,194.72,518129
2020-08-13,197.75999,198.91,196.02,196.56,478062
2020-08-12,198.07001,199.92999,197.3,198.7,609625
2020-08-11,198.87,199.98,195.61,196.28999,706959
2020-08-10,194.96001,197.23,194.21001,195.36,641424
2020-08-07,194.0,196.0,192.355,194.94,1172045
2020-08-06,191.97,195.12,191.14999,194.21001,1021901
2020-08-05,190.94501,193.97501,190.37,191.96001,1300351
2020-08-04,184.42999,190.59,183.03999,189.31,1939977
2020-08-03,188.0,188.84,184.3,184.41,1269800
2020-07-31,191.19501,191.2,183.27499,187.08,1502466
2020-07-30,193.22,193.545,189.36,190.95,1304430
2020-07-29,193.50999,196.24001,193.17,194.83,2081333
2020-07-28,205.49001,205.49001,193.31,193.72,2430325
2020-07-27,210.19501,213.38499,208.565,212.05,779404
2020-07-24,208.62,210.19,207.85001,210.11,583295
2020-07-23,210.37,212.6226,208.80791000000002,209.56,639169
2020-07-22,208.23,210.56,207.16,210.45,537471
2020-07-21,211.175,211.175,207.19,207.66,678948
2020-07-20,209.86501,211.53,208.41,209.86,1094446
2020-07-17,208.99001,210.89999,208.46001,210.44,512229
2020-07-16,206.99001,209.99001,206.78909,208.3,243692
2020-07-15,206.87,208.53999,205.47,208.03,141382
2020-07-14,199.49001,204.35001,199.00999,204.21001,151427
2020-07-13,201.99001,204.765,199.94,200.42999,174653
2020-07-10,198.25,201.21001,196.39999,200.63,106776
2020-07-09,197.27,198.545,194.53999,197.66,177419
2020-07-08,202.89,203.20889,194.06,196.71001,195638
2020-07-07,200.28999,203.78999,200.28999,202.94,319484
2020-07-06,200.87,204.44,197.86,201.72,244317
2020-07-02,202.67,204.14999,200.14999,200.89999,283068
2020-07-01,199.22,201.27,197.71001,200.24001,1407027
