datetime,open,high,low,close,volume
2021-01-29,80.35,81.4655,79.0,79.0361,1116448
2021-01-28,80.45,82.49,79.82,81.08,2530300
2021-01-27,80.14,80.88,78.33,79.52,4835500
2021-01-26,82.98,83.04,81.67,81.89,2010900
2021-01-25,83.25,83.5,81.5308,82.48,2088112
2021-01-22,83.54,84.26,82.29,83.73,2432200
2021-01-21,84.52,84.88,83.74,84.26,1796500
2021-01-20,83.6,84.72,83.22,84.39,2377500
2021-01-19,85.0,85.39,83.42,83.43,2911439
2021-01-15,83.97,83.97,81.78,82.75,2926500
2021-01-14,82.88,83.91,82.62,83.34,1883200
2021-01-13,84.18,84.44,82.43,82.64,2188500
2021-01-12,82.62,84.28,82.52,83.97,2646300
2021-01-11,80.79,83.12,80.51,82.62,1720990
2021-01-08,82.57,82.67,80.6,81.82,2156900
2021-01-07,82.69,83.17,81.4,82.07,2435600
2021-01-06,80.26,83.12,80.21,82.03,3791000
2021-01-05,78.18,79.75,78.01,79.36,2687600
2021-01-04,80.58,80.96,77.76,78.01,2170962
2020-12-31,80.12,80.48,79.11,80.37,1207700
2020-12-30,79.67,80.23,79.44,79.82,1169900
2020-12-29,80.52,80.56,78.44,79.24,1318300
2020-12-28,80.55,81.2899,79.85,79.87,1589313
2020-12-24,80.3821,80.39,79.585,80.03,318127
2020-12-23,79.99,80.44,79.33,80.02,2551100
2020-12-22,80.3,80.5,79.05,79.33,2860600
2020-12-21,79.03,81.15,78.41,80.57,2923117
2020-12-18,81.15,81.48,80.06,80.91,2016402
2020-12-17,81.6,82.04,80.44,81.15,2010840
2020-12-16,81.97,82.38,80.59,81.28,1852800
2020-12-15,82.72,82.95,80.86,82.44,2611232
2020-12-14,82.82,83.14,80.32,80.41,2774931
2020-12-11,80.5,82.65,80.5,82.43,3276215
2020-12-10,81.35,81.84,80.64,81.36,2990200
2020-12-09,81.37,82.0,80.73,81.6,3746700
2020-12-08,78.82,81.48,78.139,81.37,3277196
2020-12-07,79.83,79.97,78.25,79.17,3949737
2020-12-04,75.58,80.44,75.58,80.1,4772480
2020-12-03,75.94,76.37,75.36,75.48,2582700
2020-12-02,74.55,76.15,74.5,75.9,3035300
2020-12-01,77.95,78.34,75.65,75.77,3076700
2020-11-30,78.0,78.0,75.97,76.82,2488226
2020-11-27,78.73,79.09,77.84,78.16,664100
2020-11-25,79.32,79.46,78.21,78.26,1650000
2020-11-24,78.99,80.19,78.51,79.95,4195500
2020-11-23,76.62,77.99,76.52,77.81,1992414
2020-11-20,77.0,77.05,75.47,75.96,1810700
2020-11-19,76.68,77.36,75.89,77.24,1563300
2020-11-18,76.795,78.11,76.41,76.89,1718273
2020-11-17,77.75,77.88,75.82,76.39,2269800
2020-11-16,77.23,78.14,76.51,77.99,2680347
2020-11-13,74.8,75.91,74.72,75.81,1437115
2020-11-12,74.42,74.75,73.47,74.23,2387300
2020-11-11,77.18,77.4,74.78,74.9,3440300
2020-11-10,76.56,77.91,75.97,77.44,3291200
2020-11-09,75.0,77.56,75.0,76.29,6658885
2020-11-06,70.56,70.7,69.56,70.12,2348900
2020-11-05,69.86,71.23,69.17,70.47,2700700
2020-11-04,68.67,69.92,66.5,68.15,4053500
2020-11-03,68.2,70.87,68.07,70.4,4692000
2020-11-02,65.9,68.35,65.74,67.96,5059200
2020-10-30,64.41,64.81,63.65,64.79,3902900
2020-10-29,64.53,65.5,64.15,64.44,4505500
2020-10-28,65.22,66.15,64.49,64.99,3326000
2020-10-27,68.03,68.03,66.87,66.93,2489088
2020-10-26,69.18,69.18,67.05,67.73,2455634
2020-10-23,70.47,70.85,69.74,70.02,1587497
2020-10-22,69.57,69.87,69.21,69.76,1556800
2020-10-21,69.39,70.32,69.09,69.21,2518100
2020-10-20,70.39,71.09,69.74,70.0,1882800
2020-10-19,70.33,70.73,69.74,69.96,3169139
2020-10-16,70.0,70.8,69.87,70.28,2848200
2020-10-15,68.42,69.6,68.31,69.58,2020600
2020-10-14,68.91,70.14,68.91,69.35,1378474
2020-10-13,69.44,69.98,68.47,68.86,1538459
2020-10-12,70.3,70.47,69.21,69.58,1999871
2020-10-09,69.99,71.2,69.905,69.96,2375210
2020-10-08,69.155,69.58,68.71,69.26,1098100
2020-10-07,68.21,69.07,67.87,68.88,1882800
2020-10-06,67.78,69.13,67.17,67.28,2160900
2020-10-05,66.5,67.84,66.3064,67.59,2071085
2020-10-02,63.26,66.31,63.26,65.55,1703045
2020-10-01,66.23,66.34,64.16,64.63,1788737
2020-09-30,65.62,66.64,65.03,65.57,2687100
2020-09-29,65.7618,65.95,64.71,65.16,1076126
2020-09-28,65.55,66.23,65.19,65.52,1917456
2020-09-25,63.72,64.6275,63.665,64.32,1420202
2020-09-24,63.6417,65.1,63.16,64.38,1412691
2020-09-23,65.21,66.32,63.74,63.87,1333332
2020-09-22,65.12,65.68,64.49,65.23,1670236
2020-09-21,66.62,66.89,64.145,64.98,1974763
2020-09-18,69.15,69.62,67.75,67.84,1900611
2020-09-17,67.7,69.3794,67.23,69.11,2030525
2020-09-16,68.88,69.32,67.5201,68.72,2692182
2020-09-15,68.38,69.53,68.34,68.4,1870499
2020-09-14,67.92,68.815,67.73,68.15,2046401
2020-09-11,67.91,68.46,67.49,67.92,1887630
2020-09-10,68.72,69.1463,67.2,67.49,1664706
2020-09-09,68.5,69.52,68.3,68.7,1256270
2020-09-08,68.97,69.04,67.6,67.77,1994832
2020-09-04,69.76,70.53,68.67,69.53,1882777
2020-09-03,70.78,71.08,68.19,68.7,1879970
2020-09-02,69.89,70.97,69.74,70.67,2358417
2020-09-01,69.45,70.17,69.06,70.13,1991684
2020-08-31,70.5,70.59,69.26,69.44,1589831
2020-08-28,69.58,70.9301,69.31,70.65,2046512
2020-08-27,70.77,71.185,69.14,69.58,2108292
2020-08-26,69.61,70.71,69.042,70.27,2336144
2020-08-25,70.19,70.49,69.13,69.79,1816648
2020-08-24,68.39,69.6299,67.95,69.62,2244595
2020-08-21,67.68,68.04,67.41,67.83,1598509
2020-08-20,67.67,67.97,67.41,67.66,2526081
2020-08-19,68.43,68.85,67.9,68.32,1539263
2020-08-18,68.7504,69.44,68.29,68.36,1966830
