datetime,open,high,low,close,volume
2021-01-29,191.03999,194.94991000000002,177.6801,178.66,1707858
2021-01-28,182.85001,195.7,177.0,193.74001,3469300
2021-01-27,180.0,191.0,175.39,179.02,4465000
2021-01-26,206.21001,209.62,185.22,187.34,4944600
2021-01-25,215.55499,221.42,200.37,202.73,3447564
2021-01-22,208.17999,213.55,204.7,212.07001,2517400
2021-01-21,201.97,214.5,196.64999,212.09,3610400
2021-01-20,203.21001,206.47,196.33,199.39999,2744400
2021-01-19,197.83,204.00999,194.21001,201.28,3841441
2021-01-15,206.53999,208.35001,189.21001,190.59,5225600
2021-01-14,207.03999,216.22,206.5,208.83,2767400
2021-01-13,205.47,208.27,199.64,203.69,2407700
2021-01-12,204.88,207.99001,197.08,206.49001,2502700
2021-01-11,200.39999,208.39,196.12,201.67999,2814816
2021-01-08,217.7,219.97,200.05,207.41,5194200
2021-01-07,209.84,222.42999,209.2,213.75999,6044700
2021-01-06,197.89999,210.2,195.77,203.38,33322300
2021-01-05,175.71001,186.63,173.55,181.48,4601600
2021-01-04,178.7,179.14,167.08,172.24001,3838051
2020-12-31,176.94,183.99001,172.91,175.47,5621500
2020-12-30,171.67999,177.55,171.67999,172.92999,2403700
2020-12-29,175.49001,176.23,164.3,170.2,3146300
2020-12-28,188.452,189.4064,173.67999,175.49001,2677984
2020-12-24,179.76041,184.53999,177.5,181.39,1062465
2020-12-23,181.39999,184.08,174.21001,180.32001,2533400
2020-12-22,174.99001,186.39999,173.0,177.27,3493100
2020-12-21,162.95,172.10001,161.185,170.78,2629709
2020-12-18,163.99001,169.67,163.005,164.62,2269235
2020-12-17,165.52,168.17999,159.0,163.56,2588367
2020-12-16,159.0,163.46001,152.53,163.31,3212800
2020-12-15,147.5,161.55,147.39,160.67999,3799424
2020-12-14,143.0,147.49001,137.7475,145.07001,2174194
2020-12-11,133.0,144.53,133.0,139.91,2896738
2020-12-10,125.67,132.22,125.54,131.21001,1309300
2020-12-09,136.36,136.72,125.87,127.26,2181900
2020-12-08,129.98,135.14,129.41,134.74001,1391195
2020-12-07,130.28999,133.2,127.24,129.32001,1308648
2020-12-04,130.12,136.11,129.23,130.47,2406275
2020-12-03,129.5,133.69,126.29,127.67,1849500
2020-12-02,127.5,130.44,121.7,127.93,2490100
2020-12-01,138.64999,139.52,127.3,128.85001,3347000
2020-11-30,141.95,145.0,133.07001,136.57001,8173786
2020-11-27,142.49001,148.94,137.77,140.56,3654800
2020-11-25,136.21001,141.42,135.13,139.07001,2768800
2020-11-24,135.33,138.7,130.8,136.02,2705400
2020-11-23,132.92999,134.85001,130.45,134.42999,2440784
2020-11-20,131.0,133.78,129.3,129.59,2984400
2020-11-19,126.62,130.95,125.85,128.89,2217200
2020-11-18,126.98,127.48,122.6847,124.92,1717647
2020-11-17,119.57,126.58,118.65,125.12,1859400
2020-11-16,118.21,123.6,116.23,119.93,2173391
2020-11-13,119.4,120.32,115.1,116.57,1614413
2020-11-12,119.95,122.26,115.83,117.21,2059000
2020-11-11,113.99,121.48,113.99,120.43,2934800
2020-11-10,117.27,117.59,108.05,109.39,3169400
2020-11-09,129.53999,129.6077,116.74,117.08,3345462
2020-11-06,123.69,125.64,118.66,122.53,3376400
2020-11-05,111.0,123.29,110.99,120.26,4924400
2020-11-04,99.33,106.36,93.49,106.19,5383800
2020-11-03,100.56,107.38,100.24,104.75,3501600
2020-11-02,99.01,106.04,99.0,103.83,3316529
2020-10-30,100.99,102.12,93.53,98.09,3046800
2020-10-29,103.29,105.53,100.87,102.51,1967500
2020-10-28,97.29,105.87,95.76,102.81,5801900
2020-10-27,103.4,104.42,97.31,98.48,3146634
2020-10-26,98.56,104.29,97.5,103.67,2958413
2020-10-23,106.3535,109.22,100.7,103.34,3144769
2020-10-22,102.26,104.02,92.14,103.46,7404300
2020-10-21,116.9,118.94,100.4,101.53,5482500
2020-10-20,114.88,118.05,112.33,116.14,2895200
2020-10-19,111.485,118.05,110.84,114.69,3303933
2020-10-16,112.75,114.3,108.76,110.84,3850400
2020-10-15,107.25,111.59,105.2,110.71,2383400
2020-10-14,108.1353,111.1,107.092,109.0,2759704
2020-10-13,103.01,107.3441,102.76,106.65,5036696
2020-10-12,110.4,110.41,101.52,104.43,4176626
2020-10-09,107.18,111.27,105.29,109.18,2752201
2020-10-08,109.8,109.8,102.5638,105.51,5676087
2020-10-07,101.5,108.75,100.46,107.82,4962700
2020-10-06,98.06,100.28,95.06,98.57,5767800
2020-10-05,93.0,98.41,92.9275,98.05,4139428
2020-10-02,85.8,92.57,85.16,90.43,5200203
2020-10-01,85.72,89.52,84.41,89.52,3719025
2020-09-30,81.37,84.72,81.27,82.59,3351600
2020-09-29,78.2,83.37,78.2,80.8,3815995
2020-09-28,75.14,79.73,74.71,78.14,3455605
2020-09-25,69.79,73.9,69.5506,73.62,2260844
2020-09-24,69.1623,70.98,67.53,69.41,1933398
2020-09-23,71.74,74.76,69.45,70.27,2629582
2020-09-22,71.0,72.32,67.49,72.23,2891945
2020-09-21,65.51,70.82,65.44,70.72,2762578
2020-09-18,67.92,69.86,65.42,68.3,3823724
2020-09-17,69.68,70.19,65.89,66.87,3115479
2020-09-16,72.792,76.4,72.5464,72.85,2804184
2020-09-15,71.01,73.03,70.5,72.16,2453328
2020-09-14,67.18,69.78,66.31,69.49,2406989
2020-09-11,67.61,68.1,64.2,65.1,2339231
2020-09-10,67.93,70.09,66.0,66.1,2687645
2020-09-09,67.2,69.56,64.87,67.72,3255753
2020-09-08,62.03,67.34,60.17,65.05,3771681
2020-09-04,67.13,68.58,58.7,66.155,5381250
2020-09-03,75.2377,75.48,65.13,67.8,5709468
2020-09-02,80.0,80.44,75.1,77.02,2252091
2020-09-01,77.47,79.5,77.1,78.71,2092177
2020-08-31,76.69,79.5,75.8,77.23,2553192
2020-08-28,74.1407,78.53,73.5401,76.04,3135326
2020-08-27,76.5,76.5,72.0205,73.44,4238414
2020-08-26,76.66,78.5244,74.4,75.24,1724663
2020-08-25,73.3,76.6087,72.5,75.93,2171570
2020-08-24,73.79,75.65,72.24,73.36,1418108
2020-08-21,73.21,74.78,72.81,73.14,1499497
2020-08-20,75.09,75.22,72.2038,73.06,1782466
2020-08-19,75.1,77.3,74.9892,75.49,1801931
2020-08-18,75.24,77.72,72.5339,75.16,1827557
2020-08-17,74.32,76.345,73.74,75.06,1802470
2020-08-14,75.61,76.6886,72.83,73.16,2257427
2020-08-13,70.61,76.44,70.26,74.88,3141702
2020-08-12,68.16,71.7806,67.58,71.19,2571211
2020-08-11,71.19,71.795,67.055,67.3,3400970
2020-08-10,72.6094,74.38,70.35,71.8,2677159
2020-08-07,72.3,75.8,71.1701,72.84,3620900
2020-08-06,75.3047,76.74,71.1,71.37,4240063
2020-08-05,68.97,75.98,67.6,74.99,8274167
2020-08-04,64.83,70.15,64.4,68.95,8428634
