datetime,open,high,low,close,volume
2021-01-29,733.46997,745.495,726.35498,734.22998,142613
2021-01-28,729.0,747.4249900000001,724.11011,738.22998,450101
2021-01-27,737.3200099999999,737.3200099999999,730.0,731.7000099999999,492700
2021-01-26,721.28003,736.0,719.5499900000001,735.23999,369900
2021-01-25,728.46002,728.85828,720.0,723.15997,306938
2021-01-22,720.1799900000001,728.9299900000001,720.1799900000001,721.15997,484900
2021-01-21,727.21997,729.08002,716.76001,719.90002,318300
2021-01-20,718.22998,734.53003,715.0,727.73999,456100
2021-01-19,716.83002,722.98999,711.64362,716.3200099999999,558500
2021-01-15,690.94,709.85999,690.72998,707.76001,549800
2021-01-14,689.0499900000001,692.88,684.9500099999999,689.66998,530100
2021-01-13,681.4500099999999,691.58002,678.77002,690.12,455300
2021-01-12,681.33002,681.76001,660.71997,676.53003,412300
2021-01-11,696.98999,699.9500099999999,681.01001,682.39001,472581
2021-01-08,686.31,698.65002,683.76001,692.46002,624200
2021-01-07,673.21997,684.25,670.3200099999999,678.96997,694800
2021-01-06,685.0,686.53003,663.84998,668.96002,568600
2021-01-05,698.0,698.85999,690.22998,691.53998,473600
2021-01-04,718.34003,719.23999,691.63,692.56,523722
2020-12-31,701.47998,714.9299900000001,697.28003,714.1799900000001,293500
2020-12-30,711.58002,715.66998,698.26001,700.40002,348300
2020-12-29,715.0,716.22998,705.5,708.78003,230800
2020-12-28,707.84998,710.75,703.3200099999999,709.88,246469
2020-12-24,707.94,711.0,702.60498,705.94,85567
2020-12-23,714.91998,719.23999,703.08002,703.08002,342400
2020-12-22,700.0,714.09003,698.08002,713.44,371400
2020-12-21,701.33002,706.39001,697.08002,704.40002,516269
2020-12-18,713.7999900000001,713.7999900000001,704.13,710.65997,312943
2020-12-17,696.37,717.72998,696.37,712.44,376397
2020-12-16,699.48999,702.52002,686.9299900000001,690.19,379100
2020-12-15,696.52002,698.28998,687.4500099999999,694.7999900000001,297012
2020-12-14,688.97998,699.66998,687.00238,690.03003,453967
2020-12-11,685.46002,689.6950099999999,672.255,688.87,348948
2020-12-10,676.03003,689.25,676.03003,686.98999,416500
2020-12-09,702.90997,703.89001,675.84003,678.40002,596900
2020-12-08,705.0,705.0,692.125,694.9500099999999,337155
2020-12-07,714.96002,717.76001,694.38,697.5499900000001,642601
2020-12-04,692.90002,712.96002,690.7000099999999,709.06,451381
2020-12-03,701.72998,701.72998,689.78003,692.65002,669100
2020-12-02,710.0,712.9299900000001,688.14001,690.62,552200
2020-12-01,706.59003,714.85999,700.03003,712.58002,798100
2020-11-30,701.59998,706.72998,695.44,697.78998,1021745
2020-11-27,701.03998,705.7000099999999,691.63,700.52002,469700
2020-11-25,698.98999,705.34998,686.77002,693.53998,878300
2020-11-24,714.9500099999999,715.84998,690.06,692.38,1209900
2020-11-23,727.2000099999999,731.9299900000001,709.38,711.46002,518851
2020-11-20,732.96997,742.3200099999999,725.5499900000001,728.12,538300
2020-11-19,737.72998,737.72998,727.75,730.59003,444500
2020-11-18,747.89001,758.09998,733.37,734.3200099999999,658500
2020-11-17,750.60999,755.0,743.8200099999999,751.1799900000001,512200
2020-11-16,762.5700099999999,762.5700099999999,736.2000099999999,755.09003,404951
2020-11-13,764.59998,766.29993,755.31,759.89001,233854
2020-11-12,767.12,767.21997,754.33002,760.31,390100
2020-11-11,733.71997,766.0499900000001,731.0,760.84998,554800
2020-11-10,743.13,743.87,716.03003,726.77002,770200
2020-11-09,800.40997,808.02002,740.58002,743.21002,844714
2020-11-06,790.71997,797.27002,781.25,794.39001,471500
2020-11-05,790.0,795.34003,779.75,781.0499900000001,335200
2020-11-04,759.34998,787.0,758.71997,777.28998,363800
2020-11-03,742.59998,755.33002,738.37,752.28003,313800
2020-11-02,740.25,748.0,730.10999,738.3200099999999,407996
2020-10-30,731.46002,739.71002,719.85999,731.23999,413400
2020-10-29,767.73999,767.73999,737.79498,740.64001,482592
2020-10-28,763.19,771.6799900000001,755.01001,756.0700099999999,486800
2020-10-27,778.7999900000001,778.7999900000001,767.10999,773.78998,341298
2020-10-26,777.0,777.0,762.90997,770.47998,293258
2020-10-23,778.0,781.09003,769.85999,776.39001,301028
2020-10-22,806.12,809.4299900000001,776.34003,777.5499900000001,419000
2020-10-21,802.78003,806.9299900000001,797.52002,803.15997,307600
2020-10-20,810.78003,813.34998,800.0,804.94,300100
2020-10-19,820.14001,822.31,808.34998,810.0,283995
2020-10-16,816.26001,826.79498,812.08002,817.71002,254501
2020-10-15,814.01001,822.0,811.46997,814.83002,255200
2020-10-14,823.89001,828.10999,812.60999,817.40997,292464
2020-10-13,838.26001,838.26001,822.245,825.38,222514
2020-10-12,832.88,839.7700199999999,824.08002,835.0,301533
2020-10-09,830.10999,834.28003,825.55109,830.06,275815
2020-10-08,803.03998,835.59003,802.02502,824.0,545764
2020-10-07,790.8200099999999,805.77002,789.60999,803.26001,347200
2020-10-06,787.41998,796.94,775.0,790.83002,394500
2020-10-05,777.78998,788.27002,763.28998,788.26001,301118
2020-10-02,764.38,779.81,760.34003,778.0,202613
2020-10-01,764.26001,771.60999,756.96002,768.35999,277375
2020-09-30,767.5700099999999,770.15997,752.6799900000001,760.13,442200
2020-09-29,764.81,768.59998,760.42041,763.46002,182486
2020-09-28,766.96997,771.4249900000001,761.60498,764.81,326984
2020-09-25,733.01001,751.39001,733.01001,751.3200099999999,3033
2020-09-24,735.14001,744.83002,730.98999,733.72998,0
2020-09-23,743.58002,753.33002,730.14001,730.66998,0
2020-09-22,752.19,756.22998,745.90997,750.0,0
2020-09-21,750.0,751.3200099999999,730.01001,745.5499900000001,184272
2020-09-18,754.73999,757.28998,747.0700099999999,751.84998,119697
2020-09-17,763.5,766.52002,744.72498,755.8200099999999,133537
2020-09-16,778.81,783.39001,766.53003,767.5700099999999,136696
2020-09-15,759.0700099999999,773.3049900000001,759.0700099999999,768.4500099999999,113423
2020-09-14,751.69,761.09998,747.0,756.3200099999999,101942
2020-09-11,747.10999,750.76001,738.12,747.21997,118655
2020-09-10,752.22998,753.81,742.10999,742.10999,155083
2020-09-09,749.0,760.88,746.53497,753.41998,126933
2020-09-08,743.59998,753.44,738.08002,741.0499900000001,173417
2020-09-04,762.245,767.40002,738.1799900000001,752.1799900000001,207628
2020-09-03,789.42297,792.97998,755.2999900000001,762.4500099999999,257284
2020-09-02,782.59998,801.97998,776.64001,799.60999,232463
2020-09-01,789.78998,793.0,773.5499900000001,789.7999900000001,134221
2020-08-31,790.0499900000001,795.60999,788.3894,789.78003,156345
2020-08-28,786.64001,788.06,778.13,787.02002,146359
2020-08-27,786.46997,795.495,783.6950099999999,789.65002,109058
2020-08-26,781.5700099999999,782.2999900000001,770.38501,782.0,159686
2020-08-25,776.3200099999999,782.06,771.47998,778.73999,120544
2020-08-24,781.48999,782.58002,763.2000099999999,772.46997,143951
2020-08-21,787.71002,787.71002,774.69,782.16998,137788
2020-08-20,779.53003,787.96002,779.53003,784.88,122820
2020-08-19,794.63,794.63,774.22998,778.71002,161822
2020-08-18,772.0,789.97998,770.46002,786.84998,241587
2020-08-17,758.35999,773.01001,758.35999,772.08002,216489
2020-08-14,771.2000099999999,775.10999,759.10999,762.01001,101188
2020-08-13,770.78998,776.58002,767.94,770.12,115765
2020-08-12,764.6799900000001,776.21002,756.62,772.98999,199572
2020-08-11,781.46002,781.46002,754.91998,758.16998,317977
2020-08-10,799.21997,803.21997,780.59998,782.59003,104932
2020-08-07,791.69,798.21997,788.44,791.7000099999999,116822
2020-08-06,787.66998,793.78003,786.46997,792.06,136603
2020-08-05,799.0,799.0,786.23999,794.0499900000001,123556
2020-08-04,780.03003,794.66998,775.3200099999999,793.4299900000001,132717
2020-08-03,783.40503,785.46997,775.185,779.12,157553
2020-07-31,774.14001,785.78998,771.33002,785.78003,167909
2020-07-30,777.5,787.53003,770.0,777.9500099999999,196963
2020-07-29,759.0499900000001,770.88,756.72998,770.0,168575
2020-07-28,762.39001,762.39001,748.495,752.53003,227992
2020-07-27,737.31,756.09003,737.31,754.0,191088
2020-07-24,734.63,739.51001,730.21997,737.39001,89325
2020-07-23,738.64001,744.46002,728.27002,736.69,195241
2020-07-22,729.75,737.76501,725.0,735.63,181889
2020-07-21,733.5700099999999,735.0,724.46002,726.78003,44105
2020-07-20,724.77002,734.59998,722.48999,731.84003,49069
2020-07-17,715.40997,730.60999,709.31,724.22998,67403
2020-07-16,709.91998,717.0,707.2000099999999,714.09003,0
2020-07-15,723.41998,724.77002,711.22998,713.88,13355
2020-07-14,705.59003,718.39001,698.7000099999999,716.90997,0
2020-07-13,719.44,723.53998,698.90997,701.12,0
2020-07-10,732.31,732.90002,714.51001,716.59003,0
2020-07-09,722.0,732.84003,715.33002,728.69,0
2020-07-08,726.8200099999999,727.5499900000001,715.19,720.34998,0
2020-07-07,722.40002,729.38,719.75,721.0700099999999,31432
2020-07-06,723.46997,728.5,714.98999,722.66998,9087
2020-07-02,733.58002,733.58002,717.12,718.40997,0
2020-07-01,703.03998,730.46997,701.2000099999999,728.16998,563371
2020-06-30,698.5,704.9299900000001,690.53003,702.2999900000001,443543
2020-06-26,697.14001,698.01001,685.0,692.19,142337
2020-06-25,684.52002,698.2000099999999,683.64001,698.2000099999999,369210
2020-06-24,690.0,694.56,678.4249900000001,689.5700099999999,139867
2020-06-23,700.0,704.98999,688.96002,694.7000099999999,120859
2020-06-22,709.16998,710.16998,692.71002,697.14001,144376
2020-06-19,713.41998,714.0,688.56,709.78998,228834
2020-06-18,696.5499900000001,699.38,689.28003,696.09003,103222
2020-06-17,702.09003,704.40002,694.21002,698.0,115600
2020-06-16,702.0,710.0,687.89001,696.63,186836
2020-06-15,661.83002,695.62,661.83002,695.35999,142418
2020-06-12,668.69,680.0,663.44,677.35999,162655
2020-06-11,693.19,693.19,659.78998,661.0,159203
2020-06-10,695.22998,699.66998,680.59003,695.5,149125
2020-06-09,679.88,694.065,675.40002,691.21997,151002
2020-06-08,661.6799900000001,676.62,661.6799900000001,676.23999,129533
2020-06-05,662.73999,675.09003,647.76001,673.5,828400
2020-06-04,680.85999,688.03003,660.19,665.1799900000001,508300
2020-06-03,691.69,696.02002,682.59003,688.98999,436700
2020-06-02,718.33002,718.33002,687.94,696.69,621400
2020-06-01,699.87,716.3200099999999,696.83002,710.16998,447200
2020-05-29,697.1799900000001,700.48999,685.37,697.63,589300
2020-05-28,681.66998,694.7999900000001,676.73999,693.34998,441200
2020-05-27,666.56,676.34998,646.56,675.53998,555400
2020-05-26,681.09998,685.0,656.59003,658.01001,573200
2020-05-22,643.10999,671.40997,641.91998,670.02002,503000
2020-05-21,650.0,653.77002,639.4299900000001,644.40002,512300
2020-05-20,653.53998,656.21002,647.10999,655.47998,590200
2020-05-19,663.0,669.97998,649.2000099999999,650.13,455600
2020-05-18,680.75,680.75,659.39001,662.38,586600
2020-05-15,656.88,662.34998,646.58002,658.65997,564600
2020-05-14,679.62,682.16998,645.90002,659.26001,800500
2020-05-13,663.47998,686.33002,663.25,678.7999900000001,1572000
2020-05-12,668.51001,676.2999900000001,660.0,663.65002,1527300
2020-05-11,672.46997,686.89001,670.4500099999999,678.0,558900
2020-05-08,679.89001,686.98999,671.34998,678.15997,439400
2020-05-07,662.01001,679.15002,656.0,675.34003,663100
2020-05-06,680.40997,701.15002,680.25,684.19,388300
2020-05-05,689.38,692.59998,672.51001,686.39001,321600
2020-05-04,664.51001,677.0,660.91998,675.96997,515200
2020-05-01,670.34003,680.89001,665.23999,670.84998,346700
2020-04-30,675.64001,686.56,663.77002,675.2000099999999,752000
2020-04-29,685.5,688.7999900000001,672.09998,679.3200099999999,605800
2020-04-28,713.60999,715.75,682.28998,683.76001,374300
2020-04-27,691.87,707.02002,685.23999,702.0,349800
