datetime,open,high,low,close,volume
2021-01-29,61.47,63.07,61.09,61.93,1344282
2021-01-28,60.86,63.39,60.63,62.36,2493700
2021-01-27,62.11,62.83,60.54,60.8,2372300
2021-01-26,61.81,63.1,61.67,62.63,2258400
2021-01-25,61.22,62.17,60.59,61.67,1603625
2021-01-22,61.5,62.21,61.18,61.56,1721700
2021-01-21,61.11,62.0,60.61,61.81,2282400
2021-01-20,60.31,62.43,59.88,61.67,2321300
2021-01-19,61.96,61.96,60.2638,60.31,1945920
2021-01-15,60.46,61.68,60.08,61.59,3297400
2021-01-14,59.93,60.88,59.57,60.39,3212700
2021-01-13,58.71,59.78,58.37,59.57,1679700
2021-01-12,58.05,58.78,57.43,58.55,2550500
2021-01-11,58.15,58.37,57.075,58.05,2567082
2021-01-08,57.99,58.39,57.59,58.26,2095600
2021-01-07,58.29,58.33,57.52,57.9,2243700
2021-01-06,57.6,59.05,57.3,58.61,2667600
2021-01-05,57.44,57.72,56.79,57.05,2481700
2021-01-04,59.38,60.08,57.22,57.5,2771880
2020-12-31,58.64,59.33,57.82,59.28,1423100
2020-12-30,58.39,59.16,58.35,58.96,1357300
2020-12-29,59.52,59.82,58.29,58.36,2182000
2020-12-28,58.38,59.45,58.12,59.42,1547953
2020-12-24,57.5,58.27,57.05,58.2,606740
2020-12-23,58.0,58.76,57.02,57.07,1332400
2020-12-22,57.88,58.0,57.27,57.85,2737400
2020-12-21,56.65,57.96,56.08,57.86,3649060
2020-12-18,59.685,59.82,57.15,57.65,2222157
2020-12-17,59.81,60.2,58.64,59.67,1779899
2020-12-16,59.2,60.2,58.25,59.05,4229000
2020-12-15,58.23,59.33,57.42,59.33,2193375
2020-12-14,59.37,59.9,57.9,57.9,2059197
2020-12-11,59.425,59.98,58.515,58.96,1952436
2020-12-10,60.8,61.58,59.76,59.79,2850600
2020-12-09,62.56,62.81,60.71,61.27,2260600
2020-12-08,62.11,62.84,61.925,62.4,1653734
2020-12-07,62.81,63.41,62.44,62.71,1942288
2020-12-04,62.39,63.555,62.3101,63.38,2287688
2020-12-03,60.46,62.37,60.19,61.95,3164200
2020-12-02,58.99,60.91,58.69,60.36,2927800
2020-12-01,58.97,59.46,58.44,58.99,2048700
2020-11-30,59.09,59.34,57.57,57.92,5879742
2020-11-27,60.31,60.35,58.8,59.2,1470000
2020-11-25,61.0,61.16,60.09,60.45,1706700
2020-11-24,61.37,62.31,60.67,61.28,3999000
2020-11-23,61.0,61.38,60.04,60.33,2618174
2020-11-20,59.95,60.71,59.77,60.56,2894900
2020-11-19,59.59,60.21,58.56,59.86,3092200
2020-11-18,62.68,63.01,59.94,59.94,1655979
2020-11-17,61.84,62.93,60.92,62.5,3169600
2020-11-16,61.97,62.94,60.72,62.75,3016817
2020-11-13,58.7,60.43,58.7,60.16,1536104
2020-11-12,59.21,59.53,57.75,58.52,2484000
2020-11-11,61.0,61.45,59.0,59.59,4562400
2020-11-10,59.63,62.78,59.63,61.44,9555200
2020-11-09,57.6,67.42,57.58,59.28,10968012
2020-11-06,51.97,52.32,51.14,51.52,2433200
2020-11-05,51.08,52.52,50.71,52.06,3021600
2020-11-04,52.13,52.18,50.45,50.76,2851900
2020-11-03,50.0,52.97,50.0,52.53,3740200
2020-11-02,47.2,49.355,46.52,49.29,3289258
2020-10-30,46.24,47.14,46.14,46.98,2926500
2020-10-29,46.0,46.76,45.43,46.26,4435500
2020-10-28,48.39,48.39,45.54,46.24,6954800
2020-10-27,50.765,50.95,49.7,49.7,1548321
2020-10-26,51.07,51.29,49.81,50.7,2124981
2020-10-23,51.33,51.44,50.42,51.31,2154451
2020-10-22,50.61,50.99,50.11,50.75,3159000
2020-10-21,50.51,51.19,50.28,50.51,2626100
2020-10-20,51.23,51.39,50.68,50.91,1683500
2020-10-19,52.12,52.3,50.66,50.71,1709465
2020-10-16,52.51,52.65,51.62,51.85,2609100
2020-10-15,52.48,53.21,52.12,52.31,1820800
2020-10-14,53.43,53.58,52.48,52.82,1242430
2020-10-13,54.63,55.34,53.34,53.48,1246923
2020-10-12,55.74,55.8,54.72,55.35,1175260
2020-10-09,56.4,56.405,55.24,55.65,1382268
2020-10-08,55.1,56.2,55.085,56.18,1403121
2020-10-07,55.45,55.6,54.33,54.76,1748400
2020-10-06,55.81,56.16,54.87,55.19,2367100
2020-10-05,56.0,56.41,54.58,55.6,2481355
2020-10-02,52.31,55.44,52.03,55.09,3107420
2020-10-01,51.53,53.5,51.32,53.44,2307702
2020-09-30,51.53,51.95,50.69,51.33,3102100
2020-09-29,52.3244,52.45,50.63,51.09,1823056
2020-09-28,52.4,52.91,51.87,52.54,2162680
2020-09-25,50.7,51.58,50.145,51.57,2419507
2020-09-24,50.6027,51.27,50.01,50.52,2476971
2020-09-23,52.66,53.3086,51.16,51.26,2727900
2020-09-22,52.12,53.215,52.01,52.66,2735421
2020-09-21,53.56,53.93,51.89,52.02,2559471
2020-09-18,55.48,56.0,54.27,54.33,2023728
2020-09-17,56.38,57.32,55.39,55.79,1895188
2020-09-16,56.67,57.38,56.42,56.86,1968577
2020-09-15,56.855,57.4,55.94,56.31,1850959
2020-09-14,55.0851,57.13,55.06,56.93,1724292
2020-09-11,55.98,55.98,54.25,54.66,2091446
2020-09-10,56.51,56.69,55.165,55.81,2753746
2020-09-09,57.41,58.14,56.5,56.83,1898751
2020-09-08,57.76,57.95,56.815,57.38,1657320
2020-09-04,57.79,58.81,57.25,58.08,1812959
2020-09-03,57.99,59.095,57.04,57.39,1578633
2020-09-02,56.825,57.76,56.36,57.68,1432473
2020-09-01,56.83,56.83,55.77,56.78,1960400
2020-08-31,56.875,56.875,56.01,56.446,1454545
2020-08-28,56.8,57.04,56.09,57.01,1431087
2020-08-27,55.19,56.78,55.15,56.62,1587196
2020-08-26,56.12,56.2,54.63,54.91,1386625
2020-08-25,55.82,56.58,55.68,56.55,1465180
2020-08-24,54.6,56.02,53.96,55.91,1778409
2020-08-21,55.27,55.57,53.81,54.68,1659061
2020-08-20,54.03,55.5,53.92,55.25,1388242
2020-08-19,55.11,55.11,53.94,54.16,2172395
2020-08-18,55.53,55.53,54.45,55.37,1605329
2020-08-17,54.8304,55.4,54.04,55.4,1886413
2020-08-14,53.45,55.07,53.03,54.39,1818528
2020-08-13,54.41,54.9,53.35,53.49,1671057
2020-08-12,55.28,55.28,54.065,54.82,1986355
2020-08-11,55.91,56.28,54.48,54.75,2021429
2020-08-10,55.49,55.965,54.8457,55.36,1997848
2020-08-07,53.56,55.4967,53.36,55.2,2707348
2020-08-06,53.32,54.04,53.23,53.66,1738915
2020-08-05,53.41,54.32,53.19,53.32,2349775
2020-08-04,52.37,53.7,51.69,53.46,3159825
2020-08-03,52.83,53.0,52.16,52.33,1971520
2020-07-31,53.99,53.99,52.58,53.63,1896797
2020-07-30,52.89,54.015,52.73,53.95,1768321
2020-07-29,54.66,54.82,52.67,53.6,2809717
2020-07-28,53.13,55.06,53.08,54.66,2212427
2020-07-27,54.04,54.04,52.72,53.33,1696484
2020-07-24,54.83,54.97,53.83,54.35,2957750
2020-07-23,55.355,55.92,54.085,54.85,1772252
2020-07-22,54.145,55.89,53.79,55.7,1941117
2020-07-21,55.33,55.815,54.455,54.56,2338382
2020-07-20,56.5,56.8,55.035,55.16,3091138
2020-07-17,57.255,57.5,56.7,56.98,1285701
2020-07-16,57.41,57.7,56.9,57.22,301721
2020-07-15,57.95,58.075,57.316,57.72,216291
2020-07-14,56.945,58.045,56.6,57.03,188758
2020-07-13,56.86,57.45,56.47,57.03,193620
2020-07-10,56.76,57.5,56.49,56.7,544010
2020-07-09,57.405,57.575,56.32,56.73,236631
2020-07-08,57.61,57.83,57.22,57.48,447492
2020-07-07,58.66,59.07,57.52,57.61,398563
2020-07-06,62.01,62.02,59.36,59.58,243440
2020-07-02,61.695,62.19,60.21,60.6,320074
2020-07-01,58.94,60.94,58.545,60.83,1777426
2020-06-30,57.8,58.98,57.35,58.82,3317000
2020-06-29,57.16,57.7,56.31,57.67,2223726
2020-06-26,58.19,58.61,56.78,57.0,3305400
2020-06-25,57.08,58.4799,56.87,58.43,509719
2020-06-24,57.89,58.35,56.65,57.53,1066476
2020-06-23,59.91,59.91,58.36,58.77,603050
2020-06-22,59.615,59.91,58.89,59.2962,551721
2020-06-19,62.465,62.52,59.56,59.61,966104
2020-06-18,61.93,62.61,61.28,61.94,816695
2020-06-17,64.62,65.46,62.46,62.53,438409
2020-06-16,65.975,66.43,64.07,64.7,608606
2020-06-15,61.081,64.21,61.081,63.34,689175
2020-06-12,63.765,63.91,60.865,63.56,1624771
2020-06-11,62.055,62.775,61.11,61.68,782225
2020-06-10,65.14,65.66,63.64,64.62,483338
2020-06-09,65.87,66.36,65.0,65.4,629478
2020-06-08,67.9293,68.48,66.39,68.17,889199
2020-06-05,64.33,66.72,64.33,66.4,4172300
2020-06-04,61.2,62.22,60.05,61.66,3720700
2020-06-03,61.19,62.31,60.96,61.63,6278700
2020-06-02,61.69,61.83,60.31,60.46,3076700
2020-06-01,60.54,61.61,59.8,61.1,3035300
2020-05-29,60.4,60.99,59.62,60.56,5723700
2020-05-28,61.25,61.28,59.57,60.87,4583200
2020-05-27,62.3,62.39,59.39,60.13,4037600
2020-05-26,59.47,61.21,58.93,60.27,3796700
2020-05-22,58.02,58.26,56.79,57.4,2835300
2020-05-21,58.71,59.6,57.89,57.93,2463200
2020-05-20,58.5,59.47,57.67,58.93,3141400
2020-05-19,59.96,60.33,57.7,57.72,3056400
2020-05-18,59.24,61.27,59.22,60.46,2779600
2020-05-15,57.08,57.33,55.49,57.13,5298400
2020-05-14,57.52,57.87,55.8,57.52,3291300
2020-05-13,59.62,60.19,58.46,58.62,3524500
2020-05-12,63.85,64.04,59.61,60.11,3823600
2020-05-11,64.66,64.66,62.27,63.51,2387200
2020-05-08,64.22,65.07,63.2,64.22,2169300
2020-05-07,61.88,64.1,61.16,63.05,5138300
2020-05-06,62.67,63.41,60.82,61.02,2807300
2020-05-05,63.21,63.56,62.04,62.41,2763300
2020-05-04,61.56,62.55,60.15,62.5,2262600
2020-05-01,63.34,64.09,62.06,62.31,2073100
2020-04-30,65.09,65.22,63.56,65.06,1843100
2020-04-29,65.69,67.08,64.55,65.82,2047000
