datetime,open,high,low,close,volume
2021-01-29,88.49,89.19,87.55,87.72,400081
2021-01-28,88.72,91.23,88.55,89.14,1464800
2021-01-27,89.12,90.93,88.33,88.53,1981200
2021-01-26,90.01,90.46,88.84,89.89,1079500
2021-01-25,87.1,90.3,87.0,90.29,1390967
2021-01-22,86.55,88.01,86.12,87.41,1221000
2021-01-21,87.24,87.53,86.5,87.13,1086600
2021-01-20,86.53,87.86,86.08,87.62,1577700
2021-01-19,89.0,89.19,87.02,87.14,1640497
2021-01-15,89.16,90.14,87.89,88.57,2065100
2021-01-14,90.13,90.69,87.1,89.57,2001600
2021-01-13,89.7,92.21,89.22,90.16,2076500
2021-01-12,89.07,90.0,88.4,89.49,1197600
2021-01-11,89.66,90.33,88.75,89.21,1285871
2021-01-08,88.53,90.46,88.42,90.33,1621400
2021-01-07,89.08,89.46,88.1,88.55,1757600
2021-01-06,85.36,89.76,85.21,89.13,2920400
2021-01-05,84.31,85.28,84.23,85.12,2209200
2021-01-04,86.66,86.93,83.95,84.51,1610715
2020-12-31,85.48,86.61,84.99,86.51,1102100
2020-12-30,84.8,85.83,84.8,85.33,838700
2020-12-29,85.52,85.93,84.94,85.19,1221500
2020-12-28,84.66,85.1,84.29,85.04,1221891
2020-12-24,82.92,84.15,82.815,84.15,681805
2020-12-23,84.17,84.4,82.9,82.92,1609600
2020-12-22,83.92,84.21,83.18,83.57,1905700
2020-12-21,83.37,83.88,82.17,83.71,1693297
2020-12-18,85.35,86.46,84.1,84.69,1685293
2020-12-17,85.43,86.63,85.43,85.77,1355898
2020-12-16,87.03,87.79,85.3,85.45,1872200
2020-12-15,85.98,87.08,85.2,86.63,966188
2020-12-14,86.48,87.61,85.39,85.46,1133485
2020-12-11,85.59,86.125,85.03,85.79,859666
2020-12-10,86.19,86.84,85.1,85.69,1432400
2020-12-09,86.38,86.56,85.32,86.02,945500
2020-12-08,85.905,86.8651,85.56,86.37,609192
2020-12-07,85.19,87.13,85.01,86.74,1406632
2020-12-04,86.81,87.13,84.7,85.54,1384548
2020-12-03,87.86,88.1,86.46,86.81,997000
2020-12-02,87.95,88.33,87.1,88.15,1415100
2020-12-01,87.92,89.16,87.55,88.22,1777000
2020-11-30,87.86,88.4,86.54,87.51,1916038
2020-11-27,88.5,88.68,86.94,87.93,633500
2020-11-25,87.75,88.49,86.4,88.43,1620200
2020-11-24,88.56,88.76,86.91,87.47,1355400
2020-11-23,88.84,89.11,87.475,87.79,930962
2020-11-20,88.17,89.41,87.82,88.63,1395200
2020-11-19,89.51,89.83,87.35,88.19,1765700
2020-11-18,92.3,92.36,89.59,89.73,801892
2020-11-17,94.02,94.24,91.39,91.75,961100
2020-11-16,94.21,94.54,92.45,94.43,936318
