datetime,open,high,low,close,volume
2021-01-29,117.83,121.475,116.755,116.76,1252108
2021-01-28,115.92,119.71,115.52,118.29,1537100
2021-01-27,118.68,118.91,114.01,114.86,2061500
2021-01-26,122.53,122.61,120.5,120.74,1140700
2021-01-25,123.96,124.23,121.29,121.82,1598899
2021-01-22,124.43,125.22,122.93,124.43,1405700
2021-01-21,125.93,126.87,124.9,125.13,1348400
2021-01-20,125.55,126.49,124.37,125.98,1698500
2021-01-19,124.5,126.955,124.01,125.5,2057460
2021-01-15,122.88,123.4,121.0,123.17,2590400
2021-01-14,126.23,126.6,124.19,124.62,4047400
2021-01-13,127.91,128.34,125.3,125.41,2343700
2021-01-12,126.99,128.61,126.16,128.34,1479700
2021-01-11,125.2,127.77,125.1323,126.96,1366743
2021-01-08,129.28,129.89999,125.14,126.88,2695400
2021-01-07,127.79,130.0,126.43,129.09,2585300
2021-01-06,122.31,128.36,122.16,126.45,3083000
2021-01-05,118.32,120.54,118.18,120.01,1217200
2021-01-04,120.3,121.58,117.87,118.75,1908409
2020-12-31,119.27,120.4,118.73,120.14,1056900
2020-12-30,117.87,119.6,117.55,119.3,1288400
2020-12-29,118.24,118.53,116.04,117.16,874300
2020-12-28,119.07,119.96,117.66,117.72,1048373
2020-12-24,117.1972,118.075,116.04,118.07,413516
2020-12-23,117.51,118.66,116.98,117.02,1109400
2020-12-22,117.18,117.63,115.73,116.61,1552700
2020-12-21,115.18,117.545,113.95,116.98,2062739
2020-12-18,115.29,116.48,114.3,116.02,2024560
2020-12-17,115.89,116.09,114.13,115.29,1433345
2020-12-16,116.6,116.69,115.07,115.37,1610600
2020-12-15,114.92,117.13,113.79,116.52,1661394
2020-12-14,115.97,116.47,113.83,113.84,1732349
2020-12-11,114.255,115.9625,114.255,115.55,1005334
2020-12-10,117.13,117.13,114.77,115.15,1401500
2020-12-09,118.42,118.99,116.8,117.89,1510800
2020-12-08,117.0,118.535,116.71,117.85,928751
2020-12-07,118.45,118.56,116.97,117.37,1310403
2020-12-04,116.96,119.655,116.94,118.79,1111805
2020-12-03,118.79,119.44,116.4,116.73,3257200
2020-12-02,119.61,120.99,117.99,118.92,2101200
2020-12-01,122.58,123.43,120.61,120.7,2483200
2020-11-30,121.8,122.15,120.01,121.11,3122793
2020-11-27,122.7,122.85,121.26,121.9,1039900
2020-11-25,122.64,122.64,120.71,122.19,1774200
2020-11-24,121.58,123.67,120.69,123.25,2709100
2020-11-23,118.3,120.34,118.06,120.26,2192554
2020-11-20,118.23,118.73,117.01,117.4,2182300
2020-11-19,117.58,118.93,114.91,118.12,2244500
2020-11-18,116.09,118.045,115.66,116.73,1042962
2020-11-17,116.19,116.91,114.45,116.07,1307500
2020-11-16,116.8,117.91,114.67,117.5,1876996
2020-11-13,113.935,115.225,113.49,114.45,1264696
2020-11-12,113.61,114.16,112.37,113.32,1159200
2020-11-11,116.99,117.0,113.2,114.07,2120700
2020-11-10,113.66,115.82,113.23,114.86,1992500
2020-11-09,116.12,119.48,113.42,113.5,2922521
2020-11-06,109.84,111.18,109.25,109.96,1212500
2020-11-05,107.78,110.49,107.37,109.81,1975800
2020-11-04,110.2,110.2,104.34,105.9,2873600
2020-11-03,109.26,111.99,106.92,111.25,2345000
2020-11-02,105.76,107.71,105.25,107.34,2197425
2020-10-30,103.86,104.68,102.28,103.79,1494400
2020-10-29,101.79,105.15,101.52,104.22,1148400
2020-10-28,103.14,104.91,101.84,102.31,1446600
2020-10-27,107.7099,107.7099,105.18,105.38,779573
2020-10-26,108.25,108.709,105.7701,107.42,1132801
2020-10-23,110.7,111.65,109.7,109.81,799207
2020-10-22,108.74,110.45,108.74,109.88,1199700
2020-10-21,108.31,110.06,108.24,108.28,985600
2020-10-20,108.6,110.65,108.12,108.74,1069800
2020-10-19,109.46,109.855,107.33,107.89,1207694
2020-10-16,109.36,111.19,108.81,109.26,1520200
2020-10-15,106.97,108.7,106.64,108.63,955600
2020-10-14,107.62,109.46,107.62,108.19,770828
2020-10-13,107.815,108.53,106.87,107.6,1158633
2020-10-12,108.61,109.63,108.0,108.21,1196296
2020-10-09,108.04,109.19,107.3,107.54,1230742
2020-10-08,107.25,107.92,106.23,107.48,809980
2020-10-07,105.79,107.13,105.46,106.95,1479400
2020-10-06,105.31,106.79,104.33,104.44,1330600
2020-10-05,103.88,105.47,103.6,105.09,1243721
2020-10-02,99.01,104.21,98.985,102.69,1667332
2020-10-01,102.7,103.205,99.66,100.59,1028427
2020-09-30,101.71,103.65,100.95,102.03,1664800
2020-09-29,102.35,102.46,100.87,101.18,819208
2020-09-28,101.53,103.5167,101.2,102.34,1504826
2020-09-25,98.88,100.745,98.54,99.95,1176250
2020-09-24,98.705,100.77,98.11,99.63,1219523
2020-09-23,99.725,101.05,98.68,98.78,1606886
2020-09-22,97.39,99.5583,97.18,99.3,1417404
2020-09-21,101.22,101.52,96.25,97.39,1613136
2020-09-18,105.12,105.8,103.08,103.39,1256734
2020-09-17,103.31,105.47,102.09,104.99,847455
2020-09-16,103.53,105.385,103.0,104.41,1495400
2020-09-15,103.8049,104.54,102.79,102.88,987527
2020-09-14,103.45,103.92,102.63,103.18,1198689
2020-09-11,100.98,103.41,100.98,102.53,725037
2020-09-10,102.89,103.98,100.64,101.01,1125022
2020-09-09,101.38,103.7,101.2,102.57,1077103
2020-09-08,101.331,102.18,99.87,100.49,1056729
2020-09-04,103.85,104.55,101.825,102.56,1278503
2020-09-03,105.105,105.84,101.5,102.14,2532475
2020-09-02,103.085,106.07,103.085,105.58,1151768
2020-09-01,101.63,103.52,101.33,103.43,957800
2020-08-31,103.3499,103.49,101.76,102.0,910573
2020-08-28,102.03,103.57,101.51,103.46,844619
2020-08-27,102.8885,103.23,101.4671,102.09,770961
2020-08-26,102.28,102.82,101.44,102.41,909980
2020-08-25,103.485,103.8164,101.82,102.82,1077003
2020-08-24,101.3,102.89,100.8368,102.89,1375248
2020-08-21,99.42,101.185,99.3429,100.59,1421736
2020-08-20,99.49,100.19,99.055,99.47,946672
2020-08-19,100.575,101.5,99.53,100.48,1101443
2020-08-18,100.98,101.365,100.045,100.72,991498
2020-08-17,101.28,102.2,100.31,100.9,1322893
2020-08-14,100.59,101.84,100.35,100.85,956991
2020-08-13,100.9874,101.92,100.64,101.47,1326406
2020-08-12,103.225,103.45,102.11,102.52,2242299
2020-08-11,100.4995,103.73,100.4995,102.12,2229617
2020-08-10,97.82,99.95,97.62,99.76,1293679
2020-08-07,96.405,97.85,95.9601,97.77,897829
2020-08-06,96.295,96.765,95.54,96.5,705888
2020-08-05,95.335,96.8,95.335,96.31,1140854
2020-08-04,94.725,94.79,93.27,94.65,806473
2020-08-03,93.82,95.49,93.32,94.87,1096441
2020-07-31,94.105,94.17,91.73,93.07,1217668
2020-07-30,96.875,96.875,93.4,94.46,1192503
2020-07-29,95.705,97.53,93.84,96.83,1806288
2020-07-28,94.7563,95.18,93.3,93.44,1182028
