datetime,open,high,low,close,volume
2021-01-29,95.31,96.32,94.39,94.96,762943
2021-01-28,93.61,97.09,93.61,95.87,1938800
2021-01-27,93.92,95.08,92.59,93.61,2305500
2021-01-26,95.04,95.45,94.26,94.69,1582500
2021-01-25,93.4,95.5,93.19,94.75,1469917
2021-01-22,93.31,94.29,92.13,93.97,1173800
2021-01-21,94.8,95.03,93.63,93.67,1171700
2021-01-20,94.4,95.22,94.28,94.72,1128300
2021-01-19,95.25,95.93,94.65,95.12,1451682
2021-01-15,93.75,95.67,93.06,95.25,1783700
2021-01-14,94.36,94.48,92.83,94.0,1885400
2021-01-13,92.86,93.76,92.03,93.65,1864500
2021-01-12,93.93,94.3,91.78,92.7,1379000
2021-01-11,95.01,95.87,93.74,94.39,1033773
2021-01-08,94.88,95.54,94.12,95.49,1333800
2021-01-07,98.21,98.57,94.78,94.84,1612200
2021-01-06,97.57,98.81,96.94,98.23,1486700
2021-01-05,98.31,98.7,96.51,96.7,1628800
2021-01-04,99.82,100.075,97.53,98.01,1268979
2020-12-31,98.35,99.97,97.67,99.84,992300
2020-12-30,96.62,98.95,96.38,98.64,1269300
2020-12-29,96.22,97.19,96.2,96.74,2265000
2020-12-28,95.65,96.22,95.15,95.66,1243404
2020-12-24,95.45,95.75,94.701,95.35,605155
2020-12-23,96.6,97.36,95.44,95.47,1307400
2020-12-22,97.21,97.21,95.48,96.01,1222400
2020-12-21,99.09,99.14,96.58,97.02,1129302
2020-12-18,100.8,100.88,99.37,100.02,1034075
2020-12-17,100.48,101.84,100.3,100.56,932037
2020-12-16,102.38,103.43,100.43,100.5,1533600
2020-12-15,101.56,103.05,100.45,102.59,1298561
2020-12-14,103.19,104.41,101.27,101.41,1019451
2020-12-11,103.32,103.4262,102.11,102.77,820988
2020-12-10,104.46,105.1,102.97,103.26,1480000
2020-12-09,105.73,106.14,103.75,104.46,1644400
2020-12-08,106.7,106.75,105.27,105.31,834319
2020-12-07,105.84,107.7,105.39,106.61,882097
2020-12-04,106.61,107.21,105.64,106.77,713725
2020-12-03,108.02,108.38,106.18,106.64,1175600
2020-12-02,108.27,108.78,106.3,108.61,1641300
2020-12-01,109.68,111.08,108.72,108.85,1092700
2020-11-30,110.98,110.98,108.23,108.85,2177882
2020-11-27,112.37,112.37,110.49,111.51,812700
2020-11-25,110.8,112.45,109.69,112.25,1169200
2020-11-24,110.85,110.86,109.74,110.6,1230800
2020-11-23,109.32,110.22,108.4825,109.72,1107706
2020-11-20,108.86,109.89,108.37,108.98,1407200
2020-11-19,110.22,110.22,108.36,108.97,1049000
2020-11-18,112.51,113.36,110.1,110.15,1145152
2020-11-17,112.27,113.11,111.69,111.96,1239800
2020-11-16,112.09,112.87,110.27,112.77,1249941
2020-11-13,108.35,109.67,108.15,109.18,751641
2020-11-12,109.08,109.64,106.86,107.75,912200
2020-11-11,109.81,110.13,108.37,109.83,909100
2020-11-10,108.68,110.28,108.15,109.23,947800
2020-11-09,109.73,112.71,108.94,109.15,1054670
2020-11-06,106.63,107.56,104.52,104.91,790400
2020-11-05,106.52,108.59,106.48,106.82,725900
2020-11-04,107.35,109.1,105.51,105.75,992300
2020-11-03,106.76,108.92,106.06,108.19,1943300
2020-11-02,102.78,105.51,101.31,105.34,1102132
2020-10-30,101.12,101.82,99.06,101.22,1511600
2020-10-29,102.34,102.73,100.76,101.48,1517300
2020-10-28,105.88,107.27,102.59,102.81,1863300
2020-10-27,109.0638,109.0638,107.03,107.46,1018490
2020-10-26,107.89,109.35,107.35,109.01,1064451
2020-10-23,108.6646,109.4,107.805,108.96,770705
2020-10-22,107.01,108.34,106.05,108.04,983300
2020-10-21,105.72,108.21,105.71,106.86,1186500
2020-10-20,105.92,106.98,105.17,106.22,1131200
2020-10-19,106.33,107.33,105.12,105.34,1115022
2020-10-16,105.43,107.06,104.8,106.67,1107000
2020-10-15,104.75,106.27,104.27,105.32,844900
2020-10-14,106.36,107.37,104.825,105.77,914784
2020-10-13,105.78,106.85,105.09,106.47,1143049
2020-10-12,105.97,106.73,105.41,106.2,1078210
2020-10-09,107.19,107.36,105.14,105.86,787400
2020-10-08,104.98,107.365,104.93,107.21,674171
2020-10-07,106.9,107.0,104.25,104.7,1572600
2020-10-06,105.25,107.86,104.65,106.05,1541100
2020-10-05,103.42,105.06,102.335,104.81,1100428
2020-10-02,100.63,104.22,100.17,103.66,2099858
2020-10-01,98.56,101.35,98.56,101.31,1335948
2020-09-30,96.6,98.95,96.51,98.53,1651400
2020-09-29,96.945,97.28,95.145,95.78,560533
2020-09-28,97.6,98.02,96.54,96.68,805918
2020-09-25,95.61,97.04,95.03,96.99,607838
2020-09-24,95.32,96.27,93.64,95.79,953937
2020-09-23,97.48,97.62,95.08,95.2,1012029
2020-09-22,94.56,97.87,94.56,97.29,1262778
2020-09-21,94.51,95.97,93.29,94.81,910702
2020-09-18,97.375,97.89,95.34,95.41,1089048
2020-09-17,96.115,97.77,95.21,97.64,1070148
2020-09-16,96.23,97.62,96.19,96.85,814249
2020-09-15,97.325,98.48,96.03,96.54,633893
2020-09-14,95.902,97.42,95.902,96.72,612867
2020-09-11,95.85,95.85,94.67,95.48,787993
2020-09-10,97.865,97.87,95.76,95.86,748298
2020-09-09,98.38,99.86,98.27,98.39,675628
2020-09-08,97.68,98.56,96.05,97.97,1100383
2020-09-04,98.65,98.72,96.8,97.9,808295
2020-09-03,101.07,101.47,96.98,98.0,1459811
2020-09-02,97.51,101.09,97.49,100.47,697190
2020-09-01,98.67,98.96,97.015,97.7,751773
2020-08-31,98.83,99.625,98.41,99.13,874871
2020-08-28,97.28,99.11,96.805,98.97,953169
2020-08-27,96.25,97.53,95.56,97.29,1061253
2020-08-26,97.12,97.33,96.18,96.26,877652
2020-08-25,98.7,98.76,97.46,97.81,683237
2020-08-24,98.685,98.85,97.18,98.63,612261
2020-08-21,97.96,98.24,96.77,98.14,759372
2020-08-20,98.7,98.89,96.93,97.71,742412
2020-08-19,99.81,100.505,98.92,98.99,446233
2020-08-18,100.8956,100.99,98.93,100.11,675075
2020-08-17,100.82,102.05,100.3,100.6,555686
2020-08-14,101.3071,102.16,100.21,100.93,577530
2020-08-13,100.91,101.88,100.52,101.71,518894
2020-08-12,101.8583,102.99,100.91,101.64,1045704
2020-08-11,105.88,106.54,101.72,102.16,1421427
2020-08-10,105.0,105.955,104.505,105.72,566170
2020-08-07,102.34,104.8,102.18,104.71,699180
2020-08-06,100.36,102.34,100.06,102.31,765062
2020-08-05,103.46,103.48,100.33,100.36,881398
2020-08-04,102.42,104.1,102.19,103.17,629929
2020-08-03,105.01,105.01,102.25,102.6,778200
2020-07-31,103.89,105.27,103.75,105.09,765728
2020-07-30,104.17,104.87,102.6,104.61,794631
2020-07-29,102.6,105.41,102.44,104.12,1157451
2020-07-28,101.35,103.41,101.27,102.6,857453
2020-07-27,102.1,102.1,100.745,101.73,569775
2020-07-24,104.5,104.97,101.96,102.61,780323
2020-07-23,103.085,104.94,102.78,104.02,930532
2020-07-22,99.17,103.83,98.43,103.13,1563749
2020-07-21,99.93,100.38,98.71,99.55,973825
2020-07-20,100.1021,100.22,98.12,98.39,627398
2020-07-17,98.87,100.52,98.58,100.46,497753
2020-07-16,96.31,98.65,96.14,98.33,147463
2020-07-15,99.06,99.06,96.01,96.28,285818
2020-07-14,96.33,98.28,96.33,97.63,150940
2020-07-13,98.17,98.6,95.84,96.35,201602
2020-07-10,96.37,98.33,96.15,98.14,160070
2020-07-09,97.01,97.05,93.83,96.42,231446
2020-07-08,95.85,97.3,95.3,96.9,196454
2020-07-07,96.43,96.51,94.945,95.86,214320
2020-07-06,97.8,98.7,95.1,96.4,122817
2020-07-02,97.72,98.63,96.51,96.86,117715
2020-07-01,93.77,97.15,93.74,96.72,891327
2020-06-30,93.84,94.64,93.08,93.81,1060200
2020-06-29,92.45,93.79,91.04,93.77,745001
2020-06-26,92.36,93.98,91.08,91.66,1973200
2020-06-25,93.13,93.13,91.135,92.44,374126
2020-06-24,93.9808,94.325,91.92,93.51,325753
2020-06-23,96.99,97.78,94.96,94.97,498984
2020-06-22,94.34,97.55,93.485,96.97,482206
2020-06-19,98.22,98.37,94.21,94.53,716180
2020-06-18,96.22,97.65,95.62,97.5,317146
2020-06-17,98.84,99.02,95.83,97.08,347706
2020-06-16,100.06,100.63,97.18,98.0,244568
2020-06-15,94.39,97.625,93.269,97.23,356518
2020-06-12,98.44,98.815,94.73,96.36,393225
2020-06-11,100.02,100.08,95.99,96.79,412937
2020-06-10,103.785,104.27,101.785,102.19,306007
2020-06-09,104.29,104.47,102.55,103.34,238848
2020-06-08,103.7,106.3,103.12,105.85,269072
2020-06-05,103.82,106.48,103.09,103.73,1058700
2020-06-04,103.39,103.7,100.05,101.23,1039000
2020-06-03,104.11,105.28,103.63,104.04,972500
2020-06-02,102.72,103.58,101.48,103.53,1178700
2020-06-01,101.62,103.8,101.25,102.68,943200
2020-05-29,102.75,103.12,100.97,101.82,1820300
2020-05-28,100.95,103.38,100.41,103.07,1201900
2020-05-27,101.33,101.48,98.27,99.47,812000
2020-05-26,100.29,101.25,99.53,99.74,1121000
2020-05-22,97.55,98.24,97.06,97.96,955500
2020-05-21,97.51,98.32,97.2,97.63,1129200
2020-05-20,97.57,98.53,96.86,97.59,751400
2020-05-19,98.94,99.32,96.56,96.56,842000
2020-05-18,97.68,100.46,97.51,99.42,1264300
2020-05-15,94.45,95.47,92.5,94.98,2871200
2020-05-14,92.94,95.18,90.99,94.94,1573900
2020-05-13,95.29,96.0,93.3,94.11,2299600
2020-05-12,96.24,96.72,94.67,96.0,2433200
2020-05-11,96.77,97.17,93.72,96.22,2678800
2020-05-08,94.01,95.66,92.92,95.01,1627000
2020-05-07,93.48,94.99,92.62,92.77,1185300
2020-05-06,96.25,96.48,92.24,92.67,1038800
2020-05-05,95.0,99.61,95.0,96.75,1353600
2020-05-04,93.37,96.02,92.26,95.42,1222000
2020-05-01,94.56,94.56,92.1,93.57,987500
2020-04-30,97.93,98.0,93.97,95.51,1497500
2020-04-29,101.76,101.76,98.21,98.38,986700
2020-04-28,103.55,104.96,99.07,99.67,1135600
2020-04-27,99.75,102.36,99.43,101.31,1905800
2020-04-24,97.09,98.16,95.68,97.53,1538100
2020-04-23,99.41,100.34,96.83,96.97,1179700
2020-04-22,96.55,100.16,95.33,99.48,1771900
2020-04-21,94.71,96.13,93.29,94.66,1257500
2020-04-20,99.83,100.1,95.83,96.45,1220800
2020-04-17,99.01,101.78,98.16,101.27,1320900
2020-04-16,97.56,98.21,95.44,97.16,1727100
2020-04-15,97.82,99.15,96.86,97.31,1414600
2020-04-14,99.91,101.3,98.81,100.66,1104600
2020-04-13,101.66,101.66,97.14,97.89,1762900
2020-04-09,102.08,107.22,101.63,102.91,1497400
2020-04-08,93.82,101.57,93.82,100.52,1430000
2020-04-07,96.1,96.67,92.64,93.65,1360300
2020-04-06,87.41,93.99,86.17,93.0,1300200
2020-04-03,87.2,89.16,82.94,83.38,2375900
2020-04-02,83.45,89.65,82.81,88.2,2065000
2020-04-01,89.97,91.7,84.15,85.58,1530500
2020-03-31,98.71,100.04,93.31,93.97,2620300
2020-03-30,98.37,101.19,95.32,100.07,1826000
2020-03-27,92.76,100.6,92.4,97.34,1835600
2020-03-26,89.63,98.07,89.12,96.71,1672700
2020-03-25,86.06,92.99,83.77,88.96,1922000
2020-03-24,81.61,87.25,79.6,86.33,1860500
2020-03-23,78.96,82.5,75.19,78.18,2180200
2020-03-20,85.72,89.58,79.07,79.99,2493800
2020-03-19,85.6,88.16,77.59,84.05,2802100
2020-03-18,93.7,95.43,79.51,86.41,4108800
2020-03-17,88.71,99.85,87.39,99.62,3471000
2020-03-16,94.58,96.04,85.84,86.74,3435000
2020-03-13,106.64,107.28,96.62,102.93,2675200
2020-03-12,105.44,107.43,98.45,101.64,2872200
2020-03-11,116.36,116.61,109.53,111.62,1765400
2020-03-10,117.36,119.57,113.66,119.29,2819900
2020-03-09,118.18,118.92,114.01,115.4,3271700
2020-03-06,123.96,125.0,120.45,124.28,1877600
2020-03-05,126.05,128.16,124.43,127.46,2200000
2020-03-04,123.61,128.75,123.61,128.36,1506000
2020-03-03,124.48,126.74,121.09,121.89,1980000
2020-03-02,117.4,124.38,116.9,124.12,1957000
2020-02-28,118.78,118.78,113.89,116.91,2735500
2020-02-27,125.29,125.49,120.69,120.8,2553800
2020-02-26,126.26,127.22,125.6,125.65,1529900
2020-02-25,129.84,130.0,125.79,126.3,1599200
2020-02-24,129.77,131.08,129.27,129.74001,1559600
2020-02-21,131.37,132.09,129.78,129.96001,2846300
2020-02-20,133.02,133.08,130.84,131.45,1933700
2020-02-19,135.0,135.55,132.89999,133.09,1633100
2020-02-18,134.71001,135.46001,133.85001,134.78,1455200
2020-02-14,133.64,134.49001,133.08,134.13,1639000
2020-02-13,131.67,133.5,131.17999,133.24001,738500
2020-02-12,131.28,132.19,130.56,131.56,915700
2020-02-11,133.07001,133.83,132.58,132.89,1035300
2020-02-10,132.14,132.92999,131.7,132.89,696700
2020-02-07,131.8,132.57001,131.7,131.94,1371600
2020-02-06,130.63,131.67999,130.62,131.41,1127300
2020-02-05,130.37,131.5,130.08,130.56,1361300
2020-02-04,132.14,132.88,130.42,130.56,953600
2020-02-03,131.91,132.39,131.45,132.19,834400
2020-01-31,131.7,132.02,130.67,131.52,2408300
2020-01-30,130.5,131.78999,130.02,131.72,769700
2020-01-29,130.13,130.75,129.42,130.55,885300
