datetime,open,high,low,close,volume
2021-01-29,201.53149,203.49001,193.67999,195.5,1346372
2021-01-28,196.435,207.13,193.13,202.41,2982200
2021-01-27,199.25,205.64999,192.0,193.37,3641500
2021-01-26,225.94,226.72501,203.0,204.41,7992600
2021-01-25,217.0,221.44,205.50999,208.81,2341403
2021-01-22,211.17,215.145,209.14,213.59,2160300
2021-01-21,218.55,221.44,212.3,212.53999,2938100
2021-01-20,223.42999,225.74001,213.72,215.69,3434700
2021-01-19,208.66,221.34,208.0,221.31,4514986
2021-01-15,211.21001,211.99001,197.16,204.42,3599700
2021-01-14,207.25,221.12,207.0,211.52,5036500
2021-01-13,204.61,209.03999,200.87,207.03,2923100
2021-01-12,185.06,211.85001,184.75,205.14999,9353800
2021-01-11,174.10001,187.75,171.02,183.03999,3820960
2021-01-08,172.91,179.73,171.75999,175.64999,2468000
2021-01-07,170.3,173.5,167.25,170.78999,2781300
2021-01-06,172.11,173.16,166.33,167.57001,2964800
2021-01-05,170.19,175.77,169.062,174.98,2162700
2021-01-04,179.52,181.60001,168.2516,172.08,3262013
2020-12-31,183.13,183.38,175.8,177.91,2072700
2020-12-30,178.3,183.41,176.12,183.17999,2120600
2020-12-29,179.645,180.0,173.69,177.00999,2358300
2020-12-28,193.58,194.0,175.84,178.12,4221689
2020-12-24,191.21001,193.74001,188.08,190.31,1116600
2020-12-23,196.89999,197.38,190.03,190.17,2097300
2020-12-22,191.11,198.5,190.44298999999998,197.38,3372500
2020-12-21,189.16,193.0,184.55,189.2,3033982
2020-12-18,190.96249,191.73,184.69,190.82001,3171994
2020-12-17,184.32001,192.09,183.5,187.98,3632561
2020-12-16,173.69,182.78,171.34,182.34,4290600
2020-12-15,171.99001,179.91,170.50999,177.81,3179309
2020-12-14,172.25,176.48,169.71001,169.97,3072326
2020-12-11,165.7245,171.66,165.72009,170.12,2894782
2020-12-10,157.3,167.62,157.0,165.3,2590300
2020-12-09,165.94,167.52,157.64,159.23,3890100
2020-12-08,157.95,167.9155,156.8,163.98,3019912
2020-12-07,155.5983,158.85001,153.61,156.92999,1942480
2020-12-04,154.13,157.09,153.35001,155.0,1864332
2020-12-03,154.49001,157.021,154.2,154.74001,2015000
2020-12-02,151.375,155.60001,150.0,154.62,2194900
2020-12-01,161.50999,161.50999,154.10001,154.67,3252100
2020-11-30,161.94,164.64,153.36,160.7,9457101
2020-11-27,148.78999,160.62958999999998,148.53,160.55,4856105
2020-11-25,138.63,146.95,138.50999,145.09,3550600
2020-11-24,139.99001,140.03999,133.64999,137.60001,3329500
2020-11-23,141.0,143.23,138.25999,140.2,2596504
2020-11-20,136.52,143.96001,136.265,140.06,4418800
2020-11-19,128.0,134.7,127.445,134.5,3008700
2020-11-18,127.84,129.24001,124.7,127.01,2537400
2020-11-17,126.71,128.94,123.6,128.82001,2499700
2020-11-16,122.54,127.24,120.5,125.62,3497720
2020-11-13,128.5,129.995,123.33,124.93,3281738
2020-11-12,129.64,133.5,125.81,127.03,3876100
2020-11-11,121.92,131.07001,121.79,130.59,5256800
2020-11-10,126.22,126.4,113.487,119.43,6261800
2020-11-09,130.96001,134.0,116.31,121.2,10639292
2020-11-06,143.67999,146.60001,140.55,146.28,2590000
2020-11-05,140.0,144.95,138.125,143.64,2731300
2020-11-04,135.5,138.78999,133.50999,136.2,3634800
2020-11-03,127.956,131.99001,125.588,130.45,2935200
2020-11-02,123.228,127.73,121.57,126.44,3837815
2020-10-30,130.50999,131.703,119.71,121.59,5602900
2020-10-29,138.35629,138.94,128.13,132.36,7028062
2020-10-28,143.3,145.145,138.92,139.64,4797500
2020-10-27,141.48,147.64,141.295,145.77,4162243
2020-10-26,137.49001,143.11,136.2,139.73,3256182
2020-10-23,136.08,138.42999,134.125,137.845,1762917
2020-10-22,133.89999,138.0,132.845,135.94,3326500
2020-10-21,144.62,145.63,132.69,133.00999,5546300
2020-10-20,147.53999,150.24001,144.50999,144.78999,2548600
2020-10-19,148.75,151.8,146.36,148.37,2326264
2020-10-16,151.98,152.53,147.14999,147.59,1764200
2020-10-15,145.38,150.89999,143.45,150.67,2209400
2020-10-14,153.8,154.88,147.67999,149.87,2918410
2020-10-13,148.10001,154.73,147.645,153.21001,3127555
2020-10-12,149.0,151.201,146.55,147.38,3279321
2020-10-09,140.88,147.28999,140.07001,146.67,3100967
2020-10-08,145.00999,145.14999,139.16,139.53,3030931
2020-10-07,136.63,143.10001,136.45,142.66,3798500
2020-10-06,137.0,139.25999,134.10001,134.56,3044300
2020-10-05,132.69,136.83,130.7,136.69,2738278
2020-10-02,127.57,133.3,127.27,131.67999,3549117
2020-10-01,124.1,133.09,123.25,131.69,5312748
2020-09-30,123.19,125.59,120.14,121.63,2524500
2020-09-29,123.66,125.55,121.4036,123.23,1388354
2020-09-28,120.37,123.95,119.19,123.69,3456531
2020-09-25,113.33,118.64,113.06,118.28,0
2020-09-24,112.21,116.09,109.59,113.68,150800
2020-09-23,119.17,121.12,114.12,115.09,0
2020-09-22,118.0,119.73,112.68,119.35,0
2020-09-21,110.52,116.28,109.7932,116.01,2353895
2020-09-18,110.84,113.29,109.2,111.75,2338810
2020-09-17,105.29,109.23,104.51,109.23,2343485
2020-09-16,111.21,112.52,108.5382,108.75,1288577
2020-09-15,114.0,114.0,109.17,111.0,1819229
2020-09-14,111.76,115.0,109.44,112.55,2040903
2020-09-11,112.8,116.46,109.94,110.77,2008708
2020-09-10,113.69,117.9999,110.32,110.57,1610912
2020-09-09,112.21,114.88,109.45,112.71,2364674
2020-09-08,113.29,118.115,108.48,110.56,4772038
2020-09-04,114.57,116.75,103.14,112.04,3134335
2020-09-03,119.73,121.13,113.33,116.2,2701611
2020-09-02,128.49001,129.89999,120.31,124.37,1795612
2020-09-01,121.0,126.05,120.22,125.05,1579874
2020-08-31,119.74,120.48,116.63,119.7,1082992
2020-08-28,122.68,122.68,117.77,119.66,1702888
