datetime,open,high,low,close,volume
2021-01-29,53.54,54.26,53.26,53.775,992414
2021-01-28,53.09,54.9,52.84,53.84,1880800
2021-01-27,53.35,53.96,52.4,52.72,1926000
2021-01-26,54.35,54.41,53.09,53.54,1670800
2021-01-25,53.5,54.37,53.15,54.26,1347087
2021-01-22,53.3,54.4,53.1,53.8,2569300
2021-01-21,53.54,53.72,53.23,53.58,1703000
2021-01-20,53.16,54.07,53.0,53.89,1062900
2021-01-19,54.58,54.58,53.28,53.38,1100453
2021-01-15,53.05,54.53,52.84,54.3,1732800
2021-01-14,54.4,54.4,53.16,53.31,1002400
2021-01-13,53.06,54.47,52.99,54.26,1200800
2021-01-12,52.44,53.07,52.18,52.89,1655800
2021-01-11,52.74,53.175,52.13,52.44,1358494
2021-01-08,52.9,53.22,52.29,53.0,1889400
2021-01-07,54.69,54.87,53.11,53.23,2520600
2021-01-06,54.17,54.93,53.68,54.72,2703400
2021-01-05,53.79,54.09,53.23,53.64,1294900
2021-01-04,55.36,55.64,53.54,53.75,1348490
2020-12-31,54.09,55.56,53.96,55.51,4683500
2020-12-30,53.89,54.45,53.63,54.07,4072500
2020-12-29,53.96,54.35,53.66,53.96,2917400
2020-12-28,53.87,54.06,53.36,53.83,2772495
2020-12-24,52.92,53.61,52.03,53.43,1141400
2020-12-23,52.98,53.54,52.75,52.78,4648400
2020-12-22,52.8,53.0,52.31,52.65,3137900
2020-12-21,52.93,53.35,51.88,52.78,3989825
2020-12-18,54.03,54.25,53.15,53.35,854543
2020-12-17,54.1,54.495,53.57,54.04,1315429
2020-12-16,54.86,55.37,53.5,53.67,1776600
2020-12-15,54.526,55.3,54.25,54.63,877828
2020-12-14,55.79,56.3,54.41,54.41,1178459
2020-12-11,54.895,55.35,54.66,55.11,684158
2020-12-10,55.43,55.58,55.06,55.1,2315500
2020-12-09,55.29,55.64,55.16,55.5,1479400
2020-12-08,55.62,55.81,55.09,55.46,1918358
2020-12-07,54.89,55.36,54.67,55.12,711824
2020-12-04,55.535,55.585,54.71,54.92,709817
2020-12-03,55.77,56.05,55.25,55.5,1644300
2020-12-02,55.13,56.12,54.89,56.1,1322100
2020-12-01,56.12,56.75,55.48,55.56,1640900
2020-11-30,55.51,55.88,55.0,55.41,3829362
2020-11-27,56.35,56.36,55.1,55.77,1145100
2020-11-25,55.73,56.31,55.15,56.18,2121100
2020-11-24,55.8,56.18,55.32,55.8,3014400
2020-11-23,54.63,55.32,54.064,54.97,4098778
2020-11-20,53.65,54.92,53.29,54.51,2572100
2020-11-19,54.46,54.62,53.27,53.69,3115800
2020-11-18,56.82,56.92,55.0,55.0,1438032
2020-11-17,57.13,57.49,56.51,56.57,1469600
2020-11-16,57.95,58.02,56.65,57.63,1623992
2020-11-13,55.58,57.23,55.58,57.11,1634733
2020-11-12,56.88,56.88,55.03,55.72,2614700
2020-11-11,58.58,58.68,56.7,57.3,2789400
2020-11-10,57.97,59.82,57.57,58.59,5778300
2020-11-09,56.85,62.53,56.8,57.99,3586826
2020-11-06,55.3,56.05,54.24,55.04,1329200
2020-11-05,56.62,57.85,54.64,55.19,2621100
2020-11-04,56.84,57.85,55.48,55.77,1566900
2020-11-03,56.96,57.37,56.45,56.98,1109100
2020-11-02,56.01,56.36,55.17,56.31,1287823
2020-10-30,55.08,55.31,54.41,55.2,1453600
2020-10-29,55.04,56.0,54.16,55.33,1384500
2020-10-28,55.68,56.28,55.12,55.37,2228300
2020-10-27,55.47,57.2,55.351,56.4,1615360
2020-10-26,55.89,56.17,55.41,55.69,1204911
2020-10-23,56.84,57.13,55.85,56.38,522979
2020-10-22,55.75,56.71,55.39,56.58,1779200
2020-10-21,55.26,56.36,55.23,55.89,2603700
2020-10-20,54.92,55.64,54.72,55.52,1718300
2020-10-19,54.71,55.06,54.44,54.6,1673552
2020-10-16,54.36,55.11,53.95,54.92,1698100
2020-10-15,53.57,54.81,53.02,54.42,1908000
2020-10-14,53.01,53.92,52.85,53.44,1381504
2020-10-13,52.95,53.05,52.085,52.91,998994
2020-10-12,53.04,53.75,52.64,53.44,1063162
2020-10-09,53.49,53.54,52.4075,52.93,910816
2020-10-08,52.8156,53.38,52.78,53.36,585896
2020-10-07,52.76,53.1,52.09,52.45,1614900
2020-10-06,52.49,53.81,52.28,52.41,1712100
2020-10-05,51.91,52.6305,51.52,52.53,1243372
2020-10-02,50.27,52.45,50.19,51.98,1437659
2020-10-01,50.775,51.43,50.335,50.81,1031158
2020-09-30,50.61,50.98,49.79,50.82,2288400
2020-09-29,50.56,50.98,49.99,50.15,632060
2020-09-28,50.43,50.55,49.73,50.34,1329125
