datetime,open,high,low,close,volume
2021-01-29,82.82,83.5,81.62,81.95,2471080
2021-01-28,82.06,85.6,82.01,83.38,5276400
2021-01-27,85.8,85.99,84.23,84.84,3290000
2021-01-26,84.6,87.84,84.03,86.54,2186600
2021-01-25,85.39,86.31,84.6,85.89,3110020
2021-01-22,86.98,87.38,85.21,85.52,3278900
2021-01-21,88.17,88.89,86.55,87.23,1796200
2021-01-20,88.32,88.64,87.37,88.1,3561800
2021-01-19,88.67,89.43,87.8,87.91,1976600
2021-01-15,87.27,88.15,86.84,87.87,3128600
2021-01-14,89.31,89.65,87.3,87.49,2881200
2021-01-13,87.55,89.52,87.35,89.26,1809600
2021-01-12,89.28,89.66,87.6,87.85,2193700
2021-01-11,90.21,90.33,89.14,89.37,2107100
2021-01-08,90.04,91.37,89.62,90.67,1997700
2021-01-07,87.53,89.6,86.79,89.44,2494000
2021-01-06,87.68,88.45,86.6,87.2,3185800
2021-01-05,88.85,89.42,88.01,88.44,2720500
2021-01-04,91.5,91.73,87.88,88.92,2368200
2020-12-31,89.76,91.33,89.37,91.23,1100300
2020-12-30,90.5,90.76,89.29,89.64,1115800
2020-12-29,91.39,92.08,89.93,90.0,1476500
2020-12-28,88.89,90.78,88.89,90.58,1451400
2020-12-24,88.52,88.99,88.15,88.63,441500
2020-12-23,88.5,90.06,88.27,88.28,1598300
2020-12-22,85.79,88.44,85.28,88.0,2183600
2020-12-21,85.19,85.75,83.22,85.64,2327400
2020-12-18,86.44,87.2,85.77,86.82,6067600
2020-12-17,85.0,86.59,84.66,86.52,1689000
2020-12-16,83.88,86.08,83.72,85.09,1816500
2020-12-15,84.77,85.48,83.69,85.15,2739700
2020-12-14,84.53,85.8,83.51,83.57,2408500
2020-12-11,86.2,86.27,83.65,84.18,2202300
2020-12-10,85.03,87.77,84.82,86.74,2631500
2020-12-09,85.5,86.0,83.9,85.03,2898700
2020-12-08,85.98,86.07,84.32,85.4,1995400
2020-12-07,85.7,86.54,85.14,86.06,2775100
2020-12-04,84.23,85.96,83.71,85.76,2413200
2020-12-03,83.9,84.78,83.38,83.65,1697300
2020-12-02,83.67,84.81,83.17,84.47,1500500
2020-12-01,84.56,84.93,83.57,83.88,2529100
2020-11-30,84.98,84.98,83.12,83.89,3948000
2020-11-27,84.87,85.36,83.83,85.26,919800
2020-11-25,85.27,85.54,83.83,84.21,1712100
2020-11-24,85.5,86.15,85.01,85.61,1903200
2020-11-23,84.95,85.81,83.86,84.7,1596500
2020-11-20,85.03,85.39,84.36,84.53,2794800
2020-11-19,84.45,85.54,84.07,85.24,2178700
2020-11-18,84.85,87.24,84.6,85.24,5012700
2020-11-17,85.25,88.0,83.89,85.18,4972500
2020-11-16,82.9,83.2,81.13,82.17,1841000
2020-11-13,80.34,82.28,79.89,81.78,2342100
2020-11-12,79.38,80.6,78.34,80.35,2437600
2020-11-11,81.76,81.76,79.21,80.03,2468300
2020-11-10,83.7,83.96,81.0,81.21,3365200
2020-11-09,82.0,85.83,81.6,84.0,4185300
2020-11-06,77.69,78.51,77.16,78.03,2585500
2020-11-05,76.96,78.44,76.14,77.55,2721500
2020-11-04,76.24,77.49,75.13,75.97,3241400
2020-11-03,73.5,74.8,73.1,74.21,2518500
2020-11-02,73.11,73.84,72.14,72.6,2614800
2020-10-30,72.48,72.81,70.92,71.69,3131100
2020-10-29,73.42,73.99,72.1,72.91,2253700
2020-10-28,75.01,75.45,73.18,73.26,3192300
2020-10-27,78.35,78.65,76.39,76.5,2661800
2020-10-26,79.23,79.52,77.32,78.08,2396900
2020-10-23,79.86,80.52,79.07,80.41,2500400
2020-10-22,79.74,81.0,78.02,79.38,6110100
2020-10-21,84.44,84.84,82.58,83.61,2149800
2020-10-20,84.49,85.66,83.69,84.43,1415700
2020-10-19,85.5,86.73,83.23,84.0,1832900
2020-10-16,85.87,86.98,85.2,85.33,1831100
2020-10-15,83.83,85.87,83.49,85.32,2006300
2020-10-14,83.92,86.25,83.77,85.17,1805200
2020-10-13,84.04,85.01,83.2,83.94,1830900
2020-10-12,84.44,85.47,83.18,85.02,2090300
2020-10-09,82.6,83.95,81.81,83.9,2229700
2020-10-08,82.0,82.25,80.93,81.65,1805000
2020-10-07,79.58,81.72,79.45,81.5,1971200
2020-10-06,80.28,80.43,78.47,78.59,1488300
2020-10-05,79.12,80.5,79.04,80.15,1662200
2020-10-02,77.95,79.92,77.67,78.81,1541600
2020-10-01,80.38,80.74,78.44,78.98,1994100
2020-09-30,78.33,80.99,78.32,79.82,3248400
2020-09-29,78.34,80.03,77.97,78.31,2640600
2020-09-28,78.35,78.72,77.49,77.71,2805500
2020-09-25,74.18,77.49,74.07,77.45,2869000
2020-09-24,75.74,76.08,74.25,74.67,2575700
2020-09-23,78.75,78.76,75.67,76.05,4253800
2020-09-22,81.25,81.45,77.65,78.68,4062000
2020-09-21,81.61,82.2,79.7,81.45,2164300
2020-09-18,83.58,84.86,82.31,83.2,3592900
2020-09-17,83.06,83.93,82.44,83.69,2463400
2020-09-16,83.7,84.69,83.54,83.87,1992500
2020-09-15,83.48,84.28,82.94,83.3,2378700
2020-09-14,82.08,83.5,81.93,82.95,1702400
2020-09-11,83.0,83.05,80.98,81.78,1721600
2020-09-10,85.14,85.14,82.43,82.64,2276500
2020-09-09,83.31,85.71,83.07,84.84,2160900
2020-09-08,82.75,83.54,82.03,82.16,2892800
2020-09-04,85.77,86.08,82.65,83.71,2786900
2020-09-03,87.53,87.6,84.95,85.69,4146100
2020-09-02,86.25,87.79,85.96,87.44,3037800
2020-09-01,85.09,86.01,84.51,85.91,3611800
2020-08-31,84.38,86.41,83.96,85.84,4171500
2020-08-28,83.87,84.6,83.16,84.33,2995400
2020-08-27,81.52,84.31,81.19,83.7,3596700
2020-08-26,80.35,81.71,80.18,81.52,2714000
2020-08-25,79.54,80.99,79.21,80.35,2027000
2020-08-24,79.0,79.86,78.15,78.71,2271100
2020-08-21,78.95,78.95,78.09,78.71,1699800
2020-08-20,78.22,79.14,78.03,79.1,1727100
2020-08-19,78.87,79.77,78.31,78.77,2566200
2020-08-18,78.46,78.82,77.92,78.59,1397500
2020-08-17,78.15,79.06,78.07,78.44,1672300
2020-08-14,78.69,79.14,77.67,78.07,1317600
2020-08-13,78.24,79.84,77.98,79.4,2332900
2020-08-12,77.0,78.84,76.96,78.58,2050000
2020-08-11,76.47,77.6,75.55,76.66,2189800
2020-08-10,76.82,77.13,75.49,75.78,1902100
2020-08-07,77.27,77.64,76.16,76.94,2221300
2020-08-06,77.53,77.76,76.5,77.41,1353600
2020-08-05,76.85,78.4,76.73,78.12,1421000
2020-08-04,77.82,77.94,76.05,76.6,2003500
2020-08-03,78.58,78.88,77.72,78.02,1554700
2020-07-31,79.06,79.3,77.79,78.41,2185600
2020-07-30,78.27,79.06,77.42,78.95,1666100
2020-07-29,77.73,80.29,77.55,79.33,1834000
2020-07-28,78.26,78.89,77.41,77.44,2007100
2020-07-27,78.12,79.18,77.4,78.69,2466900
2020-07-24,80.0,80.5,76.1,78.13,5463000
2020-07-23,77.98,78.92,77.16,77.32,3361000
2020-07-22,75.87,78.56,75.63,77.91,3373000
2020-07-21,75.39,76.58,75.0,75.94,2795300
2020-07-20,74.05,75.81,74.01,74.64,2609800
2020-07-17,72.04,74.6,71.25,74.11,5154100
2020-07-16,71.96,72.19,71.16,71.85,2115000
2020-07-15,72.19,73.61,71.43,72.47,3810000
2020-07-14,67.66,71.25,67.51,71.22,4805300
2020-07-13,68.49,68.86,66.95,67.19,3578900
2020-07-10,68.27,68.38,66.87,67.82,2799800
2020-07-09,68.64,69.23,67.27,68.26,2409200
2020-07-08,68.66,69.29,67.82,68.76,1905200
2020-07-07,69.06,69.91,68.45,68.57,2552300
2020-07-06,70.0,70.29,69.21,69.53,2035800
2020-07-02,69.55,70.23,68.8,69.19,2045100
2020-07-01,69.08,69.58,68.33,69.0,1915800
2020-06-30,67.95,69.33,67.28,69.11,2597200
2020-06-29,67.62,68.1,66.73,67.89,2380300
2020-06-26,68.42,69.08,66.88,67.13,3768500
2020-06-25,67.45,68.19,66.45,68.07,3299700
2020-06-24,70.17,70.36,67.36,67.49,2932900
2020-06-23,70.46,71.83,70.2,70.74,2746800
2020-06-22,69.97,70.24,68.74,69.81,2032200
2020-06-19,70.97,71.1,69.67,70.24,3834100
2020-06-18,69.41,70.27,69.1,69.98,2808700
2020-06-17,70.44,70.5,69.47,69.83,3298200
2020-06-16,70.67,71.14,69.1,70.21,3275700
2020-06-15,66.65,69.69,66.23,68.96,3485600
2020-06-12,69.87,70.42,66.84,67.98,3771200
2020-06-11,72.59,72.7,67.9,68.06,4322300
2020-06-10,75.07,75.35,72.86,73.28,3708200
2020-06-09,77.35,77.35,74.62,74.96,3325200
2020-06-08,74.05,77.0,74.0,76.95,3992200
2020-06-05,71.44,74.6,70.37,74.37,5009400
2020-06-04,74.16,74.48,70.73,71.0,3961900
2020-06-03,74.61,75.41,73.92,74.73,2262200
2020-06-02,74.84,75.14,73.65,74.83,2648100
2020-06-01,75.3,75.95,73.54,74.27,2981300
2020-05-29,74.39,75.03333,72.63,74.90666999999999,1622400
2020-05-28,73.06667,75.39333,72.65,74.05,1166700
2020-05-27,72.11,72.65334,70.30666,72.11667,1069900
2020-05-26,74.60333,74.65,72.16666,72.33667,981400
2020-05-22,72.98666,73.01666999999999,71.68333,72.93666999999999,730900
2020-05-21,73.33334,73.50333,72.40666999999999,72.83334,910200
2020-05-20,72.51334,73.94666,71.82,73.65334,1320000
2020-05-19,72.04333000000001,72.91666,71.66666,71.73333000000001,699700
2020-05-18,72.22667,73.5,72.11667,72.14333,962800
2020-05-15,71.72,72.11667,69.93666999999999,70.98666,975900
2020-05-14,70.89667,72.52665999999999,69.66666,72.48333000000001,796200
2020-05-13,72.31,73.58,70.57333,71.37,1167600
2020-05-12,75.11,75.33334,72.41333,72.49,863300
2020-05-11,72.26666999999999,75.30666,72.26666999999999,75.01666999999999,1489400
2020-05-08,73.64667,74.06,72.40666999999999,72.61333,627600
2020-05-07,72.29,73.02333,72.0,72.68,1502900
2020-05-06,71.60667,72.67667,71.00333,71.23666,864100
2020-05-05,69.84333000000001,72.27333,69.43333,71.52665999999999,800000
2020-05-04,69.78,69.83,68.17,68.98,978300
