datetime,open,high,low,close,volume
2021-01-29,113.07,115.29,111.54,113.05,230701
2021-01-28,115.01,116.33,113.23,113.28,724600
2021-01-27,116.43,117.93,114.47,115.12,760900
2021-01-26,115.94,117.46,115.48,116.98,818600
2021-01-25,115.25,116.81,114.19,115.95,650905
2021-01-22,114.7,115.94,113.99,115.41,960500
2021-01-21,113.8,115.22,113.44,114.69,631300
2021-01-20,111.25,115.19,110.57,114.81,820100
2021-01-19,112.46,112.57,110.93,111.66,560367
2021-01-15,110.57,112.34,109.86,112.18,1147900
2021-01-14,112.16,112.18,109.42,110.28,1021700
2021-01-13,111.25,112.96,111.01,111.86,946100
2021-01-12,110.97,112.63,110.36,111.9,601300
2021-01-11,111.64,112.01,110.125,111.35,464036
2021-01-08,109.35,112.22,109.27,112.05,731000
2021-01-07,108.42,109.19,107.78,108.97,885000
2021-01-06,108.54,109.48,106.56,108.71,948900
2021-01-05,110.05,111.0,108.52,108.88,794800
2021-01-04,115.73,116.145,110.2,110.29,741068
2020-12-31,114.89,116.01,113.26,115.86,603100
2020-12-30,113.99,115.2,113.77,114.71,622300
2020-12-29,114.0,114.84,112.61,113.81,362200
2020-12-28,114.8,114.8,112.73,113.8,406835
2020-12-24,113.25,114.44,112.86,114.39,123300
2020-12-23,115.7,115.7,112.72,112.83,604800
2020-12-22,114.22,115.6,113.8,115.19,635200
2020-12-21,112.34,114.64,111.56,114.22,589046
2020-12-18,114.21,114.5,111.77,112.5,529565
2020-12-17,112.495,114.41,111.8,114.17,839669
2020-12-16,111.98,112.34,110.15,111.07,2194600
2020-12-15,110.57,111.72,108.53,111.65,1670031
2020-12-14,110.57,112.91,109.61,109.88,1031702
2020-12-11,110.04,111.6,109.645,110.4,784360
2020-12-10,112.07,113.43,109.99,110.02,1072400
2020-12-09,113.57,113.8,111.3,112.5,653600
2020-12-08,114.675,115.0,113.16,113.54,413554
2020-12-07,113.6,115.355,113.6,115.0,1143342
2020-12-04,113.94,114.83,112.51,114.27,475861
2020-12-03,111.63,113.6,111.29,113.5,876800
2020-12-02,113.27,114.49,111.06,111.42,582400
2020-12-01,112.93,114.18,111.66,113.66,1044700
2020-11-30,109.64,112.74,109.64,112.73,993731
2020-11-27,111.87,111.87,109.25,110.0,253100
2020-11-25,110.41,112.23,109.96,111.99,727100
2020-11-24,111.64,111.81,109.5,110.0,1121400
2020-11-23,112.85,113.94,110.55,110.89,1024798
2020-11-20,112.33,113.01,111.34,112.69,685200
2020-11-19,112.84,113.61,111.25,112.62,664800
2020-11-18,117.91,117.91,113.12,113.13,579007
2020-11-17,117.23,118.33,116.23,117.87,865900
2020-11-16,119.2,119.32,115.05,117.91,865786
2020-11-13,117.84,117.91,116.139,117.64,526668
2020-11-12,118.17,118.3,114.46,115.58,603700
2020-11-11,116.06,118.12,114.63,117.99,1294500
2020-11-10,106.92,115.51,106.33,115.51,1700100
2020-11-09,119.64,121.07,106.77,106.92,2016753
2020-11-06,114.88,116.04,112.45,112.72,1876000
2020-11-05,117.46,119.03,113.55,113.9,1509600
2020-11-04,117.0,119.62,116.32,117.35,1469500
2020-11-03,116.83,117.53,115.6,116.85,1889500
2020-11-02,116.55,117.545,115.14,115.85,1147890
2020-10-30,115.58,116.99,114.32,115.95,785300
2020-10-29,115.72,117.02,115.04,116.32,1494200
2020-10-28,116.6,117.52,114.39,115.7,1122100
2020-10-27,119.055,120.29,116.99,117.07,799035
2020-10-26,118.04,118.72,116.13,118.61,1334544
2020-10-23,118.18,118.7,117.06,118.66,689549
2020-10-22,115.08,117.65,115.08,117.46,930700
2020-10-21,114.67,116.34,114.24,115.35,1171000
2020-10-20,114.58,115.47,113.93,114.37,800600
2020-10-19,114.81,115.07,113.45,113.73,853422
2020-10-16,114.7,115.5,114.13,114.63,1310200
2020-10-15,112.88,115.12,112.8,114.94,1357800
2020-10-14,113.82,113.82,112.72,113.37,664157
2020-10-13,113.14,113.72,110.64,113.15,2027790
2020-10-12,113.42,114.1,111.75,113.91,612566
2020-10-09,114.34,114.34,112.24,113.3,707238
