datetime,open,high,low,close,volume
2021-01-29,46.41,46.99,45.6,45.76,1245349
2021-01-28,47.74,48.5,46.64,46.65,3443300
2021-01-27,47.08,47.95,46.45,47.82,4459900
2021-01-26,48.43,48.56,47.36,47.61,2362200
2021-01-25,47.61,48.245,46.9,48.13,3231881
2021-01-22,48.17,48.25,47.55,47.72,3916500
2021-01-21,48.8,49.12,47.84,48.17,4073300
2021-01-20,50.0,50.49,47.72,48.7,6640900
2021-01-19,50.8,51.15,49.9,50.42,4419041
2021-01-15,50.25,50.6,49.53,50.48,2645300
2021-01-14,50.98,51.03,49.94,50.32,2208900
2021-01-13,51.53,51.62,50.67,50.7,3316700
2021-01-12,50.4,51.89,50.31,51.62,3374200
2021-01-11,50.31,50.88,50.25,50.48,2067926
2021-01-08,49.58,50.91,49.58,50.75,3777100
2021-01-07,49.26,49.8,48.36,49.71,2905400
2021-01-06,48.04,49.39,47.94,49.1,3709400
2021-01-05,47.59,48.38,47.34,48.28,2666000
2021-01-04,49.03,49.36,47.19,47.65,3236059
2020-12-31,48.89,49.1,48.33,48.83,2379500
2020-12-30,49.99,49.99,48.71,49.07,1460200
2020-12-29,50.15,50.47,49.29,49.72,2864600
2020-12-28,49.88,50.13,49.55,50.05,4165169
2020-12-24,49.37,49.52,49.15,49.52,704500
2020-12-23,49.78,49.79,48.9,49.09,1935000
2020-12-22,49.7,49.75,49.18,49.47,2331500
2020-12-21,48.8,49.71,48.34,49.61,2744503
2020-12-18,49.69,49.82,48.83,49.34,2836900
2020-12-17,49.65,49.74,49.3,49.56,2031854
2020-12-16,48.91,49.64,48.73,49.47,2859700
2020-12-15,49.31,50.18,49.28,49.82,1442270
2020-12-14,49.35,49.86,49.19,49.22,2210546
2020-12-11,48.3,49.58,48.3,49.21,1768412
2020-12-10,49.27,49.54,48.33,48.39,2516100
2020-12-09,49.03,49.85,49.02,49.63,3189000
2020-12-08,48.37,49.3484,48.17,49.09,1936885
2020-12-07,48.0,48.99,47.72,48.68,2756786
2020-12-04,47.76,48.46,47.53,48.04,2263244
2020-12-03,47.47,48.01,47.23,47.37,3001800
2020-12-02,48.31,48.68,47.41,47.58,2338700
2020-12-01,49.51,49.6,48.42,48.52,3425700
2020-11-30,48.53,49.53,48.31,49.45,6174054
2020-11-27,48.25,48.8,48.13,48.58,1655300
2020-11-25,48.78,48.95,47.84,48.19,2166200
2020-11-24,48.13,49.14,47.63,48.94,3672600
2020-11-23,47.38,47.97,47.06,47.91,4708572
2020-11-20,47.83,48.11,47.2,47.3,5156600
2020-11-19,47.5,48.08,46.93,47.98,1847000
2020-11-18,47.71,48.15,47.44,47.62,1799633
2020-11-17,48.06,48.29,47.46,47.66,2356700
2020-11-16,47.75,48.61,47.36,48.61,2254601
2020-11-13,46.79,47.6564,46.72,47.54,1760441
2020-11-12,47.02,47.12,46.01,46.33,2588800
2020-11-11,47.12,47.36,46.42,47.24,2089500
2020-11-10,45.55,47.17,45.47,46.76,3750900
2020-11-09,48.66,49.36,45.91,45.99,3379272
2020-11-06,46.41,47.13,46.04,46.98,2136600
2020-11-05,47.41,47.65,46.29,46.34,3267200
2020-11-04,46.71,47.75,46.39,46.6,4040200
2020-11-03,45.06,46.43,45.06,46.22,3123500
2020-11-02,43.67,44.55,43.67,44.52,2434556
2020-10-30,42.88,43.5,42.63,43.23,3018300
2020-10-29,42.96,43.65,42.57,43.12,2290800
2020-10-28,42.79,43.38,42.66,42.94,3218700
2020-10-27,44.42,44.57,43.53,43.58,1633737
2020-10-26,43.92,44.34,43.74,44.3,2810723
2020-10-23,44.31,45.1,44.04,45.0,2055914
2020-10-22,44.05,44.21,43.5,44.09,2586900
2020-10-21,45.07,45.37,43.92,43.94,3432300
2020-10-20,44.91,45.42,44.8,45.04,2337400
2020-10-19,45.23,45.3698,44.2,44.43,3311358
2020-10-16,44.91,45.63,44.77,45.26,3384400
2020-10-15,44.64,45.17,44.3,44.62,3295100
2020-10-14,45.52,45.965,44.81,44.95,2726278
2020-10-13,45.23,46.09,44.55,45.35,5762548
2020-10-12,47.11,48.77,47.02,47.64,5520141
2020-10-09,46.25,47.08,46.17,46.63,5322128
2020-10-08,46.41,46.585,45.92,46.0,2543469
2020-10-07,45.44,46.34,45.36,46.21,2740400
2020-10-06,45.7,46.14,45.03,45.13,3642200
2020-10-05,44.69,45.98,44.69,45.83,3043153
2020-10-02,44.121,44.83,44.1,44.54,3068845
2020-10-01,45.1,45.38,44.66,44.75,2600656
2020-09-30,45.86,45.86,44.84,45.09,3733100
2020-09-29,45.72,46.12,45.17,45.33,2597290
2020-09-28,45.44,45.985,45.24,45.77,2823764
2020-09-25,43.98,45.17,43.86,44.89,1698833
2020-09-24,44.25,45.11,44.03,44.28,2299105
2020-09-23,44.69,44.95,44.095,44.21,2262667
2020-09-22,43.74,44.9,43.69,44.78,2838358
2020-09-21,43.49,43.74,43.05,43.73,2420876
2020-09-18,44.35,44.91,43.41,44.03,3228669
2020-09-17,43.63,44.44,43.26,44.27,5923603
2020-09-16,44.95,45.17,44.19,44.27,2708486
2020-09-15,44.45,44.97,44.42,44.68,2177571
2020-09-14,44.2902,44.51,44.06,44.33,1854587
2020-09-11,44.27,44.45,43.47,44.02,3162203
2020-09-10,45.19,45.35,43.71,43.96,2976107
2020-09-09,44.305,45.645,44.29,45.22,3700927
2020-09-08,44.819,45.25,43.64,43.71,6237036
2020-09-04,47.55,47.55,45.51,46.25,4984877
2020-09-03,48.94,49.12,46.51,47.02,4794113
2020-09-02,49.57,49.86,49.27,49.67,4210787
2020-09-01,48.8,49.53,48.45,49.49,2521432
2020-08-31,48.68,49.08,48.61,48.85,2401192
2020-08-28,48.39,48.88,48.33,48.84,2028518
2020-08-27,48.36,48.71,48.035,48.34,2241481
2020-08-26,47.87,48.305,47.5739,48.09,2191124
2020-08-25,48.12,48.21,47.6,47.9,2009188
2020-08-24,48.72,48.89,47.18,47.87,2477714
2020-08-21,48.22,48.57,47.92,48.53,1582354
2020-08-20,47.8,48.29,47.645,48.21,1531839
2020-08-19,48.23,48.545,47.89,48.04,1680176
2020-08-18,48.33,48.55,48.05,48.07,1609979
2020-08-17,48.05,48.475,47.955,48.28,1718659
2020-08-14,47.76,48.335,47.645,47.98,1617035
2020-08-13,48.05,48.38,47.82,48.0,1973466
2020-08-12,47.58,48.48,47.51,48.14,2581839
2020-08-11,48.18,48.37,47.255,47.39,3976414
2020-08-10,48.42,48.59,47.731,47.94,4184232
2020-08-07,47.89,48.51,47.65,48.435,2744128
2020-08-06,47.195,48.02,47.1111,47.95,2378983
2020-08-05,47.54,48.21,47.49,48.05,1857624
2020-08-04,47.18,47.59,47.11,47.53,3223047
2020-08-03,47.37,47.955,47.25,47.45,3081244
2020-07-31,46.87,47.07,46.145,47.06,2490174
2020-07-30,45.91,47.015,45.72,46.89,2910707
2020-07-29,45.61,46.83,45.6,46.55,2998907
2020-07-28,45.91,46.01,45.34,45.38,2375805
2020-07-27,45.58,46.44,45.58,46.22,2885682
2020-07-24,45.73,46.16,45.4,45.75,3004526
2020-07-23,45.95,46.5382,45.695,45.77,3565897
2020-07-22,45.65,45.99,45.41,45.83,2711524
2020-07-21,45.11,45.7,45.06,45.55,4534355
2020-07-20,44.13,45.025,44.0,44.85,2577595
2020-07-17,43.62,44.585,43.53,44.19,2620865
2020-07-16,44.0,44.145,43.21,43.5,645987
2020-07-15,43.62,44.27,42.64,44.02,5838800
2020-07-14,43.86,45.0,42.46,43.4,889137
2020-07-13,43.32,44.275,43.32,43.39,571213
2020-07-10,43.02,43.21,42.38,43.03,390367
2020-07-09,42.96,43.35,42.66,43.1,372177
2020-07-08,44.03,44.12,42.57,43.03,345670
2020-07-07,44.1651,44.65,43.945,44.05,633538
2020-07-06,44.56,44.765,43.86,44.21,504761
2020-07-02,43.605,44.26,43.54,44.03,701154
2020-07-01,43.02,43.18,42.62,43.01,4473987
2020-06-30,41.7,43.14,41.46,42.84,4725400
2020-06-29,41.27,42.21,41.25,41.92,3731977
2020-06-26,41.51,41.78,40.44,40.99,4439500
2020-06-25,41.33,41.84,40.9,41.695,767355
2020-06-24,41.75,42.25,41.29,41.35,863998
2020-06-23,42.51,42.93,42.205,42.23,747939
2020-06-22,41.49,42.21,41.07,41.97,466378
2020-06-19,42.4,42.62,41.29,41.585,1055621
2020-06-18,41.88,42.285,41.61,41.99,678548
2020-06-17,42.04,42.37,41.7,42.06,694316
2020-06-16,41.8,42.0867,40.925,41.81,1198713
2020-06-15,39.35,40.73,39.16,40.71,1195692
2020-06-12,41.48,41.48,39.35,40.04,1066387
2020-06-11,42.03,42.09,40.59,40.65,1117417
2020-06-10,43.0,43.2,42.335,42.5,795391
2020-06-09,42.31,43.12,42.22,42.85,804263
2020-06-08,42.405,43.19,42.15,42.88,849994
2020-06-05,42.06,42.89,41.78,42.66,6166500
2020-06-04,41.92,42.71,41.33,41.7,4377500
2020-06-03,41.48,42.27,41.07,42.06,3760600
2020-06-02,40.97,41.22,40.65,41.19,3863600
2020-06-01,41.38,41.38,40.53,40.66,2783000
2020-05-29,40.39,41.45,40.34,41.26,5958500
2020-05-28,40.68,40.92,40.15,40.38,3704100
2020-05-27,39.93,40.56,39.33,40.54,5329700
2020-05-26,39.07,40.21,38.88,39.72,6224000
2020-05-22,38.62,38.92,38.5,38.68,1967000
2020-05-21,39.17,39.17,38.52,38.71,3017500
2020-05-20,39.05,39.58,38.83,39.09,3205100
2020-05-19,39.0,39.34,38.55,38.56,4261000
2020-05-18,40.0,40.46,38.94,39.07,6948600
2020-05-15,38.3,39.12,38.05,38.92,5147300
2020-05-14,38.1,38.74,37.72,38.68,4612400
2020-05-13,38.71,39.24,37.79,38.34,4332600
2020-05-12,39.8,39.96,38.82,38.82,3842900
2020-05-11,38.47,39.88,38.47,39.74,3416800
2020-05-08,38.43,39.11,38.43,39.05,3230900
2020-05-07,38.13,38.61,37.74,38.18,4392200
2020-05-06,37.21,38.05,37.02,37.85,5307600
2020-05-05,36.27,37.16,36.08,36.63,4045000
2020-05-04,35.53,35.88,35.17,35.85,2930200
2020-05-01,35.79,36.05,35.37,35.7,3423200
2020-04-30,36.47,36.79,35.88,36.22,5533300
2020-04-29,37.0,37.54,36.45,36.74,4362500
2020-04-28,37.28,37.97,36.81,36.96,4371000
2020-04-27,36.11,37.08,36.09,36.85,3873800
2020-04-24,35.15,36.14,34.84,36.03,3448500
2020-04-23,34.77,35.56,34.68,34.92,3958200
2020-04-22,34.75,35.06,34.4,34.84,3479600
2020-04-21,34.49,34.82,33.96,34.14,4809600
2020-04-20,35.55,35.92,34.89,34.92,3786300
2020-04-17,36.31,36.92,35.39,35.93,5018600
2020-04-16,34.78,35.52,34.17,35.43,6097000
2020-04-15,34.15,34.81,33.72,34.56,4962900
2020-04-14,34.43,35.17,32.82,34.54,7107400
2020-04-13,32.61,33.42,31.87,32.27,5085400
2020-04-09,32.74,33.71,32.55,33.62,6021400
2020-04-08,32.42,32.67,31.64,32.49,4478500
2020-04-07,32.04,33.65,31.93,32.01,6400300
2020-04-06,31.44,32.31,31.13,32.18,6151900
2020-04-03,30.5,31.34,30.01,30.48,4624700
2020-04-02,30.73,31.31,30.17,30.65,7237500
2020-04-01,30.17,31.0,29.92,30.61,4805200
2020-03-31,31.45,32.28,30.96,31.25,7565900
2020-03-30,31.08,32.23,30.8,31.8,5540700
2020-03-27,31.17,31.8,30.19,31.04,6463500
2020-03-26,30.32,32.55,29.46,32.31,7147000
2020-03-25,30.77,31.8,29.81,30.23,7079100
2020-03-24,29.03,31.48,29.03,31.37,7600400
2020-03-23,30.0,30.0,26.72,28.18,6272000
2020-03-20,32.36,32.38,28.47,28.74,9568500
2020-03-19,33.41,35.46,32.0,32.3,9348200
2020-03-18,32.74,34.8,31.39,33.45,10310200
2020-03-17,32.38,35.13,32.03,34.51,8386500
2020-03-16,30.51,33.98,30.0,31.72,9546200
2020-03-13,32.8,34.15,31.21,34.09,9208800
2020-03-12,30.54,32.84,29.79,30.87,9929300
2020-03-11,32.47,33.67,32.32,32.93,10915900
2020-03-10,32.22,33.62,31.3,33.6,7310500
2020-03-09,31.87,32.84,30.61,31.19,12392900
2020-03-06,33.5,34.29,33.32,34.16,7757500
2020-03-05,34.55,36.05,34.48,34.84,8820000
2020-03-04,34.98,35.59,34.34,35.53,4983800
2020-03-03,34.84,36.39,34.18,34.39,6747000
2020-03-02,34.33,35.19,33.31,35.18,7077800
2020-02-28,33.81,34.84,33.49,34.22,8622900
2020-02-27,35.37,36.45,34.76,35.02,8835200
2020-02-26,36.67,36.83,35.89,35.96,4487800
2020-02-25,37.98,38.18,35.97,36.16,5998200
2020-02-24,38.05,38.39,37.24,37.76,3934900
2020-02-21,38.84,39.18,38.45,38.86,4124100
2020-02-20,38.41,39.31,38.29,39.02,3301400
2020-02-19,38.37,38.66,38.19,38.29,1706000
2020-02-18,38.28,38.44,37.88,38.29,2287800
2020-02-14,38.23,38.57,38.01,38.32,2745900
2020-02-13,38.15,38.47,37.99,38.24,2270800
2020-02-12,37.9,38.4,37.9,38.34,2477500
2020-02-11,37.1,37.95,37.09,37.82,4432200
2020-02-10,37.16,37.27,36.69,36.94,4827800
2020-02-07,37.66,37.95,37.12,37.35,3342700
2020-02-06,38.0,38.24,37.55,37.9,3126100
2020-02-05,37.55,37.67,37.17,37.65,4071300
2020-02-04,36.5,37.24,36.26,36.93,3614900
2020-02-03,35.21,36.06,35.03,35.85,4708900
2020-01-31,35.83,35.99,34.73,34.88,4707300
2020-01-30,34.73,36.18,34.73,36.14,4365600
2020-01-29,35.99,36.54,35.83,35.9,3883800
2020-01-28,35.39,35.9,35.07,35.77,3723700
2020-01-27,34.94,35.55,34.63,35.25,6163000
2020-01-24,36.12,36.17,35.03,35.52,4163900
2020-01-23,35.86,36.12,35.29,36.06,3133600
2020-01-22,36.18,36.3,35.87,35.93,3501600
2020-01-21,36.43,36.64,35.45,35.83,6476900
2020-01-17,36.37,37.6,36.21,36.8,12851800
2020-01-16,36.9,37.34,36.8,37.31,5958600
2020-01-15,36.67,36.98,36.45,36.79,4365800
2020-01-14,36.64,37.17,36.47,36.82,5495600
2020-01-13,36.6,36.65,36.35,36.59,3167600
2020-01-10,36.22,36.57,35.9,36.33,3542400
2020-01-09,36.19,36.41,35.84,36.22,3811400
2020-01-08,36.11,36.63,35.93,36.2,3795900
2020-01-07,35.87,36.1,35.65,35.93,3108300
2020-01-06,36.24,36.3,35.75,36.0,4135200
2020-01-03,36.67,36.82,36.03,36.57,4101300
2020-01-02,37.08,37.33,36.65,37.23,4190300
2019-12-31,36.86,37.18,36.84,36.95,2141900
2019-12-30,37.0,37.14,36.85,36.95,1393000
2019-12-27,37.0,37.08,36.66,36.98,1738000
2019-12-26,37.0,37.0,36.68,36.94,1834000
2019-12-24,37.06,37.06,36.74,37.01,810200
2019-12-23,37.39,37.43,36.85,36.93,2679300
2019-12-20,37.24,37.24,36.72,37.12,6381100
2019-12-19,36.81,36.91,36.59,36.8,2199000
2019-12-18,36.81,36.86,36.55,36.84,3034300
2019-12-17,37.79,37.79,36.72,36.87,3797600
2019-12-16,37.24,37.46,37.07,37.41,3015000
2019-12-13,37.49,37.94,36.94,37.03,4048500
2019-12-12,36.21,37.74,35.97,37.65,6002800
2019-12-11,36.08,36.32,35.84,36.24,1988400
2019-12-10,36.04,36.22,35.8,35.94,2400200
2019-12-09,35.96,36.27,35.91,36.11,3054200
2019-12-06,35.58,36.13,35.58,35.94,3779800
2019-12-05,35.65,36.48,35.18,35.28,5737200
2019-12-04,35.05,35.36,34.99,35.06,3811800
2019-12-03,34.52,35.03,34.03,34.91,3226400
2019-12-02,35.38,36.0,34.89,34.96,3296600
2019-11-29,35.66,35.91,35.43,35.52,1572000
2019-11-27,36.12,36.12,35.55,35.79,2089300
2019-11-26,35.94,36.13,35.79,35.91,4336000
2019-11-25,35.81,36.21,35.67,36.07,2864900
2019-11-22,35.36,35.74,34.95,35.71,2551900
2019-11-21,35.32,35.38,34.92,35.14,2645100
2019-11-20,35.66,35.73,35.05,35.26,3937700
2019-11-19,36.12,36.13,35.69,35.73,3787500
2019-11-18,36.24,36.25,35.66,35.86,2956900
2019-11-15,36.43,36.59,36.09,36.33,4185700
2019-11-14,36.02,36.31,35.73,36.2,2976900
2019-11-13,36.64,36.65,35.97,36.02,3165000
2019-11-12,36.82,37.01,36.57,36.9,2945500
2019-11-11,36.82,36.89,36.56,36.83,1828800
2019-11-08,37.12,37.14,36.83,37.07,3178300
2019-11-07,37.4,37.57,36.79,37.14,4006400
2019-11-06,36.9,37.16,36.48,37.15,7306000
2019-11-05,37.35,37.91,37.01,37.28,3842900
2019-11-04,37.41,37.91,37.18,37.3,4154400
2019-11-01,36.3,37.16,36.2,37.15,3767500
2019-10-31,36.12,36.29,35.47,35.94,5582900
2019-10-30,36.81,36.87,36.01,36.29,4170400
2019-10-29,36.41,36.84,36.37,36.73,5232700
2019-10-28,37.39,37.55,36.69,36.83,4025200
2019-10-25,37.1,37.36,37.04,37.18,4323500
2019-10-24,37.38,37.5,36.86,37.18,4222900
2019-10-23,37.15,37.8,36.82,37.66,5529600
2019-10-22,36.82,37.64,36.57,37.37,4840100
2019-10-21,36.1,36.96,35.98,36.79,6178100
2019-10-18,36.0,36.16,35.81,35.83,3815300
2019-10-17,35.55,36.31,35.55,36.02,4378000
2019-10-16,35.71,35.88,35.41,35.61,5105400
2019-10-15,35.64,36.12,35.42,35.8,5827500
2019-10-14,35.35,36.24,35.32,35.42,11701900
2019-10-11,34.1,36.58,34.04,36.34,28822500
2019-10-10,30.64,31.15,30.64,31.02,5764700
2019-10-09,30.72,30.9,30.45,30.65,3565000
2019-10-08,30.57,31.07,30.14,30.61,4852300
2019-10-07,31.41,31.47,30.9,31.03,5022500
2019-10-04,31.21,31.85,31.09,31.78,3629000
