datetime,open,high,low,close,volume
2021-01-29,201.17,202.0,196.00999,196.47929,269428
2021-01-28,203.89999,203.91,198.2,201.35001,666200
2021-01-27,203.5,208.55,196.38,201.22,3259400
2021-01-26,208.42,210.56,204.22,208.56,1822800
2021-01-25,209.46001,210.91,203.86,207.25,1197738
2021-01-22,199.2,204.55,198.52,204.32001,833900
2021-01-21,199.03,201.07001,197.97,201.0,671700
2021-01-20,198.75,199.8,197.47,198.64999,731800
2021-01-19,195.39999,198.59,195.2,196.8,739916
2021-01-15,192.57001,195.87,190.27,195.10001,513500
2021-01-14,193.81,198.07001,192.5,193.42999,519400
2021-01-13,191.46001,191.89999,189.36,191.71001,482500
2021-01-12,190.03,193.42999,189.83,192.97,406300
2021-01-11,189.35001,193.405,186.95,190.35001,448841
2021-01-08,193.72,200.57001,189.02,191.24001,1806500
2021-01-07,178.2,180.89,178.06,180.10001,1041800
2021-01-06,177.57001,180.71001,175.55,178.58,601300
2021-01-05,176.0,177.87,173.95,177.25,633500
2021-01-04,176.0,176.88,173.41,175.85001,430366
2020-12-31,176.32001,176.38,175.0,175.94,366600
2020-12-30,176.0,177.39999,175.38,175.66,300000
2020-12-29,177.96001,178.09,173.88,175.09,320900
2020-12-28,176.98,177.64999,175.66,176.44,331317
2020-12-24,176.8,176.8,174.31,175.61,115928
2020-12-23,176.98,177.08,175.28,175.86,298500
2020-12-22,174.57001,176.67,173.82001,175.64,468000
2020-12-21,172.64,174.84,170.0,174.28999,567699
2020-12-18,174.12,175.675,172.55,175.14999,876281
2020-12-17,174.38,175.0,171.56,174.49001,434028
2020-12-16,174.67,175.34,173.07001,173.25999,607700
2020-12-15,172.81,175.57001,168.47,174.49001,827856
2020-12-14,173.23,174.22,170.59,171.2,727800
2020-12-11,170.10001,173.28999,169.38,172.38,473016
2020-12-10,168.64,172.05,167.05,171.41,414500
2020-12-09,169.92,171.38,169.11,170.58,946000
2020-12-08,167.81,171.5,167.645,169.97,482288
2020-12-07,165.52,168.75,165.23,168.57001,490984
2020-12-04,163.67999,166.32001,162.07001,165.99001,321018
2020-12-03,163.42,164.28999,161.02,162.55,585900
2020-12-02,163.89999,165.14,163.25999,164.25999,323700
2020-12-01,165.31,165.33,162.84,163.94,545100
2020-11-30,163.63,164.60001,160.84531,162.81,837684
2020-11-27,164.63,164.8,162.99001,164.55,270700
2020-11-25,166.91,167.0,163.33,164.75,581500
2020-11-24,163.89999,166.32001,162.48,164.84,658000
2020-11-23,161.22,162.46001,160.0,162.2,662609
2020-11-20,159.89,162.46001,158.00999,161.11,730300
2020-11-19,156.83,160.81,156.3,160.2,1244300
2020-11-18,161.48,161.48,155.33,155.47,597880
