datetime,open,high,low,close,volume
2021-01-29,52.9,53.09,51.82,51.94,1415584
2021-01-28,54.5,54.75,52.86,52.88,1700300
2021-01-27,53.58,54.78,53.58,54.38,1104600
2021-01-26,54.49,54.75,54.18,54.2,1395900
2021-01-25,54.3,54.63,54.0,54.53,1949478
2021-01-22,53.68,54.48,53.58,54.36,1308000
2021-01-21,54.02,54.35,53.82,54.18,2181800
2021-01-20,54.44,54.44,54.03,54.12,2422400
2021-01-19,54.04,54.4,53.82,54.13,4589685
2021-01-15,54.04,54.07,53.34,53.69,3050600
2021-01-14,53.98,54.52,53.98,54.09,3075900
2021-01-13,53.62,54.41,53.51,54.03,3414300
2021-01-12,53.0,53.99,53.0,53.71,3573700
2021-01-11,52.3,53.245,52.07,53.14,3518891
2021-01-08,51.8,52.73,51.71,52.63,4057900
2021-01-07,52.53,53.07,51.62,51.87,7625500
2021-01-06,53.0,53.42,52.29,52.45,7532200
2021-01-05,51.53,53.34,51.5,53.14,9415100
2021-01-04,53.04,54.45,51.64,52.24,18361047
2020-12-31,43.56,43.99,43.39,43.83,737100
2020-12-30,43.03,44.31,42.97,43.81,801400
2020-12-29,44.54,44.78,42.85,43.04,1063600
2020-12-28,45.28,45.5,44.56,44.63,1219691
2020-12-24,45.16,45.34,44.26,44.54,1207200
2020-12-23,42.88,44.96,42.28,44.24,2671900
2020-12-22,41.98,42.09,41.42,41.5,974400
2020-12-21,41.84,42.13,40.979,41.59,1525798
2020-12-18,41.68,42.16,41.63,42.04,1151844
2020-12-17,41.99,42.04,41.51,41.75,833641
2020-12-16,42.65,43.1,41.6,41.78,1238000
2020-12-15,42.52,42.9499,41.915,42.84,906413
2020-12-14,42.1,43.07,41.97,42.12,1126161
2020-12-11,41.82,42.385,41.435,41.83,813009
2020-12-10,40.76,42.32,40.75,41.97,1356400
2020-12-09,41.27,41.8,41.0,41.68,1611800
2020-12-08,40.68,41.35,40.6,41.33,972890
2020-12-07,41.2,41.4396,40.51,40.9,1308973
2020-12-04,40.71,41.38,40.4,41.21,863679
2020-12-03,40.17,40.83,40.05,40.52,1295600
2020-12-02,39.97,40.13,39.63,40.02,1547800
2020-12-01,38.99,40.42,38.64,40.37,2228200
2020-11-30,39.46,39.89,38.06,38.24,12380492
2020-11-27,39.78,39.96,38.84,39.13,1292306
2020-11-25,41.38,41.38,39.92,39.97,1756900
2020-11-24,40.33,41.1,39.63,41.03,2272500
2020-11-23,38.14,39.135,37.6501,38.95,1879390
2020-11-20,37.56,38.23,37.34,38.03,1124700
2020-11-19,37.88,37.88,36.3,37.59,2047700
2020-11-18,37.28,38.87,37.26,38.32,1524209
2020-11-17,38.0,38.0,37.06,37.23,1595200
2020-11-16,37.86,38.28,37.64,38.23,1238867
2020-11-13,35.8,37.41,35.735,37.32,1062653
2020-11-12,36.13,36.3,35.23,35.5,1035200
2020-11-11,36.23,36.45,35.5,36.39,1199900
2020-11-10,37.06,37.43,35.99,36.06,1305500
