datetime,open,high,low,close,volume
2021-01-29,37.42,37.42,35.54,35.64,297605
2021-01-28,37.34,38.48,37.26,37.38,841400
2021-01-27,35.98,36.77,35.33,36.62,718100
2021-01-26,38.08,38.08,36.69,36.92,417700
2021-01-25,38.02,38.49,37.11,37.44,428617
2021-01-22,37.98,38.72,37.72,38.56,784500
2021-01-21,38.31,38.78,38.21,38.55,689500
2021-01-20,38.39,39.02,38.17,38.55,690500
2021-01-19,37.75,38.59,37.51,38.25,705330
2021-01-15,38.22,38.25,37.0,37.23,1021900
2021-01-14,37.34,38.85,37.07,38.56,1076100
2021-01-13,37.97,38.04,36.98,37.07,534600
2021-01-12,37.55,38.35,37.3,37.84,796100
2021-01-11,36.17,37.39,36.02,37.25,568256
2021-01-08,37.88,37.89,36.44,36.98,718200
2021-01-07,37.91,37.99,37.14,37.73,1000700
2021-01-06,37.12,38.34,36.98,37.79,1138800
2021-01-05,35.05,36.34,35.02,36.13,790000
2021-01-04,35.95,36.62,34.65,34.77,1050566
2020-12-31,36.78,36.97,36.22,36.85,374500
2020-12-30,36.4,36.96,36.16,36.83,332900
2020-12-29,36.77,36.91,36.12,36.36,487600
2020-12-28,36.9,37.44,36.64,36.69,339581
2020-12-24,36.75,36.75,36.31,36.71,120061
2020-12-23,36.59,37.27,36.4,36.75,479400
2020-12-22,36.99,37.1,36.19,36.29,866100
2020-12-21,36.26,37.16,35.74,37.07,646084
2020-12-18,37.59,37.955,37.01,37.28,855918
2020-12-17,37.48,37.7,36.92,37.6,535066
2020-12-16,37.8,37.8,36.73,37.31,879000
2020-12-15,39.24,39.24,37.49,37.72,1206971
2020-12-14,37.78,37.85,36.77,36.77,1145127
2020-12-11,36.1,37.36,36.1,37.1,821161
2020-12-10,36.01,36.86,35.91,36.74,723200
2020-12-09,36.1,36.61,35.8,36.36,738700
2020-12-08,35.08,35.9,34.96,35.89,596498
2020-12-07,35.1,36.17,34.79,35.33,940784
2020-12-04,34.255,35.85,34.135,35.58,637931
2020-12-03,33.6,34.17,33.47,33.78,726700
2020-12-02,33.6,33.86,33.3,33.55,1423300
2020-12-01,34.72,34.83,33.86,33.96,862300
2020-11-30,35.21,35.46,33.95,34.08,1026243
2020-11-27,35.38,35.94,35.14,35.46,304600
2020-11-25,35.95,35.99,34.67,35.2,719700
2020-11-24,35.28,36.4,35.0,36.12,1408300
2020-11-23,33.49,34.55,33.241,34.45,774119
2020-11-20,33.9,33.92,32.57,32.91,1065200
2020-11-19,34.34,34.56,33.28,34.05,897900
2020-11-18,33.83,35.18,33.61,34.66,1558306
2020-11-17,33.24,33.72,32.5,33.6,546800
2020-11-16,33.94,34.03,32.79,33.89,1131877
2020-11-13,32.0,32.77,31.94,32.55,1062198
2020-11-12,31.5,32.21,31.16,31.53,991600
2020-11-11,33.04,33.13,31.39,31.93,1375300
2020-11-10,32.64,33.05,32.1,32.98,1418800
2020-11-09,32.26,33.4,32.09,32.15,2371484
2020-11-06,31.13,31.63,28.4,28.65,2005900
2020-11-05,30.42,32.05,30.4,31.62,1216100
2020-11-04,30.87,30.91,29.31,30.02,1154100
2020-11-03,31.21,31.87,30.95,31.58,879000
2020-11-02,29.68,30.54,29.42,30.54,611350
2020-10-30,28.39,29.15,28.38,29.12,926100
2020-10-29,28.35,28.62,27.58,28.49,1431200
2020-10-28,28.75,29.49,28.63,28.8,1250500
2020-10-27,29.63,29.885,29.47,29.53,959983
2020-10-26,31.06,31.35,29.64,29.95,1296885
2020-10-23,30.7,31.92,30.63,31.76,1587300
2020-10-22,29.25,30.6,29.25,30.55,824300
2020-10-21,29.08,29.65,29.0,29.21,566900
2020-10-20,29.13,29.46,28.97,29.07,766200
2020-10-19,28.97,29.38,28.62,28.83,680063
2020-10-16,29.07,29.18,28.8,28.86,806900
2020-10-15,28.62,29.2,28.33,29.05,1204400
2020-10-14,29.0,29.585,29.0,29.32,700146
2020-10-13,29.49,29.62,28.69,28.87,950136
2020-10-12,29.47,29.94,28.98,29.86,710108
2020-10-09,29.395,29.71,29.1,29.48,652472
2020-10-08,28.735,29.18,28.4,29.16,435705
2020-10-07,27.83,28.65,27.83,28.51,676200
2020-10-06,28.23,28.5,27.5,27.55,476200
2020-10-05,27.5,27.99,27.47,27.9,602931
2020-10-02,25.97,27.5,25.87,27.23,414152
2020-10-01,27.39,27.51,26.31,26.67,957433
2020-09-30,27.13,27.84,27.01,27.29,1248300
2020-09-29,27.53,27.59,26.725,26.93,739553
2020-09-28,27.15,27.94,27.15,27.43,582197
2020-09-25,26.83,27.035,26.49,26.58,861257
2020-09-24,26.54,27.56,26.21,26.99,685648
2020-09-23,27.23,27.55,26.59,26.66,653334
2020-09-22,26.92,27.45,26.89,27.05,623756
2020-09-21,27.86,27.87,26.08,26.75,1246977
2020-09-18,28.93,29.3,28.15,28.48,790746
2020-09-17,28.86,29.31,28.31,28.93,775835
2020-09-16,28.36,29.775,28.17,29.55,1166901
2020-09-15,28.24,28.7,27.75,28.19,802714
2020-09-14,28.495,28.73,28.05,28.23,592999
2020-09-11,27.88,28.4801,27.85,28.14,580572
