datetime,open,high,low,close,volume
2021-01-29,249.4675,249.4675,240.5827,241.50999,311953
2021-01-28,250.91,257.85999,248.45,252.08,624000
2021-01-27,256.56,257.0,244.17,245.28999,1044100
2021-01-26,263.23001,263.63,259.20001,261.03,813000
2021-01-25,265.23001,266.42999,257.34,261.07001,960469
2021-01-22,267.54999,268.63,264.97,267.41,396300
2021-01-21,266.98001,271.47,266.17999,269.78,422200
2021-01-20,267.82001,269.34,264.82001,267.63,511700
2021-01-19,266.87,268.51999,264.73001,266.78,471985
2021-01-15,266.34,266.70999,262.16,265.23001,517400
2021-01-14,276.0,276.29999,266.73001,267.67999,413800
2021-01-13,273.20999,277.85001,273.20999,275.73001,426900
2021-01-12,269.17001,274.48001,266.67999,273.25,601500
2021-01-11,273.0,274.39001,270.14001,270.37,422819
2021-01-08,277.20999,279.17999,274.09,275.84,483900
2021-01-07,272.78,277.12,272.23001,276.06,488500
2021-01-06,272.51999,277.70999,270.45999,272.23001,756600
2021-01-05,266.73999,271.39999,265.09,267.0,406500
2021-01-04,272.73001,273.17999,258.45499,265.92999,840848
2020-12-31,269.07999,273.28,268.19,272.82999,389600
2020-12-30,272.39999,273.0,269.04001,270.03,395600
2020-12-29,275.32001,275.5,271.14999,271.20001,268700
2020-12-28,273.48001,273.92999,270.78,273.44,315865
2020-12-24,270.0,272.53,268.94,270.48999,363514
2020-12-23,272.10001,272.51999,269.44,269.64999,372000
2020-12-22,272.98999,273.76001,268.88,269.45999,462400
2020-12-21,275.13,276.59,268.92999,271.85001,401498
2020-12-18,281.92999,282.45001,277.69501,279.64001,495322
2020-12-17,281.10501,284.06,279.51999,282.01999,778882
2020-12-16,276.69,280.95999,274.95001,279.73001,558800
2020-12-15,272.45001,276.20001,271.625,275.94,420205
2020-12-14,276.64001,276.95001,270.16,271.16,562865
2020-12-11,270.67999,275.06,270.67999,273.48001,496397
2020-12-10,264.67001,273.44,263.47,273.39001,789500
2020-12-09,269.48999,270.04999,266.14001,267.06,500900
2020-12-08,271.44,271.44,266.5,268.29999,415559
2020-12-07,267.06,273.82999,266.57999,273.62,1040152
2020-12-04,264.95499,269.97,264.13,268.0,869251
2020-12-03,263.14001,265.57999,261.57999,262.23001,626100
2020-12-02,265.95001,265.95001,261.42999,263.81,472900
2020-12-01,268.57001,271.45001,265.91,267.26001,708400
2020-11-30,267.14001,268.23001,262.28,265.20999,581025
2020-11-27,269.88,269.88,266.30499,267.60001,307852
2020-11-25,267.42999,271.64999,262.84,269.69,556300
2020-11-24,258.94,267.56,257.03,267.06,1190700
2020-11-23,255.0,257.34,252.06,254.66,1261518
2020-11-20,258.63,258.82001,253.67999,253.92999,535800
2020-11-19,261.95999,263.48999,258.01999,260.28,868900
2020-11-18,266.92999,270.20001,262.62,262.62,397971
2020-11-17,261.57001,269.57999,261.57001,267.98999,425100
2020-11-16,266.0,267.97,262.07999,265.10999,624149
2020-11-13,262.43561,265.17999,256.97,260.32001,712972
2020-11-12,264.75,266.17001,256.60001,260.35001,923500
2020-11-11,278.51001,278.51001,265.13,266.37,1271900
2020-11-10,269.19,281.10999,266.14001,279.03,1643900
2020-11-09,248.75,274.73801000000003,245.94,269.12,1888279
2020-11-06,240.0,242.02,229.78999,232.11,1609700
2020-11-05,241.03,242.35001,238.87,240.0,1008800
2020-11-04,238.53999,241.14999,235.03,237.19,645000
2020-11-03,233.39999,237.44,232.60001,235.14,623400
2020-11-02,224.36,230.98,222.48,230.53,599967
2020-10-30,218.23,221.12,216.17,220.91,638400
2020-10-29,217.28,222.36,214.88,219.41,1538500
2020-10-28,226.07001,228.46001,220.92999,221.62,1329200
2020-10-27,241.71001,242.85539,231.63,231.69,796627
2020-10-26,255.35001,255.7,239.13499,241.21001,1057514
2020-10-23,257.23999,260.29999,256.57999,259.13,601518
2020-10-22,249.28999,257.79999,246.31,256.84,741100
2020-10-21,242.49001,249.45,241.8,248.28,592100
2020-10-20,243.46001,246.09,242.63,242.83,327800
2020-10-19,251.13,251.17999,239.75999,241.55,672410
2020-10-16,248.60001,250.11,246.39,249.59,420300
2020-10-15,246.58,248.11,244.67,246.50999,469900
2020-10-14,250.17,252.03,247.675,250.02,382424
2020-10-13,249.19501,251.44,248.12,248.77,524386
2020-10-12,249.28,253.99001,248.36279,251.2,494928
2020-10-09,246.66,250.28999,245.02,247.07001,459624
2020-10-08,241.5204,245.86,241.5204,245.00999,295096
2020-10-07,240.92999,241.92,239.10001,240.89999,382400
2020-10-06,241.06,246.25999,236.84,238.94,465500
2020-10-05,236.63,239.1375,234.94,238.92,612360
2020-10-02,232.5932,235.97,231.39999,234.45,504419
2020-10-01,240.77,242.81,236.64999,237.25,383498
2020-09-30,240.34,243.13,235.78,238.10001,628400
2020-09-29,242.23,243.5,240.38,240.75,677032
2020-09-28,240.605,243.37,239.59,241.61,178612
2020-09-25,232.94,237.295,230.42,236.91,70044
2020-09-24,232.05,235.50999,229.67999,233.61,90360
2020-09-23,236.875,237.5,232.67,234.0,106782
2020-09-22,236.17,236.39999,232.7,235.96001,177517
2020-09-21,237.57001,237.57001,230.595,235.52,665067
2020-09-18,235.405,243.28,235.405,241.86,320784
2020-09-17,230.02,236.315,229.14,235.94,153756
2020-09-16,232.53,236.98,232.33,234.32001,208647
2020-09-15,237.00999,238.83,231.53999,232.28,507030
2020-09-14,233.53,236.27,232.795,234.82001,570919
2020-09-11,234.4789,235.41,228.00999,231.0,269117
2020-09-10,236.485,239.59,232.63,233.175,217221
2020-09-09,234.86,237.41,230.99001,235.10001,283575
2020-09-08,232.81,236.61,230.87,231.99001,460052
2020-09-04,247.66,248.17,237.59,238.03999,361557
2020-09-03,253.32001,253.32001,241.63,246.23,357147
2020-09-02,250.69501,254.73,247.8,253.64999,258847
2020-09-01,249.82001,255.0,249.71001,249.99001,189196
2020-08-31,254.84,257.10001,251.38,251.38,329884
2020-08-28,247.88,255.05,247.88,255.0,382739
2020-08-27,243.74001,248.02,243.11,248.0,333040
2020-08-26,242.75,245.06,240.14999,244.8,285877
2020-08-25,240.47,242.34,238.11,242.34,241269
2020-08-24,240.69,241.02,237.44,240.10001,211092
2020-08-21,239.75,241.69,236.00999,238.60001,318040
2020-08-20,241.75,244.17999,241.00999,241.19,461734
2020-08-19,244.39999,245.84,243.24001,244.86,216549
2020-08-18,245.32001,246.98,239.38,243.7,415172
2020-08-17,241.17,246.625,241.17,245.5,759981
2020-08-14,234.485,240.53,234.12,240.34,548217
2020-08-13,228.96001,235.88,228.45,234.63,436013
2020-08-12,236.5,236.5,228.41,230.53999,507237
2020-08-11,238.50999,240.34,234.57001,234.75,451041
2020-08-10,239.39,242.14999,229.92999,236.61,546501
2020-08-07,245.39999,248.16,235.42999,240.41,938030
2020-08-06,264.38501,267.48499,261.125,262.87,229459
2020-08-05,260.82001,268.54001,260.82001,265.37,376581
2020-08-04,262.0,263.12,257.84,258.70999,255705
2020-08-03,258.57001,263.53,255.5,263.16,257573
2020-07-31,258.39001,258.69,254.09,258.66,113600
2020-07-30,259.35001,260.85999,251.44,259.44,210702
2020-07-29,257.72,266.75,257.72,264.76999,147154
2020-07-28,257.86499,261.12,256.14999,256.22,223252
2020-07-27,258.20999,259.75,257.01999,258.48001,121275
2020-07-24,258.31,260.81,255.35001,258.09,199493
2020-07-23,263.17001,263.98999,256.94,259.39999,461432
2020-07-22,258.95999,262.57999,258.95999,262.17999,177349
2020-07-21,261.77499,262.185,257.31,258.09,95256
2020-07-20,258.32001,260.38,256.60001,259.48999,74886
2020-07-17,262.73001,262.73001,256.48999,259.07001,84388
2020-07-16,265.39001,265.5,260.01001,260.29001,49255
2020-07-15,253.42,266.42001,253.42,266.07999,52526
2020-07-14,246.89,249.39999,243.97,249.03999,37252
2020-07-13,254.42999,256.04001,247.78999,248.35001,34079
2020-07-10,251.75999,253.87,249.2,253.095,39809
2020-07-09,258.76001,258.76001,251.00999,253.39,45247
2020-07-08,254.37,256.85001,251.05,253.66,58649
2020-07-07,254.55,259.45001,251.60001,252.98,133128
2020-07-06,257.45001,261.70001,255.87,256.20001,45424
2020-07-02,257.39999,261.54999,254.50999,254.84,45195
2020-07-01,251.5,256.07999,249.89,254.69,562075
2020-06-30,245.66,253.31,244.5,251.53,748291
2020-06-29,241.42999,246.27,237.84,246.14999,479895
2020-06-26,246.03,247.10001,237.74001,238.52,881688
2020-06-25,245.28,247.25999,242.98,246.97,119767
2020-06-24,260.8829,260.8829,245.98,246.42,284284
2020-06-23,266.155,268.17999,263.32001,263.89001,110919
2020-06-22,261.39001,267.625,260.69501,264.45001,117056
2020-06-19,265.39499,267.565,261.85001,263.98001,279032
2020-06-18,255.0,261.95999,251.67999,261.31,298702
2020-06-17,262.26999,264.01001,257.17001,258.14001,166392
2020-06-16,269.19,271.14001,259.98499,262.54001,181313
2020-06-15,250.45,259.60999,248.37,258.73001,174748
2020-06-12,263.38,266.95001,252.11749,258.78,192236
