datetime,open,high,low,close,volume
2021-01-29,30.31,31.25,30.0,30.1,817324
2021-01-28,32.215,32.98,30.54,30.62,2687200
2021-01-27,33.4,36.96,32.35,32.47,6830200
2021-01-26,30.94,33.59,30.92,33.4,3088000
2021-01-25,29.18,30.8,29.17,30.68,4384444
2021-01-22,29.76,29.76,28.94,29.17,1595000
2021-01-21,29.82,30.21,29.72,29.85,2285600
2021-01-20,29.25,30.275,29.24,29.94,2704400
2021-01-19,30.37,30.37,29.12,29.17,1807473
2021-01-15,30.2,30.66,29.87,30.39,3611800
2021-01-14,29.35,30.55,29.05,30.34,5169000
2021-01-13,28.99,29.39,28.67,29.31,1304400
2021-01-12,29.67,29.89,29.03,29.18,1251100
2021-01-11,29.34,29.93,29.27,29.7,1206998
2021-01-08,30.23,30.4,29.15,29.62,1838700
2021-01-07,31.02,31.41,30.2,30.23,2343400
2021-01-06,29.41,31.6,29.41,31.46,1768000
2021-01-05,28.45,29.17,28.39,29.015,833700
2021-01-04,29.01,29.38,28.15,28.41,1167952
2020-12-31,28.7,29.02,28.66,28.88,650400
2020-12-30,28.95,29.23,28.7,28.7,756300
2020-12-29,29.04,29.05,28.625,28.785,694500
2020-12-28,28.13,28.98,28.01,28.88,897847
2020-12-24,27.75,28.13,27.75,28.0,475800
2020-12-23,27.085,27.84,27.03,27.75,1063000
2020-12-22,27.31,27.44,26.89,26.98,1208400
2020-12-21,27.47,27.59,27.02,27.39,1257905
2020-12-18,28.1,28.42,27.64,27.81,1413151
2020-12-17,28.3,28.31,27.58,28.16,1327626
2020-12-16,28.26,28.44,28.0,28.11,976600
2020-12-15,28.47,28.47,27.62,28.21,1018702
2020-12-14,29.09,29.17,28.32,28.34,1008145
2020-12-11,28.42,28.77,28.17,28.73,1246020
2020-12-10,28.46,28.79,28.35,28.685,976200
2020-12-09,29.05,29.16,28.58,28.73,1601700
2020-12-08,29.1,29.37,28.77,28.9,921461
2020-12-07,29.01,29.44,28.92,29.31,1513926
2020-12-04,30.02,30.02,29.19,29.25,1437790
2020-12-03,30.1,30.41,29.7,29.77,1142000
2020-12-02,29.71,30.07,29.26,30.05,1101100
2020-12-01,28.65,30.04,28.58,29.7,1436600
2020-11-30,28.52,28.79,28.295,28.38,1546766
2020-11-27,28.88,29.09,28.66,28.73,506000
2020-11-25,28.98,29.0,28.65,28.96,806400
2020-11-24,28.36,29.39,28.17,29.21,1579700
2020-11-23,27.46,28.245,27.4,28.04,1022473
2020-11-20,27.24,27.58,27.07,27.44,1248300
2020-11-19,27.01,27.485,26.95,27.27,1005000
2020-11-18,27.67,27.75,27.13,27.15,1228194
2020-11-17,26.54,27.72,26.21,27.65,1601400
2020-11-16,26.55,27.245,26.42,26.75,2037525
2020-11-13,25.43,26.37,25.43,26.21,2867015
2020-11-12,26.91,26.96,25.265,25.45,2251500
2020-11-11,26.74,27.26,26.39,27.15,1216900
2020-11-10,25.82,26.93,25.76,26.7,1559900
2020-11-09,26.7,27.35,25.85,26.19,2287750
2020-11-06,26.245,26.33,25.38,25.605,1400000
2020-11-05,25.67,26.42,25.28,26.37,1280400
2020-11-04,27.16,27.16,25.11,25.43,2861400
2020-11-03,28.29,28.86,26.2,26.7,1454900
2020-11-02,26.44,27.0,25.98,26.89,2505065
2020-10-30,25.28,26.16,25.28,26.14,2209100
2020-10-29,24.9,25.54,24.81,25.39,1609500
2020-10-28,25.55,25.83,24.975,25.02,2046100
2020-10-27,26.1,26.18,25.88,26.0,1032529
2020-10-26,26.7,26.87,25.955,26.18,2529867
2020-10-23,27.49,27.565,26.685,26.9318,1534049
2020-10-22,26.74,27.63,26.74,27.41,1828000
2020-10-21,26.09,26.85,25.91,26.75,803400
2020-10-20,26.54,26.54,26.09,26.18,1437500
2020-10-19,27.19,27.25,26.2,26.25,833242
2020-10-16,27.31,27.43,26.81,27.12,715400
2020-10-15,26.92,27.23,26.62,27.2,992000
2020-10-14,27.47,27.74,27.085,27.13,736976
2020-10-13,29.08,29.08,27.43,27.47,1362040
2020-10-12,29.43,29.5,28.96,29.13,1184165
2020-10-09,29.7,30.04,29.16,29.2,758115
2020-10-08,29.35,29.65,29.065,29.62,550917
2020-10-07,28.68,29.28,28.34,29.11,1054800
2020-10-06,28.97,29.18,28.01,28.12,1452400
2020-10-05,28.42,28.95,28.19,28.89,584006
2020-10-02,27.91,28.415,27.64,28.18,973641
2020-10-01,28.21,28.35,27.68,28.2,768841
2020-09-30,27.95,28.61,27.65,27.97,1455800
2020-09-29,27.94,28.0,27.26,27.81,735995
2020-09-28,27.35,27.9,27.14,27.9,1044723
2020-09-25,26.01,26.89,26.01,26.77,732953
2020-09-24,26.12,26.43,25.61,26.22,745713
2020-09-23,27.01,27.05,25.855,25.98,1040562
2020-09-22,26.9,27.16,26.61,26.93,1139073
2020-09-21,27.585,27.68,26.43,26.88,1161368
2020-09-18,28.72,28.7249,27.625,28.0,1607257
2020-09-17,28.85,29.28,28.4,28.76,1269318
2020-09-16,28.79,29.87,28.78,29.45,1219167
2020-09-15,28.78,29.04,28.43,28.64,1011833
2020-09-14,28.42,29.28,28.35,28.7,1082704
2020-09-11,28.15,28.64,27.68,28.14,1056952
2020-09-10,28.2,28.79,27.96,28.15,1675799
2020-09-09,28.04,28.46,27.47,28.29,1552192
2020-09-08,27.59,28.34,27.59,27.84,1294954
2020-09-04,27.95,28.08,27.4,27.76,1281560
2020-09-03,28.28,28.735,27.37,27.51,1609399
2020-09-02,27.58,28.15,27.57,27.99,944077
2020-09-01,27.48,27.55,27.08,27.5,1202988
2020-08-31,27.9,28.44,27.695,27.8,1290013
2020-08-28,27.83,27.96,27.51,27.92,741275
2020-08-27,27.43,27.84,27.34,27.645,859788
2020-08-26,26.8,27.312,26.75,27.15,1061616
2020-08-25,27.19,27.24,26.43,26.97,1064909
2020-08-24,25.99,27.19,25.99,27.07,1139890
2020-08-21,25.77,26.055,25.62,26.02,829055
2020-08-20,25.73,26.05,25.58,25.92,579273
2020-08-19,25.78,26.24,25.76,25.92,670440
2020-08-18,25.78,25.95,25.63,25.72,941533
2020-08-17,25.93,25.93,25.27,25.73,567991
2020-08-14,25.67,26.09,25.41,25.82,601018
2020-08-13,25.2,25.72,24.94,25.69,762510
2020-08-12,25.17,25.37,24.82,25.21,983114
2020-08-11,24.93,25.72,24.87,24.94,1389843
2020-08-10,24.9,25.05,24.4,24.68,1409673
2020-08-07,25.1,25.17,24.46,24.89,1616351
2020-08-06,24.9795,25.41,24.725,25.16,1297873
2020-08-05,26.0,26.15,24.3,24.85,1815441
2020-08-04,26.16,27.06,26.16,26.71,686246
2020-08-03,25.87,26.32,25.43,26.28,670823
2020-07-31,25.65,25.8,25.23,25.77,723572
2020-07-30,25.46,26.01,25.26,25.88,557262
2020-07-29,25.67,26.11,25.43,25.92,611242
2020-07-28,25.56,26.1,25.445,25.73,627093
2020-07-27,26.38,26.51,25.44,25.7,871938
2020-07-24,26.18,27.19,26.18,26.49,801510
2020-07-23,25.92,26.41,25.88,26.13,907933
2020-07-22,25.25,25.89,25.2,25.87,840633
2020-07-21,24.97,25.71,24.97,25.37,999769
2020-07-20,25.0118,25.32,24.31,24.82,1293418
2020-07-17,26.51,26.51,25.14,25.26,1412015
2020-07-16,25.95,26.54,25.89,26.395,183142
2020-07-15,25.33,26.38,25.33,26.25,1449400
2020-07-14,24.67,25.47,24.54,25.13,1522588
2020-07-13,25.38,25.62,24.44,25.05,1655467
2020-07-10,24.33,25.41,24.33,25.39,809600
2020-07-09,25.28,25.36,24.03,24.451,1099000
2020-07-08,25.7,25.76,25.11,25.39,142510
2020-07-07,26.26,26.3,25.71,25.77,1007100
2020-07-06,26.94,27.0731,26.2,26.53,884532
2020-07-02,27.5,27.65,26.47,26.55,189086
2020-07-01,26.8,27.36,26.52,26.915,1851948
2020-06-30,26.76,26.9,26.44,26.84,1325600
2020-06-29,25.99,26.84,25.6,26.79,1362013
2020-06-26,26.62,26.62,25.4,25.75,2615700
2020-06-25,26.75,26.82,26.125,26.75,1739700
2020-06-24,27.39,27.59,26.46,27.01,1220800
2020-06-23,27.86,28.355,27.78,27.8,205646
2020-06-22,27.55,27.77,27.17,27.62,241289
2020-06-19,29.15,29.49,27.82,27.82,417781
2020-06-18,27.57,28.69,27.48,28.66,231643
2020-06-17,28.0,28.09,27.54,27.76,400748
2020-06-16,29.9,30.02,27.715,28.01,375733
2020-06-15,26.97,29.36,26.861,28.86,350577
2020-06-12,28.38,28.62,27.29,27.95,468547
2020-06-11,28.71,28.78,27.52,27.63,382816
2020-06-10,30.13,30.25,29.12,29.725,511242
2020-06-09,31.03,31.36,30.26,30.33,325009
2020-06-08,30.39,32.05,30.39,31.7,632409
2020-06-05,30.96,31.51,30.12,30.25,1659300
2020-06-04,30.03,30.43,29.58,29.945,1132000
2020-06-03,29.21,30.59,29.21,30.22,1326900
2020-06-02,29.18,29.36,28.58,28.87,827600
2020-06-01,28.89,29.41,28.8,29.14,740700
2020-05-29,28.56,28.93,28.07,28.78,1740100
2020-05-28,29.42,29.62,28.53,28.66,937100
2020-05-27,28.99,29.73,28.68,29.3,923800
2020-05-26,28.4,28.77,28.08,28.59,856000
2020-05-22,27.16,27.48,27.04,27.37,739000
2020-05-21,27.07,27.63,27.07,27.23,666400
2020-05-20,27.04,27.76,27.03,27.37,941700
2020-05-19,26.72,27.48,26.46,26.94,741900
2020-05-18,26.66,27.04,26.215,26.855,1144500
2020-05-15,24.97,25.57,24.69,25.5,1056400
2020-05-14,23.67,25.2,23.36,25.12,1753200
2020-05-13,24.72,24.755,23.38,24.06,1172600
2020-05-12,25.59,25.76,24.89,24.89,995000
2020-05-11,25.81,25.81,24.78,25.45,845300
2020-05-08,25.62,25.95,25.32,25.73,949500
2020-05-07,26.25,26.73,24.86,25.01,1810900
2020-05-06,23.89,24.72,23.39,24.61,1949600
2020-05-05,24.82,25.01,23.63,23.85,1413200
2020-05-04,24.85,24.96,24.21,24.63,1180100
2020-05-01,25.0,25.38,24.67,25.02,803100
2020-04-30,27.4,27.4,25.175,25.56,1787100
2020-04-29,27.73,28.24,27.69,27.95,1215400
2020-04-28,26.65,27.71,26.5,26.97,1157500
2020-04-27,24.83,26.24,24.78,26.01,1128200
2020-04-24,24.48,24.675,24.13,24.52,1423000
2020-04-23,24.63,25.1,23.91,24.45,1512000
2020-04-22,25.68,25.88,24.53,24.59,1501900
2020-04-21,24.91,25.38,24.78,25.05,1442400
2020-04-20,25.46,26.44,25.46,25.69,1896900
2020-04-17,25.75,26.33,25.52,26.23,1085600
2020-04-16,25.16,25.29,24.42,25.13,1872800
2020-04-15,25.15,25.25,24.55,25.17,1167800
2020-04-14,25.8,26.18,25.39,26.01,967100
2020-04-13,25.46,25.51,24.32,25.4,1554400
2020-04-09,25.92,26.56,25.17,25.64,1596300
2020-04-08,25.04,26.03,25.0,25.82,1529100
2020-04-07,25.69,26.44,24.9,24.97,1670400
2020-04-06,22.78,24.62,22.69,24.45,1489800
2020-04-03,21.73,21.97,21.2,21.59,1208700
2020-04-02,21.56,22.71,21.22,21.84,2515500
2020-04-01,21.85,22.183,21.26,21.565,1584700
2020-03-31,23.95,24.32,22.76,22.88,2087600
2020-03-30,22.11,23.97,21.52,23.77,1575000
2020-03-27,23.71,23.95,21.95,22.04,1979800
2020-03-26,23.46,24.78,23.46,24.6,2435300
2020-03-25,21.65,24.54,21.26,23.34,3077500
2020-03-24,20.82,21.73,20.17,21.65,2434900
2020-03-23,20.13,20.55,19.13,19.81,2577600
2020-03-20,22.3,22.77,19.92,20.05,3236800
2020-03-19,21.43,22.73,20.1,21.94,2025500
2020-03-18,22.54,23.26,20.64,21.41,3549300
2020-03-17,23.5,24.44,22.17,23.79,3157000
2020-03-16,23.3,24.38,22.68,23.19,3320300
2020-03-13,26.4,27.78,24.243,25.38,2710400
2020-03-12,26.55,26.66,24.29,25.56,3106700
2020-03-11,27.82,28.28,27.3,27.52,3077300
2020-03-10,27.96,28.98,26.77,28.76,3554900
2020-03-09,26.75,27.63,26.38,27.13,4129700
2020-03-06,27.71,28.79,27.55,28.52,2821300
2020-03-05,29.83,30.04,28.91,29.12,2206300
2020-03-04,31.04,31.27,30.13,30.67,2778700
2020-03-03,31.19,32.28,30.34,30.71,4065400
2020-03-02,30.48,31.79,30.07,31.79,2871300
2020-02-28,30.2,31.32,29.86,30.45,3917400
2020-02-27,31.99,32.56,30.99,30.99,2763400
2020-02-26,33.36,33.41,32.08,32.4,2761100
2020-02-25,34.41,34.55,32.645,32.83,1922800
2020-02-24,35.27,35.44,34.09,34.27,1503900
2020-02-21,36.29,36.84,35.48,35.5,1593500
2020-02-20,37.18,37.34,35.9,36.54,1605200
2020-02-19,37.24,37.72,37.1,37.53,674100
2020-02-18,37.26,37.405,36.94,37.22,965600
2020-02-14,37.53,37.59,37.0,37.31,750500
