datetime,open,high,low,close,volume
2021-01-29,146.78,148.145,143.62,144.34,510236
2021-01-28,148.22,150.09,147.53,147.64,1022000
2021-01-27,149.91,150.77,146.25999,147.05,846900
2021-01-26,156.98,157.73,152.64,152.73,411300
2021-01-25,155.12,156.64999,153.47,156.44,889550
2021-01-22,152.71001,156.75,152.71001,156.53,1092500
2021-01-21,155.66,155.73,153.45,154.06,957200
2021-01-20,154.87,155.8,153.67999,155.59,920200
2021-01-19,153.97,156.14999,153.42999,155.0,1400347
2021-01-15,155.52,156.47,151.64999,153.71001,1085000
2021-01-14,164.42,166.82001,157.35001,158.03999,1685800
2021-01-13,162.66,162.84,160.64,161.25,1926400
2021-01-12,164.22,164.92,161.96001,163.3,1241800
2021-01-11,160.38,163.99001,158.66,163.63,891500
2021-01-08,160.08,162.16,159.08,161.89,853200
2021-01-07,158.12,161.16,158.12,160.12,1154500
2021-01-06,152.0,157.27,151.67,156.14999,1651100
2021-01-05,146.73,149.16,145.8,148.67,843200
2021-01-04,147.25,147.935,144.03,147.22,995551
2020-12-31,144.87,147.24001,143.71001,146.92999,683800
2020-12-30,142.88,145.02,142.62,144.81,707800
2020-12-29,142.45,143.00999,141.03,142.39999,653500
2020-12-28,141.98,143.23,140.7363,142.67,627490
2020-12-24,140.10001,140.8,139.125,140.50999,143215
2020-12-23,137.59,140.56,137.22,140.46001,625900
2020-12-22,136.22,137.85001,135.57001,136.64999,854700
2020-12-21,135.87,136.64,133.075,135.75,850123
2020-12-18,138.16,138.3,134.92,135.77,803733
2020-12-17,135.82001,138.33,134.61,138.10001,694144
2020-12-16,134.19,135.78,133.53,135.28,1417500
2020-12-15,130.325,134.21001,130.325,134.16,742137
2020-12-14,131.36,131.49001,129.2,129.25999,664010
2020-12-11,130.22,130.39,128.91,129.67,473433
2020-12-10,128.64999,130.50999,128.60001,130.32001,780900
2020-12-09,130.77,131.06,128.92999,129.77,722000
2020-12-08,129.53999,130.27,129.0,130.16,564333
2020-12-07,129.28,130.23,128.75,130.13,959968
2020-12-04,131.12,131.715,129.39999,129.49001,530973
2020-12-03,131.5,131.98,129.53999,129.81,651500
2020-12-02,131.09,132.37,130.23,131.67999,534100
2020-12-01,131.45,132.75,130.58,131.41,1013200
2020-11-30,129.92,130.86,128.75,129.56,865384
2020-11-27,133.03,133.03,129.86,130.34,804200
2020-11-25,134.53999,134.53999,131.48,132.96001,689500
2020-11-24,132.86,134.81,132.38,134.62,1118700
2020-11-23,131.7,132.47,130.25,130.73,639347
2020-11-20,131.75999,132.14999,129.49001,129.89999,941000
2020-11-19,132.81,132.81,131.25999,132.24001,480100
2020-11-18,134.58,135.83,133.11,133.12,446529
2020-11-17,133.85001,134.52,132.34,134.47,818000
2020-11-16,136.84,138.09,133.17999,135.28,825912
2020-11-13,132.98,134.47,132.375,133.92999,738308
2020-11-12,129.98,131.36,127.6,131.3,2212000
2020-11-11,135.53999,136.97,134.37,134.89999,1302600
2020-11-10,137.52,138.67,134.22,134.84,1433400
