datetime,open,high,low,close,volume
2021-01-29,87.58,89.59,86.12,86.66,448546
2021-01-28,88.74,90.85,87.45,87.58,948235
2021-01-27,87.98,89.89,87.54,88.3,793900
2021-01-26,89.6,89.88,87.3,88.78,930400
2021-01-25,87.55,90.97,86.12,88.96,821804
2021-01-22,86.14,88.9,85.54,88.53,818300
2021-01-21,87.77,88.02,85.39,86.96,476400
2021-01-20,87.82,89.42,86.38,88.25,795400
2021-01-19,87.51,87.54,85.07,87.2,668249
2021-01-15,86.53,87.58,84.75,87.27,739900
2021-01-14,87.04,87.8,86.38,86.78,577700
2021-01-13,84.85,86.91,84.56,86.29,862700
2021-01-12,82.42,84.91,82.04,84.8,650800
2021-01-11,83.8,84.245,81.85,82.58,468094
2021-01-08,85.02,85.3,83.95,84.53,381300
2021-01-07,85.99,86.03,83.85,84.65,538400
2021-01-06,83.5,86.41,83.28,86.02,1087600
2021-01-05,82.91,84.28,82.44,82.61,699100
2021-01-04,85.15,86.25,81.99,82.27,929336
2020-12-31,84.65,85.24,83.1,85.12,725700
2020-12-30,85.61,87.75,85.33,85.88,686000
2020-12-29,87.01,88.18,85.12,85.55,447700
2020-12-28,86.6,87.82,86.02,86.77,489340
2020-12-24,86.18,87.01,85.32,86.58,248121
2020-12-23,86.87,87.6,85.85,86.11,391100
2020-12-22,86.47,86.87,85.0,86.02,637300
2020-12-21,86.51,87.115,84.83,85.89,868403
2020-12-18,90.69,91.1,87.28,88.35,495164
2020-12-17,90.72,91.5,89.63,90.73,360792
2020-12-16,93.24,93.74,89.9,90.72,771100
2020-12-15,88.91,93.37,88.4,93.32,633978
2020-12-14,91.08,91.94,88.32,88.87,636056
2020-12-11,91.44,91.44,88.405,90.09,415181
2020-12-10,89.14,91.81,89.14,91.43,964800
2020-12-09,90.07,90.88,89.32,90.71,578800
2020-12-08,90.275,91.71,89.355,89.63,293937
2020-12-07,92.62,92.62,89.79,90.3,651032
2020-12-04,92.07,93.54,92.0352,93.16,409171
2020-12-03,90.02,92.64,89.96,91.81,770400
2020-12-02,87.17,90.71,86.2,89.96,892600
2020-12-01,88.96,90.78,87.18,87.6,872200
2020-11-30,88.19,88.8,86.34,87.22,3764673
2020-11-27,91.14,91.67,88.15,88.37,704600
2020-11-25,92.54,92.54,89.6,91.04,1018900
2020-11-24,95.49,97.0,93.47,93.61,1056100
2020-11-23,91.43,95.5,90.34,93.07,1029179
2020-11-20,90.33,91.49,89.44,89.78,1105100
2020-11-19,89.96,91.43,88.29,90.79,999200
2020-11-18,91.31,93.5,90.41,90.62,855618
2020-11-17,91.23,91.9,89.69,91.31,763000
2020-11-16,95.16,95.61,90.73,92.74,975740
2020-11-13,85.29,89.16,85.29,88.47,728913
2020-11-12,87.52,88.15,83.12,85.33,1226800
2020-11-11,93.62,93.62,88.31,90.32,1197500
2020-11-10,90.91,94.99,90.54,94.08,1968900
2020-11-09,75.6,94.32,75.12,91.61,2783196
2020-11-06,72.92,73.83,67.9,68.93,1071300
2020-11-05,72.57,73.79,71.94,72.1,510300
2020-11-04,75.4,75.77,71.79,71.89,755800
2020-11-03,72.5,76.08,72.37,75.54,741400
2020-11-02,69.54,71.45,68.4,71.45,542005
2020-10-30,69.04,69.76,67.81,68.78,1608200
2020-10-29,67.91,70.0,67.01,69.31,627200
2020-10-28,69.15,69.82,67.32,67.91,873300
2020-10-27,73.03,73.35,70.2,70.23,683848
2020-10-26,75.96,75.96,72.46,73.3,722520
2020-10-23,75.86,77.02,75.57,76.72,287893
2020-10-22,73.94,75.4,73.52,75.29,491100
2020-10-21,73.77,74.4,73.01,73.77,478500
