datetime,open,high,low,close,volume
2021-01-29,11.0,11.11,10.56,10.69,6005562
2021-01-28,11.26,11.49,10.82,10.95,10710700
2021-01-27,10.5,11.69,10.32,11.31,19787100
2021-01-26,10.86,10.93,10.58,10.69,7856000
2021-01-25,10.74,10.74,10.38,10.55,8192504
2021-01-22,10.8,11.21,10.67,11.21,7441500
2021-01-21,11.36,11.45,11.05,11.26,6340500
2021-01-20,11.84,11.86,11.19,11.3,5764700
2021-01-19,12.05,12.05,11.7,11.72,6587880
2021-01-15,11.93,12.13,11.65,11.85,10325200
2021-01-14,11.73,12.65,11.66,12.34,12344600
2021-01-13,12.34,12.47,11.83,11.83,10994500
2021-01-12,11.95,13.04,11.92,12.83,13811800
2021-01-11,11.62,12.04,11.49,11.98,6174044
2021-01-08,11.8,12.05,11.63,11.7,9786700
2021-01-07,10.87,11.59,10.79,11.38,10183800
2021-01-06,10.74,11.03,10.58,10.88,8111900
2021-01-05,9.99,10.72,9.98,10.38,11111900
2021-01-04,9.78,9.95,9.495,9.84,5211562
2020-12-31,9.53,9.55,9.35,9.4,2889800
2020-12-30,9.51,9.84,9.49,9.62,2889000
2020-12-29,9.58,9.62,9.38,9.51,3060900
2020-12-28,9.6,9.74,9.375,9.41,2892090
2020-12-24,9.59,9.61,9.24,9.4,1249300
2020-12-23,9.28,9.64,9.27,9.47,2955600
2020-12-22,9.17,9.27,8.95,8.96,4789900
2020-12-21,8.97,9.245,8.85,9.15,5478298
2020-12-18,9.67,9.775,9.4,9.46,6112891
2020-12-17,10.01,10.04,9.61,9.68,4748061
2020-12-16,9.86,9.9,9.66,9.84,4399300
2020-12-15,9.48,10.015,9.48,9.96,4668454
2020-12-14,9.77,9.85,9.37,9.51,6447270
2020-12-11,9.79,9.79,9.57,9.66,5273710
2020-12-10,9.54,10.19,9.52,10.03,5806200
2020-12-09,9.8,10.02,9.57,9.78,6067600
2020-12-08,9.62,9.885,9.61,9.86,5116019
2020-12-07,9.93,9.98,9.73,9.78,5368628
2020-12-04,9.81,10.27,9.76,10.27,5867884
2020-12-03,9.06,9.5,9.06,9.37,7209100
2020-12-02,8.66,9.21,8.6,9.05,6586500
2020-12-01,8.68,8.79,8.54,8.62,6461900
2020-11-30,9.0,9.0,8.28,8.31,7561805
2020-11-27,9.16,9.23,8.89,8.97,4207600
2020-11-25,9.09,9.1,8.85,9.06,10465100
2020-11-24,9.36,9.84,9.32,9.67,10240400
2020-11-23,8.4,8.9,8.3688,8.86,7153079
2020-11-20,8.38,8.43,8.21,8.26,3810600
2020-11-19,8.2,8.48,8.1,8.48,4776600
2020-11-18,8.49,8.745,8.245,8.28,9293166
2020-11-17,7.95,8.14,7.83,8.07,7636800
2020-11-16,7.92,8.22,7.6,8.2,8095747
2020-11-13,7.1,7.31,7.045,7.3,5272167
2020-11-12,6.87,7.14,6.79,6.88,5625300
2020-11-11,7.32,7.32,6.86,7.02,7904100
2020-11-10,7.67,7.69,7.13,7.28,11821700
2020-11-09,7.02,7.54,6.925,7.25,13473513
2020-11-06,6.05,6.1,5.79,5.81,5013300
2020-11-05,6.12,6.23,6.04,6.04,4204300
2020-11-04,5.93,6.18,5.73,6.0,5817300
2020-11-03,6.2,6.3,5.94,6.03,8297300
2020-11-02,5.74,6.0189,5.68,5.96,6442563
2020-10-30,5.38,5.63,5.31,5.53,8786300
2020-10-29,5.2,5.4,5.11,5.37,8337900
2020-10-28,5.45,5.54,5.29,5.34,9606300
2020-10-27,5.9,6.08,5.695,5.705,8620411
2020-10-26,6.4,6.41,6.05,6.1,7063558
2020-10-23,6.76,6.805,6.43,6.48,8141282
2020-10-22,7.31,7.38,6.7,6.86,12286300
2020-10-21,7.22,7.37,7.17,7.21,5843500
2020-10-20,7.22,7.4,7.18,7.28,7813700
2020-10-19,7.0,7.215,6.915,6.96,4721106
2020-10-16,7.07,7.1,6.86,6.88,6024900
2020-10-15,6.71,7.08,6.67,7.07,4876600
2020-10-14,6.84,7.19,6.84,6.91,4815161
2020-10-13,7.0,7.0,6.74,6.81,5050928
2020-10-12,7.07,7.14,6.9,7.07,4174207
2020-10-09,7.23,7.24,7.01,7.06,4446580
2020-10-08,6.87,7.09,6.835,7.075,4149188
2020-10-07,6.68,6.73,6.52,6.67,4473900
2020-10-06,6.93,6.96,6.47,6.53,7523900
2020-10-05,6.67,6.76,6.59,6.72,4381376
2020-10-02,6.12,6.5289,6.09,6.37,6754569
2020-10-01,6.21,6.33,6.09,6.27,5190844
2020-09-30,6.37,6.53,6.23,6.31,6757200
2020-09-29,6.302,6.35,6.08,6.21,4294668
2020-09-28,6.29,6.45,6.28,6.37,5382977
2020-09-25,6.09,6.13,5.96,6.05,7297410
2020-09-24,6.15,6.445,6.06,6.33,7093888
2020-09-23,6.785,6.84,6.345,6.36,5664872
2020-09-22,6.77,6.96,6.685,6.785,4332639
2020-09-21,7.01,7.06,6.565,6.69,6977989
2020-09-18,7.35,7.56,7.305,7.43,5287581
2020-09-17,7.16,7.4,7.12,7.4,4202366
2020-09-16,6.88,7.48,6.82,7.33,5819174
2020-09-15,6.86,7.01,6.745,6.81,4444112
2020-09-14,6.79,6.8123,6.63,6.74,5277342
2020-09-11,6.87,6.9,6.66,6.785,7624497
2020-09-10,7.32,7.34,6.86,6.89,5911513
2020-09-09,7.29,7.31,7.05,7.15,4142591
2020-09-08,7.49,7.54,7.01,7.23,6788298
2020-09-04,7.66,7.85,7.5108,7.81,5723513
2020-09-03,7.54,7.895,7.54,7.68,4664889
2020-09-02,7.56,7.7,7.4773,7.56,3837329
2020-09-01,7.49,7.72,7.44,7.695,4120434
2020-08-31,7.92,7.93,7.7,7.7,4011264
2020-08-28,7.6,7.91,7.565,7.79,2932129
2020-08-27,7.54,7.635,7.4,7.61,3447245
2020-08-26,7.77,7.78,7.5,7.52,3877655
2020-08-25,8.02,8.0767,7.74,7.77,2475025
2020-08-24,7.66,7.985,7.6,7.92,3547279
2020-08-21,7.63,7.635,7.44,7.47,3664723
2020-08-20,7.9,7.9,7.72,7.725,4243559
2020-08-19,7.9426,8.155,7.9,8.02,3970914
2020-08-18,8.26,8.33,8.035,8.05,2244073
2020-08-17,8.461,8.485,8.21,8.32,2771826
2020-08-14,8.402,8.68,8.34,8.64,2198198
2020-08-13,8.65,8.71,8.465,8.58,2697700
2020-08-12,8.95,8.95,8.63,8.79,7166959
2020-08-11,8.965,9.005,8.6,8.64,5731082
2020-08-10,8.345,8.62,8.32,8.62,6242345
2020-08-07,8.15,8.315,8.05,8.305,3259748
2020-08-06,8.48,8.585,8.25,8.37,2966268
2020-08-05,8.5,8.685,8.47,8.59,5433694
2020-08-04,8.19,8.42,8.12,8.27,6942816
2020-08-03,8.145,8.245,8.01,8.055,6851810
2020-07-31,7.97,8.13,7.73,8.035,7772609
2020-07-30,8.05,8.15,7.735,8.01,8223283
2020-07-29,7.54,7.765,7.425,7.71,3921119
2020-07-28,7.72,7.81,7.49,7.53,4502405
2020-07-27,7.79,7.87,7.64,7.8,3028986
2020-07-24,7.795,8.04,7.78,7.94,4604783
2020-07-23,7.7,7.93,7.62,7.91,3312934
2020-07-22,7.925,8.06,7.8,7.83,2987622
2020-07-21,7.74,8.12,7.71,8.04,9546058
2020-07-20,7.71,7.795,7.53,7.6,3949200
2020-07-17,7.85,7.905,7.67,7.72,1895372
2020-07-16,7.84,8.0,7.715,7.88,599435
2020-07-15,7.635,7.9,7.615,7.87,510399
2020-07-14,7.2,7.525,7.09,7.43,735843
2020-07-13,7.25,7.58,7.19,7.33,724276
2020-07-10,6.82,7.09,6.79,7.07,453394
2020-07-09,7.33,7.33,6.81,6.82,658331
2020-07-08,7.68,7.76,7.2431,7.44,1257377
2020-07-07,7.56,7.5698,7.1,7.11,992676
2020-07-06,7.54,7.745,7.47,7.73,1156973
2020-07-02,7.21,7.47,7.13,7.28,994482
