datetime,open,high,low,close,volume
2021-01-29,66.095,67.1,65.45,65.94,592066
2021-01-28,67.08,67.82,66.2,66.79,1616000
2021-01-27,66.14,66.38,64.58,66.14,3495200
2021-01-26,68.0,68.4,66.95,67.0,2182800
2021-01-25,68.8,69.0,67.75,67.86,1479008
2021-01-22,69.93,70.05,68.69,69.32,1619200
2021-01-21,70.2,70.72,69.8,70.06,1487500
2021-01-20,70.34,70.9,70.0,70.2,2237300
2021-01-19,70.84,71.12,70.01,70.38,2621910
2021-01-15,70.15,70.545,69.33,70.22,1283100
2021-01-14,70.61,71.1,69.72,70.53,2028900
2021-01-13,71.21,71.68,69.93,70.2,1258600
2021-01-12,71.22,71.55,70.4,71.09,1446400
2021-01-11,71.8,72.29,70.91,71.09,1042166
2021-01-08,72.81,73.41,72.05,72.58,1730100
2021-01-07,71.54,72.84,70.92,72.55,2120700
2021-01-06,69.28,71.38,69.01,71.07,3680400
2021-01-05,68.87,69.545,68.09,68.5,2591800
2021-01-04,71.0,71.18,68.66,68.81,2232902
2020-12-31,69.39,70.93,69.04,70.82,1404600
2020-12-30,68.63,69.78,68.63,69.57,987400
2020-12-29,69.37,69.56,67.95,68.37,838600
2020-12-28,70.13,70.62,68.73,68.97,897207
2020-12-24,69.81,69.83,68.9,69.64,412100
2020-12-23,69.06,69.65,68.19,69.35,2184500
2020-12-22,69.39,69.92,68.26,68.46,2536900
2020-12-21,68.55,70.02,68.53,69.81,1309142
2020-12-18,69.49,70.1,69.195,69.85,1245020
2020-12-17,69.27,69.74,68.77,69.33,1040674
2020-12-16,69.58,69.74,68.68,68.92,1460700
2020-12-15,68.85,69.81,67.97,69.43,1288749
2020-12-14,69.25,69.58,68.23,68.26,1663110
2020-12-11,68.47,69.07,68.3,68.55,809529
2020-12-10,68.94,70.15,68.63,68.93,1441400
2020-12-09,68.72,69.78,68.41,69.64,3363900
2020-12-08,68.92,69.21,68.36,68.4,2482178
2020-12-07,71.52,71.565,69.31,69.39,1761193
2020-12-04,70.01,71.695,69.81,71.28,2542061
2020-12-03,69.51,70.43,68.67,68.83,3171300
2020-12-02,70.25,70.45,69.12,69.65,1679600
2020-12-01,70.77,71.695,70.44,70.55,2313800
2020-11-30,69.57,70.5499,69.225,70.13,2144822
2020-11-27,71.99,72.11,71.25,71.43,672800
2020-11-25,72.88,72.88,71.57,71.87,1572900
2020-11-24,72.43,73.1,71.855,73.0,2156400
2020-11-23,71.98,72.27,71.46,71.68,1178939
2020-11-20,71.56,71.77,70.96,71.32,1549800
2020-11-19,70.95,71.38,69.82,71.33,1153500
2020-11-18,71.77,72.16,70.98,71.0,953690
2020-11-17,71.4,71.99,70.18,71.65,1315400
2020-11-16,72.01,72.26,70.83,72.16,2439536
2020-11-13,70.155,71.2699,70.11,70.95,1482142
2020-11-12,69.25,70.06,68.985,69.51,1400400
2020-11-11,70.51,70.69,68.975,70.0,1782200
2020-11-10,70.63,70.91,69.71,69.8,2504500
2020-11-09,72.13,74.255,70.265,70.33,1879983
2020-11-06,67.99,68.81,67.425,68.37,1828000
2020-11-05,66.02,68.57,65.68,67.95,3190100
2020-11-04,64.49,65.15,63.04,64.62,1819700
2020-11-03,64.11,65.6,63.37,64.99,1604400
2020-11-02,62.54,63.58,62.39,63.32,2831404
2020-10-30,62.22,62.44,60.885,61.6,2682200
2020-10-29,61.48,62.83,60.82,62.27,1876400
2020-10-28,63.04,63.167,61.09,61.81,3424200
2020-10-27,64.12,64.36,63.23,63.67,1660383
2020-10-26,65.79,65.82,63.79,64.52,1436111
2020-10-23,66.96,67.34,66.34,66.5,2569040
2020-10-22,66.28,66.81,65.98,66.52,2239400
2020-10-21,66.16,66.58,65.61,65.82,2056400
2020-10-20,66.3,66.655,65.55,65.89,2143600
2020-10-19,67.1,67.245,65.53,65.77,1588811
2020-10-16,67.7,67.84,67.02,67.14,1949000
2020-10-15,66.4,67.65,66.07,67.42,1414900
2020-10-14,66.26,67.12,66.02,67.0,1930290
2020-10-13,66.891,67.79,66.17,66.42,2430528
2020-10-12,69.75,69.99,67.56,67.7,4226111
2020-10-09,69.94,71.0,69.3,69.83,8052466
2020-10-08,81.22,82.11,80.785,81.78,2767508
2020-10-07,79.25,81.48,79.25,81.04,3355300
2020-10-06,79.9,80.645,78.41,78.65,2517100
2020-10-05,78.72,79.145,77.83,79.06,3184070
2020-10-02,74.53,78.57,74.48,77.44,1688193
2020-10-01,76.72,77.0,74.8,75.37,1823984
2020-09-30,76.7,77.34,75.585,76.21,2559800
2020-09-29,76.07,76.94,75.28,76.21,1425265
2020-09-28,75.79,76.57,75.055,75.73,1764305
2020-09-25,72.26,74.23,71.85,74.16,2005363
2020-09-24,71.5,73.32,70.97,72.74,2094378
2020-09-23,72.78,73.59,71.655,71.7,1809815
2020-09-22,72.27,72.99,71.77,72.76,1833625
2020-09-21,74.92,74.92,71.23,72.37,2644317
2020-09-18,77.275,77.97,75.42,75.72,2908391
2020-09-17,76.01,78.1,75.66,77.45,3495822
2020-09-16,77.47,78.09,76.52,76.9,3391390
2020-09-15,78.02,78.56,76.95,77.2,2006315
2020-09-14,78.0,78.68,77.4201,77.62,2617010
2020-09-11,76.78,77.88,76.28,77.37,2942120
2020-09-10,76.38,77.31,75.99,76.45,4616090
2020-09-09,73.76,76.2,73.67,75.74,3037380
2020-09-08,74.19,74.67,73.0,73.66,3629901
2020-09-04,74.44,75.05,73.78,74.19,3153204
2020-09-03,74.58,74.83,72.76,73.29,2166082
2020-09-02,73.81,74.67,73.17,74.32,1934694
2020-09-01,72.11,74.1906,71.66,73.6,2588302
2020-08-31,72.825,72.89,71.81,72.1,1330740
2020-08-28,70.93,72.95,70.37,72.83,2644587
2020-08-27,71.02,71.74,70.81,70.85,2998108
2020-08-26,70.6,71.3066,69.93,71.01,2738050
2020-08-25,72.12,72.31,70.37,70.54,3939888
2020-08-24,72.23,72.49,71.47,72.0,1338809
2020-08-21,71.88,72.3,70.93,71.72,1267320
2020-08-20,70.65,71.98,70.64,71.88,1230205
2020-08-19,72.2,72.34,71.24,71.42,1736743
2020-08-18,73.53,73.53,71.93,72.08,1355529
2020-08-17,73.725,73.96,72.96,73.51,829896
2020-08-14,73.355,74.4299,73.355,73.59,788714
2020-08-13,74.3783,74.3783,73.21,73.77,1407935
2020-08-12,73.9822,75.0,72.93,74.94,2472138
2020-08-11,72.61,73.69,72.61,73.47,6881498
2020-08-10,72.25,72.52,71.705,71.86,3415473
2020-08-07,70.69,72.305,70.37,72.26,2019539
2020-08-06,69.755,71.01,69.755,70.71,2572186
2020-08-05,70.02,70.75,69.516,70.03,3684673
2020-08-04,69.36,69.99,69.1,69.46,2766228
2020-08-03,70.44,70.45,69.32,69.55,3369934
2020-07-31,71.715,71.77,69.76,70.19,2451457
2020-07-30,72.64,72.72,71.62,72.17,2572027
2020-07-29,73.34,73.97,72.76,73.6,3469025
2020-07-28,71.61,71.75,70.96,71.04,1956187
2020-07-27,71.025,72.14,71.025,71.89,1884601
2020-07-24,72.505,72.505,70.86,71.04,1216607
2020-07-23,71.825,73.02,71.825,72.53,1174199
2020-07-22,71.11,71.74,70.87,71.49,1708506
2020-07-21,71.1748,71.77,71.07,71.2,1183280
2020-07-20,71.88,71.9825,70.51,70.74,994677
2020-07-17,71.89,72.49,71.68,72.09,718704
2020-07-16,70.905,72.15,70.3,71.72,228311
2020-07-15,70.36,71.59,69.92,71.19,186661
2020-07-14,67.69,69.33,67.05,69.16,186663
2020-07-13,67.67,68.66,67.44,67.64,210971
2020-07-10,67.34,67.59,66.93,67.23,275372
2020-07-09,68.36,68.6197,66.88,67.26,212351
2020-07-08,67.78,68.34,67.15,68.28,195035
2020-07-07,68.51,68.93,68.01,68.02,213169
2020-07-06,69.34,69.56,68.715,69.15,204028
2020-07-02,68.29,69.41,67.915,68.16,189086
2020-07-01,67.75,68.31,67.37,67.46,2594435
2020-06-30,67.18,68.14,66.82,67.66,2992300
2020-06-29,67.41,68.31,66.67,67.92,1561123
2020-06-26,67.41,67.41,65.78,66.37,3093200
2020-06-25,66.1,67.87,65.31,67.705,442236
2020-06-24,67.41,67.835,65.39,66.01,663766
2020-06-23,68.82,69.335,68.24,68.28,526352
2020-06-22,67.23,68.87,66.8,68.43,521049
2020-06-19,69.58,69.88,67.8,67.86,1030407
2020-06-18,67.28,68.85,67.22,68.17,536987
2020-06-17,68.42,68.71,67.64,67.91,869530
2020-06-16,67.08,68.37,64.91,67.86,780442
2020-06-15,61.965,64.63,61.19,64.41,285229
2020-06-12,65.07,65.08,61.91,63.64,483999
2020-06-11,64.12,64.45,62.6281,62.85,635757
2020-06-10,69.575,69.575,66.79,66.82,378977
2020-06-09,69.14,70.01,68.27,69.61,669714
2020-06-08,71.785,72.13,69.395,70.34,943724
2020-06-05,70.26,73.15,70.11,70.61,3884600
2020-06-04,66.36,67.66,66.27,67.46,2008300
2020-06-03,65.0,67.22,64.78,67.08,2838200
2020-06-02,62.76,64.1,62.23,64.03,2195500
2020-06-01,60.98,62.5,60.36,62.17,2301500
2020-05-29,61.24,61.36,60.415,60.98,2403800
2020-05-28,64.08,64.14,61.42,61.54,1843100
2020-05-27,62.91,64.08,62.625,63.66,1734000
2020-05-26,60.36,61.87,60.265,61.37,1569400
2020-05-22,58.45,58.7,57.39,58.53,1556100
2020-05-21,59.0,59.06,57.92,58.28,1928200
2020-05-20,59.01,59.72,58.91,59.1,2901200
2020-05-19,59.08,60.86,58.71,59.11,2505200
2020-05-18,56.82,59.72,56.82,59.19,2962300
2020-05-15,55.18,56.25,54.93,55.25,1908300
2020-05-14,53.67,55.82,52.46,55.76,2145800
2020-05-13,56.0,56.62,53.78,54.46,2074700
2020-05-12,59.08,59.58,56.15,56.16,2111400
2020-05-11,58.59,59.71,57.82,58.82,2186400
2020-05-08,58.55,59.52,58.12,59.27,3084600
2020-05-07,58.67,58.94,57.725,57.93,2469900
2020-05-06,58.38,58.82,57.46,57.77,1976700
2020-05-05,60.12,60.36,58.19,58.33,4542400
2020-05-04,59.57,61.01,59.36,61.0,2696300
2020-05-01,63.75,64.0,60.01,60.75,2919300
2020-04-30,64.33,64.5,62.99,64.0,1720000
2020-04-29,66.4,66.97,65.27,65.55,1972800
2020-04-28,65.16,65.96,64.0,64.71,1951800
2020-04-27,60.85,64.25,60.5,63.98,1718700
2020-04-24,59.0,60.79,58.57,60.34,1645800
2020-04-23,58.24,59.45,57.86,58.6,1857900
2020-04-22,57.17,58.25,56.17,57.74,1226400
2020-04-21,56.74,58.12,55.734,55.84,2167700
2020-04-20,59.49,59.705,57.99,58.7,2010900
2020-04-17,58.31,60.46,58.24,60.36,1823200
2020-04-16,56.87,57.0,55.51,56.78,2144800
2020-04-15,59.43,59.83,57.39,57.49,2698800
2020-04-14,60.58,61.761,60.41,61.01,2089600
2020-04-13,60.92,61.03,58.6,59.42,1626100
2020-04-09,61.35,62.95,60.43,61.04,1419600
2020-04-08,58.51,61.49,58.02,60.64,2320600
2020-04-07,59.75,61.02,58.33,58.45,2360700
2020-04-06,55.79,57.98,54.895,57.25,2683400
2020-04-03,56.21,58.31,53.41,54.28,2324000
2020-04-02,54.69,56.48,54.34,56.0,2357900
2020-04-01,53.44,55.59,52.55,54.97,3819100
2020-03-31,51.57,55.84,51.57,55.19,3168300
2020-03-30,49.0,52.59,48.97,52.1,3703700
2020-03-27,49.3,50.94,47.7,49.65,3945300
2020-03-26,50.73,52.44,49.26,51.67,3996200
2020-03-25,50.44,51.95,48.42,49.89,3886200
2020-03-24,44.36,50.21,43.798,49.92,3345500
2020-03-23,44.34,45.04,40.638,42.01,3677000
2020-03-20,47.25,47.59,43.9,45.58,4091300
2020-03-19,44.67,47.11,42.5,46.05,4527100
2020-03-18,49.15,49.15,37.31,45.06,5951000
2020-03-17,52.86,53.55,49.42,52.66,3610200
2020-03-16,53.34,56.06,50.8,51.84,3044100
2020-03-13,58.06,59.75,54.93,59.73,3340200
2020-03-12,55.65,57.86,52.405,55.73,5198100
2020-03-11,60.51,61.26,58.89,59.43,3531900
2020-03-10,63.48,64.0,59.31,62.46,5852200
2020-03-09,63.1,63.66,59.03,62.11,3301000
2020-03-06,66.14,67.44,65.74,66.81,2727300
2020-03-05,70.29,70.515,67.59,68.16,2517900
2020-03-04,70.09,72.15,69.3,72.07,5390100
2020-03-03,70.31,72.65,69.01,69.38,2231300
2020-03-02,69.25,70.74,68.0,70.65,2548200
2020-02-28,68.29,69.325,67.46,69.16,3845700
2020-02-27,69.55,72.39,69.161,70.29,4059900
2020-02-26,70.96,71.91,70.29,70.75,3169800
2020-02-25,72.88,73.01,69.96,70.28,2618200
2020-02-24,73.76,73.78,72.22,72.55,1808300
2020-02-21,76.27,76.51,75.67,75.81,1128400
2020-02-20,76.76,77.34,76.25,76.79,1417400
2020-02-19,77.97,77.98,76.73,76.86,1326500
2020-02-18,77.56,77.99,76.8,77.65,1110000
2020-02-14,77.37,77.87,77.22,77.81,1168700
2020-02-13,78.46,78.68,77.05,77.24,2093500
2020-02-12,80.0,80.1,78.625,79.0,1746500
2020-02-11,79.47,79.91,79.1,79.4,1839700
2020-02-10,78.57,79.37,78.17,79.34,1514900
2020-02-07,77.16,80.61,77.1,79.02,3676900
2020-02-06,77.76,78.03,76.88,77.83,1979200
2020-02-05,77.55,77.68,76.935,77.56,1165200
2020-02-04,75.67,76.705,75.66,76.49,2095100
2020-02-03,75.48,76.11,74.576,74.78,1618600
2020-01-31,75.8,75.94,74.56,74.93,2004500
