datetime,open,high,low,close,volume
2021-01-29,149.27,151.07001,147.0179,148.23,1417027
2021-01-28,153.16,153.52,149.63,150.42999,1993500
2021-01-27,150.75,158.99001,148.89999,152.73,2373500
2021-01-26,154.34,154.63,150.02,150.33,1587400
2021-01-25,151.82001,155.7,151.11,153.16,1807339
2021-01-22,150.41,153.14999,149.81,152.77,1171500
2021-01-21,153.84,154.74001,150.5,151.06,1395200
2021-01-20,153.24001,154.39999,152.41,154.03,1068700
2021-01-19,154.38,155.36,153.06,153.13,1406868
2021-01-15,153.57001,154.21001,151.88,153.17,1822100
2021-01-14,152.5,155.38,151.91,154.09,1556900
2021-01-13,152.89,153.44,151.33,152.63,1162900
2021-01-12,151.78,154.94,151.75,153.5,1531600
2021-01-11,150.25,152.24001,149.41,151.78,1421200
2021-01-08,150.42,152.62,148.60001,150.77,2246000
2021-01-07,150.02,152.24001,148.75999,151.72,1340400
2021-01-06,145.25,150.64,145.25,149.74001,1845300
2021-01-05,146.2,146.71001,144.5,146.00999,1184400
2021-01-04,149.25999,149.25999,144.81,145.94,1404464
2020-12-31,148.13,148.91,147.35001,148.82001,1744700
2020-12-30,147.49001,149.41,147.48,148.3,995800
2020-12-29,149.78,149.78,146.39,147.55,1105300
2020-12-28,149.2,150.49001,148.36,148.72,777744
2020-12-24,148.50999,149.1409,147.60001,149.00999,477768
2020-12-23,147.36,149.39999,147.0,148.14999,1113800
2020-12-22,149.62,149.67,146.28999,146.5,1604900
2020-12-21,150.00999,150.91,147.32001,149.67,1509766
2020-12-18,151.032,153.75999,151.01801,152.61,1009773
2020-12-17,153.42,154.11,151.53,151.60001,773830
2020-12-16,154.89999,155.3,152.63,153.39999,1373400
2020-12-15,153.67,155.36,152.125,154.60001,1000719
2020-12-14,152.86,155.09,152.73,153.34,1567735
2020-12-11,149.7,151.92,148.78,151.33,1897457
2020-12-10,152.57001,153.59,150.08,150.37,2040400
2020-12-09,153.7,154.78999,152.92,154.14,1204000
2020-12-08,152.83,154.3,152.12,153.58,602001
2020-12-07,154.95,155.63,152.5,153.0,966987
2020-12-04,154.0,156.13988999999998,154.0,156.00999,856143
2020-12-03,153.35001,155.22,152.94,153.88,1081800
2020-12-02,150.87,153.62,150.12,153.35001,1123000
2020-12-01,151.03999,154.28999,150.7,151.75999,1302700
2020-11-30,151.00999,152.1693,148.64999,149.35001,1453775
2020-11-27,151.62,153.03,151.27,152.06,629000
2020-11-25,153.85001,153.85001,151.53999,152.03999,842700
2020-11-24,152.64,153.74001,151.22,153.67,1632500
2020-11-23,148.99001,150.75999,148.86,150.02,1420015
2020-11-20,150.0,150.33,147.5,148.36,1358800
2020-11-19,152.5,153.2,149.28999,149.99001,1413100
2020-11-18,152.5,155.22,151.84,153.44,1245834
2020-11-17,151.67999,153.28999,150.92,151.47,1241700
2020-11-16,153.83,154.09,151.755,152.92999,1543865
2020-11-13,148.00999,151.37,148.00999,151.19,1025218
2020-11-12,148.56,149.52,146.7,147.5,1298400
2020-11-11,151.09,151.09,148.17,150.28999,1794600
2020-11-10,148.8,152.03,148.14999,151.31,1994100
2020-11-09,147.17999,150.39,144.77,147.13,2276334
2020-11-06,139.55,140.14,138.14,139.32001,999000
2020-11-05,139.53,141.13,138.0,139.14999,1158200
2020-11-04,138.98,143.33,137.24001,139.09,1855900
2020-11-03,137.75,139.59,136.97,138.2,1927700
2020-11-02,133.37,136.395,132.565,136.09,1402363
2020-10-30,130.56,132.72,129.17,131.33,2350000
2020-10-29,131.82001,133.48,130.12,131.32001,1454900
2020-10-28,134.84,137.66,132.17,132.42999,1866900
2020-10-27,137.87,137.91,134.87,134.95,1279102
2020-10-26,139.25999,139.61,136.42999,138.50999,1484389
2020-10-23,140.0,141.03,139.41,140.72,823007
2020-10-22,136.58,139.67,136.36,139.42,1282400
2020-10-21,137.84,138.71001,136.5,136.61,1006600
2020-10-20,140.25,140.57001,137.77,138.46001,889100
2020-10-19,142.25,142.77161,138.19501,138.67999,1449957
2020-10-16,141.62,142.5,140.25,142.24001,2653200
2020-10-15,141.7,142.0,140.17999,140.81,1336200
2020-10-14,143.24001,145.36,142.8,142.89999,1212823
2020-10-13,144.0,144.97501,141.66,143.28999,967008
2020-10-12,144.8,146.75999,143.8401,144.73,1504683
2020-10-09,145.99001,146.06,143.53,143.59,1186195
2020-10-08,144.995,145.66,143.63,145.05,735842
2020-10-07,143.67,145.64999,143.53,144.87,1204100
2020-10-06,144.08,146.97,142.03,142.31,1346500
2020-10-05,141.98,143.35001,141.11,142.73,918445
2020-10-02,133.63879,140.925,133.60001,140.5,1168059
2020-10-01,138.87,140.035,136.8,138.17,729942
2020-09-30,139.16,140.14,137.07001,138.42999,1208200
2020-09-29,140.37,140.48,137.89,138.55,574173
2020-09-28,139.7,142.395,139.7,140.92,708962
2020-09-25,135.71001,138.77,135.63,138.21001,0
2020-09-24,136.02,138.45,135.2,136.89999,16170
2020-09-23,140.34,141.72,136.21001,136.50999,0
2020-09-22,138.53,140.0,137.39,139.45,0
2020-09-21,141.03,141.48,137.52,138.33,518692
2020-09-18,143.50999,145.59,142.77,142.99001,459748
2020-09-17,142.0,144.89,139.75999,144.59,692220
2020-09-16,145.12,148.55,144.32001,146.78,408964
2020-09-15,147.32001,148.11,145.02,145.14,250887
2020-09-14,146.36,148.5,145.96001,147.47,241986
2020-09-11,144.12,146.10001,142.69,145.36,432449
2020-09-10,146.94,147.67999,142.42999,142.5,607223
2020-09-09,147.28999,147.75999,145.14999,146.17,401489
2020-09-08,150.03,150.25999,146.60001,146.96001,873069
2020-09-04,153.91,154.37,150.0,151.7,433004
2020-09-03,154.77,156.49001,150.61,151.94,563689
2020-09-02,150.06,154.5,149.92,153.92,1254400
2020-09-01,148.39,150.3,147.42,150.19,386094
2020-08-31,152.06,152.39,149.0,149.35001,441172
2020-08-28,152.95,152.99001,150.75999,152.27,315082
2020-08-27,150.61,153.47501,150.39999,152.44,402315
2020-08-26,150.89,151.45,149.42999,150.47,241980
2020-08-25,153.94,154.73,150.91,151.47,260647
2020-08-24,150.86,153.34,149.75,153.3,225835
2020-08-21,150.10001,151.28999,149.05,149.81,529969
2020-08-20,151.25,151.95,150.5,150.94,382756
2020-08-19,153.03,154.56128999999999,152.11,152.49001,238619
2020-08-18,153.60001,154.10001,152.745,153.12,329601
2020-08-17,156.78999,156.78999,153.38,153.72,626530
2020-08-14,154.0,157.64,154.0,156.42999,313139
2020-08-13,154.84,156.5,153.87,154.92999,435431
2020-08-12,160.53,160.535,154.69,156.41,785646
2020-08-11,159.03,160.84,158.78999,158.85001,917805
2020-08-10,154.0,156.77,153.42999,156.67,626532
