datetime,open,high,low,close,volume
2021-01-29,59.2,60.19,58.09,58.245,1928048
2021-01-28,60.35,61.2,58.57,59.36,7919100
2021-01-27,59.1,61.46,59.01,60.4,7344900
2021-01-26,57.86,59.22,57.4,59.13,6024900
2021-01-25,55.92,58.285,55.89,57.9,6958805
2021-01-22,55.18,56.09,54.76,55.97,4745400
2021-01-21,55.28,55.53,54.91,55.29,3058600
2021-01-20,55.62,55.68,54.52,55.34,4428400
2021-01-19,56.62,56.63,55.625,55.67,3898535
2021-01-15,55.72,56.67,55.15,56.24,8578900
2021-01-14,55.42,55.76,54.48,55.75,6435900
2021-01-13,54.56,55.79,54.14,55.39,8174900
2021-01-12,55.45,55.51,53.96,54.37,10147100
2021-01-11,56.38,56.67,55.4,55.57,5449325
2021-01-08,58.0,58.09,56.22,56.4,6714400
2021-01-07,58.5,58.82,57.94,57.95,3394500
2021-01-06,58.98,59.58,58.82,58.94,3630200
2021-01-05,58.96,59.65,58.55,59.09,2739000
2021-01-04,58.58,59.19,57.81,59.03,4252948
2020-12-31,58.53,58.87,58.1,58.8,3378200
2020-12-30,59.06,59.22,58.53,58.56,1955600
2020-12-29,59.4,59.82,58.96,59.15,2328900
2020-12-28,59.22,59.42,58.92,59.35,2658086
2020-12-24,58.77,59.16,58.619,59.13,1246141
2020-12-23,58.67,59.25,58.62,58.99,2519400
2020-12-22,58.9,58.96,58.29,58.6,2771000
2020-12-21,59.1,59.31,58.18,58.99,2992616
2020-12-18,59.6783,60.2,59.055,59.41,3598156
2020-12-17,59.385,60.16,58.52,59.7,4361087
2020-12-16,59.01,59.66,58.67,58.92,4053900
2020-12-15,59.52,59.58,58.545,59.02,2623423
2020-12-14,59.7,60.44,59.33,59.35,3507241
2020-12-11,58.6,59.46,58.6,59.32,1851921
2020-12-10,59.36,59.64,58.53,58.87,3685100
2020-12-09,60.28,60.46,59.1,59.33,3923100
2020-12-08,59.68,60.53,59.62,60.39,2163931
2020-12-07,60.37,60.57,59.52,59.74,2883375
2020-12-04,60.22,60.81,60.01,60.45,2646428
2020-12-03,60.15,60.63,59.92,60.44,3162000
