datetime,open,high,low,close,volume
2021-01-29,91.33,92.1961,89.84,90.07,228358
2021-01-28,91.33,94.34,90.95,92.76,475500
2021-01-27,91.56,92.36,90.07,90.2,489400
2021-01-26,93.85,94.16,93.09,93.11,382900
2021-01-25,93.32,94.45,92.35,93.5,443725
2021-01-22,94.48,95.03,94.01,94.34,592100
2021-01-21,96.23,96.61,95.56,95.71,375100
2021-01-20,96.74,96.98,95.96,96.52,352000
2021-01-19,96.42,97.74,96.14,96.88,409008
2021-01-15,95.57,96.4,95.09,96.08,365700
2021-01-14,96.48,97.23,96.0,96.58,357500
2021-01-13,95.44,96.24,95.11,95.91,389300
2021-01-12,95.42,96.58,95.12,95.65,392300
2021-01-11,95.27,96.38,94.85,95.36,302438
2021-01-08,97.14,97.38,95.38,96.44,297300
2021-01-07,98.07,98.82,96.92,96.97,457100
2021-01-06,94.36,97.79,93.85,97.47,624700
2021-01-05,92.12,93.22,91.88,92.33,289000
2021-01-04,95.36,95.6,92.04,92.4,354994
2020-12-31,93.08,95.12,92.7,94.96,250800
2020-12-30,92.65,93.84,92.65,93.21,400000
2020-12-29,93.72,93.77,92.08,92.16,514800
2020-12-28,93.44,94.66,92.93,93.29,314352
2020-12-24,93.56,93.56,91.98,92.87,81370
2020-12-23,92.11,93.63,92.11,92.9,554300
2020-12-22,92.23,92.93,91.59,91.75,447600
2020-12-21,93.31,93.31,89.92,92.25,454614
2020-12-18,93.46,93.72,92.08,92.8,378110
2020-12-17,93.63,93.63,92.64,93.45,226028
2020-12-16,94.13,94.53,92.95,93.53,315600
2020-12-15,92.835,93.88,92.12,93.71,321959
2020-12-14,95.07,95.07,91.77,91.77,408242
2020-12-11,93.955,95.04,93.56,93.76,198959
2020-12-10,93.58,95.15,93.58,94.88,395100
2020-12-09,95.17,95.25,93.82,94.36,341000
2020-12-08,93.98,94.75,93.98,94.56,278963
2020-12-07,95.77,96.02,94.56,94.88,286545
2020-12-04,96.07,97.1083,95.73,96.45,289652
2020-12-03,94.7,95.73,94.57,94.95,323200
2020-12-02,94.25,95.34,94.11,95.13,268000
2020-12-01,94.93,95.55,93.86,94.44,477800
2020-11-30,95.25,95.78,92.93,93.1,1459255
2020-11-27,96.17,97.45,95.84,96.02,194100
2020-11-25,96.6,96.95,95.34,96.65,308900
2020-11-24,96.31,97.6,95.39,97.52,503300
2020-11-23,92.98,94.63,92.54,94.63,394844
2020-11-20,92.98,93.73,92.54,93.29,373800
2020-11-19,91.75,93.61,91.2,93.35,399400
2020-11-18,93.81,95.21,92.38,92.38,314844
2020-11-17,92.99,94.22,92.25,93.79,334500
2020-11-16,94.57,94.97,92.93,94.26,365322
