datetime,open,high,low,close,volume
2021-01-29,50.52,51.77,49.96,50.535,16920407
2021-01-28,49.88,53.0,49.56,51.04,37491000
2021-01-27,50.8,50.86,48.71,49.34,38251500
2021-01-26,53.39,53.59,51.81,52.04,21619000
2021-01-25,54.95,55.1559,51.02,53.39,39470929
2021-01-22,54.5,55.77,54.27,55.4,23854700
2021-01-21,56.33,56.97,54.76,55.08,39843100
2021-01-20,56.23,56.6,54.85,55.86,47341700
2021-01-19,53.69,55.1399,52.26,54.84,64143971
2021-01-15,51.3,51.4,49.26,49.97,25211400
2021-01-14,49.5,51.87,49.33,51.53,36724600
2021-01-13,50.78,50.97,48.06,48.73,49176100
2021-01-12,46.3,48.95,45.65,47.82,63619500
2021-01-11,43.015,45.28,42.63,45.01,24300366
2021-01-08,43.31,43.49,42.32,43.06,18417300
2021-01-07,43.98,43.98,42.96,43.32,13612800
2021-01-06,41.92,43.85,41.86,42.98,22671400
2021-01-05,40.06,41.84,40.04,41.66,18021600
2021-01-04,41.95,42.12,40.14,40.51,13067476
2020-12-31,41.76,41.8,41.2,41.64,11097900
2020-12-30,41.65,42.2,41.57,41.84,6489400
2020-12-29,41.89,42.13,41.37,41.57,7981600
2020-12-28,42.0,42.19,41.63,41.66,8636070
2020-12-24,42.04,42.31,41.205,41.58,7798270
2020-12-23,41.18,42.89,41.1,42.45,17563900
2020-12-22,41.35,41.4,40.55,40.9,10559000
2020-12-21,40.26,41.5,40.06,41.21,15531577
2020-12-18,41.96,42.0428,40.595,40.84,14045555
2020-12-17,41.72,42.03,41.43,42.03,10376908
2020-12-16,41.79,41.87,40.81,41.42,15117100
2020-12-15,42.0,42.15,41.31,41.67,10571715
2020-12-14,42.49,42.54,41.42,41.62,9691904
2020-12-11,42.53,42.68,41.62,41.92,14389301
2020-12-10,43.83,43.88,42.46,42.87,18187000
2020-12-09,44.13,44.55,43.91,44.43,12465100
2020-12-08,43.65,44.18,43.42,43.8,9314286
2020-12-07,44.4,44.4,43.575,44.31,8381706
2020-12-04,44.35,44.735,44.13,44.38,10771875
2020-12-03,44.79,44.87,43.96,44.09,13412300
2020-12-02,44.0,44.6,43.67,44.58,11268300
2020-12-01,44.78,45.45,44.0,44.68,12984400
2020-11-30,44.96,45.32,43.62,43.84,19677713
2020-11-27,45.35,45.59,44.75,45.06,7528800
2020-11-25,45.61,46.06,44.64,45.46,16105600
2020-11-24,45.91,46.71,45.07,46.46,20028500
2020-11-23,43.96,45.16,43.56,44.77,22415020
2020-11-20,42.81,43.32,42.37,43.04,16881200
2020-11-19,42.61,43.19,42.18,42.82,17182100
2020-11-18,42.19,44.13,42.06,42.72,27609300
2020-11-17,41.85,42.54,41.14,41.98,16072400
2020-11-16,41.77,42.15,40.92,42.13,16507654
2020-11-13,39.69,41.315,39.595,41.19,13584065
2020-11-12,40.11,40.24,38.81,39.32,20239900
2020-11-11,41.29,41.77,40.11,40.56,19823100
2020-11-10,39.75,41.59,39.56,41.08,26612700
2020-11-09,38.7203,39.72,38.63,38.96,22075883
2020-11-06,37.5,38.14,37.01,37.47,18069100
2020-11-05,36.9,37.25,35.34,37.14,34754600
2020-11-04,35.31,35.77,34.23,35.24,14706500
2020-11-03,35.1,35.99,34.89,35.35,11423800
2020-11-02,35.12,35.3849,34.38,34.55,13767582
2020-10-30,34.46,35.03,33.96,34.53,13074000
2020-10-29,34.42,35.66,34.36,34.88,13391288
2020-10-28,33.73,34.63,33.55,34.09,15006100
2020-10-27,35.52,35.855,34.75,34.89,10228474
2020-10-26,36.27,36.43,35.2,35.82,14652811
2020-10-23,37.52,38.03,36.7817,36.83,14406183
2020-10-22,35.9,37.43,35.88,37.41,23236400
2020-10-21,36.1,36.28,35.13,35.77,23252300
2020-10-20,33.96,36.37,33.77,35.6,38518000
2020-10-19,33.5,33.865,33.05,33.35,10525812
2020-10-16,32.88,33.47,32.68,33.45,11947300
2020-10-15,30.99,32.69,30.95,32.59,11817300
2020-10-14,32.01,32.24,31.53,31.675,5988988
2020-10-13,32.13,32.27,31.465,31.88,6967720
2020-10-12,32.36,32.67,32.1217,32.21,6753650
2020-10-09,32.295,32.68,32.015,32.17,8497858
2020-10-08,31.76,32.635,31.76,32.21,14341463
2020-10-07,30.85,31.76,30.81,31.62,11792200
2020-10-06,31.27,31.45,30.3,30.4,10289400
2020-10-05,30.85,31.29,30.8,30.96,8217360
2020-10-02,29.7,30.9,29.59,30.46,8428120
2020-10-01,29.52,30.5083,29.16,30.39,13330232
2020-09-30,28.89,29.82,28.89,29.59,11520100
2020-09-29,29.32,29.4,28.5,28.74,6869385
2020-09-28,29.82,30.04,29.38,29.44,7727638
2020-09-25,28.7023,29.215,28.56,29.0,8055786
2020-09-24,29.075,29.585,28.24,29.1,10870909
2020-09-23,29.57,29.98,29.2001,29.34,9679547
2020-09-22,30.16,30.36,29.33,29.43,10213967
2020-09-21,31.5,31.5,29.16,30.01,19275020
2020-09-18,31.85,32.05,31.36,31.5,12238449
2020-09-17,31.32,31.95,30.95,31.92,10067807
2020-09-16,32.65,32.75,31.74,31.81,14766273
2020-09-15,31.22,32.85,30.83,31.58,19164139
2020-09-14,30.7,31.555,30.535,31.17,10823778
2020-09-11,30.3,30.57,29.87,30.46,11788608
2020-09-10,31.84,31.87,30.14,30.16,22321552
2020-09-09,32.185,32.75,31.73,31.95,20773979
2020-09-08,31.65,33.33,31.05,32.38,50233691
2020-09-04,30.09,30.36,29.355,30.0,12550932
2020-09-03,30.925,31.5,29.13,29.47,19304422
2020-09-02,29.85,31.09,29.8004,30.96,14808394
2020-09-01,29.42,29.845,29.34,29.79,7722738
