datetime,open,high,low,close,volume
2021-01-29,96.54,97.58,94.05,94.765,537241
2021-01-28,99.65,100.33,96.87,96.95,906300
2021-01-27,100.07,100.49,96.2,98.8,1228600
2021-01-26,101.49,102.05,100.0,101.5,664200
2021-01-25,101.48,102.26,100.0,101.2,915861
2021-01-22,101.29,101.9,100.27,101.64,701900
2021-01-21,99.92,102.5,99.92,102.22,941400
2021-01-20,99.26,100.73,98.25,100.01,875800
2021-01-19,102.33,102.715,99.1,99.55,732793
2021-01-15,104.84,104.85,101.69,102.15,979600
2021-01-14,106.38,106.84,104.92,104.95,542600
2021-01-13,107.8,108.19,105.45,105.89,747100
2021-01-12,104.87,108.55,104.41,108.3,887100
2021-01-11,102.48,105.62,102.1438,105.11,909841
2021-01-08,104.07,104.17,102.17,103.34,735200
2021-01-07,103.51,103.99,102.03,103.74,768900
2021-01-06,99.49,103.65,98.9,103.31,966600
2021-01-05,98.41,99.85,97.68,99.35,793500
2021-01-04,101.08,101.08,97.28,98.44,856788
2020-12-31,99.64,100.53,99.05,100.43,515000
2020-12-30,99.05,100.43,98.8,99.61,401700
2020-12-29,100.04,100.54,98.5,98.79,429200
2020-12-28,100.28,101.48,99.83,100.04,445778
2020-12-24,99.68,99.805,98.4129,99.36,161683
2020-12-23,98.97,100.33,98.55,99.4,585200
2020-12-22,97.15,99.06,96.99,98.64,675900
2020-12-21,95.77,97.545,94.09,97.36,649818
2020-12-18,97.19,97.93,96.32,97.58,754333
2020-12-17,96.9763,97.87,96.06,96.9,540508
2020-12-16,96.73,97.69,95.98,96.5,666900
2020-12-15,96.22,96.8848,95.06,96.56,480327
2020-12-14,97.86,98.9,95.79,95.82,589015
2020-12-11,96.58,97.79,96.195,97.05,672116
2020-12-10,97.75,98.05,96.17,97.04,589100
2020-12-09,96.9,98.02,96.2,97.95,1161400
2020-12-08,97.85,98.125,96.45,96.66,624108
2020-12-07,97.73,98.44,97.24,98.25,717852
2020-12-04,97.4985,98.3,97.15,98.28,449561
2020-12-03,96.01,97.72,95.8,97.26,664800
2020-12-02,97.94,99.0,96.67,96.98,1130100
2020-12-01,99.7,102.61,98.94,101.67,826300
2020-11-30,98.01,98.49,96.55,98.37,1840676
2020-11-27,98.85,99.2,97.6,98.36,270600
2020-11-25,100.49,100.71,98.2,98.95,697200
2020-11-24,98.68,101.53,97.71,101.16,846400
