datetime,open,high,low,close,volume
2021-01-29,181.74001,183.14,175.59,176.72501,1326445
2021-01-28,179.57001,185.06,179.57001,182.25,2632900
2021-01-27,183.24001,183.24001,176.25,177.58,3043600
2021-01-26,185.77,188.71001,184.85001,186.34,2012100
2021-01-25,186.89,188.41,182.5,185.08,1804640
2021-01-22,187.39,188.98,186.09,187.52,2056800
2021-01-21,191.11,191.89,189.06,189.25999,1469300
2021-01-20,189.47,192.5,187.62,190.74001,2745000
2021-01-19,192.39999,193.62,187.67999,187.75,2017971
2021-01-15,192.96001,193.73,189.17999,191.38,1993100
2021-01-14,200.12,200.17999,193.53999,194.0,2147700
2021-01-13,200.74001,201.96001,198.95,199.05,1147600
2021-01-12,200.89,202.10001,197.36,200.53999,1243200
2021-01-11,203.98,205.45,200.72,201.27,1151835
2021-01-08,208.12,210.39,205.05,206.32001,1533500
2021-01-07,207.83,210.42999,207.17999,208.12,1089000
2021-01-06,205.86,212.28,205.08,207.33,1485400
2021-01-05,207.0,209.3,205.11,205.36,1228500
2021-01-04,215.08,215.50999,204.03999,207.22,2018697
2020-12-31,210.08,215.7,209.73,215.42,1226300
2020-12-30,210.73,213.39999,210.02,210.14,1555100
2020-12-29,210.0,211.12,208.57001,209.77,2663200
2020-12-28,206.48,209.89,206.379,208.98,2009249
2020-12-24,199.85001,205.92,199.85001,205.55,1024193
2020-12-23,198.75999,200.92,196.92,200.25999,1332900
2020-12-22,200.52,200.78,196.88,197.83,2216800
2020-12-21,203.89,209.66,199.99001,200.42,3645503
2020-12-18,195.0,197.31,193.57001,196.5,1236516
2020-12-17,195.36501,197.41,195.35001,195.41,958048
2020-12-16,193.37,195.48,192.03999,194.67,1134200
2020-12-15,192.56,194.44,191.32001,193.55,1157174
2020-12-14,193.3,196.55,191.78,191.88,1172499
2020-12-11,192.38,194.7072,191.56,191.98,883142
2020-12-10,194.49001,197.03,192.91,194.17,1352300
2020-12-09,199.0,199.0,195.35001,195.66,1685600
2020-12-08,198.205,198.7,196.7769,198.58,1103503
2020-12-07,198.88,200.345,198.25,199.23,638260
2020-12-04,196.17,200.09,195.99001,200.08,742781
2020-12-03,195.28999,197.38,193.87,195.75,920800
2020-12-02,195.0,195.78999,193.21001,195.38,1131700
2020-12-01,197.28999,198.73,195.53,195.98,1356600
2020-11-30,196.03,196.8,191.27,195.19,1441199
2020-11-27,197.66,197.96001,195.78999,197.03,593630
2020-11-25,197.12,198.36,194.74001,197.00999,1300700
2020-11-24,193.83,199.03999,192.3,198.83,1977300
2020-11-23,192.53999,193.67,189.5201,192.14999,1282493
2020-11-20,191.61,192.89,189.14,190.7,1494300
2020-11-19,187.44,191.75999,184.5,190.55,1339400
2020-11-18,190.11501,192.13,187.73,187.91,1038577
2020-11-17,188.78999,190.25999,185.71001,189.83,1806500
2020-11-16,190.0,194.25,189.30161,189.94,1943060
2020-11-13,185.47,190.06,185.47,188.37,1596693
2020-11-12,188.7,188.7,181.82001,184.42999,1877700
2020-11-11,195.06,195.09,186.55,189.28,1974200
2020-11-10,193.45,196.02,191.42999,193.47,2697600
2020-11-09,189.49001,199.69,189.3,193.66,4822031
2020-11-06,173.89,174.98,172.25,173.88,1109500
2020-11-05,173.88,176.11,172.53,174.24001,1371200
2020-11-04,169.0,173.48,168.12,170.86,2251400
2020-11-03,162.10001,166.33,161.25999,165.89999,2111500
2020-11-02,159.91,162.13,158.55,160.36,2095100
2020-10-30,155.33,157.81,153.33,157.74001,3181100
2020-10-29,154.0,161.16,154.0,156.17,3398000
2020-10-28,162.0,163.25,158.41,159.10001,2435400
