datetime,open,high,low,close,volume
2021-01-29,18.07,18.31,17.51,17.695,5212060
2021-01-28,17.5,18.5,17.5,18.27,11621300
2021-01-27,17.72,18.23,17.23,17.28,16081700
2021-01-26,18.88,19.12,18.2,18.2,9962000
2021-01-25,18.99,19.14,18.24,18.63,12084938
2021-01-22,18.9,19.29,18.45,19.24,14146700
2021-01-21,19.97,20.39,19.23,19.41,12080300
2021-01-20,21.39,21.39,19.81,20.08,13374700
2021-01-19,21.11,21.35,20.3,20.54,16808936
2021-01-15,21.29,21.45,20.44,20.74,11972500
2021-01-14,21.63,22.19,21.56,21.76,10213300
2021-01-13,21.97,21.99,21.39,21.57,10583300
2021-01-12,20.89,22.23,20.67,22.13,15812500
2021-01-11,19.38,20.69,19.27,20.57,10780729
2021-01-08,20.68,20.68,19.87,20.12,8341100
2021-01-07,20.97,21.21,20.2,20.35,13674200
2021-01-06,20.93,21.04,20.51,20.82,16163500
2021-01-05,19.17,20.99,19.01,20.41,15907800
2021-01-04,19.22,19.47,18.57,18.83,8783942
2020-12-31,19.03,19.12,18.83,18.9,6940500
2020-12-30,18.64,19.18,18.56,19.12,7742200
2020-12-29,19.0,19.05,18.33,18.64,9828800
2020-12-28,19.25,19.59,18.85,18.89,6484693
2020-12-24,19.52,19.58,18.99,19.21,3114346
2020-12-23,19.28,19.98,19.23,19.48,9275300
2020-12-22,19.36,19.52,19.07,19.12,6426000
2020-12-21,18.82,19.6,18.58,19.35,8332978
2020-12-18,19.98,20.29,19.56,19.67,10575871
2020-12-17,20.35,20.5,19.785,20.085,8313787
2020-12-16,20.01,20.54,19.87,20.14,13386800
2020-12-15,19.27,20.15,19.245,20.07,13739116
2020-12-14,20.13,20.24,18.83,18.96,11144053
2020-12-11,19.7302,20.0,19.4,19.83,9656357
2020-12-10,19.0,20.31,18.92,19.99,11663200
2020-12-09,19.83,20.36,19.27,19.51,16960900
2020-12-08,18.53,19.81,18.53,19.76,10453614
2020-12-07,19.41,19.59,18.86,18.97,12126562
2020-12-04,18.53,19.53,18.43,19.44,13872927
2020-12-03,17.79,18.31,17.51,18.02,11623800
2020-12-02,16.9,18.08,16.78,17.61,9734200
