datetime,open,high,low,close,volume
2021-01-29,94.26,95.32,93.16,93.8168,269375
2021-01-28,93.88,95.62,93.36,95.14,1059900
2021-01-27,94.24,95.34,91.26,93.29,1162600
2021-01-26,96.85,96.85,93.07,95.19,1081400
2021-01-25,97.47,98.45,95.36,95.83,638000
2021-01-22,96.78,97.76,95.48,97.48,437900
2021-01-21,94.89,97.95,94.31,97.0,706500
2021-01-20,95.91,96.67,94.12,94.74,664900
2021-01-19,97.58,97.675,94.765,96.29,769292
2021-01-15,98.42,98.56,96.18,97.2,1017500
2021-01-14,99.54,101.24,98.99,99.21,1058800
2021-01-13,98.72,99.6,98.23,99.25,640800
2021-01-12,97.0,99.63,96.53,99.12,843600
2021-01-11,96.5,97.9299,96.13,96.85,571188
2021-01-08,95.26,97.53,95.01,97.26,908900
2021-01-07,95.43,95.59,94.25,94.79,584600
2021-01-06,93.0,95.48,93.0,94.49,693700
2021-01-05,92.21,94.27,92.0,93.18,537700
2021-01-04,93.74,93.74,90.43,91.96,938688
2020-12-31,93.75,94.19,92.8,93.54,553900
2020-12-30,93.31,94.84,93.01,94.0,507400
2020-12-29,93.78,93.8,92.21,93.38,459600
2020-12-28,93.51,94.11,92.89,93.34,462576
2020-12-24,93.22,93.31,92.01,93.15,173582
2020-12-23,92.99,93.45,91.84,92.75,671600
2020-12-22,93.69,94.24,92.25,92.38,583300
2020-12-21,92.65,94.8,91.4,93.6,917287
2020-12-18,93.75,94.24,92.0,93.78,771431
2020-12-17,95.0,96.07,93.03,93.21,765309
2020-12-16,92.2,95.56,92.0,94.76,1485500
2020-12-15,90.88,92.76,89.15,92.19,871878
2020-12-14,90.17,91.32,89.49,90.11,656421
2020-12-11,89.5,89.5,87.52,89.01,759855
2020-12-10,88.18,89.28,87.7,88.68,773800
2020-12-09,91.05,91.54,88.43,88.76,1366700
2020-12-08,89.02,91.11,88.86,89.73,766049
2020-12-07,90.67,90.99,89.4,89.57,1079277
2020-12-04,92.9,93.71,90.915,90.99,1345458
2020-12-03,93.9,95.22,92.36,92.66,907300
2020-12-02,94.77,94.97,91.3,93.93,1192100
2020-12-01,94.34,97.13,93.8,96.19,1914000
