datetime,open,high,low,close,volume
2021-01-29,163.3,165.85001,159.7043,161.1927,657100
2021-01-28,159.59,166.64,158.96001,163.8,1709900
2021-01-27,161.57001,162.60001,156.42999,157.02,2287600
2021-01-26,169.36,170.14999,164.02,164.13,1221100
2021-01-25,166.09,168.78,164.58,168.42999,1161294
2021-01-22,166.48,167.35001,165.31,166.97,1023000
2021-01-21,168.73,168.73,166.77,167.39999,1014700
2021-01-20,166.02,168.99001,164.64999,167.95,942100
2021-01-19,170.55,171.595,166.06,166.10001,1385614
2021-01-15,167.28,169.48,166.36,168.77,1111800
2021-01-14,170.78,171.41,167.62,168.27,1489400
2021-01-13,172.06,172.89,168.59,170.47,860500
2021-01-12,171.03999,172.39999,169.53999,172.24001,982800
2021-01-11,170.58,173.08,169.66,171.37,635415
2021-01-08,174.0,174.55,169.58,172.28,1063600
2021-01-07,171.03999,174.37,171.03999,173.60001,2094100
2021-01-06,168.13,174.10001,168.13,170.56,3093800
2021-01-05,163.11,166.74001,162.22,165.00999,1142300
2021-01-04,163.37,164.94,158.37,163.64,1435387
2020-12-31,163.07001,165.0,161.78,164.46001,958200
2020-12-30,163.28,163.92,161.53999,162.35001,879400
2020-12-29,164.23,165.03,162.53,163.83,915500
2020-12-28,165.56,165.64999,163.19,164.0,894472
2020-12-24,166.41,166.8,164.09,164.24001,268629
2020-12-23,164.64,166.86,164.42,165.86,1904800
2020-12-22,163.5,164.42,161.88,163.27,1813100
2020-12-21,161.19,164.34,158.89,163.09,1084768
2020-12-18,165.25,165.97,163.21001,164.53999,1211291
2020-12-17,162.8,165.74001,162.69,164.74001,1068458
2020-12-16,160.67999,162.55,159.67,161.56,1106700
2020-12-15,162.89,163.17999,159.25,160.95,1370097
2020-12-14,163.87,165.24001,159.715,160.86,1697214
2020-12-11,161.0,161.24001,156.69991000000002,157.61,932853
2020-12-10,159.39,164.22,159.39,161.78999,1401600
2020-12-09,158.86,161.42,158.27,159.92999,1531900
2020-12-08,155.08,159.64999,155.08,159.10001,1025646
2020-12-07,157.14999,157.67999,153.75,155.37,1012349
2020-12-04,153.00999,158.185,152.685,157.82001,1249483
2020-12-03,153.25,154.07001,151.92999,152.75,906400
