datetime,open,high,low,close,volume
2021-01-29,275.60251,277.06,270.04001,271.82001,1692121
2021-01-28,276.17001,282.95999,274.92999,278.04999,3462000
2021-01-27,279.98999,280.81,273.07999,274.04999,4335700
2021-01-26,285.42001,285.64999,281.70001,282.60001,2467200
2021-01-25,283.85001,285.76999,281.42001,285.07999,3875877
2021-01-22,279.26001,285.07999,277.87,284.0,4499700
2021-01-21,276.22,280.70001,275.67001,279.04999,4397900
2021-01-20,273.25,277.20999,271.5,274.29999,3495500
2021-01-19,278.0,278.0,273.01999,273.19,3615794
2021-01-15,268.63,276.39001,268.0,275.59,5130300
2021-01-14,274.5,274.89999,267.67001,268.34,4636500
2021-01-13,278.31,280.48001,273.94,274.04999,3918100
2021-01-12,271.10999,277.94,270.64999,276.32999,4029900
2021-01-11,267.47,273.37,267.26001,271.23001,3765208
2021-01-08,267.35001,270.73001,267.0,269.09,3757300
2021-01-07,266.95001,268.78,266.17001,266.26001,3831700
2021-01-06,264.06,269.76999,261.87,267.57001,3947900
2021-01-05,262.66,266.53,262.26001,266.04999,3820400
2021-01-04,266.01001,266.44461,261.06,263.92001,4481365
2020-12-31,265.57001,265.95001,263.57999,265.62,2607900
2020-12-30,266.10999,267.29999,264.92001,265.26001,2509800
2020-12-29,269.98001,270.45999,265.07001,266.19,2568300
2020-12-28,272.17001,272.25,269.23999,269.25,2633520
2020-12-24,269.7222,271.35001,269.5,270.92001,1189763
2020-12-23,270.06,271.0,268.20001,269.81,2336700
2020-12-22,270.06,271.35999,268.51001,270.04001,3140100
2020-12-21,268.56,271.95001,265.88,270.98999,4051205
2020-12-18,274.42999,275.73999,270.29999,270.79001,4991909
2020-12-17,272.31,274.32999,271.29999,273.97,3301114
2020-12-16,268.53,270.75,267.51001,269.59,4664100
2020-12-15,267.465,268.76279,266.20001,267.98999,2623105
2020-12-14,266.14001,268.59991,265.26999,265.57999,4191607
2020-12-11,263.10001,265.36179,262.67999,264.59,2730060
2020-12-10,264.07999,266.07001,262.10999,264.81,4217900
