datetime,open,high,low,close,volume
2021-01-29,161.64999,162.03,158.12,159.00999,113195
2021-01-28,163.95,164.62,161.28,161.95,372817
2021-01-27,160.0,166.41,159.85001,163.2,758000
2021-01-26,168.64999,169.69,160.8,160.88,466400
2021-01-25,167.09,169.17,165.48,166.50999,273592
2021-01-22,166.57001,168.57001,164.48,167.64,312000
2021-01-21,167.85001,170.17,166.73,166.89,295800
2021-01-20,170.24001,170.84,168.27,168.46001,280900
2021-01-19,173.16,173.75,170.31,170.57001,283859
2021-01-15,171.25,172.58,168.12,171.47,297100
2021-01-14,172.61,175.35001,171.67999,172.02,377100
2021-01-13,171.59,173.0,170.25999,171.3,222300
2021-01-12,169.8,173.32001,169.12,172.21001,271200
2021-01-11,167.75999,171.11,167.75999,169.2,247184
2021-01-08,170.96001,172.89999,167.03,169.09,404100
2021-01-07,171.64999,171.64999,168.60001,169.74001,471000
2021-01-06,163.22,171.46001,163.22,170.98,463200
2021-01-05,164.17999,167.03,164.03,165.56,392100
2021-01-04,169.64,169.87,162.17999,164.05,466048
2020-12-31,168.03999,171.08,167.55,170.48,286700
2020-12-30,166.61,169.39999,166.37,168.53999,198800
2020-12-29,167.96001,168.02,164.81,166.58,252800
2020-12-28,166.37,169.17,166.03999,166.89,171205
2020-12-24,166.46989,166.46989,163.875,165.39999,83126
2020-12-23,163.605,167.17999,163.605,166.55,131304
2020-12-22,164.99001,165.87,163.03,163.63,298700
2020-12-21,166.87,168.09,163.44,165.27,395884
2020-12-18,170.47,172.50999,168.5,169.92999,323542
2020-12-17,174.86,174.86,170.39999,170.47,349101
2020-12-16,176.45,177.14,173.12,174.62,310400
2020-12-15,175.66,177.27,173.85001,175.98,252537
2020-12-14,179.0,179.89999,174.06,174.98,405433
2020-12-11,174.125,179.28,173.97701,177.7,351653
2020-12-10,171.53999,176.27,171.53999,174.46001,479700
2020-12-09,172.84,174.92999,172.39999,173.44,458000
2020-12-08,169.84,172.74001,169.3642,171.59,365329
2020-12-07,167.39999,170.38,165.11,170.03999,452479
2020-12-04,164.19,169.39999,164.00999,167.67999,212235
2020-12-03,164.03999,166.09,163.14,163.73,314500
2020-12-02,162.69,164.91,160.3,163.17,359300
2020-12-01,162.6915,166.52,162.33501,164.5,291684
2020-11-30,163.2,164.38,159.0,160.19,563235
2020-11-27,165.63,165.63,163.39999,164.53,139500
2020-11-25,169.13,169.5,165.13,165.53,284600
2020-11-24,166.82001,172.53999,166.82001,170.87,391500
2020-11-23,160.10001,165.25999,160.0,165.11,423949
2020-11-20,162.2,162.92,157.71001,158.74001,530000
2020-11-19,162.25999,163.39999,160.69,162.21001,275300
2020-11-18,164.94,165.08,163.0,163.22,225132
2020-11-17,163.3,165.27,161.56,163.05,269926
2020-11-16,165.27,166.73,162.67,163.25999,480889
2020-11-13,160.0,165.145,159.58,164.0,303239
2020-11-12,157.16,159.48,156.06,158.53,314400
2020-11-11,161.53,162.10001,157.92,158.03999,449000
2020-11-10,157.2,164.39999,157.14,161.53999,488700
2020-11-09,160.0,164.69,155.24001,155.97,624364
2020-11-06,151.5,154.82001,151.5,152.72,323600
2020-11-05,151.99001,159.45,148.85001,151.81,794500
2020-11-04,157.89,158.74001,150.66,150.72,566900
2020-11-03,152.28,158.0,151.60001,156.89999,392600
2020-11-02,149.42999,152.12,147.32001,149.5,367460
2020-10-30,142.64,147.66,142.64,147.48,301300
2020-10-29,140.56,143.47,138.8,142.97,324100
2020-10-28,144.05,146.38,140.92999,141.46001,352300
2020-10-27,148.94,148.94,146.175,146.50999,247655
2020-10-26,151.45,151.77,148.85789,149.71001,325874
2020-10-23,153.53,153.845,152.11,152.92,216618
2020-10-22,149.94,152.53,149.2,152.23,231700
2020-10-21,147.7,150.14999,146.64999,149.52,295100
2020-10-20,147.67999,149.48,146.14999,147.7,227400
2020-10-19,148.42999,149.98,146.5,146.96001,212423
2020-10-16,147.78999,150.42999,146.25,148.0,376600
2020-10-15,150.48,150.48,146.85001,147.55,379800
2020-10-14,147.72,152.88,147.64,151.5,194967
2020-10-13,148.14,150.08,147.575,148.38,217723
2020-10-12,149.98,152.27,148.108,149.45,239760
2020-10-09,151.10001,151.39,149.00999,149.99001,233834
2020-10-08,149.10001,149.7,146.28,149.64,223248
2020-10-07,148.42,150.64,147.37,147.94,317200
2020-10-06,147.91,151.28,146.58,147.13,412900
2020-10-05,146.11,147.07001,144.5757,146.32001,221929
2020-10-02,140.00999,144.32001,137.61501,144.14999,350956
2020-10-01,140.84,142.86,139.3,140.0,422703
2020-09-30,142.09,142.92999,140.03999,140.75,368200
2020-09-29,142.86501,143.52,140.87,141.21001,119113
2020-09-28,143.22,145.24001,141.7,143.13,321395
2020-09-25,140.13,142.03,139.62,141.22,0
2020-09-24,138.25999,140.85001,136.99001,139.49001,0
2020-09-23,144.94,144.94,138.23,139.42999,0
2020-09-22,143.64999,145.75999,142.34,143.61,0
2020-09-21,147.28999,147.44,142.69,143.89999,218492
2020-09-18,149.67999,151.52,148.84,149.17999,120160
2020-09-17,146.35001,151.03,145.675,150.59,139956
2020-09-16,144.97,150.00999,144.0,147.94,121021
2020-09-15,146.64999,147.06,144.0,145.27,344922
2020-09-14,148.09,148.09,144.06,146.85001,230429
2020-09-11,138.2,148.24001,138.2,147.39999,326696
2020-09-10,142.88,144.25999,137.63789,137.83,356476
2020-09-09,142.584,143.81,138.61,141.35001,206247
2020-09-08,147.86,147.94501,141.39999,141.78,438604
2020-09-04,152.0,153.41499,146.83,147.50999,202483
2020-09-03,151.36,154.4299,147.84,150.12,288399
2020-09-02,150.33,152.82001,148.97,151.34,423289
2020-09-01,151.60001,151.60001,147.73,150.33,439057
2020-08-31,152.47,152.74001,149.88,151.52,259312
2020-08-28,153.36,153.97,151.46001,152.48,156395
2020-08-27,153.25999,156.3,153.0,153.44,230863
2020-08-26,158.81,158.81,153.50728999999998,153.89,162199
2020-08-25,162.53,163.17,158.125,158.94,100449
2020-08-24,158.92999,162.25,157.86,162.17999,123328
2020-08-21,159.53999,161.46001,158.07001,158.63,148210
2020-08-20,161.8188,161.8188,159.41,159.5,136242
2020-08-19,162.28999,164.4899,162.06,162.77,100921
2020-08-18,162.66,163.41,161.52,162.28999,151254
2020-08-17,166.85201,166.85201,162.69,163.09,203053
2020-08-14,164.36,169.0,163.5,166.97,101286
2020-08-13,162.89999,165.64999,161.855,164.13,158739
2020-08-12,169.95,169.96001,163.08,164.17,208332
2020-08-11,172.42,174.5,168.39,168.53999,114446
2020-08-10,168.28999,170.9935,165.87,169.14,319336
2020-08-07,161.7345,169.74001,161.44,167.89999,204103
2020-08-06,171.0,174.41,160.02,162.78,594191
2020-08-05,174.89,178.67,174.05,178.67,176344
2020-08-04,175.035,176.78999,172.85001,173.53999,105213
2020-08-03,175.11,176.97,173.45,175.34,116959
2020-07-31,174.22,175.42,171.24001,173.71001,105693
2020-07-30,173.67,176.98,172.9666,174.78999,87707
2020-07-29,175.6377,176.63,172.64999,175.88,50993
2020-07-28,173.23,177.5034,173.23,174.94,97638
2020-07-27,176.2,176.2,172.66,173.12,92710
2020-07-24,180.46851,182.255,176.7644,177.06,95460
2020-07-23,180.0934,183.59,179.14999,180.89999,120815
2020-07-22,177.77,180.47,177.49001,179.61,132039
2020-07-21,177.25,180.265,177.25,178.00999,46943
2020-07-20,179.3,179.74001,175.50999,176.23,34006
2020-07-17,180.45,181.32001,178.38,180.95,25733
2020-07-16,177.0,181.98,177.0,179.37,0
2020-07-15,176.19,178.36,175.85001,176.97,5882
2020-07-14,170.0,172.85001,168.25,171.82001,305031
2020-07-13,169.00999,172.59,167.77,169.62,0
2020-07-10,162.3,167.35001,162.3,167.03999,0
2020-07-09,166.63,166.63,161.39,161.77,655
2020-07-08,167.88,170.0,166.84,167.49001,9069
2020-07-07,172.12,174.97,168.19,168.32001,2907
2020-07-06,175.99001,176.41,173.03,173.28,6048
2020-07-02,175.44,176.89,172.67,173.11,0
2020-07-01,176.16,177.72,173.14999,173.73,269631
2020-06-26,171.99001,172.80499,169.02,169.02,171276
2020-06-25,165.62,172.21001,165.42999,172.145,352810
2020-06-24,175.25,175.25,167.08,167.22,136888
2020-06-23,179.16,179.16,175.545,177.09,102513
2020-06-22,176.3708,178.2,175.25999,177.84,100607
2020-06-19,184.60001,184.75,176.86501,178.64999,119783
2020-06-18,184.02,186.14,181.16,181.49001,83193
2020-06-17,187.74001,187.74001,183.84,183.95,73950
2020-06-16,182.25,190.625,182.25,185.83,93471
2020-06-15,177.99001,183.16,177.99001,182.17999,137110
2020-06-12,186.1066,186.98,179.11,182.28,97397
2020-06-11,193.78,194.0,180.28999,180.83,118694
2020-06-10,196.41631,200.56,193.065,196.86,98598
2020-06-09,204.735,204.88,196.91,197.75,89129
