datetime,open,high,low,close,volume
2021-01-29,103.225,103.24,99.02,99.895,2306306
2021-01-28,100.88,104.84,100.88,104.0,6542600
2021-01-27,102.95,103.82,98.57,98.67,4591700
2021-01-26,105.73,106.27,104.61,104.67,2800200
2021-01-25,104.1,105.732,102.59,105.12,5236342
2021-01-22,107.51,107.89,104.67,104.96,2805200
2021-01-21,107.68,109.92,107.14,108.82,1799700
2021-01-20,108.02,108.59,105.81,107.7,2771500
2021-01-19,108.41,109.51,107.59,107.93,1839560
2021-01-15,111.43,111.64,108.07,108.41,2156800
2021-01-14,112.56,113.68,111.11,112.11,2360600
2021-01-13,112.28,113.18,110.65,111.87,2040200
2021-01-12,113.18,114.09,112.13,112.33,1792900
2021-01-11,112.49,113.71,111.32,113.18,1509848
2021-01-08,113.92,115.67,113.03,114.16,4065100
2021-01-07,111.45,113.89,111.25,113.29,2638500
2021-01-06,108.07,112.08,108.06,110.77,1867500
2021-01-05,107.0,109.08,106.88,107.95,2564200
2021-01-04,110.97,111.31,106.01,107.46,2533554
2020-12-31,109.68,111.61,108.69,111.26,1571400
2020-12-30,108.1,110.84,108.1,110.18,1405100
2020-12-29,108.18,109.65,107.51,107.95,1428000
2020-12-28,107.99,109.4,107.12,107.38,1559821
2020-12-24,106.56,106.89,105.65,106.89,822400
2020-12-23,104.02,106.83,103.32,106.51,2196200
2020-12-22,104.04,104.56,102.65,102.95,2393000
2020-12-21,101.95,104.86,101.33,103.99,2511261
2020-12-18,104.94,106.92,104.42,104.61,2447276
2020-12-17,105.005,105.325,103.55,104.67,1423821
2020-12-16,104.97,105.36,103.3,104.41,1955900
2020-12-15,105.9,105.9,102.91,104.96,1643392
2020-12-14,106.39,106.39,102.98,103.04,1801289
2020-12-11,106.74,107.61,104.3,104.73,2000082
2020-12-10,106.25,107.85,105.2,107.36,2355800
2020-12-09,109.5,109.96,105.7,106.7,2165100
2020-12-08,108.7,110.76,108.65,109.05,1446737
2020-12-07,110.28,110.41,108.33,109.83,1594808
2020-12-04,110.0,111.24,108.625,110.85,1077518
2020-12-03,107.13,111.54,107.13,109.16,3119200
2020-12-02,104.3,107.19,103.8,106.75,2069100
2020-12-01,105.26,105.64,103.87,104.84,1946700
2020-11-30,104.04,104.275,101.77,103.63,2810592
2020-11-27,106.62,107.0,104.17,104.41,1008700
2020-11-25,108.0,108.15,106.22,106.3,1846700
2020-11-24,107.97,109.62,107.03,108.94,2768900
2020-11-23,102.89,105.05,102.41,105.05,3428351
2020-11-20,102.85,103.37,101.45,101.76,2302700
2020-11-19,102.33,103.58,102.01,102.8,3274300
2020-11-18,103.47,105.63,102.9,103.36,1577313
2020-11-17,104.56,105.21,102.54,103.34,2732800
2020-11-16,109.47,109.71,106.26,106.58,4348985
2020-11-13,102.795,105.92,102.65,105.79,2419003
2020-11-12,102.33,103.27,100.83,102.05,2702600
2020-11-11,104.65,104.76,101.45,103.75,3695500
2020-11-10,105.0,106.45,102.74,104.24,4420000
2020-11-09,112.39,116.73,102.6,104.19,9443827
2020-11-06,93.65,95.06,92.28,92.84,2858900
2020-11-05,93.33,96.08,93.07,94.08,2397600
2020-11-04,91.27,96.62,90.58,93.09,2985200
2020-11-03,88.75,91.95,88.75,90.65,3039900
2020-11-02,88.0,88.51,86.52,88.0,2352787
2020-10-30,85.76,88.08,84.78,87.81,2336000
2020-10-29,84.02,87.45,83.62,86.51,2541300
2020-10-28,85.98,86.65,83.84,84.02,2279500
2020-10-27,90.28,90.39,87.485,87.66,1469533
2020-10-26,92.92,93.0,88.47,90.38,1970007
2020-10-23,94.77,95.67,94.16,94.66,2131253
2020-10-22,90.21,94.43,89.71,94.39,4377300
2020-10-21,89.33,89.63,88.2,88.97,3400100
2020-10-20,88.53,90.47,87.77,89.57,2259600
2020-10-19,89.65,90.8407,86.97,87.55,1454385
2020-10-16,88.88,90.1,88.52,89.5,1901800
2020-10-15,87.36,88.7,86.42,88.68,1330100
2020-10-14,88.87,90.21,87.8,88.31,1898792
2020-10-13,91.3,91.3,88.19,88.64,1850737
2020-10-12,91.44,91.78,90.385,91.35,1383074
2020-10-09,93.05,94.09,91.255,91.34,1435311
2020-10-08,92.28,92.93,91.14,92.57,1963613
2020-10-07,90.41,92.15,90.41,91.72,2108500
2020-10-06,90.28,92.39,89.38,89.6,2128000
2020-10-05,88.45,90.0063,87.86,89.3,1284125
2020-10-02,84.83,88.02,84.62,87.93,1362540
2020-10-01,85.69,87.24,85.55,87.21,1537301
2020-09-30,87.54,88.88,85.17,85.32,3126800
2020-09-29,88.89,88.98,86.43,86.6,2681162
2020-09-28,87.82,89.44,86.8,89.06,2242369
2020-09-25,82.92,86.06,82.825,85.98,3009142
2020-09-24,83.25,84.75,81.48,83.05,4088599
2020-09-23,85.78,87.33,83.68,83.84,1847568
2020-09-22,85.41,85.83,83.97,85.25,2641518
2020-09-21,87.1005,87.3,83.52,85.49,3375630
2020-09-18,90.3,91.34,89.27,89.64,3355866
2020-09-17,92.52,93.1,90.62,91.18,2366684
2020-09-16,92.46,95.08,91.64,94.04,2484661
2020-09-15,92.9,93.78,91.79,91.94,1742020
2020-09-14,88.24,92.57,88.24,92.26,1795915
2020-09-11,89.545,89.63,86.21,87.32,1761509
2020-09-10,91.171,93.14,89.27,89.35,1346052
2020-09-09,91.79,91.85,90.14,90.4,1883269
2020-09-08,90.061,93.42,89.7,91.93,2540380
2020-09-04,92.4,93.39,90.75,90.92,3124241
2020-09-03,92.03,93.85,90.31,91.39,2321941
2020-09-02,91.855,91.855,90.4,91.29,3725410
2020-09-01,89.69,92.15,89.01,91.71,1375407
2020-08-31,91.53,91.61,89.48,90.34,3032607
2020-08-28,89.11,92.06,89.11,91.77,4027592
2020-08-27,87.64,89.29,87.585,88.82,3016703
2020-08-26,88.12,88.15,86.7,86.79,1956660
2020-08-25,89.72,90.44,88.28,88.43,1864496
2020-08-24,88.0,89.21,86.81,88.4,1994772
2020-08-21,85.4,87.44,85.29,87.34,2026617
2020-08-20,83.75,85.71,83.12,85.1,2027752
2020-08-19,84.445,85.39,83.88,84.47,1642605
2020-08-18,85.0,85.13,83.36,84.06,1630181
2020-08-17,86.05,86.2,84.195,84.99,1646846
2020-08-14,85.66,86.84,85.25,86.01,1747458
2020-08-13,85.44,87.0523,84.26,85.5,1485807
2020-08-12,88.24,88.53,85.36,85.9,1977100
2020-08-11,87.71,88.46,86.45,87.07,4571819
2020-08-10,84.65,87.2,84.2,86.2,3187944
2020-08-07,82.625,83.85,81.21,83.7,2857583
2020-08-06,80.0,83.58,78.06,82.73,4709554
2020-08-05,79.55,80.03,77.83,79.91,3642431
2020-08-04,74.675,78.42,74.6,78.34,2660167
2020-08-03,74.34,75.62,73.51,74.75,1764239
2020-07-31,75.64,75.7561,74.02,75.06,3785368
2020-07-30,76.56,76.84,75.42,76.1,2124503
2020-07-29,77.56,78.01,76.93,77.39,1443042
