datetime,open,high,low,close,volume
2021-01-29,24.77,24.99,24.07,24.275,4546820
2021-01-28,24.98,25.35,24.85,24.87,9139272
2021-01-27,24.18,25.24,24.16,24.85,12948100
2021-01-26,25.19,25.36,24.39,24.62,11545900
2021-01-25,25.22,25.27,24.405,25.02,9846952
2021-01-22,25.11,25.35,24.97,25.27,6684100
2021-01-21,25.41,25.44,24.98,25.36,7160000
2021-01-20,25.22,25.32,25.05,25.2,6270500
2021-01-19,25.26,25.38,24.985,25.14,6794305
2021-01-15,25.46,25.57,24.99,25.17,8364600
2021-01-14,25.58,25.93,25.56,25.62,8289800
2021-01-13,25.99,26.04,25.7,25.71,6596600
2021-01-12,25.83,26.15,25.75,25.91,7280700
2021-01-11,25.5,25.925,25.34,25.78,8202062
2021-01-08,25.69,25.94,25.39,25.53,7513500
2021-01-07,25.27,25.8,25.06,25.75,9288400
2021-01-06,24.62,25.38,24.62,24.96,8471800
2021-01-05,24.08,24.72,24.08,24.46,7856500
2021-01-04,24.7,24.94,23.85,24.11,7635603
2020-12-31,24.34,24.69,24.23,24.59,6368200
2020-12-30,24.2,24.69,24.2,24.32,7556300
2020-12-29,24.27,24.43,23.97,24.05,5830500
2020-12-28,24.31,24.63,24.25,24.27,5592909
2020-12-24,24.33,24.45,24.16,24.26,2309800
2020-12-23,24.16,24.46,24.15,24.21,4538500
2020-12-22,24.09,24.37,24.06,24.16,7150200
2020-12-21,23.96,24.2,23.715,24.0,9791034
2020-12-18,24.06,24.53,24.06,24.46,7777057
2020-12-17,24.19,24.29,23.96,24.22,9044850
2020-12-16,24.07,24.3,23.84,23.98,11154100
2020-12-15,23.5,23.78,23.46,23.72,5741304
2020-12-14,23.12,23.515,23.12,23.21,6237049
2020-12-11,22.9074,23.345,22.9074,23.11,6328973
2020-12-10,22.89,23.44,22.85,23.17,10405000
2020-12-09,23.15,23.79,23.14,23.19,10539800
2020-12-08,23.33,23.76,23.31,23.51,6496541
2020-12-07,23.57,23.89,23.36,23.68,7852146
2020-12-04,23.35,23.875,23.25,23.77,6835899
2020-12-03,22.8,23.43,22.76,23.24,8729000
2020-12-02,22.36,22.98,22.26,22.82,8710000
2020-12-01,22.22,22.59,22.08,22.38,11564600
2020-11-30,22.09,22.285,21.8,21.93,13130832
2020-11-27,22.05,22.39,22.02,22.27,6690200
2020-11-25,22.88,23.35,21.86,22.25,18758500
2020-11-24,21.32,21.94,21.26,21.75,17467900
2020-11-23,20.7,21.27,20.58,21.19,8697321
2020-11-20,20.52,20.69,20.33,20.45,7255900
2020-11-19,20.36,20.58,20.13,20.5,5731600
2020-11-18,20.61,20.95,20.44,20.45,9110300
2020-11-17,20.03,20.9,19.85,20.5,12321000
2020-11-16,19.89,20.385,19.735,20.3,10933069
2020-11-13,19.05,19.655,19.03,19.61,5499605
2020-11-12,19.21,19.36,18.69,18.93,8877500
2020-11-11,19.92,19.95,19.2,19.36,9736400
2020-11-10,19.77,20.08,19.66,19.87,11227200
2020-11-09,19.92,20.6,19.64,19.73,13689440
2020-11-06,19.1,19.34,18.97,19.25,6515700
2020-11-05,18.6,19.2,18.59,19.13,8926200
2020-11-04,18.64,18.67,18.25,18.28,8512600
2020-11-03,18.68,18.79,18.56,18.62,6337400
2020-11-02,18.18,18.47,18.02,18.41,7072588
2020-10-30,17.63,17.97,17.52,17.96,7882600
2020-10-29,17.29,17.91,17.29,17.78,6888391
2020-10-28,17.45,17.75,17.3,17.35,12223900
2020-10-27,18.298,18.38,17.96,17.98,7814686
2020-10-26,18.88,19.0,18.065,18.25,11900380
2020-10-23,19.35,19.45,19.0619,19.12,5179385
2020-10-22,19.17,19.45,18.98,19.35,6149500
2020-10-21,19.31,19.47,19.21,19.22,5781400
2020-10-20,19.51,19.76,19.36,19.37,6142600
2020-10-19,19.67,19.77,19.315,19.36,4727919
2020-10-16,19.62,19.82,19.59,19.6,7409100
2020-10-15,19.27,19.58,19.11,19.56,7697800
2020-10-14,19.69,19.93,19.47,19.5,5422402
2020-10-13,19.94,19.97,19.55,19.67,6002605
2020-10-12,19.57,19.845,19.335,19.83,7565050
2020-10-09,19.52,19.68,19.24,19.38,6245428
2020-10-08,19.3791,19.5057,19.28,19.4,7472558
2020-10-07,19.16,19.31,19.04,19.23,11850000
2020-10-06,19.5,19.6,18.95,18.96,11898100
2020-10-05,19.32,19.59,19.1,19.31,8586721
2020-10-02,18.53,19.3,18.5,19.09,7221751
2020-10-01,19.17,19.28,18.93,19.0,9343787
2020-09-30,18.88,19.32,18.84,18.99,11924300
2020-09-29,18.86,19.15,18.835,18.92,3996339
2020-09-28,18.6,18.945,18.56,18.86,11432149
2020-09-25,18.0,18.46,17.97,18.29,1770710
2020-09-24,18.12,18.41,17.89,18.15,963467
2020-09-23,18.62,18.95,18.27,18.315,563186
2020-09-22,18.42,18.59,18.28,18.43,1299240
2020-09-21,18.52,18.58,18.09,18.34,6402433
2020-09-18,19.09,19.25,18.88,18.94,5538346
2020-09-17,19.14,19.26,18.97,19.15,3429249
2020-09-16,19.43,19.75,19.375,19.41,4126177
2020-09-15,19.4,19.75,19.245,19.27,3866834
2020-09-14,19.51,19.63,19.28,19.32,4374852
2020-09-11,19.19,19.46,19.04,19.295,4726532
2020-09-10,19.78,19.78,18.975,19.01,4733263
2020-09-09,19.55,19.83,19.45,19.71,5461766
2020-09-08,18.87,19.98,18.73,19.44,9275512
2020-09-04,19.25,19.475,18.92,19.22,5786102
2020-09-03,19.67,19.935,19.11,19.3,7587049
2020-09-02,19.48,19.9,19.35,19.84,5746631
2020-09-01,19.53,19.55,19.06,19.26,7263141
2020-08-31,19.74,20.16,19.55,19.55,8236761
2020-08-28,19.28,20.18,18.8501,19.85,14812249
2020-08-27,18.55,18.86,18.36,18.71,8361749
2020-08-26,18.51,18.57,18.3,18.34,5942129
2020-08-25,18.75,18.795,18.3,18.4482,4177915
2020-08-24,18.49,18.83,18.49,18.66,3477452
2020-08-21,18.13,18.3,18.05,18.23,3308018
2020-08-20,18.0,18.215,17.97,18.14,2673416
2020-08-19,18.3,18.49,18.09,18.145,3104782
2020-08-18,17.93,18.27,17.81,18.25,4562617
2020-08-17,18.22,18.32,17.9,17.95,7309294
2020-08-14,18.27,18.35,18.04,18.19,6074999
2020-08-13,18.55,18.72,18.35,18.385,3403160
2020-08-12,18.77,18.86,18.41,18.8,4105396
2020-08-11,19.17,19.43,18.48,18.57,4639890
2020-08-10,18.49,19.04,18.49,18.985,4756260
2020-08-07,18.31,18.47,18.16,18.47,3352007
2020-08-06,17.88,18.35,17.835,18.27,5363686
2020-08-05,18.0,18.22,17.89,17.98,5494616
2020-08-04,17.98,18.02,17.69,17.9,3483553
2020-08-03,17.5,17.88,17.38,17.765,3326993
2020-07-31,17.3,17.63,17.15,17.59,4868198
2020-07-30,16.9,17.3,16.73,17.24,4937179
2020-07-29,16.865,17.2,16.79,17.08,5796710
2020-07-28,17.77,17.87,16.66,16.7,12462940
2020-07-27,17.59,17.86,17.46,17.81,4670294
2020-07-24,17.55,17.65,17.34,17.5,4267239
2020-07-23,17.69,17.93,17.53,17.67,3490097
2020-07-22,17.4,17.8,17.38,17.73,4407145
2020-07-21,17.77,18.03,17.46,17.49,1626962
2020-07-20,17.41,17.71,17.28,17.64,2338654
2020-07-17,17.84,17.86,17.41,17.555,2399802
2020-07-16,17.73,17.96,17.69,17.83,480477
2020-07-15,17.98,18.3627,17.65,17.79,1065467
2020-07-14,16.98,17.83,16.93,17.79,709075
2020-07-13,17.16,17.61,16.97,17.08,703065
2020-07-10,16.82,17.06,16.62,17.0,437835
2020-07-09,16.55,16.55,16.03,16.42,599483
2020-07-08,16.66,16.89,16.43,16.75,1015606
2020-07-07,17.37,17.37,16.555,16.625,1170766
2020-07-06,17.4,17.6281,17.4,17.46,2084338
2020-07-02,17.31,17.59,16.985,17.06,613618
2020-07-01,17.41,17.59,16.915,17.0,10544812
2020-06-30,17.11,17.47,16.98,17.43,12305600
2020-06-29,16.7,17.28,16.48,17.13,11855238
2020-06-26,16.29,16.76,16.08,16.61,30226600
2020-06-25,16.13,16.39,16.01,16.39,3374553
2020-06-24,16.77,16.85,16.18,16.2,3727724
2020-06-23,17.13,17.345,16.97,17.0,2020023
2020-06-22,16.66,16.95,16.395,16.92,2703514
2020-06-19,17.2075,17.345,16.705,16.785,4794115
2020-06-18,16.62,17.1,16.57,16.92,2829875
2020-06-17,17.34,17.38,16.77,16.83,2857068
2020-06-16,17.41,17.61,16.77,17.26,3535400
2020-06-15,15.76,16.9975,15.67,16.875,3549448
2020-06-12,16.28,16.42,15.8982,16.28,3281352
2020-06-11,16.07,16.375,15.56,15.66,5879065
2020-06-10,17.35,17.42,16.8,16.89,5335258
2020-06-09,17.52,17.66,17.23,17.49,3684689
2020-06-08,17.64,18.325,17.61,18.17,3944756
2020-06-05,17.2,17.64,17.13,17.41,19470700
2020-06-04,16.48,16.87,16.32,16.47,20873100
2020-06-03,16.15,16.98,16.05,16.86,19391500
2020-06-02,15.24,15.87,15.01,15.79,28266700
2020-06-01,15.05,15.58,14.95,15.13,19564600
2020-05-29,15.02,15.17,14.86,15.14,29051100
2020-05-28,15.7,15.7,14.94,15.01,50083800
2020-05-27,17.4,17.48,16.79,17.12,15044600
2020-05-26,17.4,17.47,17.03,17.06,9027300
2020-05-22,17.1,17.1,16.72,17.0,8480500
2020-05-21,17.19,17.35,16.89,17.18,8731500
2020-05-20,17.08,17.54,17.04,17.3,16561300
2020-05-19,16.13,17.18,16.12,16.73,19523700
2020-05-18,15.36,16.29,15.32,16.12,18019700
2020-05-15,14.3,14.9,14.19,14.86,13232100
2020-05-14,13.81,14.52,13.39,14.51,14935300
2020-05-13,14.82,14.88,13.9,14.06,12796100
2020-05-12,15.5,15.59,14.86,14.87,9161000
2020-05-11,15.42,15.59,14.89,15.42,9961100
2020-05-08,15.22,15.74,15.22,15.66,12001100
2020-05-07,14.9,15.24,14.88,14.95,9652300
2020-05-06,14.98,15.1,14.54,14.66,8422800
2020-05-05,15.1,15.26,14.78,14.81,10683400
2020-05-04,14.63,14.94,14.41,14.9,9864900
2020-05-01,15.11,15.22,14.62,14.71,9405800
2020-04-30,16.17,16.18,15.49,15.51,11943200
2020-04-29,15.9,16.64,15.86,16.28,18232300
2020-04-28,15.39,15.87,15.37,15.52,15964400
2020-04-27,15.12,15.26,14.98,15.03,11356200
2020-04-24,14.8,15.05,14.76,15.0,11255600
2020-04-23,14.89,15.1,14.59,14.62,11357300
2020-04-22,14.8,14.9,14.51,14.79,12847100
2020-04-21,15.06,15.21,14.4,14.42,12232300
2020-04-20,15.22,15.49,14.9,15.36,16571900
2020-04-17,15.45,15.73,15.36,15.52,17718700
2020-04-16,15.05,15.34,14.55,15.24,12117400
2020-04-15,15.5,15.55,14.93,15.0,9487300
2020-04-14,15.91,16.15,15.53,15.92,17585800
2020-04-13,15.95,15.95,15.41,15.54,9803100
2020-04-09,16.03,16.49,15.83,15.97,14773100
2020-04-08,15.44,16.14,15.32,15.72,21466300
2020-04-07,15.7,16.09,15.08,15.12,23111100
2020-04-06,15.22,15.46,14.93,15.0,21196000
2020-04-03,15.39,15.7,14.21,14.48,12047500
2020-04-02,14.81,15.82,14.75,15.49,15832200
2020-04-01,16.25,16.67,14.61,14.84,18685400
2020-03-31,17.84,17.97,16.93,17.36,16771900
2020-03-30,16.93,18.09,16.55,17.84,11892700
2020-03-27,17.0,17.31,16.12,16.86,11273200
2020-03-26,15.53,18.21,15.31,17.94,20615300
2020-03-25,15.48,16.8,14.87,15.38,14110600
2020-03-24,14.29,15.64,14.01,15.47,14245700
2020-03-23,13.78,13.96,12.97,13.7,15106500
2020-03-20,14.42,14.8,13.59,13.95,17318900
2020-03-19,13.01,14.71,12.54,14.4,13536500
2020-03-18,13.55,14.0,12.73,13.11,11237900
2020-03-17,14.64,15.14,13.61,14.4,20724700
2020-03-16,15.72,15.72,14.32,14.46,16105100
2020-03-13,18.57,18.62,16.43,17.18,16605100
2020-03-12,17.4,18.57,16.35,17.51,12917200
2020-03-11,19.19,19.47,18.57,19.36,14195100
2020-03-10,19.5,20.33,18.81,19.79,9319500
2020-03-09,19.96,20.29,18.92,18.96,14985100
2020-03-06,20.89,21.49,20.89,21.41,12858900
2020-03-05,21.08,21.7,20.97,21.54,16562300
2020-03-04,21.01,21.64,20.75,21.6,18364200
2020-03-03,21.8,21.84,20.41,20.75,19957500
2020-03-02,20.9,21.88,20.77,21.86,15428100
2020-02-28,20.98,21.37,20.17,20.79,26358300
2020-02-27,22.26,22.36,21.73,21.88,23949100
2020-02-26,23.5,23.5,22.71,22.71,16657000
2020-02-25,22.98,23.93,22.7,23.35,44019200
