datetime,open,high,low,close,volume
2021-01-29,67.41,67.75,64.73,65.15,233602
2021-01-28,68.43,69.19,67.0,67.75,576600
2021-01-27,68.2,68.98,67.03,68.17,1414800
2021-01-26,69.84,70.0,68.8,69.11,491100
2021-01-25,68.63,69.55,68.27,69.31,620542
2021-01-22,68.27,69.41,68.1,69.13,584600
2021-01-21,70.19,70.36,68.17,68.44,534100
2021-01-20,70.41,70.56,69.12,70.18,731900
2021-01-19,72.14,72.14,69.63,70.43,589879
2021-01-15,72.52,72.96,71.02,71.46,725600
2021-01-14,73.7,74.0,72.7,73.03,623300
2021-01-13,73.72,74.89,73.05,73.88,619500
2021-01-12,72.05,74.83,71.91,73.79,732400
2021-01-11,71.81,72.755,71.53,72.38,643151
2021-01-08,70.74,72.27,70.51,72.1,967700
2021-01-07,69.28,70.74,68.94,70.01,775800
2021-01-06,68.24,69.95,67.77,69.56,1384600
2021-01-05,66.08,68.24,66.08,67.78,971300
2021-01-04,68.21,68.59,66.225,66.49,847002
2020-12-31,65.63,66.94,65.43,66.86,401100
2020-12-30,65.69,66.24,65.11,65.84,490100
2020-12-29,66.88,66.99,65.39,65.72,336500
2020-12-28,66.57,66.9,65.64,66.22,403495
2020-12-24,66.31,66.4,65.25,65.83,154315
2020-12-23,66.65,66.95,66.08,66.44,518400
2020-12-22,66.59,67.51,66.01,66.1,528300
2020-12-21,66.73,66.73,65.15,66.46,720057
2020-12-18,69.34,69.34,67.38,67.7,885619
2020-12-17,68.76,69.63,68.3373,68.89,655974
2020-12-16,69.23,69.54,68.73,69.15,678300
2020-12-15,68.47,69.45,67.81,68.95,466282
2020-12-14,70.81,71.29,67.99,68.07,1058523
2020-12-11,70.84,71.45,69.66,69.94,546359
2020-12-10,70.79,71.55,70.44,71.31,499200
2020-12-09,70.8,71.49,70.4,71.15,803400
2020-12-08,68.38,70.56,68.24,70.47,713610
2020-12-07,68.39,69.46,68.16,68.73,799481
2020-12-04,67.07,68.44,66.56,68.43,586399
2020-12-03,66.72,67.07,65.88,66.47,974500
2020-12-02,65.22,66.59,64.94,66.49,935500
2020-12-01,65.19,65.7,64.5,64.91,1065500
2020-11-30,63.99,64.92,63.11,64.31,1122501
2020-11-27,64.54,64.66,63.47,63.68,230641
2020-11-25,64.23,64.66,63.41,64.13,568900
2020-11-24,64.45,65.39,63.72,64.57,510500
2020-11-23,63.74,64.53,63.2528,63.71,768799
2020-11-20,63.35,64.35,63.12,63.58,665900
2020-11-19,63.8,64.03,62.74,63.5,935500
2020-11-18,64.37,65.63,64.23,64.24,679369
2020-11-17,63.32,64.87,62.62,64.61,731600
2020-11-16,67.15,67.41,63.29,64.45,967408
2020-11-13,63.95,66.86,63.89,65.69,874394
2020-11-12,63.29,64.55,62.72,63.36,685300
2020-11-11,67.67,68.35,62.73,63.58,1684400
2020-11-10,68.14,69.0,66.46,68.08,1518700
2020-11-09,64.3,69.89,64.3,68.0,2356904
2020-11-06,61.61,62.22,61.07,61.67,1035600
2020-11-05,60.28,62.29,60.04,61.57,1060500
2020-11-04,60.81,61.55,59.44,59.94,1442000
2020-11-03,63.84,63.84,60.22,60.41,1452700
2020-11-02,63.66,65.78,60.15,62.22,2341951
2020-10-30,63.01,64.73,62.51,63.58,1626700
2020-10-29,61.59,63.8,60.71,62.9,1404100
2020-10-28,65.03,65.54,61.97,61.98,969300
2020-10-27,66.43,67.58,65.58,65.64,1264354
2020-10-26,67.07,67.71,66.1445,66.87,1140178
2020-10-23,66.85,68.19,66.47,67.78,809145
2020-10-22,64.25,66.75,63.85,66.63,1324300
2020-10-21,62.27,64.48,62.13,63.62,913500
2020-10-20,62.55,63.28,62.1,62.51,939900
2020-10-19,62.3,63.14,61.68,61.87,713734
2020-10-16,61.47,62.74,61.14,62.34,772800
2020-10-15,60.12,61.48,59.85,61.36,520100
2020-10-14,59.61,61.14,59.61,60.89,600501
2020-10-13,59.33,60.1,59.11,59.66,389569
2020-10-12,60.55,60.56,59.74,59.89,524034
2020-10-09,61.63,61.815,60.28,60.46,337586
2020-10-08,60.13,61.31,59.56,61.09,589371
2020-10-07,59.17,60.23,58.89,59.46,1083000
2020-10-06,60.51,60.61,58.56,58.84,848500
2020-10-05,58.67,60.635,58.215,60.51,866753
2020-10-02,56.97,58.145,56.75,57.99,1067461
2020-10-01,59.13,59.665,57.52,57.91,674747
2020-09-30,58.6,59.55,58.04,58.78,1150200
2020-09-29,59.64,59.64,58.425,58.57,546851
2020-09-28,59.84,60.39,59.39,59.65,696613
2020-09-25,57.6,58.89,57.34,58.79,897207
2020-09-24,57.25,58.42,56.31,58.28,1018151
2020-09-23,58.99,59.3,56.91,57.18,698380
2020-09-22,59.86,59.94,58.33,59.03,1015056
2020-09-21,60.08,60.295,58.99,59.8,871750
2020-09-18,62.68,62.97,60.7,60.97,953652
2020-09-17,63.5,63.5,62.29,62.87,965462
2020-09-16,64.33,65.68,63.99,64.12,739890
2020-09-15,63.99,65.08,63.65,63.75,666432
2020-09-14,64.77,65.25,63.355,63.73,946338
2020-09-11,63.87,64.58,63.06,64.37,812403
2020-09-10,65.4,65.81,63.53,63.69,831543
2020-09-09,64.01,65.12,63.22,64.77,823174
2020-09-08,65.05,65.17,63.5,63.73,1022632
2020-09-04,66.37,66.46,65.285,65.64,682162
2020-09-03,66.69,67.28,65.13,65.98,723975
2020-09-02,65.0405,67.13,64.93,66.89,446682
2020-09-01,66.38,66.38,64.54,65.16,635211
2020-08-31,66.62,66.88,66.1,66.37,586113
2020-08-28,66.45,66.59,65.53,66.44,469357
2020-08-27,65.97,67.03,65.57,66.46,830196
2020-08-26,65.52,65.79,65.02,65.67,453681
2020-08-25,65.75,65.84,65.07,65.52,642232
2020-08-24,66.54,67.08,65.265,65.69,953424
2020-08-21,65.0,66.225,64.64,66.19,1209003
2020-08-20,65.04,65.48,64.55,65.14,600680
2020-08-19,66.21,66.41,65.055,65.155,770589
2020-08-18,66.77,66.973,66.02,66.28,491610
2020-08-17,67.25,67.54,66.51,66.78,570110
2020-08-14,66.64,68.06,66.08,67.23,890427
2020-08-13,66.41,67.11,65.77,66.98,998601
2020-08-12,67.41,67.41,65.7,66.67,1049192
2020-08-11,68.26,69.17,66.75,67.2,1358333
2020-08-10,68.12,68.48,67.45,67.99,1414225
2020-08-07,66.71,67.84,66.71,67.83,1209384
2020-08-06,66.205,67.505,66.12,66.98,1639313
2020-08-05,68.27,69.51,66.12,67.13,2442345
2020-08-04,68.25,71.59,64.91,69.17,3812898
2020-08-03,68.66,72.37,68.66,71.02,2040958
2020-07-31,68.28,69.07,67.65,68.73,1549706
2020-07-30,67.81,68.65,66.58,68.65,1077830
2020-07-29,66.45,69.96,66.375,68.72,2474744
2020-07-28,66.95,67.24,65.8,65.9,1170817
2020-07-27,66.87,67.25,65.645,67.03,830212
2020-07-24,68.01,68.33,66.42,67.02,841491
2020-07-23,67.71,68.74,67.33,68.38,884040
2020-07-22,67.59,67.97,67.02,67.75,1149078
2020-07-21,66.95,69.26,66.685,67.7,2199884
2020-07-20,66.51,67.77,65.08,66.45,1345767
2020-07-17,65.12,67.605,64.855,66.97,1595132
2020-07-16,63.3,65.115,62.945,64.8,411888
2020-07-15,60.58,63.86,60.43,63.68,1503100
2020-07-14,57.99,59.77,57.22,59.69,1141848
2020-07-13,57.6,58.74,57.17,57.85,987089
2020-07-10,56.14,57.28,55.51,57.16,1052200
2020-07-09,56.89,57.21,54.25,56.08,1021800
2020-07-08,58.38,58.39,55.88,57.19,157310
2020-07-07,58.9,59.17,58.0,58.51,882200
