datetime,open,high,low,close,volume
2021-01-29,14.12,14.2392,13.39,13.515,4145973
2021-01-28,13.76,14.78,13.61,14.25,13350100
2021-01-27,13.37,13.9,13.16,13.6,18309500
2021-01-26,14.08,14.11,13.47,13.5,9621900
2021-01-25,14.3,14.32,13.88,13.89,9169378
2021-01-22,14.5,14.5,14.22,14.42,8324800
2021-01-21,14.61,15.02,14.61,14.64,4721300
2021-01-20,14.36,15.19,14.36,14.95,7293300
2021-01-19,14.82,14.87,14.42,14.76,4284227
2021-01-15,14.78,14.82,14.35,14.69,5139300
2021-01-14,14.81,15.27,14.8,15.01,8988800
2021-01-13,14.59,14.86,14.58,14.75,6967400
2021-01-12,14.24,14.65,14.22,14.59,6934200
2021-01-11,14.53,14.61,14.195,14.37,6084961
2021-01-08,14.81,14.93,14.61,14.72,4023000
2021-01-07,14.83,14.96,14.64,14.68,8817700
2021-01-06,14.27,14.96,14.16,14.75,6569800
2021-01-05,14.13,14.26,13.93,13.95,10783400
2021-01-04,14.72,14.84,14.01,14.15,9386273
2020-12-31,14.63,14.69,14.35,14.63,3835500
2020-12-30,14.36,14.83,14.36,14.6,4590100
2020-12-29,14.48,14.72,14.33,14.35,2967600
2020-12-28,14.3,14.625,14.21,14.56,4674381
2020-12-24,14.05,14.2,13.88,14.2,2138600
2020-12-23,13.77,14.09,13.7,14.04,5077000
2020-12-22,13.75,13.76,13.51,13.62,5608000
2020-12-21,13.86,14.17,13.62,13.77,9606013
2020-12-18,14.19,14.235,13.925,14.13,8803874
2020-12-17,14.5442,14.5442,13.975,14.3,6385671
2020-12-16,14.46,14.59,14.23,14.42,6491100
2020-12-15,14.33,14.53,13.99,14.51,5922890
2020-12-14,14.67,14.82,14.02,14.03,7247928
2020-12-11,14.72,14.85,14.44,14.51,5943949
2020-12-10,14.43,14.97,14.4,14.83,8831800
2020-12-09,15.37,15.37,15.0,15.18,8867600
2020-12-08,15.0,15.29,14.92,15.15,2897277
2020-12-07,15.48,15.58,15.03,15.17,4375158
2020-12-04,15.25,15.74,15.17,15.65,7266816
2020-12-03,15.18,15.24,14.83,15.11,8738700
2020-12-02,14.08,14.95,14.08,14.9,8616800
2020-12-01,14.4,14.58,14.31,14.51,7773600
2020-11-30,14.57,14.57,13.99,14.03,17143833
2020-11-27,14.52,14.74,14.38,14.62,2966600
2020-11-25,14.51,14.79,14.34,14.73,6748900
2020-11-24,15.09,15.17,14.73,14.83,14149600
2020-11-23,14.39,14.905,14.19,14.71,14211174
2020-11-20,14.48,14.48,13.99,14.15,8091900
2020-11-19,13.97,14.5,13.55,14.45,14973800
2020-11-18,14.13,14.445,13.81,14.145,9572075
