datetime,open,high,low,close,volume
2021-01-29,24.53,25.4,24.11,24.7964,3106426
2021-01-28,24.09,24.88,24.0,24.76,4724500
2021-01-27,24.39,24.45,22.91,23.6,8143300
2021-01-26,26.14,26.28,24.91,25.0,7258600
2021-01-25,26.48,26.61,25.3401,25.83,7471853
2021-01-22,26.71,27.03,26.37,26.76,2339600
2021-01-21,27.21,27.35,26.63,26.92,7578800
2021-01-20,27.94,27.99,27.34,27.4,4955400
2021-01-19,28.25,28.25,27.525,27.75,2658906
2021-01-15,28.26,28.26,27.62,27.95,2117800
2021-01-14,28.53,29.0,28.16,28.59,6029900
2021-01-13,28.74,28.88,28.09,28.13,1651800
2021-01-12,28.21,29.1,28.0,28.87,2367900
2021-01-11,27.47,28.365,27.4,28.21,2594662
2021-01-08,27.84,27.98,27.32,27.91,2027100
2021-01-07,28.16,28.22,27.7,27.74,2321000
2021-01-06,28.09,28.64,27.66,28.03,3137000
2021-01-05,26.97,28.01,26.82,27.91,3658800
2021-01-04,28.49,28.5,26.83,26.87,3075614
2020-12-31,28.46,28.68,28.24,28.54,2288900
2020-12-30,27.87,28.76,27.87,28.36,2684200
2020-12-29,27.82,28.07,27.48,27.97,2718200
2020-12-28,27.47,28.07,27.47,27.73,1578785
2020-12-24,27.82,27.9,27.12,27.38,717574
2020-12-23,26.71,27.91,26.7,27.77,3266600
2020-12-22,26.51,26.62,26.18,26.46,1872000
2020-12-21,26.55,26.77,26.19,26.46,2634965
2020-12-18,26.96,27.37,26.78,27.27,3409751
2020-12-17,26.88,26.97,26.02,26.95,3173592
2020-12-16,26.94,27.05,26.04,26.83,3198000
2020-12-15,27.08,27.2,26.44,26.95,1970031
2020-12-14,27.33,27.41,26.515,26.81,3509652
2020-12-11,25.78,26.67,25.77,26.42,3487681
2020-12-10,25.14,26.44,25.14,26.13,3436900
2020-12-09,25.56,25.82,25.08,25.45,2473700
2020-12-08,25.21,25.51,24.91,25.47,1809939
2020-12-07,25.37,25.8,25.12,25.58,2680352
2020-12-04,25.49,25.65,25.19,25.37,4263689
2020-12-03,24.27,25.52,24.26,25.05,6150300
2020-12-02,23.61,24.35,23.52,24.26,3345900
2020-12-01,24.34,24.54,23.67,23.77,6321800
2020-11-30,24.36,24.56,23.43,23.46,6780440
2020-11-27,24.62,24.79,24.32,24.6,1795000
2020-11-25,24.75,25.36,24.45,24.55,4567800
2020-11-24,25.0,25.4,24.75,25.24,4040800
2020-11-23,23.475,24.32,23.31,24.32,4392958
2020-11-20,23.48,23.96,23.31,23.95,4930700
2020-11-19,22.94,23.62,22.68,23.57,4361100
2020-11-18,23.61,24.02,23.17,23.17,4078159
2020-11-17,22.73,23.65,22.71,23.5,4094900
2020-11-16,23.44,23.94,22.88,23.18,6271847
2020-11-13,21.97,22.55,21.83,22.35,2595971
2020-11-12,21.83,22.1,21.15,21.44,4710000
2020-11-11,23.89,23.89,22.07,22.28,4887500
2020-11-10,22.55,24.15,22.45,23.0,7638700
2020-11-09,20.08,24.46,20.0,22.43,9779041
2020-11-06,18.84,19.06,18.67,18.85,2833400
2020-11-05,18.38,19.11,18.05,18.84,4703200
2020-11-04,18.39,18.7,17.93,18.17,1879400
2020-11-03,18.26,18.75,18.07,18.63,2975500
2020-11-02,17.54,17.97,17.335,17.85,2237117
2020-10-30,17.14,17.3,16.84,17.25,2732700
2020-10-29,16.65,17.34,16.61,17.2,1681730
2020-10-28,17.01,17.22,16.59,16.68,2485000
2020-10-27,18.205,18.24,17.46,17.53,1582093
2020-10-26,18.56,18.62,18.0,18.28,1907051
2020-10-23,18.96,19.15,18.65,18.95,1366287
2020-10-22,18.24,18.88,18.19,18.85,2269700
2020-10-21,18.14,18.32,17.93,18.14,1297200
2020-10-20,18.76,18.76,18.21,18.22,2478700
2020-10-19,18.6,18.845,18.25,18.61,1951065
2020-10-16,18.75,18.83,18.5,18.59,2241500
2020-10-15,18.01,18.5,17.74,18.5,1692800
2020-10-14,17.98,18.35,17.92,18.26,1057510
2020-10-13,17.97,17.97,17.535,17.855,1600036
2020-10-12,18.2,18.38,17.81,18.19,1962786
2020-10-09,18.85,18.9,18.27,18.3,1329147
2020-10-08,18.29,18.79,18.18,18.74,1137567
2020-10-07,17.93,18.31,17.61,18.11,1947400
2020-10-06,18.37,18.43,17.49,17.53,2488100
2020-10-05,18.03,18.31,18.0,18.18,1789459
2020-10-02,16.51,17.97,16.51,17.88,1658153
2020-10-01,16.825,17.24,16.825,17.22,2178796
2020-09-30,17.29,17.39,16.6,16.72,2483800
2020-09-29,17.37,17.53,17.15,17.3,1422751
2020-09-28,16.93,17.56,16.93,17.19,1787966
2020-09-25,16.32,16.78,16.26,16.68,1661948
2020-09-24,16.295,16.78,16.16,16.47,2055349
2020-09-23,17.21,17.55,16.43,16.44,2383207
2020-09-22,16.815,17.24,16.72,17.07,2211048
2020-09-21,17.16,17.21,16.74,16.88,3021441
2020-09-18,18.26,18.735,17.57,17.7,3761774
2020-09-17,18.49,19.07,18.31,18.5,3383275
2020-09-16,18.175,19.015,17.8898,18.79,3061088
2020-09-15,18.35,18.48,18.015,18.21,2109474
2020-09-14,17.94,18.43,17.72,18.39,3074943
2020-09-11,16.975,18.075,16.975,17.81,3016506
2020-09-10,17.99,18.02,16.93,16.98,4144480
2020-09-09,17.59,17.59,17.0,17.13,2096012
2020-09-08,17.66,17.675,17.115,17.3,1903206
2020-09-04,18.07,18.37,17.48,17.69,2070166
2020-09-03,18.4175,18.7,17.57,17.72,1894764
2020-09-02,17.59,18.36,17.43,18.34,1616713
2020-09-01,17.2809,17.81,17.2634,17.535,1014186
2020-08-31,17.995,17.995,17.36,17.53,1543911
2020-08-28,17.42,18.04,17.42,18.01,1248811
2020-08-27,17.4,17.73,17.265,17.44,1695281
2020-08-26,17.405,17.54,17.18,17.18,1768529
2020-08-25,17.4999,17.56,16.99,17.43,1770015
2020-08-24,17.08,17.5,16.92,17.44,2030188
2020-08-21,16.88,17.11,16.77,16.92,926018
2020-08-20,16.75,17.16,16.6856,16.95,1072026
2020-08-19,17.165,17.44,16.9992,17.13,1156598
2020-08-18,17.075,17.28,16.89,16.93,1534107
2020-08-17,17.55,17.6,17.1924,17.355,1266001
2020-08-14,17.47,17.835,17.28,17.56,1029450
2020-08-13,17.73,18.02,17.47,17.48,1237967
2020-08-12,18.61,18.66,17.835,18.09,2303890
2020-08-11,18.24,18.98,18.22,18.28,4476105
2020-08-10,17.02,17.95,17.02,17.92,2006593
2020-08-07,17.12,17.12,16.52,16.96,1860665
2020-08-06,15.3211,17.36,15.3211,17.3,3578165
2020-08-05,15.15,16.15,15.15,16.085,2290888
2020-08-04,14.92,15.29,14.92,15.03,1764883
2020-08-03,14.79,15.295,14.61,15.13,2195833
2020-07-31,15.015,15.12,14.52,14.78,2142892
2020-07-30,14.96,15.36,14.66,15.14,2707738
2020-07-29,15.26,15.35,14.7601,15.27,2434758
2020-07-28,15.23,15.72,15.19,15.321,2218367
2020-07-27,15.535,15.535,15.12,15.25,2903641
2020-07-24,15.6,15.83,15.445,15.55,1603173
2020-07-23,16.065,16.18,15.62,15.75,2193526
2020-07-22,15.925,16.18,15.78,16.14,1748417
2020-07-21,15.685,16.255,15.685,16.1,1825766
2020-07-20,16.22,16.28,15.37,15.68,2396292
2020-07-17,16.2,16.54,15.94,16.45,1665702
2020-07-16,16.6098,16.61,16.05,16.19,563909
2020-07-15,16.12,16.73,15.97,16.71,346134
2020-07-14,15.19,15.7,15.06,15.69,227342
2020-07-13,15.415,15.7,15.0625,15.22,741664
2020-07-10,14.77,15.35,14.64,15.33,239773
2020-07-09,15.34,15.34,14.74,14.78,286943
2020-07-08,15.02,15.43,14.96,15.33,430770
2020-07-07,15.43,15.62,15.08,15.13,489414
2020-07-06,15.64,15.872,15.42,15.75,401388
2020-07-02,15.5,15.87,15.16,15.31,444630
2020-07-01,15.93,16.24,15.24,15.28,3884958
2020-06-30,16.02,16.29,15.74,15.85,5494000
2020-06-29,15.78,16.305,15.5101,16.22,4508562
2020-06-26,15.36,15.49,14.97,15.42,9079100
2020-06-25,14.28,15.26,14.19,15.25,858605
2020-06-24,14.69,14.91,14.33,14.62,1573355
2020-06-23,14.66,15.16,14.09,15.04,1227005
2020-06-22,13.775,14.7,13.565,14.65,744085
2020-06-19,14.86,15.25,13.82,13.95,1688743
2020-06-18,14.47,14.92,14.45,14.59,519098
2020-06-17,15.37,15.455,14.79,14.8,1046454
2020-06-15,15.44,15.62,14.8,15.23,0
2020-06-14,13.14,14.66,13.1,14.52,0
2020-06-11,14.05,14.16,13.28,14.0,0
2020-06-10,13.77,14.2,12.98,12.98,0
2020-06-09,15.82,15.82,14.74,14.97,0
2020-06-08,16.72,16.93,16.06,16.22,0
2020-06-07,18.07,18.37,17.66,17.73,0
2020-06-04,16.7,17.25,16.34,17.16,0
2020-06-03,15.25,15.65,15.01,15.53,0
2020-06-02,14.44,15.19,14.31,15.17,0
2020-06-01,13.36,14.19,13.36,13.99,0
2020-05-31,13.19,13.76,13.19,13.41,0
2020-05-28,13.23,13.435,12.8,13.08,0
2020-05-27,14.34,14.34,13.27,13.28,0
2020-05-26,13.42,14.15,12.91,14.02,0
2020-05-25,13.14,13.4,12.94,13.06,0
2020-05-21,12.45,12.67,12.07,12.37,0
2020-05-20,12.57,12.97,12.37,12.43,0
2020-05-19,12.45,12.99,12.43,12.75,0
2020-05-18,12.28,12.46,11.91,12.05,0
2020-05-17,11.38,12.41,11.3,12.34,0
2020-05-14,11.06,11.18,10.74,10.77,0
2020-05-13,10.4,11.29,9.88,11.25,0
2020-05-12,11.06,11.06,10.51,10.65,0
2020-05-11,11.85,12.1,11.11,11.12,0
2020-05-10,12.26,12.48,11.71,11.76,0
2020-05-07,11.96,12.64,11.96,12.62,0
2020-05-06,11.5,12.3,11.5,11.87,0
2020-05-05,12.27,12.35,11.45,11.49,0
2020-05-04,12.45,13.04,12.16,12.21,0
2020-05-03,12.3,12.36,11.42,11.95,0
2020-04-30,12.92,12.96,12.2,12.54,0
2020-04-29,13.56,13.65,12.81,13.07,0
2020-04-28,12.4,13.93,12.33,13.89,0
2020-04-27,11.68,12.25,11.57,11.99,0
2020-04-26,10.9,11.555,10.86,11.41,0
2020-04-23,11.07,11.33,10.58,10.81,0
2020-04-22,10.81,11.39,10.77,11.0,0
2020-04-21,10.94,11.3,10.66,10.83,0
2020-04-20,11.37,11.5,10.58,10.59,0
2020-04-19,11.62,12.57,11.39,11.64,0
2020-04-16,11.25,11.7,11.09,11.65,0
2020-04-15,10.93,11.35,10.4,10.74,0
2020-04-14,12.07,12.1,10.335,11.37,0
2020-04-13,12.83,13.06,11.97,12.2,0
2020-04-12,13.16,13.38,12.21,12.6,0
2020-04-08,13.89,14.16,13.21,13.25,0
2020-04-07,12.5,13.39,12.31,13.08,0
