datetime,open,high,low,close,volume
2021-01-29,188.56,188.73,185.23,186.78999,232612
2021-01-28,191.05,193.03999,188.62,188.78,378800
2021-01-27,190.8,192.36,186.25999,188.33,421900
2021-01-26,195.48,196.00999,191.28,193.42999,225200
2021-01-25,195.60001,197.64999,192.8,194.13,420259
2021-01-22,195.12,197.66,193.71001,196.53999,401400
2021-01-21,197.98,199.75999,193.53,195.53,408900
2021-01-20,194.72,199.48,194.53,198.28,847200
2021-01-19,195.16,196.88,193.25999,193.42999,618932
2021-01-15,197.97,198.02,192.99001,194.03999,488800
2021-01-14,199.89,202.19,198.75,199.28,400600
2021-01-13,206.8,206.8,202.33,202.92,289900
2021-01-12,209.33,211.71001,207.14999,208.35001,317600
2021-01-11,205.45,209.36,205.45,208.57001,305706
2021-01-08,207.75,208.95,204.16,206.92,250600
2021-01-07,202.21001,208.66,202.21001,208.24001,379900
2021-01-06,197.61,203.21001,196.57001,202.17999,516900
2021-01-05,195.46001,197.69,194.14999,194.92999,252700
2021-01-04,198.84,199.19,193.91,195.31,290417
2020-12-31,196.89,199.45,195.97,199.2,285900
2020-12-30,196.21001,197.3,195.73,196.63,210500
2020-12-29,196.42999,197.31,193.06,195.23,179400
2020-12-28,197.5,198.87868999999998,195.53999,195.91,130147
2020-12-24,194.89999,196.56,192.89,196.56,152900
2020-12-23,196.35001,197.7,194.31,194.81,265000
2020-12-22,197.56,198.24001,195.49001,196.39,394700
2020-12-21,195.97,198.5,192.64,198.33,294918
2020-12-18,197.82001,199.39999,195.81,198.59,212092
2020-12-17,196.39999,198.71001,196.31,197.82001,183415
2020-12-16,196.23,196.56,194.21001,195.39,284000
2020-12-15,194.48,197.675,194.48,196.33,279971
2020-12-14,194.13,195.75,192.58,192.67,381436
2020-12-11,191.87,193.44,190.17,192.83,177723
2020-12-10,194.09,194.82001,191.05,191.87,329000
2020-12-09,194.25999,195.19,192.17999,194.46001,310500
2020-12-08,189.92,195.66,189.92,194.10001,230571
2020-12-07,192.58,192.58,190.295,190.89,112182
2020-12-04,192.67,193.205,191.60001,192.72,180117
2020-12-03,189.94,191.75999,189.05,190.25999,275100
2020-12-02,194.22,195.39,189.64,189.88,532100
2020-12-01,196.00999,198.78,194.77,195.14,552700
2020-11-30,191.33,193.25,189.81,193.14999,374518
2020-11-27,192.8,193.42999,191.0,192.36,95700
2020-11-25,194.78,194.78,189.89,191.67,514400
2020-11-24,194.64,195.94,192.61,194.49001,486600
2020-11-23,195.0,195.64,192.75999,193.38,278295
2020-11-20,195.92,195.92,192.49001,193.97,407900
2020-11-19,196.84,197.61,194.17,195.89999,218944
2020-11-18,197.94,199.5,195.16,197.62,288993
2020-11-17,196.41,197.85001,194.12,197.19,360400
2020-11-16,195.61,197.48,193.60001,197.25999,368115
2020-11-13,190.32001,193.72,189.42,193.14,252015
2020-11-12,190.53999,191.00999,186.73,189.03999,422300
2020-11-11,196.22,196.22,190.60001,191.44,438300
2020-11-10,188.92,197.5,187.39,195.96001,702900
2020-11-09,191.38,196.56,187.60001,187.81,678500
2020-11-06,177.41,183.50999,176.62,183.02,437100
2020-11-05,179.50999,181.74001,176.97,177.77,504600
2020-11-04,182.00999,182.00999,176.85001,176.89999,319900
2020-11-03,180.99001,184.27,178.83,180.42,505200
2020-11-02,172.97,178.84,172.45,178.75999,604018
2020-10-30,168.35001,170.41,166.50999,170.39,596912
2020-10-29,172.73,173.73,167.73,168.73,1167100
2020-10-28,176.53999,180.0,172.28999,172.57001,1125000
2020-10-27,189.22,190.105,185.95,185.99001,340864
2020-10-26,190.16,190.49001,186.84,190.08,262804
2020-10-23,190.41,191.80499,189.02,191.62,250446
2020-10-22,190.91,192.34,188.99001,189.07001,287700
2020-10-21,191.14,193.59,190.38,190.45,303200
2020-10-20,190.72,194.3,190.67,190.94,372300
2020-10-19,193.36,193.8,188.47,189.74001,317672
2020-10-16,190.53999,193.14,190.53999,192.73,1249900
2020-10-15,186.66,189.77,185.42999,189.62,411800
2020-10-14,184.815,189.31,184.81,188.14999,359009
2020-10-13,188.42999,189.17,184.85001,186.13,262332
2020-10-12,190.75999,190.75999,184.94,189.17999,487315
2020-10-09,191.03,191.36,188.96001,190.41,150477
2020-10-08,190.07001,190.95889,189.105,190.03999,272687
2020-10-07,185.66,189.35001,185.55,189.17999,344000
2020-10-06,182.96001,186.91,181.92999,183.8,277700
2020-10-05,181.64999,183.73,181.64999,182.91,163729
2020-10-02,176.33,181.7,176.22501,179.89999,218969
2020-10-01,183.96001,185.06,177.1275,178.12,255591
2020-09-30,182.87,183.81,180.34,182.41,494700
2020-09-29,180.71001,182.63,180.71001,181.73,101965
2020-09-28,180.87,183.47,180.83,181.32001,205454
2020-09-25,176.3,179.83,175.92,179.03,47136
2020-09-24,175.58501,179.82001,175.58501,177.74001,34619
2020-09-23,180.375,181.55,176.39999,176.39999,35564
2020-09-22,178.23,180.785,178.14,180.35001,50715
2020-09-21,182.95,183.23,176.5,178.16,178693
2020-09-18,186.46001,187.5,184.88,186.03999,130758
2020-09-17,183.92999,188.12891000000002,183.13,186.44,134088
2020-09-16,187.14999,188.14,185.73,186.42999,140157
2020-09-15,184.94,186.61,184.42,186.22,147103
2020-09-14,181.55,184.64999,181.55,184.10001,153282
2020-09-11,178.55,181.55,178.39,181.14,116448
2020-09-10,179.955,180.53,177.33,177.39999,166135
2020-09-09,177.22,181.46001,176.2,179.72,103423
2020-09-08,175.74001,178.83,173.98,176.0,166844
2020-09-04,182.72,182.72,176.89999,177.71001,238256
2020-09-03,184.24001,184.24001,179.11,180.16,121604
2020-09-02,182.89999,185.17999,181.98,184.16,148072
2020-09-01,179.34,182.5,178.81,182.14,84345
2020-08-31,180.47501,180.47501,179.065,180.14,147418
2020-08-28,178.34,180.89999,177.64,180.88,122959
2020-08-27,180.25999,181.25,178.67999,178.86,133308
2020-08-26,178.83,180.57001,178.46001,180.0,202504
2020-08-25,180.27,180.89999,179.11,179.71001,236886
2020-08-24,179.78,181.10001,178.87,180.59,154489
2020-08-21,176.3,179.57001,175.86,178.78999,368952
2020-08-20,173.95,176.31,173.58,176.27,156167
2020-08-19,176.85001,177.455,175.38,175.73,133939
2020-08-18,174.87,177.17999,174.87,176.57001,255762
2020-08-17,176.42,176.8,174.19,174.89,116719
2020-08-14,173.44,177.07001,173.44,176.77,217105
2020-08-13,174.95,175.22,173.64999,174.89999,114577
2020-08-12,175.74001,177.62,174.48,176.99001,204249
2020-08-11,172.42999,175.95,172.39999,174.11,167508
2020-08-10,168.3,171.25,167.32001,171.25,204596
2020-08-07,166.92999,167.56,165.75999,167.56,137873
2020-08-06,166.6208,166.6208,164.58,166.52,91918
2020-08-05,166.10001,167.31,165.87,166.11,110892
2020-08-04,165.7,166.03,164.33,165.05,220484
2020-08-03,165.465,167.5717,165.42,166.37,208255
2020-07-31,164.3,165.12,162.88,164.87,108737
2020-07-30,164.94,165.61,162.605,164.61,145710
2020-07-29,165.94,167.795,165.94,166.60001,117952
2020-07-28,169.22,169.22,165.35001,165.38,114628
2020-07-27,167.21001,170.97,167.21001,169.71001,586851
2020-07-24,169.73,169.75,165.03999,167.52,249818
2020-07-23,169.64,172.3075,169.64,171.09,311288
2020-07-22,169.77,171.58,169.28,169.35001,222756
2020-07-21,169.46001,171.72,169.00999,170.06,114900
2020-07-20,169.37,170.12,167.24001,169.03,48116
2020-07-17,169.50999,170.25,168.16,169.58,42268
2020-07-16,167.75999,169.10001,167.03999,168.47,53531
2020-07-15,164.33,168.39999,163.39999,168.13,137656
2020-07-14,159.44,163.11,159.44,162.73,25898
2020-07-13,158.52,161.41,158.19,159.42,33142
2020-07-10,157.24001,157.53999,155.88,156.92,24593
2020-07-09,157.64,158.17999,155.25,157.23,52578
2020-07-08,158.41,158.8,156.72,157.82001,26365
2020-07-07,158.89999,160.59,157.94,158.38,31375
2020-07-06,160.35001,160.661,158.57001,160.13,34243
2020-07-02,158.48,159.87,156.96001,157.89,52860
2020-07-01,158.25,158.47,155.27499,155.84,246435
2020-06-30,153.86,159.03,153.42999,158.03999,411100
2020-06-29,155.84,156.05,153.49001,154.39,412019
2020-06-26,151.60001,155.58,151.5,154.75999,1808600
2020-06-25,148.7,152.3,145.91,152.295,119127
2020-06-24,152.58,152.62,148.42,148.77,131806
2020-06-23,155.25,155.95,154.19,154.3,135018
2020-06-22,152.45,154.58,150.63,153.44,116554
2020-06-19,155.23,155.32001,151.78999,153.33,116931
2020-06-18,154.11,155.12,152.32001,153.11,89444
2020-06-17,154.55,156.48,154.19,154.62,87764
2020-06-16,157.97,158.50999,152.91,155.17,119037
2020-06-15,148.91,154.02,148.45,152.7,122942
2020-06-12,154.52,155.105,149.23,152.59,191658
2020-06-11,156.27,156.27,151.03,151.2,196764
2020-06-10,161.94,163.3,159.785,160.17999,135666
2020-06-09,165.91,165.91,161.88,162.10001,149727
2020-06-08,167.99001,169.17999,165.48,166.72,121730
2020-06-05,167.39,167.8,163.75,167.28999,469600
2020-06-04,164.39999,164.39999,162.32001,163.96001,484400
2020-06-03,161.45,166.21001,161.16,165.86,657700
2020-06-02,158.78,159.92,157.64999,159.89999,475800
2020-06-01,159.50999,160.46001,157.00999,158.12,361100
2020-05-29,156.92999,159.66,155.75999,159.37,538100
2020-05-28,160.67999,160.98,156.99001,157.47,657700
2020-05-27,157.39,159.32001,155.49001,159.21001,509000
2020-05-26,154.2,157.03,153.7,155.09,398900
2020-05-22,151.55,151.94,148.82001,150.45,383200
2020-05-21,151.94,152.50999,149.69,151.56,376800
2020-05-20,152.92999,154.75,152.00999,152.37,402200
2020-05-19,154.21001,155.39999,150.92999,151.14999,445600
2020-05-18,152.46001,155.63,152.46001,154.63,452700
2020-05-15,148.14,152.89,147.92999,148.42,2239500
2020-05-14,144.42,149.24001,141.86,149.03,752900
2020-05-13,147.67,148.84,144.31,146.8,573800
2020-05-12,153.96001,153.96001,148.0,148.07001,347500
2020-05-11,153.09,153.89999,150.86,153.56,491900
2020-05-08,155.82001,157.97,153.62,154.7,479500
2020-05-07,154.10001,155.21001,152.89,153.39999,448200
2020-05-06,152.38,153.09,150.25,151.7,512400
2020-05-05,152.75999,153.87,151.49001,151.78,346700
2020-05-04,150.0,150.77,147.42999,150.63,406300
2020-05-01,151.63,153.03,149.7,151.28999,362400
2020-04-30,156.22,156.25,152.97,153.63,660300
2020-04-29,160.0,161.64999,156.85001,157.88,470500
2020-04-28,158.5,162.12,155.98,157.78,496000
2020-04-27,154.77,157.3,153.02,156.28999,543300
2020-04-24,146.37,154.21001,143.63,152.72,772500
2020-04-23,151.5,155.37,151.32001,152.36,536400
2020-04-22,151.71001,152.49001,147.59,151.66,415800
2020-04-21,148.08,150.35001,146.7,148.63,457400
2020-04-20,150.57001,153.09,148.28999,151.58,389100
2020-04-17,150.27,153.63,150.14999,152.73,550500
2020-04-16,145.60001,147.22,143.12,146.83,496400
2020-04-15,146.24001,147.28,143.28,145.39999,451700
2020-04-14,150.09,152.09,148.96001,150.22,537700
2020-04-13,151.58,152.77,145.28,146.63,470200
2020-04-09,152.66,155.28,150.61,151.52,573000
2020-04-08,145.81,152.56,145.14,151.0,571600
2020-04-07,148.03999,151.06,145.75999,146.09,902100
2020-04-06,143.25999,145.95,142.56,143.96001,1056600
2020-04-03,135.02,139.39999,135.02,138.50999,852300
2020-04-02,132.67999,138.34,132.67999,136.38,971300
2020-04-01,132.75,135.33,130.74001,133.2,1031200
2020-03-31,138.71001,140.7,135.2,138.11,1064300
2020-03-30,132.45,137.60001,127.48,136.88,940900
2020-03-27,122.66,134.19,121.62,131.17999,860200
2020-03-26,120.48,127.48,117.02,125.81,1468000
2020-03-25,119.84,125.07,118.54,119.36,1326700
2020-03-24,120.33,121.44,116.26,119.99,1354000
2020-03-23,115.65,120.26,109.72,114.65,944900
2020-03-20,125.41,125.41,114.8,116.48,1066600
2020-03-19,113.38,124.92,111.57,123.36,1286100
2020-03-18,109.91,119.59,104.56,114.0,1052100
2020-03-17,118.33,126.35,117.16,125.96,959700
2020-03-16,116.67,123.46,115.01,115.7,816000
2020-03-13,130.89,130.89,121.96,130.85001,1185500
2020-03-12,125.69,135.19,122.48,123.14,1103600
2020-03-11,140.34,140.74001,133.97,134.87,504300
2020-03-10,139.95,144.50999,136.95,144.45,774800
2020-03-09,135.95,140.82001,132.8,135.69,929200
2020-03-06,143.85001,146.62,142.5,146.24001,508600
2020-03-05,150.13,151.37,147.88,148.21001,640700
2020-03-04,152.17,154.28,149.88,153.89999,556600
2020-03-03,153.23,156.16,148.82001,149.42,600400
2020-03-02,149.35001,153.74001,148.55,153.03999,1001400
2020-02-28,147.64999,151.98,145.57001,148.0,979200
2020-02-27,155.92999,158.97,152.14999,152.14999,666500
2020-02-26,164.03999,164.52,159.3,159.31,555100
2020-02-25,170.12,170.13,161.94,162.84,454100
2020-02-24,168.5,170.61,167.72,169.44,390700
2020-02-21,172.64999,173.88,171.78,173.35001,231300
2020-02-20,173.09,175.07001,172.64,173.58,344800
2020-02-19,175.84,176.0,173.53,173.53999,283100
2020-02-18,174.28,175.59,173.27,174.95,301600
2020-02-14,174.77,175.35001,174.03,174.78999,426500
2020-02-13,175.64,176.5,174.41,174.69,289700
2020-02-12,176.83,178.14,176.2,176.81,350000
2020-02-11,174.64,178.06,174.64,176.05,313400
2020-02-10,170.59,174.8,170.59,174.47,348200
2020-02-07,170.19,171.56,169.8,171.35001,490600
2020-02-06,170.98,171.42999,168.58,171.19,332900
2020-02-05,170.28999,171.7,169.5,170.42,547200
2020-02-04,167.69,169.95,167.59,169.09,515800
2020-02-03,165.09,167.03,164.67,165.06,382700
2020-01-31,164.74001,165.57001,163.09,163.85001,486500
2020-01-30,162.19,167.62,158.69,165.92,864400
2020-01-29,172.13,174.03999,171.63,172.14,261400
2020-01-28,170.67999,172.77,170.05,171.28,490000
2020-01-27,169.39,170.78,168.5,169.78,477500
2020-01-24,174.12,174.12,171.02,172.14,237300
2020-01-23,172.34,173.97,171.55,173.74001,406700
2020-01-22,175.8,176.62,172.8,173.0,344400
2020-01-21,174.89,175.97,174.57001,174.86,350800
2020-01-17,176.39,176.7,175.28,175.85001,333700
2020-01-16,174.28,175.7,173.45,175.67,364000
2020-01-15,172.71001,174.47,172.48,173.12,264300
2020-01-14,172.71001,173.78999,171.8,172.46001,309300
2020-01-13,172.60001,174.06,172.32001,173.34,309400
2020-01-10,174.16,174.16,171.7,172.07001,258300
2020-01-09,173.00999,174.39999,172.62,173.89,243000
2020-01-08,171.2,172.75,170.58,172.17999,357200
2020-01-07,172.37,172.45,170.67,170.81,372700
2020-01-06,172.36,172.97,170.73,172.94,289700
2020-01-03,170.91,172.88,170.42999,172.75999,309100
2020-01-02,172.83,173.32001,171.14999,173.3,326500
2019-12-31,171.87,172.67,171.36,172.0,307600
2019-12-30,172.82001,172.89999,171.82001,172.33,154700
2019-12-27,173.10001,173.14999,172.03,172.62,147400
2019-12-26,172.32001,172.99001,171.5,172.73,134900
2019-12-24,173.42999,173.42999,171.67,171.89,82900
2019-12-23,171.92999,173.95,170.89999,173.36,473300
2019-12-20,168.85001,171.37,168.25999,171.37,1242500
2019-12-19,169.23,169.23,167.10001,168.0,443500
2019-12-18,169.23,169.32001,167.19,169.0,505000
2019-12-17,167.97,169.27,167.5,169.19,400900
2019-12-16,168.50999,168.50999,166.75,167.2,502700
2019-12-13,166.42,168.14999,166.12,167.37,370300
2019-12-12,163.97,167.07001,163.32001,166.86,349900
2019-12-11,163.57001,164.11,163.3,163.97,295900
2019-12-10,163.07001,163.81,162.25999,163.13,340400
2019-12-09,162.53999,163.39,162.35001,162.82001,513900
2019-12-06,162.35001,164.32001,162.0,163.23,541000
2019-12-05,157.96001,160.32001,157.96001,160.27,373000
2019-12-04,158.78,160.24001,157.34,157.36,596200
2019-12-03,158.58,158.66,157.07001,157.83,653000
2019-12-02,163.17,163.2,160.19,160.19,436600
2019-11-29,162.92999,163.38,161.97,162.74001,191600
2019-11-27,162.75,163.31,161.42,163.31,279900
2019-11-26,161.0,162.00999,160.35001,161.88,438400
2019-11-25,161.05,162.09,160.57001,160.92999,435200
2019-11-22,161.67,161.67,159.77,160.49001,325700
2019-11-21,162.02,162.02,160.17,160.94,368100
2019-11-20,162.49001,162.85001,159.92999,162.00999,635300
2019-11-19,161.89,162.67999,161.13,162.56,397300
2019-11-18,161.25,161.98,160.49001,161.17999,316600
2019-11-15,162.5,164.09,161.37,162.06,553800
2019-11-14,161.28999,162.45,160.49001,161.74001,335400
2019-11-13,160.47,162.11,160.25,161.67999,626700
2019-11-12,160.91,162.85001,160.5,161.5,567300
2019-11-11,158.2,160.87,158.2,160.8,309600
2019-11-08,160.13,161.44,158.72,159.62,219600
2019-11-07,160.24001,162.00999,160.22,160.38,482100
2019-11-06,160.06,160.7,158.61,159.66,282900
2019-11-05,160.39,161.25,159.42,160.53999,426600
2019-11-04,160.32001,160.92,159.5,160.2,433300
2019-11-01,156.77,159.03999,156.33,159.03999,505200
2019-10-31,155.37,155.74001,154.36,155.53,551600
2019-10-30,160.53999,163.82001,155.8,156.24001,758700
2019-10-29,158.58,162.60001,158.58,162.28,574900
2019-10-28,159.74001,160.28999,158.82001,159.36,306200
2019-10-25,157.75999,159.97,157.27,158.72,482200
2019-10-24,159.82001,159.82001,157.16,157.83,282500
2019-10-23,159.13,160.33,157.85001,158.98,319400
2019-10-22,158.92,160.52,158.23,159.14,323800
2019-10-21,161.23,161.71001,159.12,159.34,316300
2019-10-18,159.09,160.96001,158.92,160.34,371700
2019-10-17,158.32001,160.5,158.32001,159.61,266800
2019-10-16,158.00999,158.91,157.0,157.39999,344700
2019-10-15,156.92999,159.14999,156.53,158.52,294400
2019-10-14,158.61,158.73,157.06,157.31,363400
2019-10-11,157.92999,162.16,157.92999,159.44,393400
2019-10-10,154.0,157.35001,154.0,156.07001,308700
2019-10-09,153.91,155.03,152.78999,153.87,398600
2019-10-08,154.31,154.35001,152.07001,152.31,590400
2019-10-07,157.87,157.95,155.88,156.14,556800
2019-10-04,157.48,158.7,156.95,158.53999,311100
2019-10-03,156.16,157.7,154.63,157.50999,314200
2019-10-02,158.14,158.42,155.32001,156.75,410400
2019-10-01,164.78999,165.50999,159.28,159.53,262100
2019-09-30,164.52,165.5,163.14999,163.88,323200
2019-09-27,165.03,166.3,163.81,164.53999,294900
2019-09-26,164.03,164.53,163.23,163.85001,273200
2019-09-25,162.21001,164.58,161.81,164.17,320200
2019-09-24,164.35001,164.91,161.58,162.37,570400
2019-09-23,163.42,164.89999,162.5,163.60001,542800
2019-09-20,167.53999,168.14999,164.3,164.34,1870500
2019-09-19,170.08,170.95,166.58,166.67,489600
2019-09-18,170.39,170.53999,168.24001,170.41,394800
2019-09-17,170.99001,172.78999,170.37,171.42,345700
2019-09-16,170.39,172.39999,169.81,171.53,341200
2019-09-13,170.52,171.92,169.78,170.88,398400
2019-09-12,168.03,169.73,167.62,169.50999,350000
2019-09-11,166.61,167.69,165.03,167.67999,397700
2019-09-10,167.94,167.94,164.87,166.23,469500
2019-09-09,169.0,169.5,166.75,167.92999,363200
2019-09-06,168.95,169.64999,168.10001,168.85001,441100
2019-09-05,164.44,168.89999,164.44,168.71001,562800
2019-09-04,163.07001,163.39,161.53999,162.96001,304900
2019-09-03,163.64,164.05,160.38,161.25999,459500
2019-08-30,166.7,167.59,163.73,164.71001,499100
2019-08-29,164.75,165.89,163.69,165.32001,376700
2019-08-28,161.87,163.24001,160.66,162.83,389600
2019-08-27,162.14999,163.19,161.08,162.61,517100
2019-08-26,161.83,162.71001,159.2,160.7,395400
2019-08-23,164.17,164.67999,160.09,160.55,498200
2019-08-22,166.21001,166.77,164.49001,164.86,295400
2019-08-21,166.3,166.91,165.59,165.86,271900
2019-08-20,164.81,165.73,163.61,164.77,423600
2019-08-19,166.28999,166.28999,164.06,165.55,382300
2019-08-16,162.95,164.32001,162.67,164.0,463900
2019-08-15,161.16,162.78999,160.32001,161.77,470300
2019-08-14,162.35001,163.55,160.14,160.86,491300
2019-08-13,162.32001,166.34,161.72,164.67,750800
2019-08-12,161.53999,163.58,160.86,162.2,520800
2019-08-09,160.89999,163.88,159.17999,162.03,739200
2019-08-08,158.94,162.75999,158.8,162.12,17655100
2019-08-07,157.58,158.89999,155.81,158.12,986800
2019-08-06,156.88,159.72,156.44,159.58,719900
2019-08-05,158.92999,159.23,154.57001,155.92999,708000
2019-08-02,164.0,164.99001,161.17999,161.58,1392400
2019-08-01,169.17999,170.47,166.94,168.11,707300
2019-07-31,169.0,170.13,166.89999,168.22,419200
2019-07-30,166.3,169.95,165.33,169.75999,405500
2019-07-29,168.75,168.75,166.92999,167.44,499000
2019-07-26,167.82001,169.78999,166.0,168.81,628700
2019-07-25,166.83,167.32001,164.8,165.23,444400
2019-07-24,166.06,167.45,164.28,166.64999,338700
2019-07-23,166.53,167.87,165.62,166.94,409400
2019-07-22,164.7,165.75999,163.96001,164.75,385700
2019-07-19,165.67999,166.84,164.42999,164.46001,462600
2019-07-18,165.83,166.0,163.45,164.89999,642600
2019-07-17,168.14,168.81,165.48,165.75,502300
2019-07-16,168.86,170.22,168.17,168.36,328300
2019-07-15,170.03,170.53,168.0,169.17999,204900
2019-07-12,169.69,171.14999,169.14,170.83,298100
2019-07-11,168.41,169.19,166.64,169.14,335600
2019-07-10,171.03999,171.98,168.61,169.00999,397500
2019-07-09,169.85001,170.03,168.50999,169.98,251800
2019-07-08,170.59,171.24001,170.02,170.64,322300
2019-07-05,172.17,172.53999,169.52,171.73,349500
2019-07-03,173.23,173.31,172.2,173.07001,104200
2019-07-02,173.00999,173.00999,171.73,172.45,275200
2019-07-01,173.84,173.84,171.91,173.37,413800
2019-06-28,170.45,172.53,169.13,172.14,1175400
2019-06-27,168.56,170.0,167.8,169.59,505900
2019-06-26,167.53,168.98,167.02,168.25999,461600
2019-06-25,166.28999,168.31,165.21001,167.42,542600
2019-06-24,168.27,168.27,165.66,165.87,384700
2019-06-21,165.22,167.7,164.28999,167.53999,756300
2019-06-20,165.81,166.12,164.59,166.12,530300
2019-06-19,163.27,164.03999,161.71001,164.03999,284600
2019-06-18,161.38,163.53999,160.91,162.89,428300
2019-06-17,159.94,160.59,158.73,159.88,307000
2019-06-14,160.22,160.37,158.11,159.67999,288100
2019-06-13,160.88,160.92999,158.3,160.27,281100
2019-06-12,162.02,163.28999,159.35001,160.3,331000
2019-06-11,164.52,165.72,161.94,162.09,337100
2019-06-10,162.2,163.47,161.03,163.07001,432900
2019-06-07,159.57001,161.98,158.67999,161.58,599400
2019-06-06,158.0,158.60001,156.39999,158.28,181600
2019-06-05,158.14,158.98,154.95,158.11,399000
2019-06-04,154.92,157.59,154.22,157.52,210600
2019-06-03,152.64999,154.42999,151.78999,153.50999,291200
2019-05-31,151.25,153.8,150.55,152.71001,355600
2019-05-30,151.64999,153.86,151.64999,152.36,276500
2019-05-29,150.55,153.46001,150.55,151.64999,352500
2019-05-28,153.10001,154.03999,151.27,151.49001,450500
2019-05-24,152.07001,153.28999,151.78999,152.92,277000
2019-05-23,150.16,150.96001,148.25999,150.74001,217300
2019-05-22,152.87,153.33,151.53,151.82001,183800
2019-05-21,152.67999,153.7,152.45,153.23,180000
2019-05-20,149.42999,151.85001,149.42999,151.03,354500
2019-05-17,152.45,152.64,150.56,150.61,225200
2019-05-16,153.83,154.25,152.78,153.46001,194800
2019-05-15,151.22,154.10001,150.22,153.46001,182600
2019-05-14,150.82001,152.2,150.32001,151.13,260700
2019-05-13,151.37,151.67,149.41,150.57001,235900
2019-05-10,152.31,155.12,150.64,154.49001,231300
2019-05-09,152.17,153.42999,151.64,152.91,228600
2019-05-08,153.7,154.96001,152.72,153.5,283800
2019-05-07,154.67999,155.09,152.8,153.72,384600
2019-05-06,153.77,156.13,153.57001,156.0,493900
2019-05-03,156.75,157.48,156.27,156.42999,287300
2019-05-02,153.88,155.57001,153.34,155.35001,351000
2019-05-01,156.98,157.10001,154.45,154.45,233900
2019-04-30,158.12,159.33,155.46001,156.66,286300
2019-04-29,156.91,157.53,155.84,157.3,441400
2019-04-26,156.5,159.50999,153.78999,156.59,736700
2019-04-25,155.44,156.52,153.02,153.32001,440800
2019-04-24,156.46001,158.42999,156.14,156.71001,427100
2019-04-23,153.89,156.39,153.72,156.19,460500
2019-04-22,154.0,154.62,152.85001,153.60001,357500
2019-04-18,155.22,155.74001,153.91,154.52,391700
2019-04-17,156.42999,156.64999,154.42999,154.49001,458600
2019-04-16,156.64999,157.72,155.46001,155.78,571500
2019-04-15,158.03,158.07001,155.77,156.21001,330400
2019-04-12,159.0,159.10001,157.17999,157.27,294900
2019-04-11,155.75,157.73,155.74001,157.50999,163200
2019-04-10,155.2,155.95,154.64999,155.38,149300
2019-04-09,156.22,156.22,154.17999,154.53,267900
2019-04-08,155.82001,157.53,155.00999,157.41,203900
2019-04-05,157.02,157.42999,155.87,156.25999,176400
2019-04-04,155.86,157.22,154.99001,156.34,266100
2019-04-03,155.61,156.95,154.99001,155.55,340500
2019-04-02,155.91,156.25,154.55,154.82001,216900
