datetime,open,high,low,close,volume
2021-01-29,435.73000999999994,439.22,425.72,426.44,1369647
2021-01-28,433.5,453.67999000000003,432.95999000000006,438.22,1500724
2021-01-27,414.51999,434.94,406.84,432.07999,2228000
2021-01-26,418.95001,425.92001,416.29001,420.54999000000004,1128000
2021-01-25,407.01999,425.70999000000006,406.73001,421.0,1700273
2021-01-22,400.66,408.81,398.25,406.25,803100
2021-01-21,403.0,407.13,395.0,404.87,1069200
2021-01-20,389.95001,404.07001,389.95001,403.54001,1382600
2021-01-19,382.48001,390.82999,379.97,390.20999,1142112
2021-01-15,371.23999,396.0,370.03,376.35001,1873300
2021-01-14,364.01999,372.29999,362.03,371.04001,860300
2021-01-13,361.87,363.29999,359.32001,362.0,1430200
2021-01-12,370.85001,372.75,359.01999,361.28,1270400
2021-01-11,379.64999,382.5,356.0,372.48001,1933712
2021-01-08,384.57001,387.14999,375.0,379.60999,1057800
2021-01-07,376.67999,384.26999,376.64999,382.41,803700
2021-01-06,367.42999,380.57001,365.0,376.54999,999700
2021-01-05,365.26999,374.92001,363.76999,374.89999,822100
2021-01-04,370.84,374.5,361.39001,367.76001,931440
2020-12-31,366.35999,370.42999,360.89999,370.0,513600
2020-12-30,368.22,370.34,360.76001,364.09,580300
2020-12-29,371.07999,372.81,363.10999,366.10999,452100
2020-12-28,372.73001,373.20001,365.84,366.78,539422
2020-12-24,363.45001,369.06201,362.01001,367.29001,269355
2020-12-23,370.01001,374.17999,366.06,366.51999,747500
2020-12-22,368.09,378.32999,365.79001,370.95999,1184300
2020-12-21,360.70001,364.23999,357.0,362.63,845560
2020-12-18,365.625,366.67999,360.0,366.64001,935217
2020-12-17,358.60999,361.91,356.26999,361.51001,996706
2020-12-16,353.48999,354.59,350.04001,353.32001,759000
2020-12-15,348.84,353.14999,346.78,352.79999,769344
2020-12-14,345.0,351.23001,345.0,347.10999,992474
2020-12-11,342.54501,345.27841,338.97,342.32999,624898
2020-12-10,338.14999,348.92999,336.56,343.70999,784800
2020-12-09,343.26001,346.56,336.0,337.76001,1423600
2020-12-08,341.19,343.39999,335.67999,343.04999,818493
2020-12-07,348.03,350.89999,341.54999,342.82001,837836
2020-12-04,345.07001,350.98999,343.39999,350.95999,1033088
2020-12-03,341.01001,346.60001,337.01999,346.0,1720400
2020-12-02,334.35001,341.62,332.29999,340.82001,1487600
2020-12-01,323.85999,336.54001,322.60001,334.34,2119200
2020-11-30,317.32001,322.54999,311.07001,322.09,1603479
2020-11-27,305.0,319.32999,304.01001,317.03,981700
2020-11-25,309.23999,309.39999,301.73001,303.98001,541200
2020-11-24,304.81,309.76999,303.26001,305.63,978300
2020-11-23,301.0,306.0,297.57001,301.85001,876933
2020-11-20,300.26999,306.69,297.20999,300.79999,878800
2020-11-19,295.70999,300.82999,292.64999,299.0,984700
2020-11-18,296.98999,301.10001,295.0,295.23001,1078800
2020-11-17,296.73001,299.37,293.98999,297.95001,1279200
2020-11-16,309.0,309.07001,295.79999,296.73001,1653363
2020-11-13,305.64001,310.01001,304.10999,308.73001,744599
2020-11-12,302.17999,307.64001,299.69,304.31,971700
2020-11-11,303.29001,307.89001,299.32001,302.35001,981700
2020-11-10,301.60999,308.0,299.19,301.56,1618900
2020-11-09,316.84,319.04999,305.17999,305.69,1595944
2020-11-06,310.10001,311.25,302.41,308.16,880900
2020-11-05,319.53,319.54999,307.69,311.72,705500
2020-11-04,308.5,311.94,299.70001,311.32999,1645300
2020-11-03,297.0,301.60001,293.76999,296.63,1198900
2020-11-02,298.0,303.87,288.88,292.88,1572070
2020-10-30,308.59,311.76999,288.01001,292.70001,2726500
2020-10-29,308.965,319.14999,305.25,314.0,1115938
2020-10-28,317.35999,320.0,309.66,309.69,1229600
2020-10-27,321.44,327.995,318.435,321.70999,968730
2020-10-26,321.29001,323.5,313.31,319.06,906343
2020-10-23,327.88,327.88,320.0,323.60001,598611
2020-10-22,318.84,326.88,318.84,325.92001,818700
2020-10-21,320.51001,323.39001,316.42001,317.85001,553100
2020-10-20,320.95001,325.25,318.62,320.44,685500
2020-10-19,328.345,329.28,318.66919,321.26001,960293
2020-10-16,326.20001,332.73001,325.57001,326.31,1556100
2020-10-15,327.92999,330.70999,320.14999,323.78,1241400
2020-10-14,346.13,346.97,326.23999,330.12,1450878
2020-10-13,341.87,346.39001,337.53,344.995,1584700
2020-10-12,341.06,356.0,339.72,352.32001,1673099
2020-10-09,337.98999,339.60001,333.96719,339.23001,1253216
2020-10-08,327.78,334.0,322.64001,333.78,1202307
2020-10-07,319.32001,325.32001,314.54999,324.34,1156700
2020-10-06,317.79001,323.92999,315.10001,317.28,1327100
2020-10-05,310.73999,320.62,310.07999,316.17001,1430990
2020-10-02,305.23001,311.7399,305.0,308.64001,1283084
2020-10-01,313.13751,313.13751,306.14999,309.60999,1626978
2020-09-30,305.17999,310.60999,303.60999,309.07999,1574500
2020-09-29,305.0,309.66,302.5,305.5,1313857
2020-09-28,307.25,307.60999,297.67001,305.45999,1907450
2020-09-25,284.0,302.10001,279.88,299.64001,3963245
2020-09-24,273.89999,287.48499,267.10001,286.20999,2374325
2020-09-23,274.98001,278.16,271.14001,273.16,1976164
2020-09-22,268.81,275.2598,261.245,268.51999,4059165
2020-09-21,266.89999,283.20499,260.42001,270.04001,7089663
2020-09-18,298.51999,300.91,290.82999,295.5,3503189
2020-09-17,315.91,316.81,293.48999,298.01999,5111275
2020-09-16,355.19,376.67001,320.35001,322.47,3129836
2020-09-15,355.22,358.35999,351.34521,352.17999,670324
2020-09-14,354.69,358.95999,352.16,353.38,562551
2020-09-11,349.10999,350.82999,345.01999,349.92999,572851
2020-09-10,346.60999,353.68201,343.56,345.98001,482334
2020-09-09,342.95999,351.60001,341.0,346.69,531378
2020-09-08,335.01001,346.16,333.71109,340.60999,940807
2020-09-04,344.38,345.47891,332.64001,342.29999,727207
2020-09-03,366.73999,366.73999,342.60999,346.51999,834108
2020-09-02,349.45001,368.29999,347.98999,364.53,999054
2020-09-01,356.48001,356.67001,346.91,347.82999,788822
2020-08-31,352.17999,359.35199,351.01001,356.85999,576048
2020-08-28,351.87,354.2818,350.59,353.98999,435558
2020-08-27,353.13,353.13,345.10001,351.42999,792336
2020-08-26,351.26999,355.22,348.20999,353.56,498503
2020-08-25,349.82999,352.67999,348.56,350.91,391413
2020-08-24,355.0,355.14999,344.39001,349.04001,484688
2020-08-21,353.69,353.98999,348.42001,353.06,514859
2020-08-20,351.01001,355.23001,346.98001,354.62,584136
2020-08-19,357.01001,357.31,351.76999,353.35001,487223
2020-08-18,355.34,358.60501,349.715,356.06,639249
2020-08-17,351.63,357.22,349.82001,353.85999,657314
2020-08-14,354.86499,354.86499,344.0,347.62,568413
2020-08-13,346.06,357.10001,344.14999,353.47,881523
2020-08-12,342.48001,346.13,339.29251,344.14001,985935
2020-08-11,354.39001,354.39001,339.89999,341.28,1035573
2020-08-10,357.01001,357.98999,352.095,353.35001,868589
2020-08-07,343.00351,360.69,343.0,355.66,3987646
2020-08-06,400.73999,403.66,393.13,399.78,627221
2020-08-05,397.94,404.20001,395.11011,400.73999,448915
2020-08-04,397.73001,399.31,391.01999,393.67999,501380
2020-08-03,385.19,401.76999,384.94,397.97,885579
2020-07-31,382.0,384.67999,377.23001,381.95999,726196
2020-07-30,381.54999,386.17999,380.20001,382.95999,525673
2020-07-29,386.755,388.5,384.28,385.45999,637787
2020-07-28,392.67999,396.54999,384.17999,385.41,467304
2020-07-27,384.98999,395.5,383.23001,393.06,563854
2020-07-24,385.0,385.0,376.625,382.42999,461620
2020-07-23,395.5,399.45999,383.79999,386.45001,606806
2020-07-22,392.08261,394.0,384.64999,391.82001,494962
2020-07-21,399.0,401.54001,388.22,389.89001,763090
2020-07-20,385.5,402.14001,383.85999,398.63,1170981
2020-07-17,378.23999,385.23001,376.14999,383.56,538164
2020-07-16,382.32001,382.32001,373.07001,375.88,126594
2020-07-15,380.0,383.23999,375.34,382.32999,1008100
2020-07-14,367.64001,376.9162,361.53,376.35999,123478
2020-07-13,370.51001,382.32001,366.53,369.16,126126
2020-07-10,372.60001,374.23001,369.89999,370.23999,138023
2020-07-09,370.0,375.28,367.14001,372.60001,95738
2020-07-08,375.98999,376.32999,366.45001,370.07999,135639
2020-07-07,370.26999,378.76999,369.10999,372.12,163173
2020-07-06,375.0,384.20999,373.39999,379.42999,111350
2020-07-02,372.98001,377.41589,371.60501,372.54999,143999
2020-07-01,369.26001,370.685,362.35001,368.54999,624654
2020-06-30,362.31,372.62,358.17999,370.35001,865400
2020-06-29,363.32001,363.64999,357.23001,362.31,569438
2020-06-26,365.0,368.17999,357.26001,360.07999,879700
2020-06-25,358.41,366.60001,351.85999,366.60001,193242
2020-06-24,367.26001,372.302,354.07001,359.17001,193583
2020-06-23,361.0,368.54431,360.17001,367.25,175808
2020-06-22,369.0,369.54999,357.60001,360.45001,185994
2020-06-19,365.47,372.42999,363.0,368.76999,215965
2020-06-18,360.0,366.26001,359.23999,362.9501,171363
2020-06-17,358.17999,363.48999,355.09,360.66,190168
2020-06-16,354.92999,357.78,346.10999,355.10999,177360
2020-06-15,336.39999,349.79001,335.19,348.62,157046
2020-06-12,340.42999,345.63,333.51999,341.17999,202329
2020-06-11,354.82999,357.39999,335.85001,336.89999,266617
2020-06-10,362.20999,362.81,354.72,358.88,212753
2020-06-09,357.60001,361.57999,354.0,357.78,138517
2020-06-08,350.94,360.16,350.79001,358.81,243787
2020-06-05,357.17999,363.39001,352.57999,354.10999,1059400
2020-06-04,355.29001,362.95001,355.0,358.39999,1054800
2020-06-03,366.04999,366.39999,355.88,358.32001,889000
2020-06-02,364.39999,366.07001,358.35999,366.04999,861200
2020-06-01,361.14001,369.59,358.0,365.41,617000
2020-05-29,372.0,373.23001,359.31,363.04999,1802700
2020-05-28,362.35001,377.79999,360.01001,373.01001,1480400
2020-05-27,354.42001,365.0,349.26001,363.82001,1215600
2020-05-26,357.29999,361.85999,353.72,354.41,1470800
2020-05-22,349.42001,354.85999,346.10999,354.70001,710300
2020-05-21,355.57001,355.95999,344.04999,349.42001,1038700
2020-05-20,344.92999,359.5,344.92999,357.73001,1664100
2020-05-19,342.34,345.23001,339.67001,342.54999,1046500
2020-05-18,338.57001,348.57001,338.32999,344.14001,1120200
2020-05-15,323.12,335.79999,321.16,335.0,1202000
2020-05-14,323.48999,325.42999,319.64999,322.98999,907100
2020-05-13,322.69,335.48999,320.23001,323.39001,1075300
2020-05-12,319.85999,332.26001,314.47,321.54999,1471600
2020-05-11,309.10999,320.95001,306.29001,320.31,1164300
2020-05-08,317.32999,318.0,308.04999,309.87,687100
2020-05-07,317.12,317.76999,312.29999,313.35999,553800
2020-05-06,311.70999,318.23001,310.60001,315.04001,563700
2020-05-05,310.37,313.67999,307.84,310.25,700100
2020-05-04,305.20001,309.42001,304.09,308.20001,610400
2020-05-01,317.16,317.42001,303.31,305.88,1009900
2020-04-30,316.20999,320.10001,312.14999,319.03,991400
2020-04-29,319.91,324.0,314.84,317.45001,1283200
2020-04-28,315.07001,317.25,304.60001,313.79001,971100
2020-04-27,312.92999,318.48999,311.89999,314.57999,830200
2020-04-24,308.73999,311.12,305.79001,309.07001,978800
