datetime,open,high,low,close,volume
2021-01-29,87.04,87.77,85.88,86.39,1289020
2021-01-28,85.77,89.455,85.55,87.8,3564900
2021-01-27,87.55,89.59,83.93,85.16,4062400
2021-01-26,87.66,88.95,87.33,88.39,2917600
2021-01-25,88.3,88.54,86.86,87.6,2668227
2021-01-22,88.65,89.44,88.08,88.09,2536400
2021-01-21,89.08,89.64,88.2,88.68,3327200
2021-01-20,87.72,90.43,87.59,89.7,3419600
2021-01-19,85.51,87.92,85.23,87.49,3335565
2021-01-15,83.34,85.75,83.26,85.51,4327200
2021-01-14,85.72,86.64,83.89,83.9,3080600
2021-01-13,86.3,86.94,84.96,85.45,5132300
2021-01-12,87.6,87.83,86.04,86.78,5337600
2021-01-11,89.86,90.02,87.51,87.65,2744679
2021-01-08,90.95,91.13,89.07,90.05,2382400
2021-01-07,90.7,91.52,89.58,90.88,2842200
2021-01-06,89.33,90.97,88.75,90.26,2560800
2021-01-05,90.28,91.77,88.8,89.81,2730700
2021-01-04,90.2,92.3,90.04,90.83,4221033
2020-12-31,88.58,89.91,88.3,89.83,1671500
2020-12-30,87.73,88.64,87.73,88.52,3265100
2020-12-29,87.3,88.45,87.25,88.03,2334200
2020-12-28,86.93,87.14,86.11,86.94,2856356
2020-12-24,85.62,86.58,85.55,86.37,1833010
2020-12-23,87.42,88.26,85.52,85.6,2826900
2020-12-22,86.89,87.45,85.99,86.87,4677800
2020-12-21,86.79,87.325,84.98,87.19,5501076
2020-12-18,87.65,88.22,87.07,87.99,7190645
2020-12-17,88.325,88.325,86.84,87.69,6812775
2020-12-16,88.98,89.39,87.69,87.76,5404600
2020-12-15,89.76,89.8,88.87,89.01,3891351
2020-12-14,89.86,90.52,88.89,88.97,3611754
2020-12-11,89.45,90.54,89.02,89.34,2750745
2020-12-10,90.22,90.79,89.33,89.71,2567600
2020-12-09,92.13,92.43,89.34,90.27,3861400
2020-12-08,92.23,93.0,92.01,92.09,3033044
2020-12-07,93.1,93.81,91.98,92.82,2650966
2020-12-04,91.47,93.66,91.16,93.64,4956596
2020-12-03,92.63,93.0,90.4,90.61,4082100
2020-12-02,93.9,95.0,92.32,92.55,4638200
2020-12-01,98.83,99.4,93.41,93.6,5808500
2020-11-30,98.06,101.44,97.5,99.51,8532389
2020-11-27,92.46,93.06,92.15,92.58,608100
2020-11-25,93.7,93.92,91.97,92.3,1091000
2020-11-24,94.32,95.05,93.46,93.62,2217800
2020-11-23,92.73,93.98,92.19,93.59,2107459
2020-11-20,92.45,93.13,91.93,92.19,1800100
2020-11-19,91.11,92.8,90.7,92.45,1409400
2020-11-18,92.425,92.7,91.13,91.18,1307408
2020-11-17,91.79,92.67,91.08,92.29,1846900
2020-11-16,92.35,92.83,91.765,92.41,1154977
2020-11-13,90.47,91.785,90.16,91.66,1123658
2020-11-12,91.26,91.41,89.87,90.2,1593400
2020-11-11,91.95,92.36,91.25,91.48,1666500
2020-11-10,91.16,91.7,90.06,91.28,1916900
2020-11-09,94.02,94.02,90.98,91.05,3225751
2020-11-06,88.07,89.39,87.885,88.5,2692900
2020-11-05,87.92,88.82,87.2,88.27,1480300
2020-11-04,84.19,87.29,83.57,86.21,2328600
2020-11-03,83.43,85.0,82.54,83.93,2530200
2020-11-02,82.09,83.21,81.45,82.35,2356869
2020-10-30,79.98,81.6,79.67,80.87,2311600
2020-10-29,79.16,81.43,78.64,80.43,2048100
2020-10-28,79.87,80.8,79.2,79.67,2315500
2020-10-27,81.84,82.345,81.27,81.3,1419768
2020-10-26,82.21,82.37,81.07,81.66,2172361
2020-10-23,82.615,83.18,82.21,83.0,1010262
2020-10-22,81.84,82.47,81.38,82.26,1168900
2020-10-21,81.27,82.28,81.27,81.86,1428400
2020-10-20,81.48,82.25,81.13,81.42,1489400
2020-10-19,81.27,82.3,80.93,81.05,1857553
2020-10-16,80.6,81.77,80.59,81.32,1574800
2020-10-15,78.94,80.39,78.66,80.11,1708400
2020-10-14,80.01,80.76,79.38,79.47,977189
2020-10-13,79.36,80.29,79.36,79.78,1202105
2020-10-12,79.4,80.16,78.93,79.76,1003609
2020-10-09,78.83,79.465,78.62,78.67,1098382
2020-10-08,78.67,79.28,78.13,78.24,1522796
2020-10-07,77.78,78.13,77.39,77.92,2018600
2020-10-06,78.89,78.89,77.17,77.36,2120200
2020-10-05,78.92,79.3895,78.5,78.54,1243390
2020-10-02,77.32,78.955,77.29,78.51,1601468
2020-10-01,78.42,79.3184,78.06,78.55,2056813
2020-09-30,79.2,79.92,77.82,78.51,3916000
2020-09-29,79.2401,80.48,77.41,77.43,2538512
2020-09-28,79.03,80.64,78.99,80.06,2922900
2020-09-25,76.49,77.92,76.045,77.78,1828284
2020-09-24,76.94,77.48,76.16,76.58,1146529
2020-09-23,78.68,78.68,76.59,76.75,1361534
2020-09-22,77.94,79.015,77.92,78.59,1482392
2020-09-21,78.51,78.52,77.025,78.04,1929625
2020-09-18,78.91,79.72,78.28,79.19,2701591
2020-09-17,78.66,79.16,77.83,78.85,1702834
2020-09-16,79.89,80.635,79.54,79.61,1296579
2020-09-15,78.4,79.9,78.25,79.48,1463076
2020-09-14,77.58,78.83,77.58,77.94,1840353
2020-09-11,77.15,78.06,76.655,77.175,1134296
2020-09-10,78.37,79.17,76.78,77.15,1177886
2020-09-09,77.13,78.78,77.13,77.99,1535612
2020-09-08,78.45,78.45,76.09,76.55,2268465
2020-09-04,82.06,82.2,78.43,79.14,1667653
2020-09-03,83.62,83.69,80.94,81.57,1582969
2020-09-02,82.0,83.92,81.54,83.6,1834807
2020-09-01,80.1,81.39,79.96,81.2,1411217
2020-08-31,80.385,80.49,79.56,79.77,998856
2020-08-28,80.34,80.895,79.52,80.64,1175561
2020-08-27,80.64,80.7,80.085,80.25,1328830
2020-08-26,80.57,81.03,80.26,80.32,1713724
2020-08-25,82.42,82.46,80.57,80.65,1539970
2020-08-24,81.77,82.17,81.525,81.89,1172103
2020-08-21,81.81,82.02,81.13,81.61,1199841
2020-08-20,82.325,82.63,81.72,81.835,1525688
2020-08-19,82.82,83.72,82.8,82.99,861230
2020-08-18,82.39,83.64,81.92,83.56,1659036
2020-08-17,82.95,82.975,81.78,81.85,1481963
2020-08-14,83.22,83.39,82.43,82.76,816093
2020-08-13,82.57,83.95,82.57,83.67,519739
2020-08-12,83.27,83.83,83.08,83.26,954007
2020-08-11,83.7349,84.115,82.61,82.78,1617988
2020-08-10,83.67,84.37,83.1,83.53,1586471
2020-08-07,82.65,84.1,82.26,83.96,2079628
2020-08-06,81.96,82.91,81.69,82.73,1329054
2020-08-05,81.81,82.39,81.74,81.93,857446
2020-08-04,81.53,82.2,81.08,81.98,1292898
2020-08-03,81.06,81.81,80.97,81.57,1027138
2020-07-31,80.25,80.73,79.24,80.73,1067834
2020-07-30,79.49,80.47,78.97,80.13,654918
2020-07-29,80.17,80.84,79.735,80.52,1185071
2020-07-28,79.245,80.28,79.245,79.91,1534819
2020-07-27,79.56,80.02,79.13,79.92,2897042
2020-07-24,80.0,80.16,78.95,79.56,1060117
2020-07-23,80.04,81.1,79.445,79.96,1314035
2020-07-22,79.57,80.345,79.57,80.19,891351
2020-07-21,79.86,80.05,79.44,79.75,1444077
2020-07-20,78.4438,79.56,78.29,79.55,1615930
2020-07-17,77.75,79.38,77.75,79.04,1098117
2020-07-16,77.74,77.84,76.91,77.48,267050
2020-07-15,77.7,78.37,77.18,78.15,1849200
2020-07-14,75.47,76.94,74.96,76.86,362986
2020-07-13,76.11,76.96,75.69,75.79,1225034
2020-07-10,75.44,75.75,75.06,75.64,1350500
2020-07-09,76.07,76.4,74.68,75.74,2149300
2020-07-08,76.29,76.65,75.64,76.44,157795
2020-07-07,76.11,76.8,75.96,76.26,1599800
2020-07-06,77.01,77.24,76.22,76.65,1140586
2020-07-02,76.54,77.48,75.67,75.79,229633
2020-07-01,75.88,76.31,75.32,75.81,2320697
2020-06-30,72.8,75.955,72.55,75.5,2998100
2020-06-29,73.26,73.28,72.34,72.77,1902856
2020-06-26,72.82,73.19,72.12,72.69,4040700
2020-06-25,71.41,73.15,70.77,72.95,2770000
2020-06-24,73.32,74.23,71.37,71.74,2925300
2020-06-23,73.33,75.68,72.535,72.78,1102719
2020-06-22,71.895,73.6,71.39,73.21,570980
2020-06-19,73.3,73.97,72.01,72.12,682546
2020-06-18,71.09,71.8889,71.02,71.69,414054
2020-06-17,72.77,72.77,71.3,71.59,271199
2020-06-16,72.54,72.7,70.925,72.34,500286
2020-06-15,68.27,70.61,68.09,70.4,640967
2020-06-12,70.84,71.0601,68.24,69.75,420641
2020-06-11,71.23,71.38,69.15,69.29,462773
2020-06-10,73.51,73.54,72.34,72.77,368669
2020-06-09,73.84,73.89,72.68,73.13,372313
2020-06-08,73.63,74.76,73.32,74.535,755398
2020-06-05,73.37,73.92,72.69,73.56,2008100
2020-06-04,72.0,72.45,71.35,71.42,1492100
2020-06-03,71.39,72.89,71.058,72.66,1515000
2020-06-02,70.3,71.1,69.77,71.0,1490400
2020-06-01,69.79,70.6,69.24,69.92,1157800
2020-05-29,68.86,69.84,68.6,69.46,2347500
2020-05-28,69.98,70.0,68.95,69.11,1627400
2020-05-27,69.07,69.49,67.68,69.44,1947300
2020-05-26,68.34,68.85,67.72,68.21,2088100
2020-05-22,66.92,67.13,66.095,67.01,1330900
2020-05-21,67.88,68.58,66.88,67.09,1410300
2020-05-20,67.75,68.69,67.7,68.2,1338800
2020-05-19,69.02,69.31,67.23,67.25,1451200
2020-05-18,68.62,69.53,68.25,69.14,1819100
2020-05-15,65.19,66.78,65.02,66.56,3794900
2020-05-14,65.39,65.7,63.95,65.68,2383500
2020-05-13,66.56,67.38,65.84,66.22,1543400
2020-05-12,67.36,68.29,66.83,66.86,2280700
2020-05-11,66.5,68.03,66.5,67.54,1638500
2020-05-08,67.02,67.52,66.58,67.07,1485300
2020-05-07,65.95,67.11,65.95,66.32,1962700
2020-05-06,65.41,66.03,65.06,65.21,1205300
2020-05-05,65.54,66.41,65.35,65.62,2363400
2020-05-04,64.77,65.21,64.215,65.13,1629600
2020-05-01,66.36,66.62,65.0,65.3,1946800
2020-04-30,66.97,67.76,66.72,67.3,2784300
2020-04-29,68.22,68.65,67.65,68.29,1881600
2020-04-28,67.98,68.38,66.67,67.45,1808600
2020-04-27,66.32,67.525,66.188,67.17,2378500
2020-04-24,65.42,65.84,64.35,65.6,1894600
2020-04-23,63.79,65.8,63.72,64.99,3050800
2020-04-22,63.78,64.08,62.2,63.47,1866200
2020-04-21,63.9,64.26,62.545,62.57,2553600
2020-04-20,66.62,66.8,64.7,64.99,3145600
2020-04-17,67.04,67.37,65.9,67.17,3147600
2020-04-16,65.04,65.7,63.57,64.84,1988400
2020-04-15,65.15,65.91,64.46,65.03,2072900
2020-04-14,64.93,66.84,64.93,66.61,2559400
2020-04-13,64.7,65.2,63.63,64.39,1890400
2020-04-09,64.93,66.18,64.57,65.47,2419600
2020-04-08,64.18,64.83,62.84,64.37,1984300
2020-04-07,65.76,66.885,63.31,63.57,2474600
2020-04-06,64.37,65.0,62.7,64.47,2488200
2020-04-03,60.32,61.9,60.0,61.58,4267700
2020-04-02,57.7,60.89,57.7,60.63,2984400
2020-04-01,58.0,59.27,57.495,58.3,3652900
2020-03-31,61.59,62.28,59.04,60.0,3810200
2020-03-30,60.08,62.03,59.73,61.86,3740600
2020-03-27,57.69,60.44,57.01,59.05,2788700
2020-03-26,58.19,60.06,57.89,59.56,4072400
2020-03-25,58.06,62.43,57.02,58.2,4514600
2020-03-24,49.94,58.96,49.94,58.3,6715600
2020-03-23,48.24,50.83,44.81,45.4,6266200
2020-03-20,51.85,52.79,47.75,47.88,5446500
2020-03-19,54.62,55.59,51.42,52.16,3841900
2020-03-18,50.9,56.28,50.53,55.53,5953700
2020-03-17,52.44,58.24,51.29,54.95,5439100
2020-03-16,49.25,58.55,49.0,51.21,5713400
2020-03-13,55.84,56.42,53.0,55.97,5900800
2020-03-12,55.95,58.305,52.25,52.89,7528300
2020-03-11,59.31,61.6,58.305,59.58,4657000
2020-03-10,62.26,62.97,58.56,61.11,6060200
2020-03-09,64.72,64.72,60.0,60.68,9325200
2020-03-06,70.1,70.43,67.41,69.32,3717200
2020-03-05,72.73,73.61,71.24,71.9,2895900
2020-03-04,72.18,74.31,71.89,74.31,2981500
2020-03-03,73.45,74.615,71.01,71.21,2990000
2020-03-02,71.7,73.7,70.57,73.49,3649900
2020-02-28,69.92,71.24,68.85,71.24,4189700
2020-02-27,73.98,74.44,71.62,71.64,3192700
2020-02-26,75.34,76.9,74.77,74.79,3824200
2020-02-25,77.6,78.08,74.72,74.91,2164100
2020-02-24,76.99,78.57,76.365,77.45,1999700
2020-02-21,80.13,80.5,78.902,79.06,1845300
2020-02-20,80.93,81.485,79.95,80.44,2097700
2020-02-19,80.4,81.65,80.27,81.11,2054600
2020-02-18,80.7,80.73,80.12,80.29,2184500
2020-02-14,80.32,80.97,80.32,80.76,1169600
2020-02-13,80.2,81.07,80.0,80.27,1657500
2020-02-12,80.74,80.95,80.21,80.52,1773900
2020-02-11,81.4,81.63,80.42,80.62,1642200
2020-02-10,80.15,81.39,80.15,81.1,1415000
2020-02-07,80.88,80.97,80.26,80.42,1491600
2020-02-06,80.82,81.09,80.615,80.85,983700
2020-02-05,81.27,81.28,79.9,80.36,1596200
2020-02-04,80.32,81.03,80.06,80.79,2029600
2020-02-03,79.15,80.49,78.89,79.66,2113500
2020-01-31,79.28,79.98,78.65,78.86,2333200
2020-01-30,79.3,80.06,78.86,79.95,2967400
2020-01-29,80.36,80.4,79.63,79.79,2461700
2020-01-28,79.65,80.33,79.45,80.05,1740100
2020-01-27,78.57,79.87,78.26,79.37,2671500
2020-01-24,80.87,80.98,79.73,79.89,2283900
2020-01-23,80.14,80.73,79.82,80.59,2151300
2020-01-22,80.24,81.28,80.2,80.69,1468000
2020-01-21,79.27,80.41,78.32,80.14,2626700
2020-01-17,78.38,79.37,78.23,79.27,4436700
2020-01-16,80.04,80.08,77.65,78.08,4979500
2020-01-15,79.0,79.7,78.48,79.35,2010000
2020-01-14,77.93,79.61,77.02,79.06,2863800
2020-01-13,78.52,79.96,78.41,79.93,3173000
2020-01-10,78.41,78.77,78.002,78.26,2948600
2020-01-09,77.52,78.45,77.52,78.19,2504200
2020-01-08,76.63,77.69,76.63,77.21,1967500
2020-01-07,76.25,76.83,76.05,76.43,1413000
2020-01-06,75.45,76.27,75.44,76.24,1617100
2020-01-03,74.66,76.22,74.66,75.82,1411100
2020-01-02,75.39,75.82,74.88,75.79,1930600
2019-12-31,74.78,75.37,74.78,75.35,1107600
2019-12-30,75.64,75.76,74.6,74.79,1118400
2019-12-27,75.25,75.83,75.17,75.64,1070200
2019-12-26,75.24,75.375,74.85,75.01,1594200
2019-12-24,75.4,75.4,74.77,75.13,300100
2019-12-23,75.5,75.74,75.26,75.41,1521200
2019-12-20,75.22,75.39,74.58,75.36,3077900
2019-12-19,74.14,75.32,74.14,74.73,1548600
2019-12-18,75.28,75.54,74.21,74.23,1781600
2019-12-17,75.26,75.51,74.76,75.13,1591500
2019-12-16,75.0,75.36,74.639,74.91,1402900
2019-12-13,74.0,74.75,73.64,74.6,1391500
2019-12-12,73.48,74.14,73.305,74.04,1396700
2019-12-11,73.5,73.71,72.98,73.65,1321800
2019-12-10,73.12,73.71,72.91,73.33,1946800
2019-12-09,73.63,73.93,72.98,73.11,1254200
2019-12-06,73.26,73.875,72.99,73.72,1260600
