datetime,open,high,low,close,volume
2021-01-29,55.98,57.16,55.36,55.51,37256225
2021-01-28,54.79,57.4,54.7,56.07,49162200
2021-01-27,54.61,54.85,53.3,53.59,49665300
2021-01-26,55.28,56.2,54.85,55.21,31305800
2021-01-25,56.38,56.5,54.06,55.44,60808446
2021-01-22,58.85,59.62,56.65,56.66,85563000
2021-01-21,59.04,63.95,58.22,62.46,86519500
2021-01-20,58.24,59.22,58.09,58.67,28669100
2021-01-19,57.94,58.34,57.1,57.99,35647144
2021-01-15,58.85,59.65,57.5,57.58,50247100
2021-01-14,58.45,60.14,57.84,59.25,74643400
2021-01-13,59.5,60.25,56.9,56.95,124029100
2021-01-12,51.9,53.85,51.56,53.24,39872400
2021-01-11,51.29,52.24,51.25,51.54,25301151
2021-01-08,52.45,52.53,51.27,51.65,34615600
2021-01-07,51.49,52.69,51.3,52.19,32074200
2021-01-06,50.44,52.15,50.2,51.1,36790500
2021-01-05,49.45,50.83,49.33,50.61,24848900
2021-01-04,49.89,51.39,49.4016,49.67,37134026
2020-12-31,48.75,50.19,48.72,49.82,28565500
2020-12-30,49.11,49.19,48.56,48.75,37365400
2020-12-29,47.22,50.67,46.49,49.39,84477300
2020-12-28,47.19,47.635,46.86,47.07,20147157
2020-12-24,46.6,47.09,46.34,47.07,11865600
2020-12-23,46.17,47.03,46.07,46.57,22554400
2020-12-22,46.25,46.34,45.77,46.17,32171200
2020-12-21,46.32,46.45,45.24,46.36,53775701
2020-12-18,50.52,50.68,47.11,47.45,58887969
2020-12-17,51.1,51.3,50.22,50.6583,16375894
2020-12-16,50.71,51.46,50.68,51.12,28341700
2020-12-15,50.98,51.005,50.21,50.67,20127305
2020-12-14,49.82,51.34,49.74,50.47,33436404
2020-12-11,50.0853,50.0853,49.115,49.75,22294117
2020-12-10,49.66,50.72,49.59,50.26,33695200
2020-12-09,50.28,50.84,49.73,50.07,34045200
2020-12-08,50.09,50.72,49.9821,50.69,22933218
2020-12-07,51.0,51.29,49.56,50.2,47674116
2020-12-04,51.1404,52.65,51.06,51.985,33712007
2020-12-03,49.92,51.11,49.78,50.99,50242300
2020-12-02,49.22,50.06,49.18,49.9,33743000
2020-12-01,48.75,50.23,48.71,49.56,57768000
2020-11-30,47.42,48.5,47.265,48.35,34055545
2020-11-27,47.36,48.1,47.36,47.45,15921400
2020-11-25,47.03,47.18,46.57,47.05,28119200
2020-11-24,46.29,47.3,46.01,47.01,33875000
2020-11-23,45.48,46.21,45.45,46.06,30126033
2020-11-20,45.66,45.88,45.33,45.39,24183700
2020-11-19,44.92,45.67,44.7,45.62,29436300
2020-11-18,45.55,45.69,45.04,45.06,32792800
2020-11-17,45.75,46.12,45.41,45.53,31118000
2020-11-16,46.04,46.75,45.79,46.19,36306293
2020-11-13,45.0,45.58,44.99,45.46,27252112
2020-11-12,46.13,46.19,44.55,44.95,42881300
2020-11-11,45.9,46.46,45.86,46.35,31488800
2020-11-10,45.4,46.48,45.25,45.44,39210700
2020-11-09,46.64,47.35,45.54,45.6,48481729
2020-11-06,45.54,45.8,44.9,45.39,36205400
2020-11-05,46.15,46.38,45.53,45.68,31032600
2020-11-04,45.11,46.15,44.78,45.7,34724700
2020-11-03,44.73,45.46,44.7,44.85,34349500
2020-11-02,44.96,45.055,44.2424,44.46,33856742
2020-10-30,44.1,44.8,43.61,44.28,46781300
2020-10-29,44.14,44.4686,43.9201,44.11,28680881
2020-10-28,44.89,45.29,44.2,44.25,45023500
2020-10-27,46.001,46.41,45.36,45.65,42792718
2020-10-26,47.85,47.85,46.25,46.72,54161291
