datetime,open,high,low,close,volume
2021-01-29,366.35999,369.89001,359.69,361.23001,1523500
2021-01-28,366.35001,376.67001,365.70999,369.95001,1395100
2021-01-27,368.01001,375.0,359.32999,363.10999,1928100
2021-01-26,374.03,376.14001,370.28,374.79999,663500
2021-01-25,378.04001,378.84,364.31,374.42999,1588202
2021-01-22,384.39999,384.39999,374.64001,374.85001,1150600
2021-01-21,386.20999,388.42001,377.81,381.75,1736700
2021-01-20,391.67001,398.12,388.98001,389.45999,2051800
2021-01-19,374.87,386.38,374.39999,384.95001,1527507
2021-01-15,364.88,373.84,363.03,371.01001,1597800
2021-01-14,365.29001,369.63,364.97,365.51001,1146200
2021-01-13,364.97,367.32999,360.5,364.95999,1019500
2021-01-12,371.82999,372.63,362.35001,365.67001,1242200
2021-01-11,376.13,376.76001,366.54001,372.34,1514875
2021-01-08,369.79001,375.03,368.60001,374.45999,1259100
2021-01-07,363.23999,370.23001,360.32999,368.63,1109000
2021-01-06,359.17001,364.01001,357.69,361.0,1537600
2021-01-05,370.44,374.0,367.31,368.87,1117700
2021-01-04,379.73999,384.62,366.35999,371.70001,1839788
2020-12-31,375.01999,380.48001,374.95001,379.85001,982500
2020-12-30,380.82001,381.98001,375.34,375.54999,703200
2020-12-29,383.20001,384.82001,377.32001,378.32999,640500
2020-12-28,387.57001,387.94,378.04001,381.12,863488
2020-12-24,377.51001,381.70001,377.42999,381.16,435111
2020-12-23,379.01001,383.94,376.70999,376.92001,900900
2020-12-22,376.0,380.14001,373.57999,379.97,1003500
2020-12-21,374.72,377.82001,368.42999,375.92999,997633
2020-12-18,377.16,380.79999,375.59,380.32999,1454600
2020-12-17,371.125,380.98999,370.34,380.57999,1624908
2020-12-16,361.31,370.35999,360.03,369.26001,1577800
2020-12-15,365.82001,367.67001,360.14999,360.42999,1283224
2020-12-14,364.44,369.25,363.72,365.51001,1346615
2020-12-11,362.12,364.64999,358.0,364.57001,936682
2020-12-10,361.23001,364.39999,357.45001,362.5,1499200
2020-12-09,368.91,370.14001,361.10999,364.17999,2477800
2020-12-08,372.39999,380.42999,370.52499,372.685,1484720
2020-12-07,367.82001,373.98001,367.28,372.19,1910082
2020-12-04,365.14999,371.94,364.08499,368.35999,1140372
2020-12-03,355.19,366.67999,353.47,363.70001,1841100
2020-12-02,355.66,356.14999,350.06,355.48999,760700
2020-12-01,356.01001,359.29001,352.29001,356.82001,1088900
2020-11-30,353.45001,356.44,348.13,352.01999,1875760
2020-11-27,353.92999,358.04001,351.82999,354.23999,528300
2020-11-25,345.72,352.47,345.01001,350.47,1199300
2020-11-24,345.0,347.73001,342.51999,345.20001,1045500
2020-11-23,348.07001,350.32001,337.72,343.32999,1496321
2020-11-20,358.85001,359.98999,347.51001,347.69,2369800
2020-11-19,353.20001,363.39001,349.04999,361.44,1531600
2020-11-18,356.23999,360.26001,353.76071,354.78,696377
2020-11-17,354.98001,360.0,353.42999,358.75,953900
2020-11-16,356.54001,361.22,353.34,357.06,1158831
2020-11-13,350.92499,358.32501,350.53,356.94,899894
2020-11-12,352.97,356.64001,347.64999,349.51001,947700
2020-11-11,345.64999,356.54999,342.92999,352.39999,1127000
2020-11-10,358.14999,358.14999,339.35001,342.26001,1544100
2020-11-09,365.95001,377.14999,359.31,360.14001,1820136
2020-11-06,351.48001,353.85001,344.79999,352.26001,623100
2020-11-05,350.92001,352.01001,346.20999,350.95999,1074200
2020-11-04,339.72,347.91,334.10999,343.0,1344400
2020-11-03,319.91,326.94,317.82999,324.73001,1114900
2020-11-02,317.76001,321.87,312.17001,316.42001,1060591
2020-10-30,321.91,325.17001,312.04999,314.67999,1682700
2020-10-29,319.42999,329.39001,319.32999,325.60999,896800
2020-10-28,323.47,325.10001,317.95999,318.51001,948400
2020-10-27,330.59,333.39999,329.31,330.04999,643832
2020-10-26,330.91,332.095,323.44,328.09,927838
2020-10-23,333.32001,334.59,330.04001,334.505,542323
2020-10-22,332.94,333.91,325.31,331.82001,803400
2020-10-21,335.69,336.67999,331.31,332.79001,816800
2020-10-20,338.35001,338.97,333.45001,334.51001,1131200
2020-10-19,343.32001,344.23001,334.16,335.26999,822798
2020-10-16,343.78,346.82001,340.95001,341.14999,790000
2020-10-15,341.29001,343.17999,338.0,341.97,790000
2020-10-14,351.23001,351.23001,341.23001,345.29999,655383
2020-10-13,352.54999,353.73999,347.51309,349.63,923322
2020-10-12,345.17999,353.98001,342.20999,350.92999,1571289
2020-10-09,336.45999,342.20001,335.77301,341.98001,638317
2020-10-08,336.35999,337.76001,333.26001,334.92001,621599
2020-10-07,327.73999,336.91,327.07999,334.91,1235700
2020-10-06,331.31,333.87,323.91,325.38,1042400
2020-10-05,330.32999,332.0,327.12,331.35999,1153000
2020-10-02,326.16,329.47,319.91,321.95999,695160
2020-10-01,330.79999,333.98001,329.9425,332.42999,833766
2020-09-30,323.01999,329.14001,319.67001,326.20999,1800300
2020-09-29,325.54001,329.22,323.05499,323.64001,858906
2020-09-28,325.42999,326.13,322.26001,325.54999,1134304
2020-09-25,309.89999,318.79001,307.76999,318.54001,1010399
2020-09-24,304.67001,312.63,302.01001,308.73999,1096083
