datetime,open,high,low,close,volume
2021-01-29,50.0,50.97,48.92,50.31,5862452
2021-01-28,50.9,51.23,50.05,50.15,3408200
2021-01-27,50.74,51.51,50.03,50.42,3184000
2021-01-26,52.16,52.72,51.61,51.65,2005000
2021-01-25,52.0,52.97,50.66,51.83,2630738
2021-01-22,51.29,51.95,50.64,51.63,1574300
2021-01-21,50.52,52.18,50.43,51.66,2961200
2021-01-20,50.83,51.1,50.32,50.99,3334900
2021-01-19,50.84,51.22,50.36,50.38,3012395
2021-01-15,49.61,50.52,48.88,50.25,3529800
2021-01-14,50.82,50.97,49.93,49.98,2417000
2021-01-13,51.57,51.9,50.31,50.8,3141700
2021-01-12,52.15,52.93,51.79,52.63,2187700
2021-01-11,50.9,52.63,50.82,52.1,2152935
2021-01-08,52.25,52.41,50.65,51.48,2029900
2021-01-07,52.88,53.08,52.02,52.07,2601200
2021-01-06,50.9,53.39,50.5,52.84,3536500
2021-01-05,48.75,50.26,48.75,49.74,2214200
2021-01-04,49.64,49.98,48.135,48.49,2523980
2020-12-31,49.55,49.8,49.0,49.72,1357100
2020-12-30,49.05,49.79,49.05,49.64,1187300
2020-12-29,49.5,49.6,48.81,48.97,1038000
2020-12-28,50.01,50.1147,49.31,49.39,1127126
2020-12-24,49.74,49.8,49.2,49.76,439100
2020-12-23,49.73,49.97,49.3,49.55,2332100
2020-12-22,49.74,49.99,49.31,49.4,2166100
2020-12-21,49.13,49.53,48.33,49.48,2817527
2020-12-18,49.65,50.12,49.31,50.0,2738855
2020-12-17,49.37,49.79,48.91,49.74,1426586
2020-12-16,49.41,49.65,49.15,49.31,2229600
2020-12-15,48.02,49.15,48.02,49.15,1970233
2020-12-14,49.33,49.41,48.0,48.01,2384164
2020-12-11,48.21,48.89,48.09,48.62,1461821
2020-12-10,49.01,49.47,48.47,48.64,2118100
2020-12-09,49.0,49.77,49.0,49.54,2646400
2020-12-08,48.33,49.11,48.279,49.09,1688815
2020-12-07,48.91,48.91,47.95,48.67,2714120
2020-12-04,48.5,49.06,48.06,48.86,2783759
2020-12-03,49.77,49.95,47.89,48.24,4541200
2020-12-02,49.68,50.31,49.49,49.86,1713900
2020-12-01,50.23,50.6,49.51,49.85,2536500
2020-11-30,50.52,50.6204,49.33,49.48,3005579
2020-11-27,50.66,51.21,50.28,50.69,920000
2020-11-25,51.24,51.55,50.6,51.07,2309900
2020-11-24,50.52,51.99,50.5,51.87,2920000
2020-11-23,50.13,50.52,49.8,50.01,2214654
2020-11-20,49.19,49.75,48.7,49.43,3369800
2020-11-19,49.14,49.37,48.51,49.23,3474400
2020-11-18,50.23,50.61,49.55,49.57,2345445
2020-11-17,49.58,50.52,49.11,50.09,5626500
2020-11-16,49.42,50.24,48.75,49.96,3729674
2020-11-13,47.155,48.07,47.1341,47.88,1993868
2020-11-12,48.16,48.34,46.4,47.09,2773500
2020-11-11,49.01,49.28,48.09,48.67,3285300
2020-11-10,47.57,48.87,47.17,48.82,2993000
2020-11-09,48.59,50.33,47.27,47.36,3767377
2020-11-06,47.11,47.38,46.0,46.49,2015300
2020-11-05,45.5,47.52,45.26,46.89,2750700
2020-11-04,45.99,46.36,44.74,45.09,2182400
2020-11-03,45.91,46.76,45.55,46.52,2905200
2020-11-02,44.54,45.275,44.05,45.05,2607779
2020-10-30,43.73,44.14,43.19,43.75,2553000
2020-10-29,42.77,44.34,42.48,43.84,2988700
2020-10-28,43.5,43.92,42.7,43.0,3554200
2020-10-27,45.28,45.29,44.34,44.37,2367014
2020-10-26,45.69,46.0548,44.92,45.29,2394552
2020-10-23,46.585,47.18,46.32,46.4,1406689
2020-10-22,46.33,46.7,46.05,46.59,1754900
