datetime,open,high,low,close,volume
2021-01-29,178.05,181.75,176.50999,177.8,840042
2021-01-28,175.94,180.34,174.91,178.66,1028400
2021-01-27,176.12,176.85001,170.0,173.0,1574200
2021-01-26,184.48,184.67999,180.06,180.34,755100
2021-01-25,185.75,186.4388,179.53,183.02,891342
2021-01-22,186.99001,187.41,185.13,185.59,824000
2021-01-21,189.64999,191.27,187.63,187.69,1154500
2021-01-20,189.03,191.27,188.03,190.53999,684100
2021-01-19,191.5,191.5,186.47,188.97,948304
2021-01-15,187.92,188.75,185.61,187.78999,1027500
2021-01-14,189.38,190.55,187.7,188.11,568200
2021-01-13,189.03999,191.37,188.96001,189.36,529200
2021-01-12,191.0,192.34,187.94,189.42,607700
2021-01-11,190.07001,192.07001,188.27,191.44,598026
2021-01-08,188.0,192.0,187.53,191.08,805500
2021-01-07,187.8,189.81,187.32001,188.06,741300
2021-01-06,177.13,187.05,177.0,186.25,1123800
2021-01-05,175.73,180.33,175.73,179.34,775100
2021-01-04,178.44,179.81,174.28,176.60001,1018247
2020-12-31,178.03999,179.37,175.39,179.17,528800
2020-12-30,175.55,178.58,175.2,177.52,871900
2020-12-29,177.49001,177.52,174.31,174.83,441500
2020-12-28,177.5,177.5,173.825,175.32001,555971
2020-12-24,175.91,176.46001,174.94,175.94,261800
2020-12-23,177.84,178.99001,174.89999,175.55,894700
2020-12-22,177.37,177.37,174.61,176.98,856400
2020-12-21,177.31,177.97,173.87,176.75,808173
2020-12-18,179.99001,180.99001,177.72501,180.28999,830818
2020-12-17,175.52,179.21001,175.36,178.92,805818
2020-12-16,172.42,175.46001,171.07001,174.69,1124500
2020-12-15,168.17,173.34,167.67,172.52,780365
2020-12-14,169.08,172.25,166.91,167.3,1043430
2020-12-11,167.545,168.57001,165.58,167.81,769574
2020-12-10,168.39999,169.98,167.42999,168.47,866300
2020-12-09,171.17999,171.5,168.39,168.5,1086100
2020-12-08,169.81,171.45,168.405,171.37,763065
2020-12-07,170.69,172.14,169.14,170.07001,942581
2020-12-04,168.09,170.61,165.92999,170.60001,840664
2020-12-03,170.5,171.0,167.19,167.63,1560100
2020-12-02,170.3,170.81,168.31,170.03999,1050700
2020-12-01,170.62,173.77,170.31,171.23,1635700
2020-11-30,169.61,170.42,167.74001,168.99001,1491184
2020-11-27,170.48,170.89,168.03,168.81,591800
2020-11-25,171.99001,171.99001,169.34,169.87,813400
2020-11-24,173.05,173.82001,170.78,172.0,719900
2020-11-23,170.8,171.42,169.31,170.56,682748
2020-11-20,169.75,171.08,168.14,169.77,606000
2020-11-19,168.35001,169.85001,167.00999,169.55,714000
2020-11-18,172.0,173.53,168.87,169.08,619834
2020-11-17,171.78,172.39999,168.91,172.21001,613100
2020-11-16,175.0,175.38,171.89,173.74001,611689
2020-11-13,169.23,174.52,169.065,173.94,568426
2020-11-12,167.81,169.64999,166.67999,167.8,746000
2020-11-11,168.00999,169.71001,165.58,167.88,885000
2020-11-10,172.75999,173.41,165.49001,166.0,1272400
2020-11-09,180.13,180.76939,173.31,173.66,1264280
2020-11-06,171.99001,173.33,169.86,171.44,759500
2020-11-05,173.67,176.16,171.25999,171.71001,1007100
2020-11-04,162.03999,174.21001,162.03999,170.89999,1583500
2020-11-03,157.66,160.95,157.09,160.14,765500
2020-11-02,156.21001,157.57001,154.2375,155.13,759613
2020-10-30,153.94,155.00999,150.66,153.99001,1009700
2020-10-29,156.42,157.75,153.55,154.64999,1226200
2020-10-28,155.75,158.64,155.22,155.71001,1400200
2020-10-27,162.56,162.74001,158.58,159.14,1009062
2020-10-26,165.33,165.71001,159.81,162.17,1261720
2020-10-23,170.53,170.56,166.53999,167.33,616040
2020-10-22,169.87,171.98,167.49001,169.39999,946100
2020-10-21,173.89999,174.72,169.08,169.25,918300
2020-10-20,172.16,176.0,171.84,173.5,2158900
2020-10-19,164.77,166.5,163.07001,164.05,1361024
2020-10-16,163.33,166.39,163.33,164.56,1047500
2020-10-15,163.53,164.19,161.35001,162.0,1173600
2020-10-14,167.625,168.13,164.30499,165.84,667663
2020-10-13,169.60001,170.94,166.57001,166.59,682564
2020-10-12,167.94,171.88,166.49001,170.46001,890672
2020-10-09,165.66,167.53999,164.97,166.75,831851
2020-10-08,164.57001,166.09,163.87,164.5,435957
2020-10-07,160.32001,164.72,160.32001,164.19,579800
2020-10-06,161.14999,162.92,159.39999,159.39999,472900
2020-10-05,158.60001,161.64999,157.81,160.62,448425
2020-10-02,155.86,158.38,155.86,156.91,436054
2020-10-01,158.44,160.8,157.47501,158.28,616826
2020-09-30,155.44,158.97,155.0,157.63,752800
2020-09-29,154.96001,158.05,154.63,154.78,620694
2020-09-28,153.5,156.99001,153.5,155.31,747724
2020-09-25,146.94,152.52499,146.03,151.32001,1587663
2020-09-24,148.78999,149.515,146.06,148.0,949601
2020-09-23,153.57001,153.5714,148.87,149.02,635360
2020-09-22,154.06,154.44,152.55,153.25,929821
2020-09-21,154.25999,154.92,150.61,154.09,717966
2020-09-18,160.88,160.88,156.765,156.97,1239694
2020-09-17,161.31,161.31,158.59,160.62,759384
2020-09-16,165.64999,165.91,162.0,162.02,995411
2020-09-15,162.96001,165.75,162.96001,164.71001,1080800
2020-09-14,160.7,163.11,160.67999,161.64999,610163
2020-09-11,160.33,161.63,158.14,159.59,430792
2020-09-10,161.92999,163.74001,159.5,159.58,790415
2020-09-09,160.00999,163.17999,159.42999,161.06,776103
2020-09-08,159.48,161.49001,157.21001,157.87,831997
2020-09-04,165.62,165.71001,157.175,160.13,1013403
2020-09-03,169.99001,169.99001,163.14,164.77,658681
2020-09-02,165.5,170.50999,164.64999,169.67,819925
2020-09-01,163.75999,165.88,163.03999,165.13,924165
2020-08-31,160.31,164.88,160.31,163.78999,746675
2020-08-28,158.3,161.25,157.82001,161.21001,552729
2020-08-27,159.0,159.94,156.53999,158.49001,554696
2020-08-26,156.97,159.14999,156.69,158.47,595109
2020-08-25,157.12,157.78,154.58,156.92999,775782
2020-08-24,158.05,158.53,155.09,156.24001,578274
2020-08-21,158.42999,158.7,156.3427,157.67,531588
2020-08-20,158.86,158.88,157.42999,157.96001,526485
2020-08-19,160.52,161.67999,159.09,160.28,331907
2020-08-18,161.52,161.78999,159.47501,160.64,403864
2020-08-17,161.89,163.22,161.14999,161.62,374211
2020-08-14,162.88,162.88,160.48,161.16,425127
2020-08-13,162.28999,165.02,162.28999,163.78999,596014
2020-08-12,160.5789,163.38,159.92,162.81,649848
2020-08-11,160.60001,161.96001,159.06,159.31,656197
2020-08-10,160.14999,160.92999,158.97,159.67,620939
2020-08-07,160.215,161.0,159.00999,160.53999,600604
2020-08-06,160.81,161.67999,159.49001,161.12,714071
2020-08-05,161.62,161.82001,159.67,160.77,456128
2020-08-04,159.83501,160.84,159.02,160.19,802500
2020-08-03,158.5,161.96001,158.5,161.24001,601453
2020-07-31,158.0,158.63,155.71001,158.46001,878764
2020-07-30,158.27,159.05,156.16499,158.24001,813541
2020-07-29,159.7852,160.88,159.03999,160.06,1063510
2020-07-28,158.00999,160.92999,157.72,158.67999,1533246
2020-07-27,158.19501,163.55,158.07001,162.28,895019
2020-07-24,160.60001,160.97,156.46001,157.82001,933224
2020-07-23,163.78,164.69,160.57001,161.63,1287658
2020-07-22,160.06,166.10001,160.06,164.28,1654782
2020-07-21,156.0,159.24001,155.92,157.0,1151882
2020-07-20,153.75999,155.57001,153.05,155.14,819954
2020-07-17,150.72,155.07001,149.91,154.06,531267
2020-07-16,151.13,151.13,148.17999,149.69,235196
2020-07-15,150.3,152.88541,149.25999,152.37,171576
2020-07-14,141.545,147.97,140.60001,147.78,168652
2020-07-13,144.11,146.33,141.14999,141.28999,171855
2020-07-10,144.10001,144.11,141.39,142.72,126944
2020-07-09,143.95,145.95,142.73,145.06,106744
2020-07-08,142.64999,144.42,142.31,144.25999,158560
2020-07-07,142.16,144.44,141.74001,141.94,177357
2020-07-06,142.84,144.03,141.75999,143.63,181418
2020-07-02,143.67999,143.95,140.87,141.48,181362
2020-07-01,141.98,142.675,139.39999,141.53,1411173
2020-06-30,137.0,142.56,137.0,141.88,883500
2020-06-29,136.94,137.71001,135.63,137.52,501703
2020-06-26,136.88,139.06,135.47,135.99001,1712300
2020-06-25,136.17,137.97,133.22,137.85001,245180
2020-06-24,140.23,140.23,134.38,136.55,379828
2020-06-23,139.39,142.00999,136.99001,140.13,266575
2020-06-22,135.56,137.9136,134.0,137.50999,279083
2020-06-19,140.67999,141.31,136.07001,136.17,432211
2020-06-18,137.81,139.25,137.06,138.08,227935
2020-06-17,140.73,141.375,138.06,138.92,249229
2020-06-16,143.24001,144.46001,139.62,141.17999,288712
2020-06-15,136.35001,140.25999,135.19,139.60001,280519
2020-06-12,142.21001,143.59,134.92999,138.64999,276707
2020-06-11,143.0645,143.84,138.22,138.57001,357991
2020-06-10,147.565,148.8,144.66,147.16,258906
2020-06-09,148.625,149.56,146.60001,146.78,181086
2020-06-08,149.485,151.31,148.42999,150.0,330134
2020-06-05,154.63,156.23,148.8,149.58,1731000
2020-06-04,151.22,152.74001,150.2,151.21001,1086900
2020-06-03,151.83,154.63,151.19,153.06,1234300
2020-06-02,149.85001,151.75,148.39,151.53,1200000
2020-06-01,149.10001,150.00999,147.00999,149.41,884800
2020-05-29,146.69,150.35001,146.16,149.52,3005500
2020-05-28,147.99001,149.28,145.71001,146.2,942700
2020-05-27,145.7,147.17,141.87,146.82001,1016000
2020-05-26,146.62,147.42,143.06,143.5,1468700
2020-05-22,143.44,144.02,141.75999,142.89999,682900
2020-05-21,145.2,146.38,142.45,143.2,1326400
2020-05-20,142.2,145.73,141.64,145.42,1245100
2020-05-19,138.10001,141.8,137.73,140.86,2707600
2020-05-18,138.60001,140.85001,138.0,138.56,850300
2020-05-15,131.87,134.35001,130.72,134.2,1133700
2020-05-14,130.59,132.97,128.52,132.37,1224800
2020-05-13,135.02,136.55,131.42,132.47,1174900
2020-05-12,139.0,139.39999,134.7,134.8,678400
2020-05-11,136.53999,139.05,135.34,138.64999,814800
2020-05-08,138.06,139.35001,136.85001,137.64999,677900
2020-05-07,136.67,137.47,135.25,135.52,868900
2020-05-06,135.99001,137.36,133.86,134.00999,728300
2020-05-05,135.97,137.21001,134.77,135.49001,924400
2020-05-04,135.10001,135.77,131.39999,134.06,1070600
2020-05-01,139.05,140.78,135.32001,136.52,1204800
