datetime,open,high,low,close,volume
2021-01-29,42.37,42.65,41.4,41.84,3099921
2021-01-28,41.48,42.99,41.21,42.64,2174600
2021-01-27,42.56,42.6,40.64,40.81,2178400
2021-01-26,44.9,45.245,43.58,43.59,1485600
2021-01-25,45.0,45.22,44.16,44.51,1679832
2021-01-22,45.43,45.715,45.01,45.23,1319600
2021-01-21,45.93,46.23,45.71,45.76,1101900
2021-01-20,46.45,46.71,45.824,45.99,1367100
2021-01-19,46.36,46.59,45.93,46.29,1642923
2021-01-15,47.17,47.3,45.54,45.91,4577100
2021-01-14,46.39,46.78,45.93,46.34,1799100
2021-01-13,46.87,47.17,46.08,46.08,1577100
2021-01-12,46.99,47.78,46.54,47.06,1245200
2021-01-11,45.91,46.68,45.59,46.49,714641
2021-01-08,47.13,47.46,45.83,46.4,1659000
2021-01-07,47.01,47.41,46.58,47.02,990800
2021-01-06,45.86,47.65,45.795,46.68,1968300
2021-01-05,44.37,45.415,44.37,45.2,1797500
2021-01-04,45.68,45.76,43.84,44.31,2202833
2020-12-31,45.25,45.64,44.43,45.56,1506100
2020-12-30,44.5,45.38,44.5,45.24,1439800
2020-12-29,45.19,45.43,44.15,44.48,1010300
2020-12-28,46.29,46.8214,45.05,45.1,1091038
2020-12-24,45.78,46.04,45.19,46.03,609700
2020-12-23,45.78,45.99,45.33,45.76,859600
2020-12-22,45.81,45.98,45.5,45.56,1523400
2020-12-21,44.28,45.7,44.01,45.66,1448790
2020-12-18,45.6,45.89,44.9,45.26,2344847
2020-12-17,43.96,45.575,43.96,45.43,1930337
2020-12-16,44.83,44.855,43.83,44.32,1526500
2020-12-15,44.5,44.92,43.865,44.77,1377435
2020-12-14,45.25,45.46,43.75,43.86,2215038
2020-12-11,44.08,44.615,44.08,44.32,1911548
2020-12-10,44.71,44.93,44.43,44.79,2208200
2020-12-09,44.8,45.08,44.67,44.99,2161900
2020-12-08,44.185,44.58,44.03,44.54,1759469
2020-12-07,45.1,45.25,44.17,44.33,1945268
2020-12-04,44.835,45.45,44.835,45.17,1219116
2020-12-03,44.21,44.98,44.01,44.46,1720600
2020-12-02,44.44,44.9,44.024,44.33,1760500
2020-12-01,45.03,45.64,44.76,44.8,2909300
2020-11-30,44.58,44.89,44.03,44.27,2327616
2020-11-27,45.19,45.19,44.63,44.8,594900
2020-11-25,45.33,45.33,44.73,44.81,1001300
2020-11-24,45.29,45.58,44.94,45.47,2076300
2020-11-23,44.79,45.08,44.46,44.48,1731360
2020-11-20,44.27,44.45,43.909,44.26,1433400
2020-11-19,43.71,44.31,43.43,44.2,1525800
2020-11-18,44.9,44.99,43.89,43.9,1226388
2020-11-17,44.56,44.97,43.75,44.64,1725200
2020-11-16,43.61,45.0,43.23,44.99,3210393
2020-11-13,42.715,43.77,42.52,42.76,2283319
2020-11-12,42.15,42.87,42.02,42.5,1609700
2020-11-11,43.15,43.17,42.2,42.61,1440600
2020-11-10,42.5,43.855,42.47,42.75,3268400
2020-11-09,42.01,45.53,42.01,42.78,4937474
2020-11-06,39.67,40.465,39.645,40.25,1899000
2020-11-05,38.57,40.21,38.16,39.8,2432600
2020-11-04,38.69,38.72,37.0,38.07,3710900
2020-11-03,36.32,38.99,36.04,38.75,3722000
2020-11-02,35.56,36.13,35.36,35.98,2048041
2020-10-30,34.95,35.28,34.37,34.94,2369300
2020-10-29,35.06,35.46,34.69,35.08,1865300
2020-10-28,35.35,35.9,35.15,35.24,1918000
2020-10-27,36.79,36.8,35.95,36.1,1536963
2020-10-26,37.75,37.75,36.025,36.56,2281222
2020-10-23,38.01,38.38,37.47,38.28,1441434
2020-10-22,37.17,38.045,37.07,37.93,1382200
2020-10-21,37.28,37.91,37.245,37.26,1639600
2020-10-20,36.94,37.794,36.935,37.24,1932800
2020-10-19,37.16,37.46,36.52,36.6,2084145
2020-10-16,37.46,37.98,37.205,37.22,1585500
2020-10-15,36.56,37.15,36.31,37.07,2636400
2020-10-14,37.505,38.1,37.3,37.38,1842693
2020-10-13,37.15,37.64,37.07,37.53,2000532
2020-10-12,37.3,37.41,36.905,37.21,1850562
2020-10-09,37.58,37.78,37.1,37.14,1450155
2020-10-08,36.96,37.31,36.49,37.23,1797184
2020-10-07,36.92,37.15,36.44,36.66,4214800
2020-10-06,37.01,37.43,36.38,36.45,2281000
2020-10-05,36.59,37.11,36.45,36.91,2090553
2020-10-02,34.96,36.58,34.86,36.08,1222635
2020-10-01,35.81,36.09,35.13,35.57,1144956
2020-09-30,35.91,36.425,35.21,35.6,2067400
2020-09-29,36.27,36.55,35.69,35.87,874768
2020-09-28,36.03,36.77,35.8801,36.05,2331167
2020-09-25,35.1,35.615,34.85,35.38,1450746
2020-09-24,34.61,35.97,34.61,35.37,1648090
2020-09-23,35.18,35.7869,35.01,35.03,1798354
2020-09-22,34.53,35.205,34.48,35.1,2286467
2020-09-21,35.17,35.44,34.02,34.67,1982053
2020-09-18,37.18,37.34,35.82,35.9,3123693
2020-09-17,36.445,37.63,36.1,37.22,2470726
2020-09-16,36.61,37.39,36.47,36.94,2433970
2020-09-15,36.34,36.595,35.99,36.32,1717016
2020-09-14,36.04,36.39,35.825,36.32,1530135
2020-09-11,35.02,36.1,35.02,35.98,1858503
2020-09-10,35.4,35.7619,34.96,35.03,1860899
2020-09-09,34.805,35.67,34.73,35.42,1676337
2020-09-08,35.045,35.11,34.05,34.47,2640926
2020-09-04,35.65,36.19,35.19,35.31,1857000
2020-09-03,36.005,36.26,35.03,35.38,1779068
2020-09-02,36.165,36.34,35.68,36.09,1964473
2020-09-01,34.862,36.23,34.685,36.21,1639441
2020-08-31,35.78,35.8,35.06,35.06,1216618
2020-08-28,35.33,35.84,35.21,35.75,1903714
2020-08-27,35.28,35.505,35.08,35.29,1212618
2020-08-26,35.13,35.39,34.89,35.16,933362
2020-08-25,35.49,35.64,34.94,35.25,1056652
2020-08-24,35.04,35.45,34.72,35.45,1027017
2020-08-21,34.53,34.92,34.44,34.72,958986
2020-08-20,33.95,34.7,33.86,34.63,1330817
2020-08-19,34.65,34.98,34.3,34.44,1070036
2020-08-18,34.755,35.01,34.6,34.62,1192701
2020-08-17,35.44,35.52,34.68,34.81,1414434
