datetime,open,high,low,close,volume
2021-01-29,155.17999,155.17999,151.215,151.73,144182
2021-01-28,153.67,158.21001,153.0,157.19,448071
2021-01-27,154.16,155.33,149.74001,151.58,549000
2021-01-26,160.31,160.31,156.13,157.09,237400
2021-01-25,159.0,160.87,155.12,159.52,335711
2021-01-22,160.36,161.08,159.03,160.41,495200
2021-01-21,161.02,161.99001,158.38,161.36,339500
2021-01-20,160.39999,162.03,158.48,161.58,431800
2021-01-19,161.47,162.24001,159.39999,159.44,265975
2021-01-15,161.25999,162.55,159.81,160.41,362200
2021-01-14,165.85001,165.92,162.53,162.88,226300
2021-01-13,168.87,168.87,163.92,165.23,470100
2021-01-12,167.35001,169.77,167.35001,168.58,583400
2021-01-11,166.34,167.89999,165.89999,167.17999,310094
2021-01-08,166.21001,169.3,166.21001,169.10001,379600
2021-01-07,165.22,166.82001,164.35001,166.2,398800
2021-01-06,160.89999,166.42,160.89999,163.78999,566300
2021-01-05,158.2,160.48,157.25999,159.71001,298200
2021-01-04,159.89,160.66,155.32001,158.07001,416699
2020-12-31,159.3,160.41,157.8,160.35001,160120
2020-12-30,158.63,159.78,158.38,158.55,202400
2020-12-29,160.08,160.5,157.85001,158.37,133565
2020-12-28,160.0,160.77,158.92999,159.21001,204367
2020-12-24,158.0,159.36,157.41,158.63,150900
2020-12-23,156.46001,159.09,156.46001,157.03999,308000
2020-12-22,155.84,157.42999,154.61,156.42999,243200
2020-12-21,155.99001,157.10001,152.67999,156.5,292257
2020-12-18,157.0,158.37,154.74001,157.88,470410
2020-12-17,158.32001,159.145,156.69,157.0,274381
2020-12-16,158.10001,158.50999,156.03999,157.31,307500
2020-12-15,155.435,157.92999,154.78,157.81,221187
2020-12-14,155.48,156.793,154.52,154.59,293045
2020-12-11,155.345,156.86501,153.255,154.71001,270525
2020-12-10,153.47,156.32001,151.75999,156.00999,362400
2020-12-09,154.25,156.35001,153.92999,154.58,373100
2020-12-08,155.78,156.53819,153.14,153.62,241758
2020-12-07,154.12,156.55,153.61501,155.53999,334288
2020-12-04,153.52499,156.7,153.0901,154.86,250387
2020-12-03,153.25999,155.27,152.35001,152.7,306900
2020-12-02,153.51311,154.67999,152.9501,154.11,190903
2020-12-01,152.97,155.60001,152.60001,153.95,430200
2020-11-30,152.25999,153.715,150.37,152.0,465032
2020-11-27,154.25,154.59,152.41,152.55,153800
2020-11-25,154.35001,154.72,153.25999,153.87,200800
2020-11-24,154.35001,156.28999,153.42999,154.67999,482900
2020-11-23,153.0,154.03,151.92999,152.61,241169
2020-11-20,153.3,153.57001,151.64999,152.56,351000
2020-11-19,153.17999,154.16,151.19,152.27,359900
2020-11-18,158.71001,159.265,154.02,154.03,297853
2020-11-17,158.07001,159.21001,157.45,158.71001,452500
2020-11-16,160.10001,160.88,157.78,159.02,407829
2020-11-13,155.12,159.0,154.785,158.0,339289
2020-11-12,155.75281,156.11,152.06,153.00999,226357
2020-11-11,157.14,158.64,155.94,156.8,320500
2020-11-10,156.36,159.94,154.41,157.44,638800
2020-11-09,156.69,162.94,155.64999,155.85001,954482
2020-11-06,145.39999,149.0,144.37,147.98,497300
2020-11-05,144.14999,146.47,143.72,146.25,558800
2020-11-04,141.60001,144.87,139.2,142.25999,767500
2020-11-03,137.69,143.44,137.49001,140.8,1162800
2020-11-02,121.44,125.89,121.26,125.02,545271
2020-10-30,117.68,120.35,117.13,120.1,580900
2020-10-29,116.68,119.31,115.86,118.28,265300
2020-10-28,119.3,120.23,116.56,117.45,517600
2020-10-27,123.96,124.59,121.77,121.95,200035
2020-10-26,126.5,126.5,122.001,124.03,337812
2020-10-23,128.11,128.77,126.79,128.17,134131
2020-10-22,127.47,128.3,125.36,127.52,216000
2020-10-21,125.36,128.72,125.36,127.88,371100
2020-10-20,125.18,126.87,124.33,125.44,400300
2020-10-19,130.74001,131.52,123.63,124.34,484174
2020-10-16,130.27,131.71001,129.12,130.07001,465800
2020-10-15,123.22,130.37,123.22,129.59,741400
2020-10-14,128.99001,129.81,124.59,124.79,414717
2020-10-13,126.47,128.82001,125.52,127.91,904285
2020-10-12,127.2,127.89,125.06,126.81,378512
2020-10-09,128.22,128.569,126.01,126.42,430100
2020-10-08,126.97,128.47,126.48,126.81,454885
2020-10-07,124.5,126.0,123.86,125.62,482000
2020-10-06,126.43,127.97,123.66,124.21,396600
2020-10-05,126.74,126.95,125.33,125.98,235033
2020-10-02,123.73,126.44,123.26,125.28,209424
2020-10-01,126.02,127.1601,124.63,125.65,222406
2020-09-30,125.92,127.22,124.59,124.95,366500
2020-09-29,126.65,127.915,125.16,125.23,157877
2020-09-28,127.52,127.96,126.33,126.53,313210
2020-09-25,122.51,125.74,121.16,125.65,47092
2020-09-24,123.34,124.55,122.0,123.05,13639
