datetime,open,high,low,close,volume
2021-01-29,164.25999,166.0,160.5527,163.13,22441469
2021-01-28,168.2,170.86,167.8,169.16,8937800
2021-01-27,169.12,170.92,167.45,167.88,14200100
2021-01-26,169.7,173.64999,169.39,170.48,14186800
2021-01-25,165.00999,166.09,163.66,165.98,9042110
2021-01-22,162.36,165.16,161.87,163.55,8125300
2021-01-21,161.32001,162.48,160.06,161.73,6818000
2021-01-20,163.2,164.14,161.8,162.38,6838500
2021-01-19,162.0,163.03999,161.10001,162.78,9057555
2021-01-15,160.3,161.41,159.11,160.3,7618800
2021-01-14,160.45,161.95,159.61,160.64999,10022700
2021-01-13,158.23,158.46001,156.75,157.89,6595500
2021-01-12,159.14999,159.66,157.33,158.13,6900700
2021-01-11,160.56,161.32001,158.77,159.37,6231303
2021-01-08,160.50999,161.10001,159.88,160.03999,8227700
2021-01-07,159.0,161.03,158.35001,160.37,7745000
2021-01-06,157.24001,160.23,156.72,159.83,8228400
2021-01-05,156.25,158.75999,155.07001,158.34,9598500
2021-01-04,157.24001,157.38,154.13,156.5,10160754
2020-12-31,156.53,157.66,155.11,157.38,5098600
2020-12-30,154.74001,156.38,154.60001,156.05,5412300
2020-12-29,154.11,154.92999,153.8,154.14,5209200
2020-12-28,153.32001,153.87,152.3,153.19,3854438
2020-12-24,152.06,153.02,151.85001,152.47,2291768
2020-12-23,152.8,153.60001,151.89999,151.94,4606000
2020-12-22,152.39999,153.89999,151.86,152.72,4699500
2020-12-21,152.00999,153.41,150.05,153.02,7446308
2020-12-18,153.62,155.10001,151.67,154.515,8006808
2020-12-17,150.08,153.8801,149.955,153.64,7057914
2020-12-16,150.2,150.92,149.55,149.67,8484300
2020-12-15,150.0959,150.74001,149.53,150.60001,5933745
2020-12-14,153.25,153.48,148.99001,149.07001,7750565
2020-12-11,152.47,153.41,151.3112,152.92999,4677993
2020-12-10,152.82001,152.98,151.67999,152.25,7391200
2020-12-09,152.83,153.5,151.75999,153.10001,8433400
2020-12-08,150.17999,152.14,149.5601,151.55,6548628
2020-12-07,149.35001,149.91,148.50999,148.97,5828382
2020-12-04,149.53999,150.31,149.27,150.3,5634843
2020-12-03,148.03999,149.58,147.69,149.0,7306100
2020-12-02,147.85001,149.71001,147.7,148.14,7742800
2020-12-01,146.28999,149.13,145.86,147.45,9738200
2020-11-30,144.23,144.86,143.06,144.67999,15636589
2020-11-27,144.5,144.66,143.22,144.0,3059000
2020-11-25,144.06,144.17,142.86,143.67999,7593000
2020-11-24,144.0,144.75999,143.61,143.87,11034800
2020-11-23,146.00999,146.00999,143.03999,143.87,6981885
2020-11-20,147.05,147.94,146.13,146.36,6354900
2020-11-19,147.3,147.46001,145.59,147.14,7984400
2020-11-18,148.87,149.75999,147.37,147.37,6660200
2020-11-17,150.0,150.63,149.12,149.35001,7296300
2020-11-16,150.92,151.3,149.80098999999998,150.85001,6247357
2020-11-13,149.11,150.41,148.41,149.95,4419870
2020-11-12,147.61,148.64999,146.75,148.3,4710300
2020-11-11,149.17,149.2,146.86,147.8,6379700
2020-11-10,147.25,148.75,146.25999,148.28,7385400
2020-11-09,148.425,148.99001,144.92,146.08,12347675
2020-11-06,140.39999,143.19,139.64999,142.25,5941800
2020-11-05,140.55,141.83,139.25999,139.75999,8013100
2020-11-04,139.49001,142.53999,138.7,139.39999,10261100
2020-11-03,140.02,140.96001,137.78,138.5,6357600
2020-11-02,138.98,139.00999,137.49001,138.69,6895213
2020-10-30,136.67999,137.53999,133.64999,137.11,7364100
2020-10-29,137.83569,138.69901000000002,136.05,137.13,5606900
2020-10-28,141.42999,141.98,138.17999,138.36,8422800
2020-10-27,143.8073,144.28999,142.92,143.14999,3831343
2020-10-26,144.42999,144.77,142.75,143.97,6330755
2020-10-23,145.98,147.47,144.35001,145.31,3370309
2020-10-22,144.16,145.69,143.84,145.08,5279700
2020-10-21,144.12,145.34,143.91,143.92999,5218600
2020-10-20,144.66,145.75,144.12,144.55,5325400
2020-10-19,148.53,148.89999,144.13,144.32001,6853717
2020-10-16,147.60001,148.75999,147.00999,148.10001,6097000
2020-10-15,147.48,147.89999,146.33,147.19,5978600
2020-10-14,148.74001,149.03,147.39,148.10001,6293024
2020-10-13,149.16499,150.12,147.77,148.3,9451673
2020-10-12,151.60001,153.142,151.02,151.84,7201569
2020-10-09,149.49001,151.48,149.44501,150.92999,4077864
2020-10-08,148.64,149.85001,148.07001,148.85001,3365488
2020-10-07,146.49001,148.23,145.81,147.88,5601100
2020-10-06,148.28,148.61,145.87,146.25999,5116300
2020-10-05,147.0,148.38,146.42,148.23,4723062
2020-10-02,146.61,148.41,145.83,146.28999,4261556
2020-10-01,149.42999,149.60001,146.48,147.32001,4788448
2020-09-30,147.45,149.73,146.84,148.88,8483700
2020-09-29,147.60001,147.92,146.06,147.06,4338068
2020-09-28,146.73,148.28999,146.42,147.11,5058745
2020-09-25,144.00999,146.22,143.89,145.71001,4309931
2020-09-24,145.09,145.25,143.345,144.67,4772577
2020-09-23,147.67,147.67,144.38,144.38,6626069
2020-09-22,144.53999,145.35001,143.72,144.22,3421546
2020-09-21,147.55,147.92,142.96001,145.09,5744364
2020-09-18,146.5,149.64999,146.215,149.11,7074377
2020-09-17,148.00999,148.63,146.065,147.10001,4048015
2020-09-16,149.5025,150.05,148.3501,148.42,2850633
2020-09-15,149.405,150.57001,148.52,148.78,2801840
2020-09-14,148.02,149.46001,148.00999,148.32001,3005554
2020-09-11,147.00999,148.52,146.63,147.72,3154712
2020-09-10,149.49001,149.78,146.52,146.91,5022478
2020-09-09,148.33,151.09,148.2,149.7,4451999
2020-09-08,151.09,151.09,146.89999,147.27,6838418
2020-09-04,150.17999,150.95,147.13,148.59,5484355
2020-09-03,154.89,155.47,148.3,149.42999,7023470
2020-09-02,150.81,154.33,149.245,153.78,5541693
2020-09-01,153.86,154.08,150.08,151.52,5067784
