datetime,open,high,low,close,volume
2021-01-29,26.17,26.7,24.21,24.42,12346771
2021-01-28,27.52,27.55,25.99,26.11,8226500
2021-01-27,25.99,27.83,25.88,27.59,12171800
2021-01-26,25.45,26.1,25.41,26.04,5734000
2021-01-25,25.2,25.725,25.15,25.41,4514460
2021-01-22,25.05,25.19,24.77,25.04,5057100
2021-01-21,25.17,25.54,24.9,25.25,5791100
2021-01-20,24.63,25.17,24.51,25.09,4930500
2021-01-19,24.52,24.545,24.17,24.51,4354785
2021-01-15,24.17,24.53,24.01,24.44,4226100
2021-01-14,23.91,24.31,23.84,24.21,4782800
2021-01-13,23.7,23.72,23.22,23.5,5041300
2021-01-12,23.92,24.03,23.65,23.81,3640500
2021-01-11,23.56,23.925,23.45,23.81,4803893
2021-01-08,23.88,24.22,23.79,23.8,4134900
2021-01-07,23.67,24.0,23.55,23.83,4835700
2021-01-06,23.4,23.82,23.14,23.58,4980800
2021-01-05,22.61,23.53,22.61,23.36,5933900
2021-01-04,22.5,22.72,22.385,22.61,5011933
2020-12-31,22.22,22.55,22.11,22.51,2332100
2020-12-30,22.27,22.46,22.12,22.2,8872500
2020-12-29,22.62,22.71,22.09,22.19,2130000
2020-12-28,22.5,22.93,22.43,22.56,1980705
2020-12-24,22.46,22.46,22.22,22.4,758000
2020-12-23,22.34,22.56,22.24,22.34,5707800
2020-12-22,22.53,22.63,22.25,22.37,4291400
2020-12-21,22.31,22.51,21.985,22.49,2863269
2020-12-18,22.28,22.775,22.18,22.69,3289027
2020-12-17,22.29,22.34,22.045,22.22,1860732
2020-12-16,22.28,22.47,22.15,22.17,2630600
2020-12-15,22.25,22.3,21.86,22.3,1812917
2020-12-14,22.11,22.415,22.01,22.08,3624199
2020-12-11,21.42,22.02,21.42,21.925,2986233
2020-12-10,21.74,22.05,21.68,21.97,2604400
2020-12-09,21.78,21.95,21.52,21.9,4608600
2020-12-08,21.64,21.87,21.4,21.73,4680988
2020-12-07,22.07,22.41,21.91,22.11,3009640
2020-12-04,21.675,22.015,21.62,21.975,4087782
2020-12-03,21.63,21.79,21.4,21.63,3784400
2020-12-02,21.84,21.93,21.57,21.64,3491300
2020-12-01,21.83,22.06,21.73,21.89,4551400
2020-11-30,22.0,22.09,21.56,21.77,5323340
2020-11-27,22.14,22.29,21.93,22.21,1237500
2020-11-25,22.29,22.3,21.92,22.04,2242400
2020-11-24,21.98,22.31,21.88,22.29,3085800
2020-11-23,21.68,21.955,21.51,21.91,2773804
2020-11-20,21.92,22.01,21.59,21.63,3318300
2020-11-19,21.75,21.97,21.68,21.94,1950800
2020-11-18,22.15,22.245,21.85,21.85,2361957
2020-11-17,22.2,22.43,22.01,22.21,2476900
2020-11-16,22.11,22.35,21.91,22.34,2990431
2020-11-13,21.44,21.93,21.16,21.84,2739675
2020-11-12,21.45,21.51,21.08,21.32,2254700
2020-11-11,21.64,21.67,21.27,21.51,1631200
2020-11-10,21.39,21.6,21.15,21.48,2362500
2020-11-09,21.39,22.035,21.345,21.42,3953403
2020-11-06,20.5,20.66,20.39,20.59,2135200
2020-11-05,20.43,20.57,20.24,20.51,2160700
2020-11-04,20.28,20.36,19.86,20.04,3628300
2020-11-03,19.89,20.45,19.89,20.1,2606900
2020-11-02,19.96,20.075,19.55,19.67,4303426
2020-10-30,19.68,20.08,19.51,19.72,4795500
2020-10-29,20.42,20.78,19.67,19.69,8224700
2020-10-28,21.86,21.86,20.32,20.48,10052300
2020-10-27,21.79,22.03,21.51,21.85,6148619
2020-10-26,22.12,22.22,21.44,21.89,3189947
2020-10-23,22.4899,22.55,22.16,22.29,2349498
2020-10-22,21.95,22.5,21.8,22.42,5018400
2020-10-21,22.0,22.11,21.74,21.85,1759200
2020-10-20,22.31,22.36,21.92,21.94,1647500
2020-10-19,22.57,22.63,21.97,22.07,1872570
2020-10-16,22.47,22.56,22.24,22.43,1934300
2020-10-15,22.29,22.54,22.16,22.5,1620600
2020-10-14,22.49,22.66,22.4,22.5,1189148
2020-10-13,22.6,22.66,22.28,22.33,1581424
2020-10-12,22.61,22.66,22.29,22.62,2320341
2020-10-09,22.84,22.92,22.52,22.67,1793160
2020-10-08,22.46,22.78,22.44,22.65,3237459
2020-10-07,21.91,22.32,21.89,22.29,2234200
2020-10-06,21.96,22.25,21.68,21.74,2754100
2020-10-05,21.56,22.015,21.5128,21.96,2614252
2020-10-02,21.1,21.425,21.05,21.33,2417705
2020-10-01,21.5,21.59,21.225,21.35,2148914
2020-09-30,21.73,21.77,21.29,21.5,4301600
2020-09-29,22.03,22.13,21.735,21.86,1312143
2020-09-28,21.74,22.02,21.65,21.98,2908079
2020-09-25,21.115,21.47,21.01,21.39,2637808
2020-09-24,21.23,21.545,21.01,21.16,2860705
2020-09-23,22.545,22.55,21.37,21.37,4602712
2020-09-22,22.96,23.0,22.35,22.55,2938589
2020-09-21,23.0,23.18,22.88,22.97,2538713
2020-09-18,23.24,23.42,23.14,23.28,1848022
2020-09-17,22.9,23.44,22.81,23.25,2036476
2020-09-16,23.23,23.56,23.17,23.22,1455822
2020-09-15,23.22,23.28,23.01,23.11,1767689
2020-09-14,23.315,23.315,22.995,23.12,2592328
2020-09-11,22.94,23.18,22.87,23.105,1862290
2020-09-10,23.35,23.49,22.84,22.85,2270412
2020-09-09,22.94,23.43,22.745,23.23,3135546
2020-09-08,22.86,23.22,22.731,22.76,2718405
2020-09-04,23.2,23.46,22.95,23.23,3932513
2020-09-03,23.31,23.71,22.633,23.08,7105072
2020-09-02,24.71,25.04,24.62,24.92,2064489
2020-09-01,24.99,25.08,24.32,24.57,2529113
2020-08-31,24.3,25.0881,24.105,25.0,5295592
2020-08-28,23.82,24.105,23.82,24.07,1711102
2020-08-27,24.2,24.23,23.605,23.86,2036612
2020-08-26,23.98,24.205,23.86,24.11,1664600
2020-08-25,23.83,23.98,23.455,23.84,3404331
2020-08-24,23.67,23.995,23.67,23.84,2005678
2020-08-21,23.68,23.745,23.54,23.615,2278303
2020-08-20,23.73,23.935,23.66,23.69,2216907
2020-08-19,23.95,24.24,23.73,23.83,2152518
2020-08-18,24.37,24.39,23.88,23.97,2657000
2020-08-17,24.82,24.95,24.24,24.31,2444051
2020-08-14,24.86,25.0,24.705,24.815,2175489
2020-08-13,25.06,25.255,24.625,24.94,3942637
2020-08-12,25.72,25.8,25.33,25.43,3073118
2020-08-11,26.14,26.488,25.49,25.52,2855061
2020-08-10,25.97,26.19,25.84,26.04,1523668
2020-08-07,25.725,25.995,25.675,25.94,2311937
2020-08-06,25.59,25.835,25.53,25.78,1460921
2020-08-05,25.605,25.76,25.3,25.63,2205429
2020-08-04,25.3101,25.65,25.3,25.52,1926516
2020-08-03,25.37,25.375,24.85,25.31,2677257
2020-07-31,24.98,25.39,24.63,25.38,2934932
2020-07-30,24.61,24.98,24.52,24.93,1600131
2020-07-29,24.25,25.94,24.25,24.99,5279866
2020-07-28,24.992,24.992,24.09,24.26,5205709
2020-07-27,24.57,25.295,24.46,25.11,2721034
2020-07-24,24.37,24.62,24.2,24.48,2685105
2020-07-23,24.51,24.815,24.41,24.5,1858157
2020-07-22,24.07,24.67,24.07,24.49,1866344
2020-07-21,24.06,24.24,23.8499,24.14,2180441
2020-07-20,23.71,23.955,23.62,23.92,1286172
2020-07-17,23.44,23.82,23.11,23.77,2771452
2020-07-16,23.09,23.2,22.95,23.16,365100
2020-07-15,23.08,23.37,22.99,23.19,296990
2020-07-14,22.52,22.99,22.42,22.93,516331
2020-07-13,22.62,23.02,22.53,22.54,594209
2020-07-10,22.67,22.715,22.31,22.61,470620
2020-07-09,22.32,22.97,22.32,22.74,320780
2020-07-08,22.41,22.435,22.105,22.29,217276
2020-07-07,22.89,22.975,22.43,22.5,601872
2020-07-06,22.9,23.11,22.805,23.09,569843
2020-07-02,22.74,22.83,22.52,22.54,602056
2020-07-01,22.79,22.99,22.535,22.55,2425413
2020-06-30,22.55,22.95,22.55,22.86,3651700
2020-06-29,22.26,22.56,22.125,22.55,2989253
2020-06-26,22.26,22.58,21.93,22.17,3926600
2020-06-25,22.28,22.315,21.805,22.27,730155
2020-06-24,22.62,22.705,22.2,22.39,906125
2020-06-23,23.17,23.41,22.7,22.74,987790
2020-06-22,23.32,23.36,22.96,23.14,932982
2020-06-19,24.06,24.15,23.1,23.26,1169881
