datetime,open,high,low,close,volume
2021-01-29,60.0,60.75,58.791,58.94,4699044
2021-01-28,62.1,62.84,59.9,60.17,3216861
2021-01-27,61.17,63.42,61.0,62.36,6165400
2021-01-26,59.82,60.99,59.12,60.92,2948800
2021-01-25,58.32,60.88,58.18,59.84,4238167
2021-01-22,58.0,58.61,57.51,58.3,2241400
2021-01-21,57.68,57.9,57.25,57.89,2982300
2021-01-20,58.45,58.45,57.04,57.64,5202100
2021-01-19,59.44,59.8,58.0,58.46,3860859
2021-01-15,59.22,59.6,58.51,59.03,5053900
2021-01-14,59.49,59.49,58.74,59.05,5629200
2021-01-13,58.73,59.6,58.25,59.14,2350400
2021-01-12,59.5,59.53,57.85,58.56,3021200
2021-01-11,60.41,60.62,59.28,59.37,2797810
2021-01-08,60.92,61.4,59.51,60.2,3503900
2021-01-07,61.54,61.66,60.77,60.89,2517900
2021-01-06,61.2,61.75,60.89,61.32,2595700
2021-01-05,61.49,61.97,61.26,61.8,1630000
2021-01-04,62.02,62.21,60.95,61.45,3026327
2020-12-31,61.53,62.29,61.33,62.23,1813100
2020-12-30,62.15,62.21,61.45,61.53,1084800
2020-12-29,62.48,63.08,62.01,62.29,1014500
2020-12-28,61.93,62.36,61.8,62.34,909122
2020-12-24,61.58,61.9,61.42,61.78,524800
2020-12-23,61.51,61.98,61.36,61.61,1638500
2020-12-22,61.4,61.51,60.82,61.19,1687500
2020-12-21,61.66,61.68,60.64,61.53,1814478
2020-12-18,62.62,62.77,61.555,62.11,2067509
2020-12-17,61.9,62.72,61.78,62.48,1628338
2020-12-16,61.62,61.98,61.25,61.5,2512200
2020-12-15,62.02,62.12,61.04,61.23,1878585
2020-12-14,62.5,62.85,61.875,61.92,1997376
2020-12-11,61.5228,62.46,61.5228,62.1,1839574
2020-12-10,62.13,62.31,61.69,61.98,2112300
2020-12-09,62.67,62.84,61.56,62.0,3059200
2020-12-08,62.075,62.6,61.76,62.54,2521573
2020-12-07,62.45,62.72,61.77,61.95,2192534
2020-12-04,62.8035,62.835,61.995,62.38,2384437
2020-12-03,62.6,63.07,62.45,63.0,1736200
2020-12-02,63.53,63.82,62.51,62.72,2110500
2020-12-01,63.71,63.97,63.29,63.68,2751100
2020-11-30,62.88,63.92,62.49,63.91,2972372
2020-11-27,63.69,63.77,63.0,63.48,824300
2020-11-25,62.93,64.16,62.83,63.26,2215800
2020-11-24,64.05,64.25,62.42,62.47,3461800
2020-11-23,63.1,64.3,63.1,63.675,2595092
2020-11-20,65.21,65.39,64.49,65.01,1785900
2020-11-19,64.98,65.4,64.39,65.21,1140600
2020-11-18,66.475,66.62,65.0,65.0,978705
2020-11-17,66.21,67.02,65.88,66.32,1250500
2020-11-16,65.46,66.63,65.01,66.58,1599266
2020-11-13,65.52,65.78,65.09,65.77,851200
2020-11-12,65.6,65.67,64.56,65.1,1999300
2020-11-11,64.42,65.67,64.12,65.6,1652300
2020-11-10,62.93,64.26,62.1,64.19,3262900
2020-11-09,64.57,65.05,62.86,62.96,2868028
2020-11-06,64.32,65.13,64.05,64.35,1339400
2020-11-05,64.07,65.21,64.0,64.3,2111200
2020-11-04,64.58,65.2,63.49,63.58,1856600
2020-11-03,64.41,65.49,64.08,64.38,1572700
2020-11-02,63.76,64.5968,63.28,63.94,1876466
2020-10-30,62.8,63.59,62.56,62.89,2532500
2020-10-29,63.78,64.7,62.65,63.08,3469800
2020-10-28,64.5,64.76,63.48,63.49,2557200
2020-10-27,65.2041,65.96,64.89,64.93,1114234
2020-10-26,66.59,66.8,65.41,65.7,1384033
