datetime,open,high,low,close,volume
2021-01-29,17.22,17.44,16.74,16.86,8054277
2021-01-28,17.07,17.43,16.91,17.32,9003200
2021-01-27,17.04,17.15,16.69,16.72,11048800
2021-01-26,17.99,18.08,17.45,17.46,8245100
2021-01-25,18.02,18.025,17.465,17.78,9474201
2021-01-22,17.97,18.34,17.85,18.2,5855800
2021-01-21,18.3,18.88,18.11,18.15,11935000
2021-01-20,18.44,18.48,18.11,18.29,5871200
2021-01-19,18.51,18.575,18.27,18.55,5561246
2021-01-15,18.54,18.74,18.2,18.41,11254100
2021-01-14,18.95,19.22,18.84,18.93,9962800
2021-01-13,18.7,18.88,18.52,18.79,5640300
2021-01-12,18.64,18.96,18.48,18.84,6261700
2021-01-11,18.0,18.5,17.81,18.48,5232053
2021-01-08,18.45,18.47,17.92,18.24,6472500
2021-01-07,18.49,18.81,18.45,18.49,8182400
2021-01-06,17.26,18.31,17.1,18.16,16269600
2021-01-05,16.31,16.76,16.19,16.55,5927700
2021-01-04,16.58,16.58,16.03,16.29,7982451
2020-12-31,16.23,16.44,16.1,16.41,4131200
2020-12-30,16.01,16.32,15.98,16.25,5754700
2020-12-29,16.28,16.31,15.95,15.97,4671800
2020-12-28,16.34,16.52,16.18,16.25,4153860
2020-12-24,16.38,16.4,15.97,16.19,2250900
2020-12-23,15.95,16.42,15.92,16.33,5907100
2020-12-22,15.8,15.93,15.74,15.74,8066400
2020-12-21,15.62,15.92,15.29,15.75,10207001
2020-12-18,15.61,15.6601,15.25,15.41,7532172
2020-12-17,15.73,15.75,15.38,15.58,5320742
2020-12-16,15.77,15.77,15.52,15.76,8904900
2020-12-15,15.43,15.7,15.32,15.69,20970178
2020-12-14,16.13,16.13,15.38,15.43,6720469
2020-12-11,15.92,15.99,15.665,15.84,4869017
2020-12-10,15.98,16.16,15.73,16.08,9879900
2020-12-09,16.2,16.38,15.95,16.05,9309300
2020-12-08,15.75,16.055,15.67,15.96,10796199
