datetime,open,high,low,close,volume
2021-01-29,33.59,34.35,33.265,33.51,6544400
2021-01-28,34.5,34.99,33.94,33.96,6624800
2021-01-27,34.07,35.295,34.07,34.74,7203700
2021-01-26,33.89,34.41,33.835,34.39,4662800
2021-01-25,32.81,33.79,32.74,33.75,6447330
2021-01-22,32.55,33.03,32.432,32.91,4948500
2021-01-21,32.85,32.9,32.38,32.78,5138100
2021-01-20,32.33,32.91,32.17,32.86,6555600
2021-01-19,32.14,32.595,31.8558,32.36,5974499
2021-01-15,31.9,32.29,31.6,31.99,6975000
2021-01-14,32.103,32.3,31.723,32.08,8521800
2021-01-13,32.22,32.35,31.985,32.01,6137000
2021-01-12,32.85,32.98,31.72,32.18,10999400
2021-01-11,33.55,33.665,32.75,32.85,8319354
2021-01-08,33.505,33.65,33.21,33.62,6226300
2021-01-07,34.02,34.058,33.445,33.695,6483100
2021-01-06,33.69,34.2,33.41,33.94,6753900
2021-01-05,34.287,34.42,33.225,33.57,9052900
2021-01-04,34.59,34.675,33.91,34.23,5824099
2020-12-31,34.65,34.715,34.205,34.66,3353000
2020-12-30,34.9,35.03,34.64,34.67,2437500
2020-12-29,35.31,35.36,34.73,34.9,3322600
2020-12-28,35.05,35.41,34.93,35.21,3575963
2020-12-24,34.79,34.98,34.62,34.98,1575900
2020-12-23,34.444,35.04,34.444,34.8,3577500
2020-12-22,34.6,34.81,34.34,34.39,3717100
2020-12-21,34.12,34.66,34.12,34.57,5183451
2020-12-18,34.87,35.3697,34.51,34.77,7079270
2020-12-17,34.66,34.78,34.465,34.62,2790575
2020-12-16,34.42,34.66,34.26,34.43,5738300
2020-12-15,34.42,34.4992,33.92,34.33,3898426
2020-12-14,34.16,34.69,34.14,34.42,5578049
2020-12-11,33.89,34.17,33.8,34.08,2944097
2020-12-10,34.01,34.24,33.88,34.1,4284600
2020-12-09,34.48,34.6,33.975,34.22,5380000
2020-12-08,33.59,34.445,33.495,34.34,5179599
2020-12-07,34.0,34.01,33.45,33.6,4768009
2020-12-04,33.76,34.15,33.65,34.125,4849903
2020-12-03,32.84,33.59,32.8,33.45,4868900
2020-12-02,33.06,33.32,32.75,32.78,4770100
2020-12-01,32.97,33.22,32.77,33.14,4623900
2020-11-30,32.615,32.97,32.465,32.94,5071217
2020-11-27,32.76,33.04,32.62,32.84,2220700
2020-11-25,33.21,33.25,32.5,32.54,6039200
2020-11-24,32.92,33.86,32.72,33.83,8618400
2020-11-23,32.37,32.88,32.2,32.6,7283409
2020-11-20,31.8,32.33,31.75,32.26,9019400
2020-11-19,31.56,31.95,31.4,31.88,6149400
2020-11-18,31.71,32.42,31.54,31.72,5984509
2020-11-17,31.83,31.85,31.325,31.59,5104700
2020-11-16,31.61,32.27,31.415,32.15,6499078
2020-11-13,31.2245,31.62,31.05,31.6,3370827
2020-11-12,31.24,31.39,30.69,31.1,5846000
2020-11-11,30.68,31.38,30.42,31.35,7810300
2020-11-10,30.04,30.55,29.535,30.48,13381800
2020-11-09,32.39,32.56,30.565,30.62,10642146
2020-11-06,31.87,31.99,31.44,31.54,4068600
2020-11-05,31.86,32.36,31.47,31.7,7919900
2020-11-04,32.07,32.49,31.77,31.82,6168100
2020-11-03,31.86,32.5,31.7,31.78,5421600
2020-11-02,31.04,31.94,30.86,31.67,7165113
2020-10-30,30.07,30.69,29.955,30.59,10477700
2020-10-29,29.7,30.45,29.42,30.04,7873700
2020-10-28,30.25,30.35,29.21,29.22,7770700
2020-10-27,30.68,30.92,30.519,30.67,4473182
2020-10-26,31.01,31.19,30.405,30.58,5212420
2020-10-23,31.42,31.6,31.1,31.37,2801558
2020-10-22,31.43,31.61,31.06,31.23,5345700
2020-10-21,31.75,31.9,31.43,31.44,6502300
2020-10-20,32.03,32.32,31.9,31.99,3524600
2020-10-19,32.25,32.37,31.615,31.75,3717212
2020-10-16,32.38,32.62,32.095,32.16,3468100
2020-10-15,31.8,32.32,31.56,32.3,3685400
2020-10-14,32.41,32.87,31.87,32.14,5513807
2020-10-13,31.67,32.46,31.5443,32.41,6004843
2020-10-12,31.43,32.07,31.21,31.65,8796533
2020-10-09,31.29,31.475,31.0,31.11,3298703
2020-10-08,30.9729,31.33,30.9,31.21,3581121
