datetime,open,high,low,close,volume
2021-01-29,287.06,289.20001,279.72,280.07001,1163789
2021-01-28,290.73001,296.73999,288.45001,291.10001,1020800
2021-01-27,297.29999,298.81,283.04999,284.44,1657800
2021-01-26,310.0,310.73999,302.82001,303.54999,832100
2021-01-25,309.39999,312.32999,303.29999,308.89999,955821
2021-01-22,305.29999,309.35999,304.47,305.01001,725000
2021-01-21,307.95999,308.89999,300.42999,305.20001,1063100
2021-01-20,316.92001,317.60001,302.25,304.32999,1019600
2021-01-19,307.84,316.79999,307.84,314.07999,1274958
2021-01-15,303.48999,304.81,296.0,304.13,1606600
2021-01-14,302.82001,315.87,301.91,303.88,2430800
2021-01-13,288.75,293.51999,285.16,290.10001,1154500
2021-01-12,289.0,296.29999,287.0,290.98999,1323500
2021-01-11,281.35001,290.85001,278.01001,289.10999,1009752
2021-01-08,282.22,287.34,279.56,283.17999,1051800
2021-01-07,268.69,279.35001,268.35999,278.19,1011700
2021-01-06,262.45001,270.94,261.81,265.20999,850600
2021-01-05,260.19,266.32001,258.95999,265.79001,1074900
2021-01-04,262.06,270.28,257.70001,260.32999,1252064
2020-12-31,258.07001,259.98999,255.56,258.91,728000
2020-12-30,256.64001,262.37,255.21001,260.14999,641500
2020-12-29,258.04001,258.76001,252.02,254.36,579200
2020-12-28,260.79001,261.5,257.22,257.57999,418505
2020-12-24,254.86,259.07999,254.33,259.07999,323186
2020-12-23,258.45001,258.57001,252.52,252.78999,676400
2020-12-22,259.94,261.0,256.26001,257.59,753400
2020-12-21,258.72,262.04999,258.0,260.76999,1023195
2020-12-18,258.98001,262.88,257.35001,262.20001,988768
2020-12-17,262.88,263.29001,257.70999,259.67999,675361
2020-12-16,261.37,261.51001,257.76001,260.54999,699100
2020-12-15,263.98999,264.67999,259.67499,261.09,488133
2020-12-14,257.47,263.85999,257.47,260.13,1039532
2020-12-11,253.83,257.88,252.28,257.64001,977258
2020-12-10,255.14999,259.12,253.59,255.98,1009700
2020-12-09,266.60999,268.89001,253.84,256.48999,1197100
2020-12-08,267.07999,268.73001,264.69,266.82999,468513
2020-12-07,265.23001,267.92999,262.875,266.70001,693404
2020-12-04,258.14999,264.17001,258.14999,263.70001,545115
2020-12-03,258.64999,261.85001,257.04999,257.39001,518600
2020-12-02,254.78,258.51999,254.27,256.32001,849000
2020-12-01,254.46001,258.72,252.59,256.66,903500
2020-11-30,256.98999,256.98999,248.41499,251.97,1017718
2020-11-27,251.5,256.04001,251.11,254.13,269558
2020-11-25,250.0,251.10001,247.12,248.95,547200
2020-11-24,250.75,251.7,247.8,250.17,750200
2020-11-23,243.28,250.44,242.66,250.24001,720431
2020-11-20,244.31,247.39,242.48,242.57001,583000
2020-11-19,236.12,244.37,236.00999,243.75,716400
2020-11-18,243.61,244.74001,239.95,240.34,832200
2020-11-17,242.45,243.82001,239.7,241.84,1399900
2020-11-16,237.64,242.57001,236.37,241.78,863363
2020-11-13,236.48,240.79939,235.50999,236.07001,724210
2020-11-12,235.13,236.13,231.31,233.25999,895300
2020-11-11,227.21001,234.13,225.7,233.50999,994800
2020-11-10,230.0,232.27,223.13,223.73,1071600
2020-11-09,237.71001,242.6026,231.92999,232.32001,1135000
2020-11-06,228.88,233.28,225.72,231.67999,696000
2020-11-05,222.86,228.92999,222.86,228.10001,1276400
2020-11-04,214.31,221.78,210.59,220.53,1356100
2020-11-03,205.06,212.39999,204.50999,210.88,1188100
2020-11-02,199.8,203.22,198.8205,202.23,801979
2020-10-30,198.5,201.0,195.34,197.17999,1047300
2020-10-29,190.39999,204.08,190.205,201.64999,1051014
2020-10-28,194.52,196.24001,190.48,190.55,1554800
2020-10-27,200.00999,200.49001,197.24001,198.59,531957
2020-10-26,200.64999,202.42,197.03999,198.94,942634
2020-10-23,205.67,206.49001,202.21001,203.16,690276
2020-10-22,205.3,205.95,201.52,203.31,884900
2020-10-21,205.75999,208.86,205.63,206.3,607000
2020-10-20,208.84,209.3,205.06,205.72,607200
2020-10-19,212.34,212.34,206.0,206.81,994563
2020-10-16,214.42999,214.84,207.60001,208.39999,1225900
2020-10-15,209.39,213.86,208.11,213.09,1168500
2020-10-14,220.09,223.52,215.11,215.66,1222315
2020-10-13,215.89999,221.66,214.09,220.00999,768276
2020-10-12,213.96001,215.83,212.60001,214.55,1288985
2020-10-09,210.17999,212.11,208.82001,211.0,957290
2020-10-08,205.5,206.95,204.47,206.78999,967836
2020-10-07,203.0,205.69,201.11,202.89999,1164800
2020-10-06,199.89,205.84,198.67999,199.83,1278700
2020-10-05,193.28,200.0,192.72,199.95,1242321
2020-10-02,192.09,196.32001,190.80499,191.97,850595
2020-10-01,197.62,200.13,195.66,198.89,707598
2020-09-30,192.67,196.46001,191.05,193.74001,1019300
2020-09-29,194.86,195.81,192.60001,193.33,579770
2020-09-28,188.14,193.67999,187.02,193.25,1348816
2020-09-25,183.71001,188.62,181.61,187.89999,732244
2020-09-24,178.08,187.55,178.08,184.53,942602
2020-09-23,184.2,186.25,179.96001,180.78999,882677
2020-09-22,182.81,183.6225,177.53999,183.24001,683888
2020-09-21,178.36,181.22,175.612,181.10001,872337
2020-09-18,181.23,184.47,176.64,178.99001,1103109
2020-09-17,175.17999,180.72,174.99001,180.49001,788225
2020-09-16,183.47,185.19,180.66,180.81,1082070
2020-09-15,179.98,180.92,177.33,180.78,1135284
2020-09-14,176.56,178.5,174.99001,178.08,1038198
2020-09-11,174.87,176.52,171.32001,171.92999,1130900
2020-09-10,175.92,177.35001,172.62,173.23,2229822
2020-09-09,178.12,179.94,172.851,174.46001,2052453
2020-09-08,181.19,182.67,173.825,174.48,2693675
2020-09-04,199.84,200.03,186.78,193.38,2140914
2020-09-03,213.61,214.03999,200.25,201.39999,1474313
2020-09-02,210.67999,216.16,209.0,215.49001,1010796
