datetime,open,high,low,close,volume
2021-01-29,14.32,14.5,14.01,14.08,26310905
2021-01-28,14.93,15.01,14.56,14.69,24457900
2021-01-27,15.1,15.25,14.78,14.82,24697900
2021-01-26,15.37,15.57,15.1,15.22,16012400
2021-01-25,15.25,15.54,15.015,15.26,15890496
2021-01-22,15.03,15.37,14.83,15.32,18000900
2021-01-21,16.0,16.02,15.05,15.26,18790400
2021-01-20,15.57,15.66,15.41,15.59,14200900
2021-01-19,15.6,15.77,15.46,15.55,16735561
2021-01-15,15.52,15.61,15.17,15.49,16154300
2021-01-14,15.4,15.75,15.35,15.64,18074700
2021-01-13,15.23,15.44,15.11,15.31,17989000
2021-01-12,14.63,15.23,14.62,15.21,24208000
2021-01-11,14.21,14.88,14.19,14.74,24659413
2021-01-08,14.6,14.68,14.3,14.49,18578900
2021-01-07,14.43,14.66,14.28,14.6,17183100
2021-01-06,14.1,14.47,14.02,14.36,22178200
2021-01-05,13.68,14.13,13.65,13.9,18596800
2021-01-04,13.75,13.86,13.475,13.56,17131694
2020-12-31,13.53,13.72,13.47,13.67,15013400
2020-12-30,13.56,13.8,13.53,13.57,11569600
2020-12-29,13.74,13.75,13.47,13.57,14815400
2020-12-28,13.87,14.0,13.6,13.64,13602994
2020-12-24,13.855,13.86,13.695,13.83,5510573
2020-12-23,13.94,14.08,13.82,13.83,16007400
2020-12-22,13.98,14.0,13.78,13.78,14876200
2020-12-21,13.98,14.125,13.79,13.99,20340016
2020-12-18,14.295,14.415,14.1,14.21,17648611
2020-12-17,14.59,14.66,14.27,14.31,16997534
2020-12-16,14.75,14.76,14.51,14.6,18689900
2020-12-15,14.42,14.94,14.35,14.78,18828643
2020-12-14,14.86,14.9678,14.19,14.31,23591623
2020-12-11,14.71,14.75,14.52,14.75,12441330
2020-12-10,14.65,14.88,14.6,14.79,24033600
2020-12-09,14.82,14.94,14.42,14.61,23779000
2020-12-08,14.62,14.995,14.62,14.76,16721444
2020-12-07,14.9,14.965,14.57,14.8,16440652
2020-12-04,14.7062,15.1,14.68,14.92,15997929
2020-12-03,14.44,14.66,14.3,14.49,17671200
2020-12-02,14.06,14.55,14.0,14.34,22356700
2020-12-01,14.67,14.68,14.03,14.1,20046100
2020-11-30,14.53,14.675,14.3,14.38,30117328
2020-11-27,14.72,14.86,14.65,14.75,6336200
2020-11-25,14.9,15.05,14.65,14.85,13153800
2020-11-24,14.99,15.12,14.87,14.97,17315200
2020-11-23,14.4,14.67,14.3,14.62,19335113
2020-11-20,14.4,14.42,14.17,14.25,20405300
2020-11-19,13.7,14.4,13.61,14.4,27427700
2020-11-18,14.06,14.225,13.76,13.76,18968856
2020-11-17,13.45,14.05,13.42,14.03,19218900
2020-11-16,13.74,13.82,13.39,13.67,22637588
2020-11-13,12.865,13.22,12.7844,13.13,11952207
2020-11-12,12.9,13.08,12.58,12.71,20115100
2020-11-11,13.07,13.08,12.86,13.03,22493900
2020-11-10,12.47,12.89,12.27,12.89,21221000
2020-11-09,12.34,12.71,12.09,12.3,31337529
2020-11-06,11.91,12.08,11.45,11.48,14254000
2020-11-05,11.83,12.19,11.83,11.9,13626200
2020-11-04,12.11,12.27,11.78,11.83,14328700
2020-11-03,12.04,12.14,11.93,11.99,12182400
2020-11-02,12.03,12.07,11.78,11.89,13366238
2020-10-30,11.75,11.9,11.61,11.9,17063200
2020-10-29,11.78,12.09,11.5,12.06,19840000
2020-10-28,11.98,12.12,11.81,11.83,19957400
2020-10-27,12.33,12.37,12.16,12.17,12135777
2020-10-26,12.67,12.685,12.19,12.38,16123115
2020-10-23,13.0,13.0,12.605,12.77,14663709
2020-10-22,12.5,12.99,12.48,12.96,20769200
2020-10-21,12.6,12.67,12.48,12.53,14610200
2020-10-20,12.8,12.86,12.58,12.68,16344000
2020-10-19,12.9,13.0,12.69,12.71,12732538
2020-10-16,12.99,13.07,12.84,12.86,13081600
2020-10-15,12.81,13.01,12.68,12.99,13602600
2020-10-14,12.65,13.12,12.65,12.965,12949300
2020-10-13,12.72,12.85,12.52,12.61,10463560
2020-10-12,12.85,12.88,12.66,12.78,11906958
2020-10-09,13.2,13.245,12.75,12.825,12298051
2020-10-08,12.74,13.15,12.595,13.13,14230360
2020-10-07,12.28,12.67,12.19,12.59,21460200
2020-10-06,12.73,12.76,12.25,12.27,15545900
2020-10-05,12.43,12.68,12.305,12.6,10446285
2020-10-02,12.07,12.44,12.03,12.3,10864932
2020-10-01,12.19,12.32,12.05,12.24,12492836
2020-09-30,12.56,12.61,12.27,12.33,18563200
2020-09-29,12.59,12.715,12.33,12.45,7475096
2020-09-28,12.58,12.76,12.45,12.61,11146817
2020-09-25,12.29,12.44,12.05,12.365,11624983
2020-09-24,12.23,12.44,11.97,12.28,12587039
2020-09-23,12.87,12.92,12.22,12.23,12253074
2020-09-22,12.885,13.105,12.73,12.79,8687717
2020-09-21,12.91,12.96,12.65,12.87,9329374
2020-09-18,13.21,13.26,13.0201,13.08,10231984
2020-09-17,13.18,13.43,13.08,13.285,10832818
2020-09-16,13.06,13.49,12.96,13.36,12646024
2020-09-15,13.05,13.1561,12.88,12.9,10880176
2020-09-14,12.91,13.15,12.85,13.05,9357748
2020-09-11,12.93,13.055,12.8,12.82,15943608
2020-09-10,13.27,13.29,12.87,12.905,12712098
2020-09-09,13.32,13.52,13.22,13.22,12990056
2020-09-08,13.4,13.5,13.19,13.25,15573140
2020-09-04,13.73,13.82,13.26,13.51,11918474
2020-09-03,13.86,13.98,13.515,13.63,10911205
2020-09-02,13.79,13.97,13.765,13.83,8801274
2020-09-01,13.78,13.96,13.632,13.87,9407437
2020-08-31,14.22,14.22,13.81,13.82,9215428
2020-08-28,13.94,14.21,13.85,14.19,10355737
2020-08-27,13.72,13.93,13.7,13.86,10579004
2020-08-26,14.02,14.02,13.72,13.73,10994086
2020-08-25,14.31,14.325,13.91,13.96,11538830
2020-08-24,14.15,14.38,14.065,14.25,9739208
2020-08-21,14.05,14.13,13.88,14.12,8746048
2020-08-20,14.01,14.175,14.0,14.06,7383341
2020-08-19,14.41,14.47,14.07,14.12,8487850
2020-08-18,14.43,14.61,14.32,14.38,9407027
2020-08-17,14.44,14.47,14.2737,14.44,7375909
2020-08-14,14.21,14.45,14.14,14.28,6412396
2020-08-13,14.42,14.5378,14.195,14.27,10717722
2020-08-12,14.63,14.735,14.41,14.49,9869256
2020-08-11,14.73,14.815,14.375,14.41,15481726
2020-08-10,14.35,14.59,14.34,14.54,10014459
2020-08-07,14.21,14.34,14.06,14.32,8950264
2020-08-06,14.38,14.569,14.2621,14.305,7904728
2020-08-05,14.73,14.74,14.36,14.44,9718812
2020-08-04,14.05,14.515,14.0,14.5,14507812
2020-08-03,14.065,14.21,13.925,14.03,10365137
2020-07-31,14.04,14.115,13.8,14.1,10201088
