datetime,open,high,low,close,volume
2021-01-29,120.045,120.98,116.9,117.28,738891
2021-01-28,121.49,123.53,120.21,121.29,1785600
2021-01-27,125.81,126.2,120.32,121.45,2598100
2021-01-26,121.26,128.58,121.08,127.79,2606100
2021-01-25,119.02,122.11,118.65,120.96,1658454
2021-01-22,119.78,120.48,117.7,118.64,1349600
2021-01-21,122.93,123.7,119.86,120.29,1961200
2021-01-20,117.06,124.91,116.77,122.79,4013700
2021-01-19,108.97,116.7,107.3,116.43,2772035
2021-01-15,105.38,107.0,104.86,106.44,1028800
2021-01-14,105.93,107.23,105.23,106.35,973400
2021-01-13,106.66,108.22,105.44,105.49,1286000
2021-01-12,104.26,106.64,103.86,106.5,1321400
2021-01-11,101.04,104.71,100.88,104.64,1026653
2021-01-08,100.33,103.15,100.33,102.1,1608100
2021-01-07,98.62,100.61,97.43,100.3,1818200
2021-01-06,94.05,98.34,94.05,97.96,1710400
2021-01-05,93.24,94.31,92.36,94.2,1532400
2021-01-04,94.3,94.37,92.13,93.3,1622136
2020-12-31,94.18,95.0,92.89,94.46,1171100
2020-12-30,91.79,94.85,91.75,94.62,1307800
2020-12-29,91.01,92.45,90.3,92.24,1220400
2020-12-28,92.84,92.84,90.8801,91.0,1292224
2020-12-24,93.28,93.47,91.25,92.3,1042300
2020-12-23,92.94,94.01,92.0,93.18,2539300
2020-12-22,96.62,98.83,91.83,92.33,9158500
2020-12-21,97.52,100.68,97.21,100.46,2752490
2020-12-18,99.43,100.44,97.94,98.45,1850844
2020-12-17,98.885,99.9,97.01,99.78,1368765
2020-12-16,96.54,99.55,96.16,99.08,1567900
2020-12-15,92.49,96.34,92.49,96.14,904504
2020-12-14,94.94,95.41,92.3,92.54,1406157
2020-12-11,93.52,94.95,93.39,93.93,596089
2020-12-10,94.24,95.22,93.55,94.34,735800
2020-12-09,92.87,95.09,92.16,94.87,1527100
2020-12-08,95.5,95.766,93.92,94.36,1075061
2020-12-07,96.43,97.3,95.58,96.06,1006412
2020-12-04,96.445,97.06,95.65,96.5,822650
2020-12-03,96.27,97.34,95.65,96.27,882100
2020-12-02,95.47,96.69,93.3,96.47,1413600
2020-12-01,94.43,96.31,93.57,96.14,1301800
2020-11-30,94.91,95.95,92.65,93.48,925116
