datetime,open,high,low,close,volume
2021-01-29,35.66,36.58,34.45,34.5,16928960
2021-01-28,37.68,39.43,34.76,35.38,28533200
2021-01-27,37.07,42.99,37.02,38.75,40039700
2021-01-26,34.51,37.17,34.42,37.07,24961400
2021-01-25,33.5,37.03,33.35,34.57,31245281
2021-01-22,33.39,33.72,32.77,33.56,9456300
2021-01-21,33.01,33.45,32.89,33.21,8579900
2021-01-20,32.94,33.17,32.53,33.07,10877100
2021-01-19,33.7,33.73,33.05,33.62,9645287
2021-01-15,33.15,34.22,32.86,33.7,14722600
2021-01-14,32.07,33.44,31.92,33.14,20644800
2021-01-13,31.58,32.12,31.44,31.99,8671200
2021-01-12,32.02,32.35,31.5,31.52,10566300
2021-01-11,31.59,32.03,31.59,31.76,7986748
2021-01-08,31.87,31.92,31.43,31.63,9173800
2021-01-07,31.75,32.41,31.7,31.82,9476400
2021-01-06,32.04,32.7,32.0,32.21,11869700
2021-01-05,32.01,32.28,31.73,31.9,8999200
2021-01-04,31.77,32.26,31.705,32.13,9568996
2020-12-31,31.59,31.83,31.39,31.76,7088600
2020-12-30,31.53,31.76,31.5,31.55,6711900
2020-12-29,31.33,31.63,31.31,31.46,6463900
2020-12-28,31.6,31.68,31.255,31.39,7026312
2020-12-24,31.37,31.62,31.255,31.53,3150785
2020-12-23,30.88,31.6,30.88,31.39,9507800
2020-12-22,30.75,30.93,30.64,30.89,13974400
2020-12-21,30.65,30.8,30.35,30.8,11629234
2020-12-18,30.95,31.08,30.71,30.86,7108768
2020-12-17,31.06,31.085,30.84,30.99,7970491
2020-12-16,31.17,31.32,30.82,30.97,12654200
2020-12-15,31.39,31.42,31.095,31.19,7645518
2020-12-14,31.32,31.59,31.245,31.3,9449798
2020-12-11,31.23,31.54,31.14,31.34,7916439
2020-12-10,31.15,31.32,30.95,31.21,9032700
2020-12-09,31.34,31.57,31.0,31.21,12963000
2020-12-08,30.96,31.305,30.88,31.3,11256288
2020-12-07,30.59,31.19,30.52,30.95,15886246
2020-12-04,30.92,30.92,30.43,30.58,15953967
2020-12-03,30.89,31.2,30.35,30.88,33194100
2020-12-02,32.9,33.12,32.07,32.29,18363800
2020-12-01,32.82,33.35,32.66,33.01,10814800
2020-11-30,32.7,33.17,32.54,33.0,30901563
2020-11-27,32.51,32.8,32.39,32.43,5265800
2020-11-25,32.58,32.69,32.15,32.32,8671800
2020-11-24,33.18,33.28,32.65,32.69,11293200
2020-11-23,32.31,33.24,32.28,33.03,12655858
2020-11-20,32.77,33.06,32.35,32.44,7789300
2020-11-19,32.19,32.96,32.19,32.76,9112200
2020-11-18,32.1281,32.47,31.97,32.04,5619675
2020-11-17,32.14,32.27,31.54,31.9,11180600
2020-11-16,31.94,32.66,31.61,32.3,10139990
2020-11-13,32.03,32.21,31.835,32.14,5949828
2020-11-12,32.22,32.22,31.57,32.03,9012200
2020-11-11,32.0,32.48,31.68,32.09,9260000
2020-11-10,31.0,31.96,30.92,31.92,10230100
2020-11-09,31.98,32.07,30.47,31.01,20650740
2020-11-06,32.77,33.35,32.69,33.17,7472200
2020-11-05,32.28,32.87,32.06,32.72,7239100
2020-11-04,32.63,32.74,32.03,32.09,9291800
