datetime,open,high,low,close,volume
2021-01-29,205.45,208.46001,201.75999,202.67,846998
2021-01-28,203.22,210.25,201.91,207.98,715700
2021-01-27,208.10001,209.31,198.17999,201.50999,1349200
2021-01-26,219.41,220.23,211.16,211.45,998300
2021-01-25,217.8,218.84,211.17999,218.14999,986992
2021-01-22,219.25999,223.59,215.09,217.58,1857600
2021-01-21,214.88,218.27,210.78,212.99001,904100
2021-01-20,212.36,216.53999,212.36,215.69,538700
2021-01-19,214.06,216.56,211.14,211.66,745313
2021-01-15,211.75,213.63,209.72,212.8,669000
2021-01-14,214.81,215.67,212.11,212.52,402600
2021-01-13,214.41,216.5,213.03999,213.82001,507300
2021-01-12,213.24001,216.0,210.85001,214.14999,765000
2021-01-11,215.28999,218.99001,213.92,214.24001,716924
2021-01-08,216.27,222.63,215.91,216.67,999500
2021-01-07,212.64999,218.5,211.55,215.62,1256200
2021-01-06,204.28,212.28,204.28,210.82001,715700
2021-01-05,200.03,205.10001,200.0,204.05,662600
2021-01-04,205.28,207.23,199.55,200.98,712464
2020-12-31,202.35001,204.53,201.37,204.13,383400
2020-12-30,200.11,202.0,200.11,201.37,638400
2020-12-29,201.17999,203.3,199.52,199.78999,369100
2020-12-28,201.89999,202.75,200.14999,201.09,660164
2020-12-24,199.22,200.27,197.05,199.73,385700
2020-12-23,196.8,200.59,196.38,199.22,840500
2020-12-22,197.06,198.2,195.87,195.97,542500
2020-12-21,194.78999,199.67999,194.32001,197.84,710870
2020-12-18,196.60001,198.49989,194.44,197.42999,683937
2020-12-17,193.50999,198.97,193.5,196.63,798393
2020-12-16,192.08,193.71001,190.91,192.49001,729300
2020-12-15,192.00999,194.47,190.64,192.62,501095
2020-12-14,197.71001,198.19,192.00999,192.02,823861
2020-12-11,193.64,197.375,192.92,196.52,591826
2020-12-10,196.10001,196.17,193.13,194.95,560900
2020-12-09,195.83,197.59,195.28999,196.85001,593400
2020-12-08,193.71001,197.16,193.7,195.44,465791
2020-12-07,193.56,197.06,193.34,195.25,969796
2020-12-04,189.78,194.22,189.2,194.19,669197
2020-12-03,190.0,192.28999,187.38,189.10001,1072100
2020-12-02,188.0,192.55,188.0,189.37,1367700
2020-12-01,187.75,189.59,186.75999,187.10001,622100
2020-11-30,190.69,191.95,185.85001,186.17,988989
2020-11-27,189.99001,190.55,188.52,189.5,382800
2020-11-25,189.56,190.09,186.36,189.60001,806100
2020-11-24,188.0,190.00999,186.14,189.82001,859000
2020-11-23,189.41,190.32001,185.32001,186.24001,898266
2020-11-20,188.59,190.69,186.91,188.45,767100
2020-11-19,187.02,189.78999,185.19,189.06,725200
2020-11-18,191.105,193.035,188.42,188.47,524640
2020-11-17,186.82001,192.74001,185.63,191.57001,1137000
2020-11-16,189.28999,189.67,185.53,188.33,916376
2020-11-13,187.0,189.1861,186.39,187.05,443591
2020-11-12,186.86,188.34,185.19,186.53999,755800
2020-11-11,188.84,189.81,185.36,188.02,694200
2020-11-10,184.17,189.16,175.45,187.78999,1473800
2020-11-09,189.85001,195.5,183.89,184.31,1226169
2020-11-06,183.41,185.27,182.89999,183.42999,477300
2020-11-05,182.21001,185.28,181.63,183.61,662600
2020-11-04,185.0,186.92999,179.06,179.62,1292200
2020-11-03,180.42999,186.14,180.03999,183.52,1135100
2020-11-02,178.95,180.62,176.17999,178.12,680582
2020-10-30,174.0,176.36,173.03999,176.14,630300
2020-10-29,172.75999,178.50999,171.83,175.21001,814100
2020-10-28,172.96001,175.12,171.89,173.25999,899800
2020-10-27,180.5972,180.5972,175.28,176.38,744353
2020-10-26,181.94,182.32001,177.63,179.78999,1112889
2020-10-23,182.72,185.80499,182.67999,184.5,525729
2020-10-22,182.34,185.25,180.5,182.3,945500
2020-10-21,180.86,184.98,180.86,182.08,897800
2020-10-20,180.72,185.57001,180.50999,181.86,674000
2020-10-19,180.55,186.44,178.88,179.59,1391803
2020-10-16,183.72,185.95,178.36,179.00999,2184300
2020-10-15,182.82001,184.67999,182.13,184.00999,716300
2020-10-14,184.03,184.83,182.53999,184.47,462706
2020-10-13,183.71001,185.00999,180.67,182.87,518959
2020-10-12,186.91,188.61,183.23,183.53999,826996
2020-10-09,185.56,187.14999,183.67,186.69,535065
2020-10-08,184.81,185.25,183.57001,184.06,438103
2020-10-07,180.36,184.81,180.22,183.38,733600
2020-10-06,182.95,182.95,178.95,179.60001,1045800
2020-10-05,182.25999,183.105,179.59,181.17,943724
2020-10-02,177.21001,183.705,176.53,180.92999,985043
2020-10-01,180.78999,183.78,178.515,179.44,724103
2020-09-30,184.14999,185.28,180.08,180.83,866000
2020-09-29,184.83,185.67,182.73,182.77,369601
2020-09-28,185.25,186.52,182.095,184.88,499587
2020-09-25,181.44,185.10001,181.44,183.5,431529
2020-09-24,180.12,184.97,178.625,182.67999,470369
2020-09-23,183.345,184.58,179.795,180.60001,492834
2020-09-22,180.64,182.30499,179.78999,181.11,417738
2020-09-21,179.36,180.8399,175.41,180.5,856262
2020-09-18,184.92999,184.94,181.8925,182.99001,881719
2020-09-17,184.53,186.92,183.32001,184.55,716093
2020-09-16,189.42999,189.58,186.00999,186.85001,521354
2020-09-15,187.245,188.619,186.53,187.39999,455372
2020-09-14,188.05,188.05,185.1395,187.23,574608
2020-09-11,185.46001,187.47,184.87,186.05,965284
2020-09-10,184.17,187.09,182.44,185.17,1603229
2020-09-09,186.47,200.0,184.81,185.44,1213532
2020-09-08,187.92,187.92,183.14,185.31,816293
2020-09-04,189.92999,190.67999,184.8,188.0,828292
2020-09-03,194.67,194.67,186.11,188.63,1305878
2020-09-02,184.48,199.0,183.89,193.78,2348368
2020-09-01,182.12,184.42,181.5782,184.31,552944
2020-08-31,184.34,184.645,180.92,182.03999,568420
2020-08-28,182.83,184.53999,180.58,184.24001,506939
2020-08-27,183.86,186.11,182.28999,182.48,438459
2020-08-26,182.59,184.9418,182.11,183.17999,530308
2020-08-25,184.0,184.49001,182.05499,183.89999,374586
2020-08-24,183.39,183.75,181.53999,183.59,350354
2020-08-21,180.62,183.8,180.62,182.78,638619
2020-08-20,179.99001,182.07001,178.56,180.81,354190
2020-08-19,182.67,183.765,180.58,180.75,683715
2020-08-18,185.46001,185.46001,181.62,182.353,549978
2020-08-17,183.455,186.58501,182.42,184.55,492514
2020-08-14,182.395,185.25999,182.395,183.94,567803
2020-08-13,183.98,184.75,181.75999,183.11,723194
2020-08-12,186.39,187.8,183.55,184.03,896652
2020-08-11,185.86,187.45,184.03,184.48,975088
2020-08-10,187.94,188.34,182.325,184.45,1110793
2020-08-07,184.825,189.39999,183.12,187.05,1165612
2020-08-06,176.59,195.47,176.09,185.32001,3559704
2020-08-05,171.92,176.83,171.91,176.7,869981
2020-08-04,175.86501,176.57001,170.42,172.78999,1432703
2020-08-03,177.41,178.67999,173.00999,176.60001,2783257
2020-07-31,155.71001,184.16,152.17999,171.82001,3945196
2020-07-30,156.82001,157.81,155.03999,156.61,669067
2020-07-29,155.71001,159.23,155.71001,158.88,472758
2020-07-28,156.41,156.53,154.12,154.74001,445496
2020-07-27,154.64,157.78999,153.92999,156.49001,501755
2020-07-24,155.25,156.89,154.3,154.74001,518406
2020-07-23,156.25,156.61,154.14,155.11501,587849
2020-07-22,155.99001,158.10001,155.74001,156.35001,487803
2020-07-21,157.39999,158.3399,155.45,156.07001,592689
2020-07-20,160.12,160.42,153.83,156.00999,961493
2020-07-17,161.37,163.53,155.77,160.38,996945
2020-07-16,155.22,158.85001,154.905,158.57001,240286
2020-07-15,155.715,156.28,153.12,155.74001,123288
2020-07-14,147.44501,153.58,147.10001,152.89999,114664
2020-07-13,144.78999,150.03,144.78999,147.94,153293
2020-07-10,142.02991,144.83,142.02991,143.74001,131879
2020-07-09,146.34,146.34,142.41499,142.85001,155716
2020-07-08,145.14999,147.25,144.69,146.89999,159823
2020-07-07,146.96001,148.66,144.815,145.14999,184640
2020-07-06,149.32001,150.50999,147.53,148.58,145186
2020-07-02,147.21001,149.28999,146.2039,147.25,118739
2020-07-01,149.91,151.24001,144.14999,144.60001,1245330
2020-06-30,147.42,150.03,146.75,149.28999,709057
2020-06-29,146.94,148.66,144.59,147.64,849978
2020-06-26,147.16,148.62,145.41,145.71001,1495492
2020-06-25,142.28999,147.46001,140.86,147.46001,282251
2020-06-24,146.02,146.205,141.46001,142.60001,248317
2020-06-23,143.5,150.62,143.5,147.64999,499893
2020-06-22,143.46001,146.03999,141.72,145.58,191169
2020-06-19,147.46001,147.46001,142.45,144.21001,374889
2020-06-18,146.22,146.95,144.53999,144.97,256611
2020-06-17,149.235,149.50999,146.71001,147.24001,219436
2020-06-16,152.82001,153.67,147.765,148.63,195225
2020-06-15,143.89999,149.28999,140.00999,148.10001,189667
2020-06-12,151.03,151.2,143.89999,147.25,197259
2020-06-11,151.05,151.92999,145.19,145.60001,258556
2020-06-10,158.2,158.61,155.19,157.16,231745
