datetime,open,high,low,close,volume
2021-01-29,41.28,41.97,39.31,40.76,5345470
2021-01-28,38.7,42.32,38.0,41.43,15714900
2021-01-27,40.0,41.0,36.1,37.54,16871900
2021-01-26,45.34,45.87,42.9,43.0,5126100
2021-01-25,45.28,45.98,40.43,43.93,7602676
2021-01-22,46.14,46.25,44.7,45.28,2765900
2021-01-21,45.67,46.76,45.29,45.9,2220000
2021-01-20,45.38,46.39,45.28,45.56,1569100
2021-01-19,45.56,46.245,45.02,45.73,2719296
2021-01-15,44.7,45.68,43.88,45.2,3952900
2021-01-14,46.95,47.9,44.72,44.98,5032400
2021-01-13,47.01,47.14,45.84,46.16,3824600
2021-01-12,47.45,48.3,47.0,47.29,5730300
2021-01-11,46.22,47.53,45.95,46.91,2840738
2021-01-08,46.17,47.77,45.61,46.75,3125200
2021-01-07,43.97,47.28,43.94,46.17,5681900
2021-01-06,40.75,43.86,40.75,43.55,5160800
2021-01-05,39.59,40.73,39.31,40.43,4653400
2021-01-04,38.05,40.62,37.8,39.6,6412516
2020-12-31,37.95,38.05,37.14,37.19,2515400
2020-12-30,37.75,38.63,37.4,38.03,2425700
2020-12-29,38.72,38.72,36.94,37.59,3250200
2020-12-28,39.07,39.68,38.76,38.82,1980545
2020-12-24,39.25,39.25,38.23,38.96,1045300
2020-12-23,37.94,39.34,37.69,39.19,2441200
2020-12-22,38.6,38.79,37.6,38.0,3199700
2020-12-21,37.83,39.08,37.56,38.66,1990374
2020-12-18,39.08,39.27,38.07,38.605,2526145
2020-12-17,39.1,39.19,37.98,39.18,1947890
2020-12-16,39.38,39.69,38.39,38.7,1830400
2020-12-15,38.655,39.32,38.34,39.31,1843648
2020-12-14,40.04,40.04,37.835,38.2,6232617
2020-12-11,41.01,41.105,39.36,39.56,2612524
2020-12-10,41.05,41.46,40.6,41.02,2364700
2020-12-09,40.99,42.17,40.64,41.58,3562400
2020-12-08,40.2,41.235,39.9,40.95,2855469
2020-12-07,38.24,40.58,38.21,40.24,4041618
2020-12-04,38.375,38.395,36.51,38.26,3570992
2020-12-03,38.55,38.73,37.52,38.35,4120900
2020-12-02,38.59,39.99,37.94,38.67,3729800
2020-12-01,39.28,39.57,38.24,38.9,3458700
2020-11-30,38.56,38.88,37.66,38.81,3724190
2020-11-27,38.75,39.08,37.73,38.84,2950500
2020-11-25,38.75,39.39,38.24,38.95,3686900
2020-11-24,40.44,40.56,38.76,39.69,4153300
2020-11-23,40.5,40.82,39.44,39.98,5469505
2020-11-20,39.75,40.79,38.9,39.97,7190000
2020-11-19,39.34,39.95,37.6,39.55,15708700
2020-11-18,35.49,35.92,33.59,33.71,6478183
2020-11-17,34.5,35.6,34.12,35.45,5137800
2020-11-16,35.02,35.1,34.2,34.76,3795447
2020-11-13,33.58,34.65,33.58,34.34,4642150
2020-11-12,34.05,34.17,32.74,33.06,2833200
2020-11-11,34.24,34.49,33.26,34.14,2896600
2020-11-10,32.82,34.05,32.41,34.05,3301400
2020-11-09,35.16,35.25,32.45,32.52,5425297
2020-11-06,34.18,34.74,32.97,33.32,2618500
2020-11-05,34.01,34.45,33.41,34.04,2242000
2020-11-04,33.23,34.68,32.94,33.7,3238600
2020-11-03,33.35,33.94,32.93,33.73,2352400
2020-11-02,32.31,33.54,32.19,33.02,2648672
2020-10-30,32.77,33.13,31.75,32.01,2524800
2020-10-29,32.36,33.24,32.03,32.87,1972300
2020-10-28,32.68,33.07,32.16,32.27,1807900
2020-10-27,34.2547,34.63,33.3186,33.59,1396266
2020-10-26,33.86,34.51,33.6358,34.16,2576209
2020-10-23,34.0,34.7882,33.37,34.77,2563485
2020-10-22,32.35,34.12,31.83,33.9,3843000
2020-10-21,33.08,33.2,31.96,32.18,3441900
2020-10-20,33.39,34.13,33.05,33.06,4066200
2020-10-19,34.8,35.41,32.855,33.13,6986783
2020-10-16,33.7,33.99,33.28,33.3,3413700
2020-10-15,31.55,33.7,31.42,33.61,5358700
2020-10-14,32.34,32.47,31.27,31.98,3920714
2020-10-13,32.05,32.74,31.62,31.93,3270296
2020-10-12,32.37,33.09,31.71,32.05,4323791
2020-10-09,33.0,33.05,31.8,32.26,3618233
2020-10-08,33.56,33.66,32.38,32.57,5491835
2020-10-07,33.01,33.39,32.58,32.99,3258800
2020-10-06,33.42,33.57,32.24,32.3,3215600
2020-10-05,33.35,33.48,32.48,33.21,2781037
2020-10-02,32.1,33.43,32.02,33.13,2532826
2020-10-01,32.17,33.46,32.05,33.21,5450226
2020-09-30,31.64,33.12,31.3,31.81,6068300
2020-09-29,31.38,31.38,30.265,30.36,4527148
2020-09-28,31.1,31.78,30.7,31.53,3951608
2020-09-25,29.53,30.51,29.4001,30.35,7211001
2020-09-24,29.61,30.34,28.48,29.61,4430099
2020-09-23,30.88,31.62,30.01,30.095,3347478
2020-09-22,29.53,30.755,29.38,30.55,3394620
2020-09-21,29.47,29.86,28.53,29.45,3649712
2020-09-18,30.3,30.63,29.745,30.16,3640644
2020-09-17,29.25,30.86,29.15,30.31,4090057
2020-09-16,29.25,30.29,28.8404,29.84,3330291
2020-09-15,29.48,29.64,28.53,28.98,2660988
2020-09-14,28.41,29.12,28.35,29.04,3165090
2020-09-11,28.03,28.29,27.54,28.01,3135534
