datetime,open,high,low,close,volume
2021-01-29,107.47,108.45,105.905,106.06,957994
2021-01-28,111.79,112.74,108.27,108.56,772500
2021-01-27,110.11,112.28,109.33,111.37,896000
2021-01-26,113.36,113.63,111.78,111.78,416400
2021-01-25,111.81,113.75,110.89,112.7,773142
2021-01-22,109.0,112.57,108.52,112.05,726700
2021-01-21,109.33,110.5,108.68,109.31,555500
2021-01-20,109.36,110.53,108.51,109.64,491500
2021-01-19,107.9,111.6,107.665,109.09,844436
2021-01-15,105.92,107.63,105.32,107.16,604900
2021-01-14,105.49,108.22,104.67,106.27,613000
2021-01-13,105.57,106.55,104.5,105.59,667800
2021-01-12,103.61,105.53,102.95,105.38,582400
2021-01-11,105.5,106.28,103.78,103.99,437877
2021-01-08,104.42,105.84,103.62,104.66,582700
2021-01-07,103.82,104.62,103.11,104.18,700300
2021-01-06,102.02,105.15,101.68,103.99,1126600
2021-01-05,102.5,103.27,101.11,102.49,698000
2021-01-04,105.05,105.38,101.7,102.44,645348
2020-12-31,103.85,105.23,103.27,105.12,344300
2020-12-30,103.67,104.99,103.67,103.98,285100
2020-12-29,105.42,105.55,103.47,103.59,371700
2020-12-28,104.91,105.41,103.86,104.78,392053
2020-12-24,105.09,105.12,103.4,104.24,198200
2020-12-23,103.05,105.36,103.05,104.61,638400
2020-12-22,102.65,103.22,101.34,102.35,807300
2020-12-21,104.23,104.36,101.59,103.13,723160
2020-12-18,104.74,106.667,104.17,105.67,947480
2020-12-17,105.14,105.71,104.15,104.76,640733
2020-12-16,105.3,106.64,104.76,105.09,958600
2020-12-15,104.18,104.87,103.1,104.84,612883
2020-12-14,105.49,106.66,104.13,104.13,784322
2020-12-11,104.54,106.57,103.55,105.42,705346
2020-12-10,103.2,105.43,103.2,104.82,1009200
2020-12-09,103.96,104.5,102.88,104.11,698100
2020-12-08,102.95,104.215,102.95,103.94,428214
2020-12-07,103.78,104.7,103.31,103.5,563924
2020-12-04,103.0,104.88,102.81,104.83,298390
2020-12-03,102.5,103.5,101.69,102.89,792600
2020-12-02,101.53,103.13,101.06,103.1,516700
2020-12-01,101.14,102.65,100.55,101.64,920200
2020-11-30,101.68,101.71,100.22,100.7,1776369
2020-11-27,102.34,103.18,102.05,102.28,282800
2020-11-25,102.8,102.99,101.12,102.64,527300
2020-11-24,102.68,103.52,101.97,102.57,705200
2020-11-23,100.28,102.591,99.9146,102.38,714458
2020-11-20,100.39,101.76,98.87,100.37,1032300
2020-11-19,99.34,100.59,98.52,100.34,864100
2020-11-18,100.16,102.53,99.28,99.53,1090000
2020-11-17,99.77,100.76,97.88,100.28,1464900
2020-11-16,99.2,100.91,98.86,100.63,1267731
2020-11-13,94.975,98.66,94.975,98.47,598124
2020-11-12,94.37,94.79,93.42,94.16,625100
2020-11-11,95.58,96.25,94.01,94.99,588600
2020-11-10,94.43,96.05,93.92,94.94,647700
2020-11-09,94.37,97.5,94.065,94.63,1027945
2020-11-06,90.91,90.91,89.1,90.47,809400
2020-11-05,92.95,93.35,91.23,91.4,1049800
2020-11-04,88.69,93.7,88.69,92.32,1806300
2020-11-03,86.13,88.48,85.98,87.96,1042700
2020-11-02,84.95,87.43,84.16,85.73,1297271
2020-10-30,81.28,83.37,81.28,83.0,1480200
2020-10-29,79.21,81.65,79.21,81.24,832281
2020-10-28,81.18,81.63,79.15,79.34,727000
2020-10-27,83.7,83.88,82.25,82.64,486863
