datetime,open,high,low,close,volume
2021-01-29,83.78,84.18,81.95,83.15,3132424
2021-01-28,84.0,85.5,83.5,84.31,2638500
2021-01-27,84.92,87.84,83.6,85.04,2994400
2021-01-26,87.44,88.96,85.1,86.01,3066800
2021-01-25,85.7,87.57,85.45,86.67,3998835
2021-01-22,83.02,84.66,81.87,84.62,2491100
2021-01-21,82.98,85.75,82.74,83.6,2919700
2021-01-20,78.79,83.94,78.32,82.53,3757000
2021-01-19,77.0,78.63,76.59,78.24,2423318
2021-01-15,74.85,77.02,74.7,76.59,2252700
2021-01-14,76.6,77.01,74.87,75.01,1969200
2021-01-13,77.45,79.63,76.11,76.34,2847700
2021-01-12,76.01,76.69,74.7,76.59,2764400
2021-01-11,72.65,76.29,72.385,75.88,3302860
2021-01-08,75.88,76.08,73.06,73.39,2484800
2021-01-07,73.58,76.15,73.41,75.69,2481100
2021-01-06,72.29,73.45,71.52,73.29,3348300
2021-01-05,73.53,74.59,72.86,73.71,2518400
2021-01-04,76.68,77.0,72.76,74.27,4028870
2020-12-31,77.75,77.83,76.1,76.23,1606100
2020-12-30,78.3,79.2,77.88,78.03,1127500
2020-12-29,79.0,79.35,77.33,77.95,1360200
2020-12-28,80.83,80.99,77.98,78.34,1561199
2020-12-24,78.655,80.5,77.83,80.43,1037090
2020-12-23,80.13,80.52,78.17,78.57,1982800
2020-12-22,79.52,80.66,78.9,80.34,2182800
2020-12-21,79.63,80.7572,78.14,79.51,2792897
2020-12-18,80.64,82.55,79.7852,80.92,4650189
2020-12-17,77.015,81.8,77.0,79.92,6114494
2020-12-16,74.07,74.84,73.16,74.29,3704600
2020-12-15,75.39,76.06,73.61,73.82,2537446
2020-12-14,73.95,75.62,73.61,74.68,3088174
2020-12-11,72.75,73.85,72.23,72.77,1651433
2020-12-10,71.62,73.05,71.23,72.29,2217900
2020-12-09,72.9,72.97,71.25,72.39,3841700
2020-12-08,75.675,75.675,71.8653,72.5,2974664
2020-12-07,74.18,76.4448,73.31,76.33,2145420
2020-12-04,74.66,75.205,73.37,73.88,2574938
2020-12-03,71.53,75.58,71.53,75.42,3528300
2020-12-02,73.25,73.5,70.97,71.2,3164000
2020-12-01,76.65,76.87,72.99,73.23,3370600
2020-11-30,77.19,77.56,74.85,75.86,2069612
2020-11-27,76.94,78.62,76.75,77.71,786000
2020-11-25,76.72,77.6,75.64,77.04,1538400
2020-11-24,78.73,78.95,76.26,76.53,2134300
2020-11-23,75.93,78.75,75.895,78.23,2075778
2020-11-20,76.83,77.46,75.69,75.76,1559600
