datetime,open,high,low,close,volume
2021-01-29,36.26,36.62,34.99,35.09,2268242
2021-01-28,36.08,37.13,35.92,36.37,2325100
2021-01-27,36.33,36.33,34.79,35.69,2474000
2021-01-26,37.63,37.63,36.67,36.75,1028400
2021-01-25,37.2428,37.41,35.9975,37.07,1482247
2021-01-22,37.49,37.49,36.73,37.15,1178100
2021-01-21,37.52,37.78,37.15,37.61,2412900
2021-01-20,37.3,37.79,36.91,37.6,1719900
2021-01-19,37.8,38.2622,36.97,37.15,1623820
2021-01-15,38.74,38.9,37.69,37.85,2022500
2021-01-14,39.55,39.71,38.99,39.07,1482700
2021-01-13,39.52,39.7,38.99,39.36,1640800
2021-01-12,38.07,40.04,37.81,39.82,2611400
2021-01-11,37.99,38.49,37.67,37.96,1434806
2021-01-08,38.16,38.53,37.8,38.39,1833700
2021-01-07,37.09,38.25,36.9,38.15,3692500
2021-01-06,35.64,37.61,35.61,37.1,2112900
2021-01-05,34.8,35.56,34.55,35.19,3050000
2021-01-04,35.44,35.85,34.11,34.72,2244519
2020-12-31,35.5,35.5,34.89,35.24,1542200
2020-12-30,35.42,35.96,34.79,35.37,2829700
2020-12-29,36.74,36.74,35.24,35.34,1812400
2020-12-28,36.52,36.95,36.185,36.25,846411
2020-12-24,36.4,36.4,35.84,36.26,334600
2020-12-23,36.27,36.52,36.06,36.25,1258900
2020-12-22,35.88,36.36,35.45,35.98,1520900
2020-12-21,35.42,35.975,34.7895,35.92,1344320
2020-12-18,36.96,37.15,35.93,36.12,1196436
2020-12-17,37.23,37.27,36.62,37.11,1177171
2020-12-16,37.45,37.59,37.0,37.12,980000
2020-12-15,36.8,37.29,36.33,37.25,714963
2020-12-14,37.02,37.56,36.53,36.61,1375457
2020-12-11,36.17,36.75,36.08,36.7,1127768
2020-12-10,36.84,37.01,36.28,36.57,1115600
2020-12-09,37.22,37.63,36.92,37.21,1264500
2020-12-08,36.76,37.17,36.635,36.93,1543594
2020-12-07,36.92,37.1,36.4,37.09,1059195
2020-12-04,36.45,37.1,36.12,37.08,1201178
2020-12-03,36.01,36.58,35.66,36.18,1589400
2020-12-02,36.1,36.1,35.17,35.84,1331200
2020-12-01,35.76,36.47,35.53,36.14,1730200
2020-11-30,35.62,35.7084,34.982,35.22,2505849
2020-11-27,36.26,36.71,35.43,35.98,732700
2020-11-25,36.62,36.62,36.07,36.22,1101100
2020-11-24,36.42,37.4,35.99,36.8,2002100
2020-11-23,35.48,35.89,35.21,35.85,1106358
2020-11-20,35.26,35.46,34.98,35.08,2241000
2020-11-19,35.47,35.7,34.67,35.33,1639200
2020-11-18,36.5,36.905,35.66,35.67,1324135
2020-11-17,36.28,36.61,35.54,36.49,1853400
2020-11-16,36.73,36.88,35.83,36.8,1204200
2020-11-13,35.33,36.11,35.33,36.03,1291781
2020-11-12,35.86,35.88,34.41,34.86,2021000
2020-11-11,37.0,37.0,35.59,35.8,1737000
2020-11-10,35.55,37.28,35.32,37.01,3535500
2020-11-09,35.3,38.38,35.3,35.44,3260219
2020-11-06,35.0,35.0,33.81,33.96,1352700
2020-11-05,33.91,35.0,33.83,34.84,1202600
2020-11-04,34.01,34.27,33.34,33.36,1715800
2020-11-03,33.63,34.57,33.17,34.39,2487400
2020-11-02,32.49,33.12,32.19,32.945,2127762
2020-10-30,31.24,32.25,31.0,31.99,2905200
2020-10-29,30.45,31.97,30.36,31.68,3233300
2020-10-28,30.23,30.56,29.6,29.77,3551400
2020-10-27,31.4246,31.575,30.835,30.9,2914037
2020-10-26,32.47,32.49,31.3175,31.72,1865462
2020-10-23,32.38,32.9,32.32,32.88,1218049
2020-10-22,31.98,32.33,31.67,32.23,1877600
2020-10-21,31.96,32.59,31.87,32.1,2564700
2020-10-20,32.0,32.56,31.86,32.06,1759000
2020-10-19,32.05,32.35,31.29,31.47,2212526
2020-10-16,31.55,31.98,31.34,31.89,1808400
2020-10-15,30.56,31.86,30.41,31.8,2009600
2020-10-14,30.96,31.47,30.88,30.96,1330349
2020-10-13,30.75,31.26,30.51,30.95,2199884
2020-10-12,30.7,30.88,30.38,30.85,1253291
2020-10-09,31.22,31.25,30.5,30.52,1249012
2020-10-08,30.699,30.78,30.12,30.71,1327738
2020-10-07,29.82,30.65,29.82,30.32,2004500
2020-10-06,29.61,30.48,29.4,29.46,2529200
2020-10-05,28.79,29.61,28.66,29.53,1758789
2020-10-02,27.37,28.67,27.28,28.51,1435973
2020-10-01,27.81,28.34,27.58,28.0,1706218
2020-09-30,27.8,28.07,27.46,27.73,3653300
2020-09-29,28.24,28.25,27.62,27.65,1081664
2020-09-28,27.74,28.49,27.65,28.26,1897585
2020-09-25,26.96,27.3,26.74,27.08,0
2020-09-24,27.86,27.89,27.07,27.2,0
2020-09-23,28.58,28.84,27.88,27.89,0
2020-09-22,29.32,29.4,28.17,28.48,0
2020-09-21,30.15,30.27,28.725,28.92,2920461
2020-09-18,31.47,32.1325,30.9,31.03,1129725
2020-09-17,31.09,31.66,30.82,31.61,1062641
2020-09-16,32.1,32.13,31.42,31.65,1199650
2020-09-15,32.33,32.53,31.64,31.85,3978600
2020-09-14,32.39,32.44,31.77,32.34,1518252
2020-09-11,32.07,32.68,31.84,32.16,1153066
2020-09-10,32.02,32.02,30.99,31.29,2740472
2020-09-09,32.24,32.38,31.68,31.74,1708333
2020-09-08,31.39,32.78,31.3,32.12,1789825
2020-09-04,31.99,32.175,31.17,31.8,870713
2020-09-03,33.41,33.42,31.41,31.61,1195045
2020-09-02,32.2,33.23,31.96,33.19,1165177
2020-09-01,31.43,31.85,31.12,31.82,1213907
2020-08-31,32.41,32.56,31.65,31.71,1055993
2020-08-28,31.975,32.63,31.74,32.62,1122890
2020-08-27,31.92,32.27,31.72,31.76,968675
2020-08-26,31.6258,31.96,31.57,31.86,902661
2020-08-25,31.63,31.93,31.19,31.74,906997
2020-08-24,31.17,31.69,31.04,31.65,609767
2020-08-21,30.72,31.01,30.59,30.92,919837
2020-08-20,31.16,31.2,30.85,30.95,903848
2020-08-19,30.95,31.59,30.86,31.34,684913
2020-08-18,31.36,31.48,31.02,31.05,754063
2020-08-17,31.5,31.77,31.23,31.33,887637
2020-08-14,31.27,31.72,30.89,31.49,571119
2020-08-13,31.88,32.26,31.21,31.33,849338
2020-08-12,32.0,32.69,31.46,32.31,2615007
2020-08-11,31.05,31.79,31.05,31.46,3331900
2020-08-10,30.22,30.92,30.18,30.76,565910
2020-08-07,29.79,30.19,29.79,30.14,742495
2020-08-06,29.72,30.21,29.72,30.05,1634824
2020-08-05,28.92,30.16,28.74,30.01,1901301
2020-08-04,28.88,29.06,28.645,28.8,1080436
2020-08-03,28.13,28.79,27.89,28.67,1932346
2020-07-31,29.21,29.21,27.67,28.19,1385662
2020-07-30,28.19,29.62,27.48,29.21,2742147
2020-07-29,27.5,28.42,27.43,28.38,962447
2020-07-28,27.46,27.73,27.33,27.41,880311
2020-07-27,28.26,28.26,27.29,27.73,1265841
2020-07-24,28.12,28.38,27.76,27.96,1247528
2020-07-23,28.75,28.76,27.97,28.18,1650256
2020-07-22,27.92,28.7,27.75,28.51,810255
2020-07-21,27.79,28.39,27.79,27.95,289736
2020-07-20,28.13,28.31,27.505,27.64,122485
2020-07-17,28.42,28.77,27.96,28.49,3004900
2020-07-16,28.04,28.62,28.04,28.45,810
2020-07-15,26.81,28.7,26.31,28.47,3860200
2020-07-14,25.43,26.01,25.27,26.0,0
2020-07-13,25.9,26.48,25.54,25.7,0
2020-07-10,25.64,25.83,25.4,25.66,0
2020-07-09,25.83,25.86,25.0,25.45,0
2020-07-08,25.64,25.97,25.37,25.69,7684
2020-07-07,25.57,25.94,25.51,25.58,15786
2020-07-06,26.59,26.59,25.61,25.94,29209
2020-07-02,25.82,26.6,25.54,25.9,0
2020-07-01,26.15,26.28,24.96,25.08,2814620
2020-06-30,25.8,26.3725,25.4525,26.2,1826290
2020-06-29,25.25,25.93,24.81,25.83,1824571
2020-06-26,25.275,25.275,24.74,24.745,1238421
2020-06-25,24.59,25.24,24.35,25.2,1812742
2020-06-24,26.005,26.005,24.72,24.77,553301
2020-06-23,27.0804,27.0804,25.96,26.46,457814
2020-06-22,25.62,26.26,25.16,26.13,673974
2020-06-19,26.41,26.92,25.82,25.91,613701
2020-06-18,26.31,26.83,25.9,25.99,870830
2020-06-17,27.79,27.905,26.64,26.91,719804
2020-06-16,28.37,28.49,27.06,27.91,583614
2020-06-15,24.769,27.39,24.0004,27.151,950282
2020-06-12,27.55,27.65,25.4,25.88,579589
2020-06-11,26.47,26.62,25.53,26.29,1340062
2020-06-10,28.46,28.685,27.28,27.46,812990
2020-06-09,28.97,29.41,28.48,28.49,608657
2020-06-08,29.79,31.14,29.29,29.65,888032
2020-06-05,31.43,32.17,30.11,30.28,2345900
2020-06-04,29.74,30.6,29.22,30.45,2947300
2020-06-03,28.65,30.3,28.25,30.17,2435600
2020-06-02,28.54,28.78,28.0,28.21,1923400
2020-06-01,27.53,28.15,27.44,28.05,1567200
2020-05-29,27.47,27.84,27.02,27.46,4276000
2020-05-28,29.13,29.35,27.62,27.71,2787900
2020-05-27,27.4,28.54,27.4,28.37,2792000
2020-05-26,26.52,27.17,25.9,27.04,2428800
2020-05-22,25.45,25.55,24.93,25.34,1031300
2020-05-21,25.23,25.98,25.16,25.52,1828900
2020-05-20,25.29,26.0,25.28,25.52,1732700
2020-05-19,25.63,25.94,24.88,24.92,2101100
2020-05-18,24.71,26.04,24.71,25.78,2245800
2020-05-15,23.42,23.78,22.97,23.6,1437200
2020-05-14,22.13,23.56,21.42,23.54,2052600
2020-05-13,23.96,23.96,22.38,22.68,2120300
2020-05-12,25.43,25.74,24.24,24.25,1550900
2020-05-11,25.96,26.15,25.02,25.39,1967600
2020-05-08,25.72,26.39,25.72,26.28,2126300
2020-05-07,24.41,25.56,24.41,25.2,2976300
2020-05-06,24.94,25.32,23.96,24.0,4136000
2020-05-05,25.14,25.6,24.71,24.98,2597300
2020-05-04,24.42,24.89,24.07,24.62,3130300
2020-05-01,25.4,25.61,24.46,24.81,3810800
2020-04-30,27.11,27.5,25.41,26.15,6553800
2020-04-29,24.69,25.56,24.5,25.3,2965600
2020-04-28,23.55,24.56,23.42,23.99,3046000
2020-04-27,21.44,22.98,21.44,22.77,2576300
2020-04-24,20.68,21.75,20.62,21.33,2630900
2020-04-23,20.35,21.13,20.35,20.47,1431200
2020-04-22,20.47,20.48,19.85,20.15,2190800
2020-04-21,19.58,20.13,19.43,19.93,1897400
2020-04-20,20.43,20.77,19.88,20.34,2550200
2020-04-17,20.5,21.57,20.28,20.94,2522800
2020-04-16,20.35,20.77,19.72,19.84,1960600
2020-04-15,20.41,20.66,19.75,20.39,2146800
2020-04-14,21.35,22.04,21.01,21.44,3894600
2020-04-13,22.41,22.44,20.88,21.34,2694300
2020-04-09,22.66,23.5,22.17,22.53,2491800
2020-04-08,21.33,22.21,20.99,22.0,1802400
2020-04-07,21.62,22.36,20.78,20.94,2796900
2020-04-06,18.44,20.1,18.44,20.06,3350700
2020-04-03,18.62,18.8,17.09,17.35,2896800
2020-04-02,18.93,19.64,17.91,18.51,3097300
2020-04-01,19.34,19.79,18.62,19.13,3058700
2020-03-31,20.92,21.45,20.3,20.51,4170400
2020-03-30,21.57,21.74,20.2,21.0,2951000
2020-03-27,20.93,21.78,20.3,21.36,4038100
2020-03-26,20.04,22.51,20.02,22.25,5118800
2020-03-25,17.24,20.19,17.09,20.0,4950100
2020-03-24,14.84,17.34,14.83,16.96,4243300
2020-03-23,16.17,16.17,13.31,13.9,3761800
2020-03-20,17.53,18.2,15.74,16.3,4992200
2020-03-19,15.63,17.85,14.62,17.38,5542600
2020-03-18,18.52,18.62,14.0,15.9,6219500
2020-03-17,20.83,21.57,19.33,19.69,5400400
2020-03-16,23.0,23.66,20.23,20.36,3374100
2020-03-13,24.97,25.56,23.31,24.9,3463200
2020-03-12,25.44,26.15,23.79,23.83,3918900
2020-03-11,26.85,27.19,26.28,26.81,3253900
2020-03-10,26.61,27.6,25.87,27.58,4047100
2020-03-09,26.08,26.93,25.61,25.9,3993500
2020-03-06,27.25,28.16,27.16,27.52,4390200
2020-03-05,28.72,28.88,27.67,28.23,4350600
2020-03-04,29.25,29.78,28.64,29.65,2710100
2020-03-03,29.75,30.15,28.43,28.73,4181400
2020-03-02,29.57,29.91,28.91,29.9,3087400
2020-02-28,28.88,29.64,28.61,29.58,3765100
2020-02-27,30.3,31.0,29.66,29.72,2863400
2020-02-26,31.54,32.04,30.54,30.54,2783900
2020-02-25,32.25,32.63,31.25,31.32,2953100
2020-02-24,32.28,32.66,32.04,32.33,2492800
2020-02-21,34.04,34.04,32.68,33.04,3734400
2020-02-20,33.01,34.19,32.2,34.02,4370000
2020-02-19,33.34,34.22,33.34,34.0,2734400
2020-02-18,33.2,33.51,32.99,33.25,2249800
2020-02-14,33.87,33.91,33.12,33.2,1354600
2020-02-13,33.54,33.94,33.49,33.85,1138600
2020-02-12,33.63,33.91,33.46,33.74,953600
2020-02-11,33.26,33.85,33.15,33.58,923200
2020-02-10,32.89,33.24,32.7,33.19,1607100
2020-02-07,33.05,33.11,32.77,32.93,1236600
2020-02-06,34.25,34.25,33.18,33.22,1578400
2020-02-05,33.56,34.14,33.48,34.07,1718300
2020-02-04,33.07,33.57,32.98,33.26,1592000
2020-02-03,33.1,33.44,32.47,32.58,1962500
2020-01-31,33.53,33.59,32.56,32.69,1602600
2020-01-30,33.23,33.65,33.0,33.61,933500
2020-01-29,33.47,33.76,33.37,33.49,808300
2020-01-28,33.19,33.52,33.02,33.44,1127400
2020-01-27,33.02,33.57,32.91,33.06,1615600
2020-01-24,34.27,34.31,33.54,33.61,1179800
2020-01-23,33.73,34.43,33.52,34.35,1582400
2020-01-22,34.3,34.4,33.92,33.92,1358100
2020-01-21,34.58,34.59,33.96,34.23,1550100
2020-01-17,34.98,34.99,34.16,34.61,2232200
2020-01-16,34.1,34.77,33.97,34.74,1478700
2020-01-15,34.2,34.39,33.85,33.92,1216200
2020-01-14,34.1,34.56,33.87,34.34,1891500
2020-01-13,34.18,34.46,33.88,34.13,1757700
2020-01-10,34.7,34.84,34.02,34.09,1232700
2020-01-09,34.81,34.85,34.48,34.65,2525900
2020-01-08,34.84,34.89,34.35,34.59,2123000
2020-01-07,34.8,34.86,34.48,34.67,2196200
2020-01-06,35.19,35.38,34.78,34.86,1970900
2020-01-03,35.52,35.59,35.16,35.39,1377500
2020-01-02,35.92,36.02,35.23,35.8,1673800
2019-12-31,35.57,35.76,35.45,35.7,1210700
2019-12-30,35.98,36.08,35.57,35.7,1103400
2019-12-27,36.01,36.01,35.59,35.87,900600
2019-12-26,35.86,35.91,35.67,35.89,528400
2019-12-24,35.78,35.93,35.7,35.89,339100
2019-12-23,36.04,36.17,35.67,35.79,1111000
2019-12-20,36.06,36.22,35.36,35.93,4278700
2019-12-19,36.45,36.45,35.65,35.75,3118200
2019-12-18,36.07,36.63,35.84,36.33,2604200
2019-12-17,35.96,36.37,35.9,36.06,2383400
2019-12-16,36.27,36.38,35.66,35.94,2483000
2019-12-13,36.01,36.38,35.72,36.11,2463600
2019-12-12,35.78,36.24,35.58,36.01,2534000
2019-12-11,35.41,35.93,35.41,35.77,1750500
2019-12-10,35.67,35.87,35.42,35.48,1588000
2019-12-09,35.86,35.95,35.39,35.62,2273300
