datetime,open,high,low,close,volume
2021-01-29,211.96001,218.0,204.46001,207.97,7968851
2021-01-28,208.0,211.84,207.57001,210.12,5457800
2021-01-27,211.07001,212.02,205.10001,207.57001,7357300
2021-01-26,212.55,213.23,210.60001,212.72,6597400
2021-01-25,208.24001,212.53,208.08791000000002,212.35001,5424814
2021-01-22,202.03999,206.53999,200.56,206.14,6128400
2021-01-21,203.7,204.72,198.00999,202.35001,8698800
2021-01-20,198.77,201.77,198.67999,201.25999,5335400
2021-01-19,196.0,199.5199,194.07001,198.48,6919218
2021-01-15,186.8,191.78,186.8,190.77,6620500
2021-01-14,185.27,188.96001,184.58,186.69,4412700
2021-01-13,179.83,187.62,179.34,185.5,7303200
2021-01-12,182.78999,184.24001,177.44,178.8,7168100
2021-01-11,185.0,189.30098999999998,182.02,185.94,11188525
2021-01-08,166.22,166.86,164.64,166.41,3438100
2021-01-07,164.17999,167.12,161.78,165.83,3025500
2021-01-06,162.98,167.28,162.97,164.32001,3619100
2021-01-05,165.19,166.66,163.2,166.32001,2322600
2021-01-04,169.02,169.4776,163.105,165.5,3064246
2020-12-31,167.07001,169.14,166.28999,168.84,1643600
2020-12-30,167.44,168.39,166.67999,167.00999,1413300
2020-12-29,166.63,167.75,165.91,166.58,1712000
2020-12-28,167.21001,167.6028,165.21001,166.5,1465837
2020-12-24,165.85001,167.94,165.85001,166.66,627200
2020-12-23,167.45,168.0,165.47,165.48,1697300
2020-12-22,167.71001,168.39,165.87,166.72,2447900
2020-12-21,168.88,169.0,165.8,168.78,2994742
2020-12-18,172.52,172.89,169.0,171.23,3299290
2020-12-17,172.3,173.895,171.10001,172.63,2769762
2020-12-16,169.69,173.19,166.75,172.05,6009500
2020-12-15,159.42,168.22,158.27,167.34,6095784
2020-12-14,160.69,162.28708999999998,157.83,157.91,4390087
2020-12-11,159.446,161.14999,159.11,159.98,2785864
2020-12-10,159.87,162.0,158.17999,161.0,6429800
2020-12-09,154.59,158.94,153.67999,158.0,8363800
2020-12-08,147.28,150.13,146.91,149.3,2301670
2020-12-07,147.3,148.33,146.48,147.42,2352627
2020-12-04,144.13,148.7,144.13,148.5,2432559
2020-12-03,145.7,146.5,143.13,144.11,4058900
2020-12-02,145.36,147.09,144.38,145.16,3756400
2020-12-01,146.69,148.06,145.25999,145.56,3954400
2020-11-30,146.34,148.17,144.89999,145.64999,4934011
2020-11-27,145.64999,147.92,145.36,147.44,1754000
2020-11-25,144.89999,145.34,142.61,144.75,3223700
2020-11-24,143.39,145.64,143.11,144.89999,4127000
2020-11-23,145.53999,145.62,141.16,143.38,3793446
2020-11-20,142.84,147.09,142.84,145.49001,5063800
2020-11-19,140.25,143.89,138.92,143.41,4625300
2020-11-18,141.89999,142.409,140.13,140.25999,2330459
2020-11-17,139.57001,141.96001,138.61,141.2,3619200
2020-11-16,143.06,144.3,140.0,140.59,4944833
2020-11-13,142.63,143.21001,141.33,142.37,1651906
2020-11-12,142.92999,143.46001,139.86,141.03,3463400
2020-11-11,147.75999,147.75999,143.37,144.75999,3045700
2020-11-10,147.60001,149.2,143.78999,146.56,5374400
2020-11-09,142.53999,144.75,140.60001,142.33,5268224
2020-11-06,145.05,147.39,139.10001,142.74001,6229200
2020-11-05,147.67999,148.81,144.7,145.52,5730500
2020-11-04,134.91,151.98,134.91,148.59,12209800
2020-11-03,133.64,134.07001,130.7,130.98,3628400
2020-11-02,132.53999,133.95,129.99001,131.63,3286233
2020-10-30,131.75999,133.10001,129.21001,130.46001,4335300
2020-10-29,132.0,133.13,130.38,132.55,4098800
2020-10-28,130.46001,134.10001,130.31,131.31,6183800
2020-10-27,132.85001,136.08,131.87,131.89301,10273141
2020-10-26,141.89999,142.2899,140.05,141.7,2845557
2020-10-23,141.85001,144.7,141.73,142.38,1777559
2020-10-22,141.53,142.25999,140.8,141.64999,3056600
2020-10-21,142.28999,143.33,141.21001,141.31,1983000
2020-10-20,143.36,144.12,142.11,143.59,2188700
2020-10-19,147.0,147.4088,142.21001,142.8,3070603
2020-10-16,147.11,148.38,146.0,146.12,2918900
2020-10-15,146.50999,146.91,145.38,146.78,3785900
2020-10-14,150.2,150.595,147.72,148.45,2366313
2020-10-13,153.07001,154.3269,148.55,150.08,5225819
2020-10-12,156.83,157.14999,154.42,154.49001,3084220
2020-10-09,154.25,157.14,154.11,156.83,4029835
2020-10-08,152.32001,153.9382,150.5,153.49001,4263742
2020-10-07,148.52,149.89,146.85001,148.96001,4552700
2020-10-06,146.92999,147.83,143.92999,144.13,2409200
2020-10-05,145.07001,147.47,144.17999,146.63,2642140
2020-10-02,143.67,146.94,143.32001,145.22,3464449
2020-10-01,148.33,148.705,144.07001,144.34,3285005
2020-09-30,146.39999,148.45,145.06,148.02,5083400
2020-09-29,148.12,148.44,145.92999,146.25999,2701628
2020-09-28,151.0,151.58,147.89999,148.10001,2374172
2020-09-25,148.17999,150.39999,147.85001,150.24001,1941221
2020-09-24,149.85001,149.85001,147.3801,148.8,2563540
2020-09-23,150.75,151.59,148.7,149.78,2686315
2020-09-22,150.52,151.28999,149.14999,149.91,2501671
2020-09-21,153.39999,153.66,149.08,151.24001,2816592
2020-09-18,152.50999,154.5,152.235,154.00999,3714648
2020-09-17,150.13,152.67999,149.455,152.47,3027773
2020-09-16,151.52,152.67,150.86,151.00999,3048997
2020-09-15,149.96001,151.87,149.41499,149.97,2287289
2020-09-14,149.09,150.505,147.47,149.00999,2474208
2020-09-11,147.45,149.185,146.88,148.10001,2576818
2020-09-10,149.88,150.60001,145.715,146.21001,3501538
2020-09-09,150.31,154.12,150.31,151.97,1781626
2020-09-08,151.69,151.69,148.5,149.27,3589548
2020-09-04,148.77,152.58,147.9501,150.875,3882211
2020-09-03,152.00999,153.37,147.46001,148.89999,3418980
2020-09-02,147.28999,150.0,146.50999,149.48,2064985
2020-09-01,148.91,149.2,146.645,147.38,1917810
2020-08-31,147.31,148.795,147.03,148.34,3681187
2020-08-28,148.955,149.15178999999998,146.99001,147.27,1701483
2020-08-27,150.49921,150.94,148.94,148.99001,2723398
2020-08-26,149.71001,149.71001,147.41,149.25999,2535667
2020-08-25,150.10001,151.31,149.31,149.67999,1828834
2020-08-24,149.77,150.39999,148.25,149.55,1452176
2020-08-21,151.22,151.28,147.97,149.25999,2490084
2020-08-20,152.52,152.795,150.85001,151.34,1542292
2020-08-19,153.92999,154.41,152.03,152.28999,1523233
2020-08-18,152.17999,153.14999,151.14999,153.14999,1510694
2020-08-17,150.411,152.67999,150.36,151.53,1509179
2020-08-14,150.44,151.69,149.14999,150.08,1218274
2020-08-13,151.69,151.69,149.78999,150.39999,1771220
2020-08-12,150.78999,153.17,150.60001,152.53999,1974853
2020-08-11,153.14,153.14,150.21001,150.64999,1625850
2020-08-10,152.73,153.46001,151.53,153.0,1502927
2020-08-07,152.96001,153.495,151.61,152.89,1646240
2020-08-06,153.959,155.5,151.0,152.88,1897703
2020-08-05,157.49001,157.49001,153.32001,154.35001,2085221
2020-08-04,154.17999,155.99001,153.09,154.85001,2887781
2020-08-03,152.64,153.85001,151.22,152.82001,3187049
2020-07-31,153.0,153.33501,148.74001,150.28999,4406198
2020-07-30,158.45,158.5,150.47501,153.0,6136594
2020-07-29,162.53,162.99001,161.10001,161.73,2583480
2020-07-28,161.345,165.41,161.345,162.64999,3182638
2020-07-27,159.60001,161.74001,158.59,160.5,2188850
2020-07-24,161.47,161.47,158.45,159.5,2030200
2020-07-23,165.25,165.46001,160.78999,161.58,1919443
2020-07-22,165.53999,165.85001,162.33,164.75,1208548
2020-07-21,167.05,167.23,164.75999,165.38,1193760
2020-07-20,166.49001,167.71001,165.73,167.02,1548360
2020-07-17,166.03999,167.25,165.12,165.96001,1549116
2020-07-16,164.97,165.44,162.60001,165.0,168005
2020-07-15,165.19,166.48,163.91,165.45,267285
2020-07-14,162.87,164.77,161.53,163.78999,272618
2020-07-13,164.24001,166.98,161.03999,162.14999,292618
